epoch,test_acc,train_loss
0,87.16,-0.3313
0,87.16,-0.675
0,87.16,-0.6275
0,87.16,-0.4526
0,87.16,-0.739
0,87.16,-0.8203
0,87.16,-0.8531
1,87.02,-0.5269
1,87.02,-0.6045
1,87.02,-0.7714
1,87.02,-0.6773
1,87.02,-0.8301
1,87.02,-0.8698
1,87.02,-0.7268
2,87.24,-0.6682
2,87.24,-0.6604
2,87.24,-0.7983
2,87.24,-0.8554
2,87.24,-0.862
2,87.24,-0.6595
2,87.24,-0.6596
3,87.2,-0.5759
3,87.2,-1.1379
3,87.2,-0.7026
3,87.2,-0.6163
3,87.2,-0.604
3,87.2,-0.9189
3,87.2,-0.5726
4,87.09,-0.5276
4,87.09,-0.5126
4,87.09,-0.7506
4,87.09,-0.7911
4,87.09,-1.1086
4,87.09,-0.5961
4,87.09,-0.8808
5,87.1,-0.9371
5,87.1,-0.3763
5,87.1,-1.0105
5,87.1,-0.676
5,87.1,-0.2757
5,87.1,-0.92
5,87.1,-0.8045
6,87.14,-0.7942
6,87.14,-0.9565
6,87.14,-0.4791
6,87.14,-0.8633
6,87.14,-0.6276
6,87.14,-0.6597
6,87.14,-0.7633
7,87.19,-0.6127
7,87.19,-0.8844
7,87.19,-0.7083
7,87.19,-0.7142
7,87.19,-0.9224
7,87.19,-0.8577
7,87.19,-0.8897
8,86.99,-0.8479
8,86.99,-0.893
8,86.99,-0.5663
8,86.99,-0.7222
8,86.99,-0.6859
8,86.99,-0.5932
8,86.99,-0.6919
9,87.12,-0.7455
9,87.12,-0.7389
9,87.12,-1.1235
9,87.12,-0.8
9,87.12,-0.7962
9,87.12,-0.7826
9,87.12,-0.8454
10,87.13,-0.8298
10,87.13,-0.8018
10,87.13,-1.0975
10,87.13,-1.0915
10,87.13,-0.9122
10,87.13,-1.037
10,87.13,-1.1395
11,87.07,-0.8153
11,87.07,-0.7276
11,87.07,-0.7306
11,87.07,-0.8406
11,87.07,-0.8471
11,87.07,-0.8338
11,87.07,-0.8631
12,86.88,-1.0109
12,86.88,-0.9224
12,86.88,-0.6962
12,86.88,-1.2595
12,86.88,-0.7116
12,86.88,-0.7544
12,86.88,-0.9309
13,86.68,-0.652
13,86.68,-0.8895
13,86.68,-1.0211
13,86.68,-0.7586
13,86.68,-1.2247
13,86.68,-0.9239
13,86.68,-1.148
14,86.79,-1.3421
14,86.79,-0.9577
14,86.79,-0.8631
14,86.79,-1.0301
14,86.79,-0.9859
14,86.79,-0.9848
14,86.79,-1.2827
15,86.6,-1.1871
15,86.6,-1.0797
15,86.6,-1.0379
15,86.6,-0.9489
15,86.6,-1.1373
15,86.6,-1.1362
15,86.6,-1.1137
16,86.46,-1.0487
16,86.46,-0.7997
16,86.46,-0.8289
16,86.46,-0.9369
16,86.46,-1.0317
16,86.46,-1.2304
16,86.46,-1.1763
17,86.47,-0.9438
17,86.47,-1.1906
17,86.47,-1.3208
17,86.47,-1.3133
17,86.47,-1.3939
17,86.47,-1.3243
17,86.47,-1.3826
18,86.45,-1.1687
18,86.45,-1.54
18,86.45,-1.6324
18,86.45,-1.4199
18,86.45,-1.2349
18,86.45,-1.3659
18,86.45,-0.75
19,86.29,-1.1285
19,86.29,-0.8124
19,86.29,-1.3488
19,86.29,-1.7912
19,86.29,-0.7116
19,86.29,-1.0895
19,86.29,-1.258
20,86.35,-1.4512
20,86.35,-1.4749
20,86.35,-0.6159
20,86.35,-1.5835
20,86.35,-1.5142
20,86.35,-1.318
20,86.35,-1.7537
21,86.21,-1.6083
21,86.21,-1.2716
21,86.21,-1.3966
21,86.21,-1.432
21,86.21,-1.2551
21,86.21,-1.236
21,86.21,-1.8644
22,86.15,-1.9302
22,86.15,-0.8483
22,86.15,-1.2037
22,86.15,-1.7883
22,86.15,-1.6938
22,86.15,-1.5858
22,86.15,-1.3856
23,86.4,-1.7121
23,86.4,-1.6752
23,86.4,-1.2728
23,86.4,-1.6797
23,86.4,-1.652
23,86.4,-1.6485
23,86.4,-1.3155
24,86.26,-1.3203
24,86.26,-1.8324
24,86.26,-1.3202
24,86.26,-1.8497
24,86.26,-2.1321
24,86.26,-1.6708
24,86.26,-1.4139
25,86.41,-1.1483
25,86.41,-1.3735
25,86.41,-1.1486
25,86.41,-1.329
25,86.41,-1.5942
25,86.41,-1.8691
25,86.41,-1.433
26,86.24,-1.9465
26,86.24,-1.7843
26,86.24,-1.9516
26,86.24,-1.8629
26,86.24,-1.6376
26,86.24,-1.874
26,86.24,-1.8728
27,86.17,-1.5157
27,86.17,-1.7604
27,86.17,-1.8908
27,86.17,-1.8575
27,86.17,-1.4688
27,86.17,-1.8501
27,86.17,-1.765
28,86.25,-1.478
28,86.25,-1.4789
28,86.25,-1.6373
28,86.25,-1.2498
28,86.25,-1.5776
28,86.25,-2.6196
28,86.25,-1.8438
29,86.46,-1.9751
29,86.46,-1.9268
29,86.46,-2.4937
29,86.46,-1.7633
29,86.46,-1.7486
29,86.46,-1.8777
29,86.46,-1.7139
30,86.53,-1.7799
30,86.53,-1.861
30,86.53,-2.4627
30,86.53,-1.7681
30,86.53,-1.8954
30,86.53,-1.9907
30,86.53,-2.1243
31,86.36,-2.2569
31,86.36,-1.5245
31,86.36,-1.775
31,86.36,-1.8962
31,86.36,-2.0162
31,86.36,-2.1598
31,86.36,-1.7817
32,86.46,-2.4878
32,86.46,-2.1911
32,86.46,-2.3615
32,86.46,-2.6187
32,86.46,-2.0665
32,86.46,-2.2517
32,86.46,-1.2578
33,86.58,-2.2553
33,86.58,-2.1876
33,86.58,-1.7879
33,86.58,-2.0496
33,86.58,-2.0534
33,86.58,-2.1084
33,86.58,-2.2539
34,86.55,-2.2205
34,86.55,-1.8727
34,86.55,-1.9073
34,86.55,-2.2095
34,86.55,-2.2486
34,86.55,-2.3452
34,86.55,-1.9877
35,86.57,-2.0976
35,86.57,-1.7176
35,86.57,-2.1811
35,86.57,-2.7071
35,86.57,-2.464
35,86.57,-1.8315
35,86.57,-1.7951
36,86.65,-2.3543
36,86.65,-2.2586
36,86.65,-2.1968
36,86.65,-2.2705
36,86.65,-2.4956
36,86.65,-2.5398
36,86.65,-2.1245
37,86.62,-2.3841
37,86.62,-2.5228
37,86.62,-2.5836
37,86.62,-2.0228
37,86.62,-2.7672
37,86.62,-2.4416
37,86.62,-2.3827
38,86.61,-2.6163
38,86.61,-2.9767
38,86.61,-1.7485
38,86.61,-3.1399
38,86.61,-2.6514
38,86.61,-2.8407
38,86.61,-2.1631
39,86.76,-2.5218
39,86.76,-2.2477
39,86.76,-2.6411
39,86.76,-2.666
39,86.76,-2.7659
39,86.76,-2.9884
39,86.76,-2.4299
40,86.75,-2.3302
40,86.75,-2.3943
40,86.75,-1.7718
40,86.75,-2.7683
40,86.75,-2.3144
40,86.75,-2.4862
40,86.75,-1.6679
41,86.89,-2.5475
41,86.89,-1.5915
41,86.89,-2.2341
41,86.89,-1.8362
41,86.89,-2.4761
41,86.89,-2.4363
41,86.89,-2.0723
42,87.04,-2.7988
42,87.04,-2.6315
42,87.04,-2.1608
42,87.04,-2.0793
42,87.04,-2.4725
42,87.04,-1.9232
42,87.04,-2.3797
43,87.02,-2.3656
43,87.02,-1.8644
43,87.02,-2.4664
43,87.02,-2.3361
43,87.02,-3.1389
43,87.02,-2.6273
43,87.02,-1.5792
44,86.96,-2.2999
44,86.96,-2.2695
44,86.96,-2.6308
44,86.96,-2.2353
44,86.96,-2.2782
44,86.96,-2.9257
44,86.96,-2.215
45,86.87,-2.3628
45,86.87,-2.0426
45,86.87,-2.042
45,86.87,-2.4916
45,86.87,-2.1673
45,86.87,-2.7933
45,86.87,-2.7394
46,86.95,-2.4295
46,86.95,-2.6779
46,86.95,-2.9479
46,86.95,-2.4836
46,86.95,-2.7421
46,86.95,-2.6888
46,86.95,-2.8625
47,86.98,-2.3841
47,86.98,-2.0169
47,86.98,-2.2659
47,86.98,-2.6773
47,86.98,-2.6689
47,86.98,-2.6786
47,86.98,-2.3945
48,86.98,-2.4138
48,86.98,-2.6977
48,86.98,-2.4956
48,86.98,-2.851
48,86.98,-2.6711
48,86.98,-2.562
48,86.98,-2.3781
49,87.02,-2.3895
49,87.02,-2.9124
49,87.02,-2.5964
49,87.02,-3.1151
49,87.02,-2.1181
49,87.02,-2.5402
49,87.02,-2.8695
50,86.99,-2.8381
50,86.99,-3.1705
50,86.99,-2.6253
50,86.99,-2.4555
50,86.99,-2.4986
50,86.99,-2.0219
50,86.99,-2.7995
51,87.03,-2.2765
51,87.03,-1.1493
51,87.03,-2.5181
51,87.03,-2.8281
51,87.03,-2.3111
51,87.03,-1.5518
51,87.03,-2.1193
52,87.07,-2.2632
52,87.07,-2.5747
52,87.07,-2.9949
52,87.07,-2.3069
52,87.07,-2.0774
52,87.07,-2.8048
52,87.07,-2.9486
53,87.17,-2.7788
53,87.17,-1.8989
53,87.17,-2.8458
53,87.17,-2.8563
53,87.17,-3.0843
53,87.17,-2.7568
53,87.17,-2.4219
54,87.08,-2.3929
54,87.08,-2.6015
54,87.08,-3.2336
54,87.08,-2.8866
54,87.08,-1.8282
54,87.08,-3.0406
54,87.08,-2.2537
55,87.15,-2.32
55,87.15,-2.4808
55,87.15,-3.1024
55,87.15,-2.4662
55,87.15,-1.991
55,87.15,-2.7791
55,87.15,-2.7907
56,87.13,-2.4098
56,87.13,-3.2846
56,87.13,-3.102
56,87.13,-3.1165
56,87.13,-2.438
56,87.13,-2.8733
56,87.13,-2.3474
57,87.1,-2.692
57,87.1,-2.0391
57,87.1,-1.9134
57,87.1,-2.5713
57,87.1,-3.1083
57,87.1,-2.8189
57,87.1,-2.7331
58,87.15,-2.4536
58,87.15,-2.8504
58,87.15,-2.7612
58,87.15,-2.1079
58,87.15,-2.7153
58,87.15,-2.0856
58,87.15,-2.851
59,87.17,-2.2648
59,87.17,-2.4235
59,87.17,-2.9141
59,87.17,-2.414
59,87.17,-2.6784
59,87.17,-2.3545
59,87.17,-3.6993
60,87.21,-2.1257
60,87.21,-3.8273
60,87.21,-2.328
60,87.21,-2.5349
60,87.21,-2.7581
60,87.21,-2.864
60,87.21,-2.4619
61,87.12,-2.4437
61,87.12,-1.9142
61,87.12,-3.5695
61,87.12,-2.6394
61,87.12,-2.4517
61,87.12,-3.2922
61,87.12,-3.9305
62,87.18,-2.2551
62,87.18,-2.9541
62,87.18,-2.8878
62,87.18,-3.0644
62,87.18,-2.6246
62,87.18,-2.971
62,87.18,-2.9445
63,87.13,-3.1501
63,87.13,-3.1652
63,87.13,-2.5692
63,87.13,-2.4056
63,87.13,-2.4627
63,87.13,-3.7256
63,87.13,-2.4577
64,87.27,-2.9446
64,87.27,-1.9923
64,87.27,-3.4654
64,87.27,-2.8626
64,87.27,-3.1012
64,87.27,-2.7701
64,87.27,-2.0535
65,87.29,-2.6804
65,87.29,-2.9935
65,87.29,-2.5356
65,87.29,-2.4641
65,87.29,-3.3787
65,87.29,-2.3592
65,87.29,-2.7348
66,87.23,-3.4917
66,87.23,-2.9885
66,87.23,-2.9154
66,87.23,-2.9904
66,87.23,-1.4978
66,87.23,-2.5961
66,87.23,-3.2847
67,87.19,-2.6223
67,87.19,-1.891
67,87.19,-2.3249
67,87.19,-1.9439
67,87.19,-2.2376
67,87.19,-3.6572
67,87.19,-2.8713
68,87.3,-2.2013
68,87.3,-3.2243
68,87.3,-2.9966
68,87.3,-3.6107
68,87.3,-2.51
68,87.3,-2.8678
68,87.3,-2.5657
69,87.33,-2.8536
69,87.33,-1.8881
69,87.33,-3.6349
69,87.33,-2.9888
69,87.33,-3.0504
69,87.33,-3.2366
69,87.33,-2.1253
70,87.26,-3.2164
70,87.26,-3.2509
70,87.26,-3.6246
70,87.26,-2.7598
70,87.26,-2.1253
70,87.26,-2.9165
70,87.26,-4.036
71,87.3,-2.3487
