epoch,test_acc,train_loss
0,87.15,2.1231
0,87.15,2.2364
0,87.15,2.0285
0,87.15,2.1279
0,87.15,1.9962
0,87.15,2.0266
0,87.15,2.0028
1,87.07,2.0368
1,87.07,2.0524
1,87.07,2.0045
1,87.07,2.0174
1,87.07,1.998
1,87.07,2.0966
1,87.07,2.0679
2,87.07,2.0749
2,87.07,2.0643
2,87.07,2.0642
2,87.07,2.0288
2,87.07,1.9519
2,87.07,1.9554
2,87.07,2.0827
3,87.08,2.1331
3,87.08,2.0108
3,87.08,1.9959
3,87.08,2.0374
3,87.08,2.0715
3,87.08,1.8972
3,87.08,2.0871
4,87.01,2.1199
4,87.01,2.0549
4,87.01,1.9937
4,87.01,1.9717
4,87.01,1.8986
4,87.01,2.0281
4,87.01,1.9578
5,87.06,1.9281
5,87.06,2.1755
5,87.06,1.8825
5,87.06,2.0605
5,87.06,2.112
5,87.06,2.0234
5,87.06,1.998
6,87.07,1.9668
6,87.07,2.1086
6,87.07,2.1285
6,87.07,1.983
6,87.07,2.0654
6,87.07,2.057
6,87.07,2.0097
7,86.99,2.0313
7,86.99,1.9506
7,86.99,1.9271
7,86.99,1.9945
7,86.99,1.975
7,86.99,1.9404
7,86.99,1.9867
8,86.65,1.8755
8,86.65,1.9609
8,86.65,2.029
8,86.65,1.9468
8,86.65,1.99
8,86.65,2.0574
8,86.65,2.0443
9,86.93,1.9626
9,86.93,1.9487
9,86.93,1.8507
9,86.93,1.926
9,86.93,1.9763
9,86.93,1.9385
9,86.93,1.936
10,87.14,1.8718
10,87.14,1.9092
10,87.14,1.8844
10,87.14,1.8714
10,87.14,1.9706
10,87.14,1.8835
10,87.14,1.969
11,86.88,1.911
11,86.88,1.9353
11,86.88,1.9716
11,86.88,1.916
11,86.88,1.9993
11,86.88,1.9286
11,86.88,1.933
12,86.85,1.8942
12,86.85,1.9519
12,86.85,2.0361
12,86.85,1.804
12,86.85,1.8958
12,86.85,1.8939
12,86.85,1.921
13,86.76,1.9398
13,86.76,1.9
13,86.76,1.9235
13,86.76,1.9097
13,86.76,1.8459
13,86.76,1.8798
13,86.76,1.8608
14,86.86,1.8693
14,86.86,1.867
14,86.86,1.9198
14,86.86,1.935
14,86.86,1.8526
14,86.86,1.9218
14,86.86,1.9048
15,86.89,1.9104
15,86.89,1.9511
15,86.89,1.8812
15,86.89,1.9627
15,86.89,1.8351
15,86.89,1.9086
