Epoch,Training Acc,Val_Noisy_Acc,Test_ACC
0,26.8875,27.8,20.08
1,34.3375,34.62,27.82
2,35.895,34.97,28.59
3,37.1825,38.82,29.98
4,42.7125,43.76,36.91
5,46.7,48.24,36.81
6,45.79,46.69,41.33
7,46.1675,48.32,36.11
8,50.3525,50.06,43.1
9,49.86,49.76,41.08
10,53.6425,53.96,39.34
11,54.705,54.94,42.66
12,53.2975,53.85,44.71
13,55.9,55.67,47.39
14,57.035,56.39,47.12
15,57.6875,57.42,47.1
16,57.3275,57.16,45.2
17,59.0625,58.37,46.32
18,59.0975,57.94,49.44
19,58.93,57.62,51.69
20,59.1125,57.12,53.87
21,56.5175,56.94,53.41
22,54.8125,54.47,53.47
23,58.4225,58.1,43.36
24,57.5725,57.37,45.76
25,54.9575,55.19,43.96
26,56.93,56.08,56.4
27,56.7325,56.18,56.64
28,58.245,57.25,56.59
29,55.8825,55.95,51.62
30,59.1425,58.33,45.51
31,54.9775,53.59,61.08
32,59.1875,59.81,47.22
33,56.3725,55.32,62.91
34,56.7125,57.55,42.04
35,58.77,57.73,48.22
36,58.805,59.13,48.84
37,57.3125,57.77,49.05
38,57.6,57.68,48.31
39,55.8675,55.74,56.46
40,62.6975,62.02,51.74
41,63.4925,62.18,51.84
42,63.2675,60.9,56.67
43,64.13,62.43,51.4
44,63.615,60.51,58.79
45,64.18,62.46,52.03
46,64.1325,62.55,51.62
47,64.3475,61.46,53.74
48,64.805,62.69,51.41
49,64.2925,62.25,56.68
