step,train_loss,epoch,val_loss,val_acc,train_acc,test_acc
49,2.8105742931365967,0,,,,
99,2.532489776611328,0,,,,
149,2.364522695541382,0,,,,
199,2.3937244415283203,0,,,,
249,2.508612871170044,0,,,,
299,2.2906551361083984,0,,,,
311,,0,2.2333006858825684,0.14169999957084656,,
311,,0,,,0.14988982677459717,0.1306000053882599
349,2.2201099395751953,1,,,,
399,2.1997323036193848,1,,,,
449,2.150381565093994,1,,,,
499,2.099461793899536,1,,,,
549,2.0121612548828125,1,,,,
599,1.888764500617981,1,,,,
623,,1,1.8897123336791992,0.2928999960422516,,
623,,1,,,0.2377554029226303,0.31290000677108765
649,1.9950345754623413,2,,,,
699,1.9590511322021484,2,,,,
749,1.9908055067062378,2,,,,
799,1.9131866693496704,2,,,,
849,2.0255844593048096,2,,,,
899,1.8443822860717773,2,,,,
935,,2,1.7596185207366943,0.3465000092983246,,
935,,2,,,0.30889421701431274,0.37290000915527344
949,1.8145126104354858,3,,,,
999,1.7906231880187988,3,,,,
1049,1.7302422523498535,3,,,,
1099,1.799976110458374,3,,,,
1149,1.7281875610351562,3,,,,
1199,1.80434250831604,3,,,,
1247,,3,1.6448663473129272,0.3944999873638153,,
1247,,3,,,0.37412360310554504,0.4180999994277954
1249,1.5693838596343994,4,,,,
1299,1.666916847229004,4,,,,
1349,1.542112946510315,4,,,,
1399,1.5506689548492432,4,,,,
1449,1.691583514213562,4,,,,
1499,1.5272276401519775,4,,,,
1549,1.5156337022781372,4,,,,
1559,,4,1.638702154159546,0.4052000045776367,,
1559,,4,,,0.42548078298568726,0.4156000018119812
1599,1.6921466588974,5,,,,
1649,1.437505841255188,5,,,,
1699,1.5085678100585938,5,,,,
1749,1.3165676593780518,5,,,,
1799,1.5744470357894897,5,,,,
1849,1.3987059593200684,5,,,,
1871,,5,1.3652098178863525,0.5182999968528748,,
1871,,5,,,0.4854767620563507,0.529699981212616
1899,1.260031819343567,6,,,,
1949,1.2993297576904297,6,,,,
1999,1.3278818130493164,6,,,,
2049,1.385907769203186,6,,,,
2099,1.2510132789611816,6,,,,
2149,1.337943434715271,6,,,,
2183,,6,1.1882559061050415,0.5845999717712402,,
2183,,6,,,0.5535106062889099,0.6075999736785889
2199,1.223594069480896,7,,,,
2249,1.2057621479034424,7,,,,
2299,1.2887837886810303,7,,,,
2349,1.201526165008545,7,,,,
2399,1.0169085264205933,7,,,,
2449,1.2050708532333374,7,,,,
2495,,7,1.124646544456482,0.6189000010490417,,
2495,,7,,,0.6027894616127014,0.6424000263214111
2499,1.1189610958099365,8,,,,
2549,0.9396165609359741,8,,,,
2599,1.2039674520492554,8,,,,
2649,1.006978988647461,8,,,,
2699,1.181581974029541,8,,,,
2749,1.1017708778381348,8,,,,
2799,1.1058963537216187,8,,,,
2807,,8,1.1004074811935425,0.6334999799728394,,
2807,,8,,,0.6447816491127014,0.6521000266075134
2849,1.1251356601715088,9,,,,
2899,1.0216357707977295,9,,,,
2949,0.870551347732544,9,,,,
2999,1.210460901260376,9,,,,
3049,0.7824931740760803,9,,,,
3099,0.9187937378883362,9,,,,
3119,,9,0.9886419177055359,0.6746000051498413,,
3119,,9,,,0.6779096722602844,0.7021999955177307
3149,0.8465020656585693,10,,,,
3199,0.7809293270111084,10,,,,
3249,0.8819389939308167,10,,,,
3299,0.8848536014556885,10,,,,
3349,1.088075041770935,10,,,,
3399,0.7721598744392395,10,,,,
3431,,10,0.9420305490493774,0.6916000247001648,,
3431,,10,,,0.7025741338729858,0.7251999974250793
3449,0.4993517994880676,11,,,,
3499,0.6765780448913574,11,,,,
3549,0.46749621629714966,11,,,,
3599,0.6102960109710693,11,,,,
3649,0.4724200665950775,11,,,,
3699,0.764674186706543,11,,,,
3743,,11,0.9576280117034912,0.7084000110626221,,
3743,,11,,,0.7057041525840759,0.7447999715805054
3749,-0.06924736499786377,12,,,,
3799,-0.040506958961486816,12,,,,
3849,0.17875558137893677,12,,,,
3899,0.002678215503692627,12,,,,
3949,0.026946187019348145,12,,,,
3999,0.0983119010925293,12,,,,
4049,0.1304330825805664,12,,,,
4055,,12,1.2900564670562744,0.6675999760627747,,
4055,,12,,,0.7095853090286255,0.684499979019165
4099,-0.3519866466522217,13,,,,
4149,-0.6600789427757263,13,,,,
4199,-0.6461201906204224,13,,,,
4249,-0.1728215217590332,13,,,,
4299,-0.2891350984573364,13,,,,
4349,-0.3194016218185425,13,,,,
4367,,13,1.3549139499664307,0.6945000290870667,,
4367,,13,,,0.7146434187889099,0.7217000126838684
4399,-0.5150554180145264,14,,,,
4449,-1.0892492532730103,14,,,,
4499,-1.27458655834198,14,,,,
4549,-1.418613314628601,14,,,,
4599,-1.3320794105529785,14,,,,
4649,-1.4152597188949585,14,,,,
4679,,14,1.4925998449325562,0.689300000667572,,
4679,,14,,,0.7223557829856873,0.7179999947547913
4699,-1.514647364616394,15,,,,
4749,-1.378486156463623,15,,,,
4799,-1.8453553915023804,15,,,,
4849,-1.4470046758651733,15,,,,
4899,-1.6828426122665405,15,,,,
4949,-1.9440157413482666,15,,,,
4991,,15,1.51347017288208,0.7009000182151794,,
4991,,15,,,0.733323335647583,0.7304999828338623
4999,-2.4422709941864014,16,,,,
5049,-2.4144365787506104,16,,,,
5099,-2.2368764877319336,16,,,,
5149,-2.203765392303467,16,,,,
5199,-2.1720523834228516,16,,,,
5249,-1.8205634355545044,16,,,,
5299,-2.3058552742004395,16,,,,
5303,,16,2.251753330230713,0.623199999332428,,
5303,,16,,,0.7395833134651184,0.6498000025749207
5349,-2.5791006088256836,17,,,,
5399,-2.818084716796875,17,,,,
5449,-3.1622395515441895,17,,,,
5499,-2.5524368286132812,17,,,,
5549,-3.199525833129883,17,,,,
5599,-2.3544139862060547,17,,,,
5615,,17,1.9609699249267578,0.6714000105857849,,
5615,,17,,,0.7445663213729858,0.6931999921798706
5649,-3.9795191287994385,18,,,,
5699,-3.524291515350342,18,,,,
5749,-3.582167625427246,18,,,,
5799,-3.5822691917419434,18,,,,
5849,-3.3548903465270996,18,,,,
5899,-3.243134021759033,18,,,,
5927,,18,2.964829921722412,0.6305000185966492,,
5927,,18,,,0.7521784901618958,0.6560999751091003
5949,-3.9858603477478027,19,,,,
5999,-4.017401695251465,19,,,,
6049,-4.457700729370117,19,,,,
6099,-4.399855136871338,19,,,,
6149,-3.7563657760620117,19,,,,
6199,-4.277378082275391,19,,,,
6239,,19,1.9257384538650513,0.7002999782562256,,
6239,,19,,,0.7618439793586731,0.733299970626831
6249,-5.330478668212891,20,,,,
6299,-4.37674617767334,20,,,,
6349,-5.097478866577148,20,,,,
6399,-4.515573501586914,20,,,,
6449,-4.813053607940674,20,,,,
6499,-4.417374610900879,20,,,,
6549,-4.63652229309082,20,,,,
6551,,20,1.8282716274261475,0.7249000072479248,,
6551,,20,,,0.7643229365348816,0.7538999915122986
6599,-4.421117305755615,21,,,,
6649,-5.289302349090576,21,,,,
6699,-5.2669572830200195,21,,,,
6749,-6.070827007293701,21,,,,
6799,-5.319427013397217,21,,,,
6849,-5.005997180938721,21,,,,
6863,,21,2.357758045196533,0.646399974822998,,
6863,,21,,,0.7699319124221802,0.6704999804496765
6899,-6.141236305236816,22,,,,
6949,-6.331422328948975,22,,,,
6999,-6.430920600891113,22,,,,
7049,-6.367033004760742,22,,,,
7099,-6.065221786499023,22,,,,
7149,-5.659740924835205,22,,,,
7175,,22,1.828719973564148,0.741100013256073,,
7175,,22,,,0.7709835767745972,0.7681000232696533
7199,-6.6282806396484375,23,,,,
7249,-6.56972599029541,23,,,,
7299,-6.574427604675293,23,,,,
7349,-7.12449312210083,23,,,,
7399,-6.707780838012695,23,,,,
7449,-6.7326507568359375,23,,,,
7487,,23,1.7008497714996338,0.7508999705314636,,
7487,,23,,,0.777268648147583,0.7802000045776367
7499,-7.84522008895874,24,,,,
7549,-8.164449691772461,24,,,,
7599,-7.5399274826049805,24,,,,
7649,-7.229376792907715,24,,,,
7699,-7.265935897827148,24,,,,
7749,-7.676485538482666,24,,,,
7799,-7.749865531921387,24,,,,
7799,,24,1.801973581314087,0.7627000212669373,,
7799,,24,,,0.7798978090286255,0.7982000112533569
7849,-8.005166053771973,25,,,,
7899,-7.787318229675293,25,,,,
7949,-8.392972946166992,25,,,,
7999,-8.076878547668457,25,,,,
8049,-7.7700910568237305,25,,,,
8099,-7.765584945678711,25,,,,
8111,,25,2.373741388320923,0.6942999958992004,,
8111,,25,,,0.780198335647583,0.7182999849319458
8149,-9.027094841003418,26,,,,
8199,-9.603095054626465,26,,,,
8249,-7.845351696014404,26,,,,
8299,-7.974279403686523,26,,,,
8349,-8.774687767028809,26,,,,
8399,-8.833512306213379,26,,,,
8423,,26,2.9339804649353027,0.6532999873161316,,
8423,,26,,,0.7846304178237915,0.6805999875068665
8449,-9.236299514770508,27,,,,
8499,-9.427692413330078,27,,,,
8549,-9.55294132232666,27,,,,
8599,-9.504449844360352,27,,,,
8649,-9.608436584472656,27,,,,
8699,-9.08497428894043,27,,,,
8735,,27,2.2896840572357178,0.73089998960495,,
8735,,27,,,0.7875100374221802,0.7627999782562256
8749,-9.486028671264648,28,,,,
8799,-9.67848014831543,28,,,,
8849,-9.831592559814453,28,,,,
8899,-9.74461555480957,28,,,,
8949,-10.533510208129883,28,,,,
8999,-9.837108612060547,28,,,,
9047,,28,2.0792930126190186,0.7560999989509583,,
9047,,28,,,0.7882362008094788,0.789900004863739
9049,-11.126699447631836,29,,,,
9099,-10.50550651550293,29,,,,
9149,-10.432618141174316,29,,,,
9199,-10.762945175170898,29,,,,
9249,-11.142717361450195,29,,,,
9299,-10.914533615112305,29,,,,
9349,-11.142269134521484,29,,,,
9359,,29,1.9872955083847046,0.7694000005722046,,
9359,,29,,,0.7874599099159241,0.8076000213623047
9399,-11.911852836608887,30,,,,
9449,-11.699024200439453,30,,,,
9499,-11.020822525024414,30,,,,
9549,-10.966951370239258,30,,,,
9599,-11.638315200805664,30,,,,
9649,-11.812275886535645,30,,,,
9671,,30,2.666724920272827,0.6786999702453613,,
9671,,30,,,0.7942457795143127,0.7008000016212463
9699,-12.191901206970215,31,,,,
9749,-12.57209300994873,31,,,,
9799,-11.907456398010254,31,,,,
9849,-11.449480056762695,31,,,,
9899,-12.733545303344727,31,,,,
9949,-11.576807022094727,31,,,,
9983,,31,2.567103862762451,0.7294999957084656,,
9983,,31,,,0.7950971722602844,0.7627000212669373
9999,-12.600931167602539,32,,,,
10049,-12.313821792602539,32,,,,
10099,-12.918007850646973,32,,,,
10149,-13.158802032470703,32,,,,
10199,-12.694535255432129,32,,,,
10249,-13.834071159362793,32,,,,
10295,,32,2.330946445465088,0.746399998664856,,
10295,,32,,,0.7978014945983887,0.7908999919891357
10299,-13.516912460327148,33,,,,
10349,-14.073951721191406,33,,,,
10399,-13.079269409179688,33,,,,
10449,-12.649182319641113,33,,,,
10499,-13.45443058013916,33,,,,
10549,-13.392767906188965,33,,,,
10599,-13.322927474975586,33,,,,
10607,,33,2.0099563598632812,0.7720999717712402,,
10607,,33,,,0.7951722741127014,0.8134999871253967
10649,-14.152970314025879,34,,,,
10699,-13.960562705993652,34,,,,
10749,-14.353275299072266,34,,,,
10799,-14.145999908447266,34,,,,
10849,-14.774480819702148,34,,,,
10899,-13.965629577636719,34,,,,
10919,,34,2.1086270809173584,0.7878000140190125,,
10919,,34,,,0.7984524965286255,0.8230000138282776
10949,-15.125587463378906,35,,,,
10999,-15.532466888427734,35,,,,
11049,-14.538599967956543,35,,,,
11099,-14.516039848327637,35,,,,
11149,-15.378061294555664,35,,,,
11199,-15.472452163696289,35,,,,
11231,,35,2.2531216144561768,0.7623000144958496,,
11231,,35,,,0.8035356402397156,0.8003000020980835
11249,-15.705718994140625,36,,,,
11299,-15.38195514678955,36,,,,
11349,-15.099388122558594,36,,,,
11399,-15.740612030029297,36,,,,
11449,-15.797374725341797,36,,,,
11499,-15.166178703308105,36,,,,
11543,,36,2.435880184173584,0.7523000240325928,,
11543,,36,,,0.7993038892745972,0.7907000184059143
11549,-16.30044174194336,37,,,,
11599,-15.80353832244873,37,,,,
11649,-15.654617309570312,37,,,,
11699,-17.041549682617188,37,,,,
11749,-15.847677230834961,37,,,,
11799,-15.512434959411621,37,,,,
11849,-16.75649070739746,37,,,,
11855,,37,2.391045331954956,0.7667999863624573,,
11855,,37,,,0.8020582795143127,0.8057000041007996
11899,-16.849931716918945,38,,,,
11949,-16.7820987701416,38,,,,
11999,-15.66930866241455,38,,,,
12049,-16.196949005126953,38,,,,
12099,-17.096284866333008,38,,,,
12149,-17.194002151489258,38,,,,
12167,,38,2.237546920776367,0.7675999999046326,,
12167,,38,,,0.8014323115348816,0.8036999702453613
12199,-17.63959503173828,39,,,,
12249,-17.626930236816406,39,,,,
12299,-17.520965576171875,39,,,,
12349,-17.74958038330078,39,,,,
12399,-17.733949661254883,39,,,,
12449,-16.75929069519043,39,,,,
12479,,39,2.5100908279418945,0.7516000270843506,,
12479,,39,,,0.8022836446762085,0.7835999727249146
12499,-18.36397361755371,40,,,,
12549,-18.212188720703125,40,,,,
12599,-18.359073638916016,40,,,,
12649,-18.937711715698242,40,,,,
12699,-18.186695098876953,40,,,,
12749,-18.632097244262695,40,,,,
12791,,40,2.48193621635437,0.7660999894142151,,
12791,,40,,,0.8014573454856873,0.8112000226974487
12799,-18.193111419677734,41,,,,
12849,-18.483688354492188,41,,,,
12899,-17.607053756713867,41,,,,
12949,-17.679670333862305,41,,,,
12999,-18.654766082763672,41,,,,
13049,-18.11191177368164,41,,,,
13099,-17.49958610534668,41,,,,
13103,,41,3.73521089553833,0.7055000066757202,,
13103,,41,,,0.8057641983032227,0.7472000122070312
13149,-19.101634979248047,42,,,,
13199,-18.832304000854492,42,,,,
13249,-17.71463394165039,42,,,,
13299,-18.161224365234375,42,,,,
13349,-18.255250930786133,42,,,,
13399,-17.43474006652832,42,,,,
13415,,42,2.2380900382995605,0.7806000113487244,,
13415,,42,,,0.8060396909713745,0.8138999938964844
13449,-18.492637634277344,43,,,,
