step,epoch,train_loss,val_loss,val_acc,test_acc,train_acc
49,0,2.505143880844116,,,,
99,0,2.0288143157958984,,,,
149,0,1.9010295867919922,,,,
199,0,1.9328861236572266,,,,
249,0,1.9952099323272705,,,,
299,0,1.7521883249282837,,,,
311,0,,1.837984323501587,0.30320000648498535,,
311,0,,,,0.31360000371932983,0.22736378014087677
349,1,1.7279969453811646,,,,
399,1,1.8127573728561401,,,,
449,1,1.7482802867889404,,,,
499,1,1.7720930576324463,,,,
549,1,1.7383191585540771,,,,
599,1,1.567804217338562,,,,
623,1,,1.7542505264282227,0.3544999957084656,,
623,1,,,,0.3682999908924103,0.35048577189445496
649,2,1.6265628337860107,,,,
699,2,1.688064455986023,,,,
749,2,1.6099419593811035,,,,
799,2,1.628835916519165,,,,
849,2,1.5031942129135132,,,,
899,2,1.510744333267212,,,,
935,2,,1.6017389297485352,0.414900004863739,,
935,2,,,,0.4246000051498413,0.4167417883872986
949,3,1.6914538145065308,,,,
999,3,1.4783848524093628,,,,
1049,3,1.5879895687103271,,,,
1099,3,1.4744203090667725,,,,
1149,3,1.5607564449310303,,,,
1199,3,1.4256223440170288,,,,
1247,3,,1.5459450483322144,0.45890000462532043,,
1247,3,,,,0.4699999988079071,0.4704276919364929
1249,4,1.3963340520858765,,,,
1299,4,1.3085343837738037,,,,
1349,4,1.3143365383148193,,,,
1399,4,1.2095615863800049,,,,
1449,4,1.3188530206680298,,,,
1499,4,1.1643855571746826,,,,
1549,4,1.362185001373291,,,,
1559,4,,1.264255166053772,0.5583999752998352,,
1559,4,,,,0.5806000232696533,0.5288711786270142
1599,5,1.1789686679840088,,,,
1649,5,1.3606140613555908,,,,
1699,5,1.1336686611175537,,,,
1749,5,1.2381430864334106,,,,
1799,5,1.205459475517273,,,,
1849,5,1.136670708656311,,,,
1871,5,,1.2062628269195557,0.5788000226020813,,
1871,5,,,,0.6176999807357788,0.5830328464508057
1899,6,0.9501927495002747,,,,
1949,6,1.1418471336364746,,,,
1999,6,1.1414642333984375,,,,
2049,6,1.0260670185089111,,,,
2099,6,1.2309614419937134,,,,
2149,6,1.020424485206604,,,,
2183,6,,1.1630959510803223,0.6093999743461609,,
2183,6,,,,0.6377999782562256,0.6214192509651184
2199,7,0.9714449644088745,,,,
2249,7,0.9976747035980225,,,,
2299,7,1.1120867729187012,,,,
2349,7,1.1705639362335205,,,,
2399,7,1.0566985607147217,,,,
2449,7,0.9823557138442993,,,,
2495,7,,1.1461753845214844,0.6371999979019165,,
2495,7,,,,0.6704999804496765,0.6513671875
2499,8,1.1463662385940552,,,,
2549,8,0.863067626953125,,,,
2599,8,0.992523193359375,,,,
