epoch,train_loss,step,val_loss,val_acc,test_acc,train_acc
0,2.2160332202911377,49,,,,
0,2.2372870445251465,99,,,,
0,2.0999221801757812,149,,,,
0,1.9959561824798584,199,,,,
0,1.8839446306228638,249,,,,
0,1.975700855255127,299,,,,
0,,311,1.8968881368637085,0.29789999127388,,
0,,311,,,0.30790001153945923,0.19851763546466827
1,1.8987717628479004,349,,,,
1,1.8771283626556396,399,,,,
1,1.8466941118240356,449,,,,
1,1.6658709049224854,499,,,,
1,1.6746948957443237,549,,,,
1,1.6917469501495361,599,,,,
1,,623,1.5778443813323975,0.428600013256073,,
1,,623,,,0.4431000053882599,0.3425731062889099
2,1.6169812679290771,649,,,,
2,1.5506895780563354,699,,,,
2,1.6900599002838135,749,,,,
2,1.490873098373413,799,,,,
2,1.3958446979522705,849,,,,
2,1.6656053066253662,899,,,,
2,,935,1.6364957094192505,0.4325999915599823,,
2,,935,,,0.44510000944137573,0.42430388927459717
3,1.6160767078399658,949,,,,
3,1.4044110774993896,999,,,,
3,1.4141095876693726,1049,,,,
3,1.6208196878433228,1099,,,,
3,1.4333804845809937,1149,,,,
3,1.5656154155731201,1199,,,,
3,,1247,1.3958754539489746,0.5145000219345093,,
3,,1247,,,0.5315999984741211,0.48452523350715637
4,1.1514005661010742,1249,,,,
4,1.4666744470596313,1299,,,,
4,1.5466662645339966,1349,,,,
4,1.301796317100525,1399,,,,
4,1.157988429069519,1449,,,,
4,1.1913789510726929,1499,,,,
4,1.1998119354248047,1549,,,,
4,,1559,1.330021858215332,0.535099983215332,,
4,,1559,,,0.5644000172615051,0.5385116338729858
5,1.2277535200119019,1599,,,,
5,1.2582528591156006,1649,,,,
5,1.1015193462371826,1699,,,,
5,1.1429815292358398,1749,,,,
5,1.0955486297607422,1799,,,,
5,1.2403548955917358,1849,,,,
5,,1871,1.1390585899353027,0.6122999787330627,,
5,,1871,,,0.6449000239372253,0.5881660580635071
6,1.0331722497940063,1899,,,,
6,1.1299721002578735,1949,,,,
6,1.0541911125183105,1999,,,,
6,1.0997576713562012,2049,,,,
6,1.139267921447754,2099,,,,
6,0.9889677166938782,2149,,,,
6,,2183,1.0927752256393433,0.6277999877929688,,
6,,2183,,,0.6579999923706055,0.6254006624221802
7,0.9745736718177795,2199,,,,
7,1.2093291282653809,2249,,,,
7,1.079777479171753,2299,,,,
7,1.0680474042892456,2349,,,,
7,1.066180944442749,2399,,,,
7,1.0104695558547974,2449,,,,
7,,2495,1.0450782775878906,0.6535999774932861,,
7,,2495,,,0.6779000163078308,0.6553986668586731
8,1.1800788640975952,2499,,,,
8,1.0504918098449707,2549,,,,
8,1.0445241928100586,2599,,,,
8,1.1508162021636963,2649,,,,
8,0.6989306211471558,2699,,,,
8,0.884306013584137,2749,,,,
8,0.8863660097122192,2799,,,,
8,,2807,0.9930381774902344,0.6682000160217285,,
8,,2807,,,0.6995000243186951,0.6766075491905212
9,0.9947488307952881,2849,,,,
9,1.0080647468566895,2899,,,,
9,1.0638083219528198,2949,,,,
9,0.8915539383888245,2999,,,,
9,0.8461096286773682,3049,,,,
9,0.9539328813552856,3099,,,,
9,,3119,0.9062175750732422,0.7128999829292297,,
9,,3119,,,0.7487999796867371,0.7015725374221802
10,0.9401208162307739,3149,,,,
10,0.733997642993927,3199,,,,
10,0.9410839676856995,3249,,,,
10,0.8181124329566956,3299,,,,
10,0.8385467529296875,3349,,,,
10,0.9342257380485535,3399,,,,
10,,3431,1.1009726524353027,0.6924999952316284,,
10,,3431,,,0.7240999937057495,0.7274389266967773
11,0.7119856476783752,3449,,,,
11,0.5154619812965393,3499,,,,
11,0.7429593801498413,3549,,,,
11,0.8012798428535461,3599,,,,
11,0.8364850878715515,3649,,,,
11,0.8516851663589478,3699,,,,
11,,3743,0.8193908333778381,0.7418000102043152,,
11,,3743,,,0.771399974822998,0.7403846383094788
12,0.7533071637153625,3749,,,,
12,0.9376815557479858,3799,,,,
12,0.6272032260894775,3849,,,,
12,0.6401407122612,3899,,,,
12,0.7775011658668518,3949,,,,
12,0.8817062973976135,3999,,,,
12,0.9461283683776855,4049,,,,
12,,4055,0.8169189691543579,0.7476000189781189,,
12,,4055,,,0.7698000073432922,0.7579627633094788
13,0.7904687523841858,4099,,,,
13,0.5438937544822693,4149,,,,
13,0.7920086979866028,4199,,,,
13,0.792974591255188,4249,,,,
13,0.5797296166419983,4299,,,,
13,0.6797384023666382,4349,,,,
13,,4367,0.8040227890014648,0.7484999895095825,,
13,,4367,,,0.785099983215332,0.7708583474159241
14,0.7632104158401489,4399,,,,
14,0.8773972392082214,4449,,,,
14,0.6971567869186401,4499,,,,
14,0.6928250789642334,4549,,,,
