epoch,train_loss,step,val_acc,val_loss,test_acc,train_acc
0,4.041794776916504,49,,,,
0,3.7864773273468018,99,,,,
0,3.3981540203094482,149,,,,
0,3.3940649032592773,199,,,,
0,3.089334011077881,249,,,,
0,2.9380104541778564,299,,,,
0,,311,0.4194999933242798,1.5951547622680664,,
0,,311,,,0.42660000920295715,0.30418670177459717
1,3.0702600479125977,349,,,,
1,2.9534640312194824,399,,,,
1,2.9302048683166504,449,,,,
1,2.549574851989746,499,,,,
1,2.353119134902954,549,,,,
1,2.6271822452545166,599,,,,
1,,623,0.5665000081062317,1.3025099039077759,,
1,,623,,,0.5902000069618225,0.4597606062889099
2,2.719125509262085,649,,,,
2,2.3892412185668945,699,,,,
2,2.4133293628692627,749,,,,
2,2.7290897369384766,799,,,,
2,2.6470677852630615,849,,,,
2,2.3348543643951416,899,,,,
2,,935,0.6195999979972839,1.1273689270019531,,
2,,935,,,0.6449000239372253,0.5556014776229858
3,2.4134278297424316,949,,,,
3,2.356058120727539,999,,,,
3,2.373481512069702,1049,,,,
3,1.988645076751709,1099,,,,
3,2.214576005935669,1149,,,,
3,2.476924419403076,1199,,,,
3,,1247,0.7046999931335449,0.9028386473655701,,
3,,1247,,,0.737500011920929,0.6255258321762085
4,1.9145256280899048,1249,,,,
4,2.082350015640259,1299,,,,
4,1.8377611637115479,1349,,,,
4,2.0129566192626953,1399,,,,
4,2.066740036010742,1449,,,,
4,1.9298707246780396,1499,,,,
4,2.045987606048584,1549,,,,
4,,1559,0.7290999889373779,0.8528780341148376,,
4,,1559,,,0.7670000195503235,0.6621719598770142
5,1.683028221130371,1599,,,,
5,1.612592101097107,1649,,,,
5,1.9928133487701416,1699,,,,
5,1.7875354290008545,1749,,,,
5,1.7158297300338745,1799,,,,
5,1.6742150783538818,1849,,,,
5,,1871,0.7297000288963318,0.84938645362854,,
5,,1871,,,0.7684999704360962,0.6925706267356873
6,1.6669416427612305,1899,,,,
6,1.8697726726531982,1949,,,,
6,1.8143413066864014,1999,,,,
6,1.6078171730041504,2049,,,,
6,1.6979809999465942,2099,,,,
6,1.80343759059906,2149,,,,
6,,2183,0.7669000029563904,0.7624675631523132,,
6,,2183,,,0.8052999973297119,0.7113381624221802
7,1.8052194118499756,2199,,,,
7,1.6989972591400146,2249,,,,
7,1.5473099946975708,2299,,,,
7,1.2854292392730713,2349,,,,
7,1.831223487854004,2399,,,,
7,1.2871499061584473,2449,,,,
7,,2495,0.7853999733924866,0.7346619963645935,,
7,,2495,,,0.8198000192642212,0.7268504500389099
8,1.7156459093093872,2499,,,,
8,1.5681450366973877,2549,,,,
8,1.3965365886688232,2599,,,,
8,1.300887942314148,2649,,,,
8,1.3825106620788574,2699,,,,
8,1.4955151081085205,2749,,,,
8,1.716569423675537,2799,,,,
8,,2807,0.7502999901771545,0.841054379940033,,
8,,2807,,,0.7860000133514404,0.7387444972991943
9,1.4836041927337646,2849,,,,
9,1.3365131616592407,2899,,,,
9,1.4756911993026733,2949,,,,
9,1.5051867961883545,2999,,,,
9,1.1913752555847168,3049,,,,
9,1.2835488319396973,3099,,,,
9,,3119,0.7878000140190125,0.780327320098877,,
9,,3119,,,0.8337000012397766,0.7508388161659241
10,1.2945752143859863,3149,,,,
10,1.3926321268081665,3199,,,,
10,1.2100327014923096,3249,,,,
10,1.3359825611114502,3299,,,,
10,1.1746160984039307,3349,,,,
10,1.4509925842285156,3399,,,,
10,,3431,0.7907999753952026,0.7958205938339233,,
10,,3431,,,0.8310999870300293,0.7592648267745972
11,1.3066563606262207,3449,,,,
11,1.226339340209961,3499,,,,
11,1.363654613494873,3549,,,,
11,1.2271780967712402,3599,,,,
11,1.409816026687622,3649,,,,
11,1.215986967086792,3699,,,,
11,,3743,0.7766000032424927,0.8720738291740417,,
11,,3743,,,0.8126000165939331,0.7667893767356873
12,1.3647010326385498,3749,,,,
12,1.2528328895568848,3799,,,,
12,1.4940578937530518,3849,,,,
12,1.0635936260223389,3899,,,,
12,1.3712966442108154,3949,,,,
12,1.2201205492019653,3999,,,,
12,1.2086941003799438,4049,,,,
12,,4055,0.8065000176429749,0.7556926012039185,,
12,,4055,,,0.8457000255584717,0.7737880349159241
13,1.0357084274291992,4099,,,,
13,0.9855389595031738,4149,,,,
13,1.307470679283142,4199,,,,
13,1.3687773942947388,4249,,,,
13,1.3213627338409424,4299,,,,
13,1.091109275817871,4349,,,,
13,,4367,0.8023999929428101,0.8419827222824097,,
13,,4367,,,0.8439000248908997,0.779860258102417
14,1.1906912326812744,4399,,,,
14,0.9292541742324829,4449,,,,
14,1.126397728919983,4499,,,,
14,1.091179370880127,4549,,,,
14,1.1183936595916748,4599,,,,
14,1.0566794872283936,4649,,,,
14,,4679,0.8138999938964844,0.7880449295043945,,
14,,4679,,,0.8567000031471252,0.7841922044754028
15,1.1597228050231934,4699,,,,
15,1.201026439666748,4749,,,,
15,1.0918316841125488,4799,,,,
15,0.9594985842704773,4849,,,,
15,1.02350652217865,4899,,,,
15,1.1719090938568115,4949,,,,
15,,4991,0.8220999836921692,0.8067089915275574,,
15,,4991,,,0.8700000047683716,0.7901391983032227
16,1.1555253267288208,4999,,,,
16,0.9181404113769531,5049,,,,
16,1.131787657737732,5099,,,,
16,1.0082674026489258,5149,,,,
16,1.1804319620132446,5199,,,,
16,1.060115098953247,5249,,,,
16,0.9195886850357056,5299,,,,
16,,5303,0.8087000250816345,0.7921125888824463,,
16,,5303,,,0.8501999974250793,0.7957606911659241
17,1.234270453453064,5349,,,,
17,1.0170241594314575,5399,,,,
17,1.0390135049819946,5449,,,,
17,0.9517072439193726,5499,,,,
17,0.8270082473754883,5549,,,,
17,1.207600474357605,5599,,,,
17,,5615,0.8237000107765198,0.799440860748291,,
17,,5615,,,0.8655999898910522,0.7979141473770142
18,1.0373746156692505,5649,,,,
18,0.7843549251556396,5699,,,,
18,0.9830754995346069,5749,,,,
18,1.234055995941162,5799,,,,
18,0.941350519657135,5849,,,,
18,0.9532812833786011,5899,,,,
18,,5927,0.8091999888420105,0.825512707233429,,
18,,5927,,,0.8528000116348267,0.8026342391967773
19,0.9865203499794006,5949,,,,
19,0.9677126407623291,5999,,,,
19,0.817406952381134,6049,,,,
19,0.906329333782196,6099,,,,
19,1.13361656665802,6149,,,,
19,1.1856544017791748,6199,,,,
19,,6239,0.8363000154495239,0.7844268679618835,,
19,,6239,,,0.8759999871253967,0.8047500848770142
20,0.8443304896354675,6249,,,,
20,0.949955403804779,6299,,,,
20,1.0426561832427979,6349,,,,
20,1.055755853652954,6399,,,,
20,0.9694966077804565,6449,,,,
20,0.8268899321556091,6499,,,,
20,1.254512071609497,6549,,,,
20,,6551,0.8269000053405762,0.8107738494873047,,
20,,6551,,,0.8708000183105469,0.8079552054405212
21,1.1031134128570557,6599,,,,
21,0.9888683557510376,6649,,,,
21,1.1773022413253784,6699,,,,
21,0.8855392932891846,6749,,,,
21,0.9610555171966553,6799,,,,
21,1.0296103954315186,6849,,,,
21,,6863,0.816100001335144,0.8623484373092651,,
21,,6863,,,0.8589000105857849,0.8095452785491943
22,1.0268604755401611,6899,,,,
22,1.092167854309082,6949,,,,
22,0.934845507144928,6999,,,,
22,1.0467479228973389,7049,,,,
22,0.8661247491836548,7099,,,,
22,0.8872258067131042,7149,,,,
22,,7175,0.833299994468689,0.8594721555709839,,
22,,7175,,,0.8841999769210815,0.8118739724159241
23,0.8690404891967773,7199,,,,
23,0.9376752376556396,7249,,,,
23,0.9223782420158386,7299,,,,
23,0.941168487071991,7349,,,,
23,0.9710522890090942,7399,,,,
23,0.7843301296234131,7449,,,,
23,,7487,0.8353000283241272,0.8439081311225891,,
23,,7487,,,0.8812000155448914,0.8144781589508057
24,0.7781270146369934,7499,,,,
24,0.9398783445358276,7549,,,,
24,0.6755511164665222,7599,,,,
24,0.7698054909706116,7649,,,,
24,0.9682224988937378,7699,,,,
24,0.8714490532875061,7749,,,,
24,0.7530128955841064,7799,,,,
24,,7799,0.8205000162124634,0.9236209988594055,,
24,,7799,,,0.8672999739646912,0.8179336786270142
25,0.8610165119171143,7849,,,,
25,0.7120950818061829,7899,,,,
25,0.8990239500999451,7949,,,,
25,0.9389224052429199,7999,,,,
25,1.0675413608551025,8049,,,,
25,0.8022851943969727,8099,,,,
25,,8111,0.8371000289916992,0.7867146134376526,,
25,,8111,,,0.8877999782562256,0.8186723589897156
26,0.9283449649810791,8149,,,,
26,1.0308161973953247,8199,,,,
26,0.8997690677642822,8249,,,,
26,1.015163540840149,8299,,,,
26,0.9189090728759766,8349,,,,
26,0.9195618629455566,8399,,,,
26,,8423,0.8478000164031982,0.8303086161613464,,
26,,8423,,,0.8920999765396118,0.8217523097991943
27,0.880492627620697,8449,,,,
27,0.9090491533279419,8499,,,,
27,1.011312484741211,8549,,,,
27,0.8126401901245117,8599,,,,
27,0.8243552446365356,8649,,,,
27,0.8580286502838135,8699,,,,
27,,8735,0.8418999910354614,0.8533135056495667,,
27,,8735,,,0.8920999765396118,0.8242312669754028
28,0.7310692667961121,8749,,,,
28,0.6958651542663574,8799,,,,
28,0.793867826461792,8849,,,,
28,0.9674843549728394,8899,,,,
28,0.7861930727958679,8949,,,,
28,0.9401376247406006,8999,,,,
28,,9047,0.8312000036239624,0.8481481671333313,,
28,,9047,,,0.8716999888420105,0.8257962465286255
29,0.8262054324150085,9049,,,,
29,1.044592022895813,9099,,,,
29,0.6907334327697754,9149,,,,
29,1.009485125541687,9199,,,,
29,0.8472471237182617,9249,,,,
29,0.8408392071723938,9299,,,,
29,0.9071251153945923,9349,,,,
29,,9359,0.8413000106811523,0.8719953298568726,,
29,,9359,,,0.8860999941825867,0.8262845277786255
