train_loss2,train_loss1,epoch,step,val_acc2,val_acc1,train_acc2,test_acc,train_acc1
0.015078880824148655,0.01437357161194086,0,49,,,,,
0.01501848641782999,0.014905449002981186,0,99,,,,,
0.013330750167369843,0.013418290764093399,0,149,,,,,
0.012056288309395313,0.01142269466072321,0,199,,,,,
0.011912854388356209,0.011797277256846428,0,249,,,,,
0.012387002818286419,0.011270128190517426,0,299,,,,,
,,0,311,0.45500001311302185,0.42489999532699585,,,
,,0,311,,,0.3422476053237915,0.4309000074863434,0.35008513927459717
0.011165004223585129,0.01092411670833826,1,349,,,,,
0.010943038389086723,0.010605152696371078,1,399,,,,,
0.0101783974096179,0.010615198872983456,1,449,,,,,
0.009602750651538372,0.010100452229380608,1,499,,,,,
0.010701916180551052,0.010342035442590714,1,549,,,,,
0.01033390499651432,0.009652657434344292,1,599,,,,,
,,1,623,0.5315999984741211,0.5202000141143799,,,
,,1,623,,,0.5071614384651184,0.5374000072479248,0.5166516304016113
0.008965544402599335,0.008221236057579517,2,649,,,,,
0.009483092464506626,0.009245517663657665,2,699,,,,,
0.006924454588443041,0.007238002493977547,2,749,,,,,
0.008528989739716053,0.008102303370833397,2,799,,,,,
0.007883763872087002,0.007902603596448898,2,849,,,,,
0.007760153152048588,0.008080477826297283,2,899,,,,,
,,2,935,0.6189000010490417,0.6446999907493591,,,
,,2,935,,,0.5834835767745972,0.6794000267982483,0.5908703804016113
0.008457385934889317,0.008622941561043262,3,949,,,,,
0.007847967557609081,0.008574322797358036,3,999,,,,,
0.008800407871603966,0.008738543838262558,3,1049,,,,,
0.006954926066100597,0.006652918644249439,3,1099,,,,,
0.005688621196895838,0.005604982376098633,3,1149,,,,,
0.005355232395231724,0.005807022098451853,3,1199,,,,,
,,3,1247,0.6370000243186951,0.6542999744415283,,,
,,3,1247,,,0.6318609714508057,0.6904000043869019,0.6371444463729858
0.00606778496876359,0.005503465887159109,4,1249,,,,,
0.007085721008479595,0.007559180725365877,4,1299,,,,,
