epoch,step,train_loss1,train_loss2,val_acc1,val_acc2,train_acc2,test_acc,train_acc1
0,49,0.013782303780317307,0.013305140659213066,,,,,
0,99,0.013770596124231815,0.014474435709416866,,,,,
0,149,0.012543014250695705,0.012166165746748447,,,,,
0,199,0.011448894627392292,0.011921077966690063,,,,,
0,249,0.013266261667013168,0.012337828986346722,,,,,
0,299,0.011219806037843227,0.010808863677084446,,,,,
0,311,,,0.4641999900341034,0.4447000026702881,,,
0,311,,,,,0.38035857677459717,0.4805000126361847,0.36981672048568726
1,349,0.009546852670609951,0.009680530987679958,,,,,
1,399,0.012417853809893131,0.012453407980501652,,,,,
1,449,0.011306819505989552,0.011108106933534145,,,,,
1,499,0.011573970317840576,0.010412458330392838,,,,,
1,549,0.01033573318272829,0.010773064568638802,,,,,
1,599,0.011013851501047611,0.01076443213969469,,,,,
1,623,,,0.5866000056266785,0.5598999857902527,,,
1,623,,,,,0.5359074473381042,0.6054999828338623,0.5284455418586731
2,649,0.00740901380777359,0.007575370837002993,,,,,
2,699,0.008145150728523731,0.008633398450911045,,,,,
2,749,0.010433902032673359,0.00891909096390009,,,,,
2,799,0.007863560691475868,0.00742939580231905,,,,,
2,849,0.008777880109846592,0.009867101907730103,,,,,
2,899,0.009129021316766739,0.00856795348227024,,,,,
2,935,,,0.6245999932289124,0.5942000150680542,,,
2,935,,,,,0.6058192849159241,0.6599000096321106,0.6074719429016113
3,949,0.008036225102841854,0.007185886614024639,,,,,
3,999,0.006722040940076113,0.006724573206156492,,,,,
3,1049,0.005134072154760361,0.005694725550711155,,,,,
3,1099,0.0051587773486971855,0.005522140301764011,,,,,
3,1149,0.006868813186883926,0.0065179201774299145,,,,,
3,1199,0.006287687923759222,0.006558003835380077,,,,,
3,1247,,,0.597000002861023,0.6033999919891357,,,
3,1247,,,,,0.6514924168586731,0.6148999929428101,0.6498898267745972
4,1249,0.007330039050430059,0.008428945206105709,,,,,
4,1299,0.004434909205883741,0.00461451755836606,,,,,
4,1349,0.00559026887640357,0.0056343465112149715,,,,,
4,1399,0.005801641847938299,0.005860758014023304,,,,,
4,1449,0.004317575599998236,0.0044229221530258656,,,,,
4,1499,0.004287283401936293,0.004798213019967079,,,,,
4,1549,0.004413070157170296,0.0040852888487279415,,,,,
4,1559,,,0.6708999872207642,0.6832000017166138,,,
4,1559,,,,,0.6912559866905212,0.6919999718666077,0.6909304857254028
5,1599,0.004425779916346073,0.00516750942915678,,,,,
5,1649,0.004909923765808344,0.0047597456723451614,,,,,
5,1699,0.0037899634335190058,0.004566654562950134,,,,,
5,1749,0.0038513753097504377,0.0041032410226762295,,,,,
5,1799,0.003741900436580181,0.004005812108516693,,,,,
5,1849,0.0028794524259865284,0.00270855613052845,,,,,
5,1871,,,0.6753000020980835,0.6668000221252441,,,
5,1871,,,,,0.7181740999221802,0.6983000040054321,0.7211288213729858
6,1899,0.003735692473128438,0.003614305052906275,,,,,
6,1949,0.0024096230044960976,0.002929026260972023,,,,,
6,1999,0.003435240127146244,0.003982559312134981,,,,,
6,2049,0.006164130289107561,0.00601230189204216,,,,,
6,2099,0.00493959803134203,0.004381938371807337,,,,,
6,2149,0.0038738753646612167,0.00388336437754333,,,,,
6,2183,,,0.7325000166893005,0.7440999746322632,,,
6,2183,,,,,0.7357522249221802,0.7652000188827515,0.7386568784713745
7,2199,0.002005891175940633,0.0020992576610296965,,,,,
7,2249,0.0028467660304158926,0.0033500671852380037,,,,,
7,2299,0.003938843030482531,0.003096961881965399,,,,,
7,2349,0.0021675904281437397,0.0019725095480680466,,,,,
7,2399,0.002110792091116309,0.0023878037463873625,,,,,
7,2449,0.003136844839900732,0.003612257307395339,,,,,
7,2495,,,0.7386000156402588,0.7368999719619751,,,
7,2495,,,,,0.7520783543586731,0.7781000137329102,0.7551081776618958
8,2499,0.002391038229689002,0.0023300149478018284,,,,,
8,2549,0.001211479539051652,0.001659863512031734,,,,,
8,2599,0.003954166546463966,0.003482628846541047,,,,,
8,2649,0.0028187979478389025,0.0023444914259016514,,,,,
8,2699,0.00248570553958416,0.002086243126541376,,,,,
8,2749,0.002700676443055272,0.0021366942673921585,,,,,
8,2799,0.0023221387527883053,0.0028351284563541412,,,,,
8,2807,,,0.7146999835968018,0.7139000296592712,,,
8,2807,,,,,0.7624949812889099,0.7473000288009644,0.7651993036270142
9,2849,0.0010627479059621692,0.0012609079713001847,,,,,
9,2899,0.0018258431227877736,0.0009937023278325796,,,,,
9,2949,0.0013106792466714978,0.001429721713066101,,,,,
9,2999,0.0016271966742351651,0.0012459082063287497,,,,,
9,3049,0.0018940704176202416,0.0019070797134190798,,,,,
9,3099,0.0038810574915260077,0.004871462471783161,,,,,
9,3119,,,0.770799994468689,0.7551000118255615,,,
9,3119,,,,,0.7683543562889099,0.8102999925613403,0.7711338400840759
10,3149,0.003199875820428133,0.003386227646842599,,,,,
10,3199,0.0018429231131449342,0.0015131172258406878,,,,,
10,3249,0.0012388841714709997,0.001887282938696444,,,,,
10,3299,0.0022047623060643673,0.002615266712382436,,,,,
10,3349,0.0010431803530082107,0.001977141248062253,,,,,
10,3399,0.0016169908922165632,0.002466562669724226,,,,,
10,3431,,,0.753000020980835,0.7662000060081482,,,
10,3431,,,,,0.7783453464508057,0.7860000133514404,0.7794721722602844
11,3449,0.0022693814244121313,0.002245950512588024,,,,,
11,3499,0.001427862443961203,0.001676064101047814,,,,,
