step,train_loss,epoch,val_acc,val_loss,test_acc,train_acc
49,1.8367506265640259,0,,,,
99,1.6911330223083496,0,,,,
149,1.7121278047561646,0,,,,
199,1.5821623802185059,0,,,,
249,1.5181738138198853,0,,,,
299,1.5226469039916992,0,,,,
311,,0,0.43380001187324524,1.6927242279052734,,
311,,0,,,0.4580000042915344,0.37432390451431274
349,1.2687066793441772,1,,,,
399,1.313565731048584,1,,,,
449,1.366244912147522,1,,,,
499,1.2645201683044434,1,,,,
549,1.2314170598983765,1,,,,
599,1.191803216934204,1,,,,
623,,1,0.5860999822616577,1.1891061067581177,,
623,,1,,,0.6079000234603882,0.5523086786270142
649,1.2049506902694702,2,,,,
699,1.1621689796447754,2,,,,
749,0.91330885887146,2,,,,
799,0.9718672037124634,2,,,,
849,0.9600253701210022,2,,,,
899,0.9461064338684082,2,,,,
935,,2,0.6514000296592712,1.0777840614318848,,
935,,2,,,0.6802999973297119,0.6423026919364929
949,0.974365770816803,3,,,,
999,0.8685098886489868,3,,,,
1049,0.8810577392578125,3,,,,
1099,0.9928109645843506,3,,,,
1149,0.8581416606903076,3,,,,
1199,0.8168342113494873,3,,,,
1247,,3,0.6991999745368958,0.9461472630500793,,
1247,,3,,,0.7402999997138977,0.7007962465286255
1249,0.8372767567634583,4,,,,
1299,0.809751570224762,4,,,,
1349,0.951195478439331,4,,,,
1399,0.8921006321907043,4,,,,
1449,0.896314799785614,4,,,,
1499,0.8246283531188965,4,,,,
1549,0.8391071557998657,4,,,,
1559,,4,0.7093999981880188,0.9150404334068298,,
1559,,4,,,0.7432000041007996,0.7335737347602844
1599,0.6336284875869751,5,,,,
1649,0.7333838939666748,5,,,,
1699,0.6501075029373169,5,,,,
1749,0.6546523571014404,5,,,,
1799,0.8009132742881775,5,,,,
1849,0.8364832401275635,5,,,,
1871,,5,0.7407000064849854,0.8297686576843262,,
1871,,5,,,0.782800018787384,0.7572365999221802
1899,0.7231929898262024,6,,,,
1949,0.7649424076080322,6,,,,
1999,0.883651614189148,6,,,,
2049,0.7219765782356262,6,,,,
2099,0.8553013801574707,6,,,,
2149,0.7836648225784302,6,,,,
2183,,6,0.7566999793052673,0.786552369594574,,
2183,,6,,,0.7955999970436096,0.7740134000778198
2199,0.7549190521240234,7,,,,
2249,0.6413466334342957,7,,,,
2299,0.6825253963470459,7,,,,
2349,0.7052725553512573,7,,,,
2399,0.5375351905822754,7,,,,
2449,0.7035290002822876,7,,,,
2495,,7,0.7603999972343445,0.7892022728919983,,
2495,,7,,,0.7961999773979187,0.7885366678237915
2499,0.5892347097396851,8,,,,
2549,0.6529228091239929,8,,,,
2599,0.6241908073425293,8,,,,
2649,0.6499810218811035,8,,,,
2699,0.6895694136619568,8,,,,
2749,0.5830678939819336,8,,,,
2799,0.9143626689910889,8,,,,
2807,,8,0.7549999952316284,0.8179449439048767,,
2807,,8,,,0.7766000032424927,0.7986027598381042
2849,0.5656769871711731,9,,,,
2899,0.617363452911377,9,,,,
2949,0.5991836190223694,9,,,,
2999,0.36472219228744507,9,,,,
