step,train_loss,epoch,val_loss,val_acc,test_acc,train_acc
49,2.3643078804016113,0,,,,
99,2.242366075515747,0,,,,
149,2.165410280227661,0,,,,
199,2.0891449451446533,0,,,,
249,1.970507025718689,0,,,,
299,2.059809446334839,0,,,,
311,,0,2.0256001949310303,0.2248000055551529,,
311,,0,,,0.23919999599456787,0.18311798572540283
349,1.9143993854522705,1,,,,
399,2.0443694591522217,1,,,,
449,1.944167971611023,1,,,,
499,1.8649827241897583,1,,,,
549,1.9023818969726562,1,,,,
599,1.8358359336853027,1,,,,
623,,1,1.811820149421692,0.3156999945640564,,
623,,1,,,0.3391999900341034,0.2848808169364929
649,1.9139355421066284,2,,,,
699,1.7265419960021973,2,,,,
749,1.7836414575576782,2,,,,
799,1.8099048137664795,2,,,,
849,1.654606580734253,2,,,,
899,1.761418342590332,2,,,,
935,,2,1.6737210750579834,0.3871000111103058,,
935,,2,,,0.4250999987125397,0.36127805709838867
949,1.632485270500183,3,,,,
999,1.7097034454345703,3,,,,
1049,1.6308029890060425,3,,,,
1099,1.6466602087020874,3,,,,
1149,1.649562120437622,3,,,,
1199,1.618157982826233,3,,,,
1247,,3,1.6113979816436768,0.4417000114917755,,
1247,,3,,,0.48080000281333923,0.4146384298801422
1249,1.5291911363601685,4,,,,
1299,1.4712892770767212,4,,,,
1349,1.701658844947815,4,,,,
1399,1.7287249565124512,4,,,,
1449,1.3804205656051636,4,,,,
1499,1.443771481513977,4,,,,
1549,1.5733646154403687,4,,,,
1559,,4,1.5443941354751587,0.47049999237060547,,
1559,,4,,,0.5174999833106995,0.4621143937110901
1599,1.3152387142181396,5,,,,
1649,1.5722390413284302,5,,,,
1699,1.4068228006362915,5,,,,
1749,1.4491727352142334,5,,,,
1799,1.3796356916427612,5,,,,
1849,1.4252688884735107,5,,,,
1871,,5,1.673675775527954,0.42260000109672546,,
1871,,5,,,0.46480000019073486,0.5018028616905212
1899,1.3566166162490845,6,,,,
1949,1.410395860671997,6,,,,
1999,1.4368172883987427,6,,,,
2049,1.5772932767868042,6,,,,
2099,1.2665588855743408,6,,,,
2149,1.3459560871124268,6,,,,
2183,,6,1.398202657699585,0.5371000170707703,,
2183,,6,,,0.5986999869346619,0.5344050526618958
2199,1.3733916282653809,7,,,,
2249,1.2718933820724487,7,,,,
2299,1.3602120876312256,7,,,,
2349,1.4260389804840088,7,,,,
2399,1.1947029829025269,7,,,,
2449,1.3620061874389648,7,,,,
2495,,7,1.5179524421691895,0.4999000132083893,,
2495,,7,,,0.5649999976158142,0.5574919581413269
2499,1.2775688171386719,8,,,,
2549,1.3798924684524536,8,,,,
2599,1.1745214462280273,8,,,,
2649,1.2057781219482422,8,,,,
2699,1.3381991386413574,8,,,,
2749,1.1471003293991089,8,,,,
2799,1.2637847661972046,8,,,,
2807,,8,1.3938233852386475,0.5515999794006348,,
2807,,8,,,0.6136999726295471,0.5807542204856873
2849,1.182456374168396,9,,,,
2899,1.3358523845672607,9,,,,
2949,1.2983753681182861,9,,,,
2999,1.0813565254211426,9,,,,
3049,1.3603296279907227,9,,,,
3099,1.1215648651123047,9,,,,
3119,,9,1.280497431755066,0.5893999934196472,,
3119,,9,,,0.6625000238418579,0.6066957116127014
3149,1.2852798700332642,10,,,,
3199,1.0558204650878906,10,,,,
3249,1.1894381046295166,10,,,,
3299,1.0451077222824097,10,,,,
3349,1.0965975522994995,10,,,,
3399,1.238040804862976,10,,,,
3431,,10,1.4263179302215576,0.5519999861717224,,
3431,,10,,,0.6065000295639038,0.6314603090286255
3449,1.160547137260437,11,,,,
3499,1.0868600606918335,11,,,,
3549,1.0838927030563354,11,,,,
3599,1.058485507965088,11,,,,
3649,1.3898741006851196,11,,,,
3699,1.2185871601104736,11,,,,
3743,,11,1.3249374628067017,0.59579998254776,,
3743,,11,,,0.6722999811172485,0.6501151919364929
3749,1.0402803421020508,12,,,,
3799,0.9706531167030334,12,,,,
3849,1.1036806106567383,12,,,,
3899,1.1998133659362793,12,,,,
3949,0.9447960257530212,12,,,,
3999,1.0450481176376343,12,,,,
4049,0.9714004993438721,12,,,,
4055,,12,1.1231930255889893,0.6588000059127808,,
4055,,12,,,0.7358999848365784,0.6658653616905212
4099,1.0688704252243042,13,,,,
4149,1.2445319890975952,13,,,,
4199,1.030324935913086,13,,,,
4249,1.0570787191390991,13,,,,
4299,1.2480462789535522,13,,,,
4349,0.9332035183906555,13,,,,
4367,,13,1.101744532585144,0.6661999821662903,,
4367,,13,,,0.7542999982833862,0.6741035580635071
4399,1.1748815774917603,14,,,,
4449,1.0058577060699463,14,,,,
4499,1.123213291168213,14,,,,
4549,0.9715192914009094,14,,,,
4599,1.0695583820343018,14,,,,
4649,0.8320106863975525,14,,,,
4679,,14,1.1101328134536743,0.6644999980926514,,
4679,,14,,,0.7498000264167786,0.6827173233032227
4699,1.0332390069961548,15,,,,
4749,1.084167242050171,15,,,,
4799,0.9644889831542969,15,,,,
4849,1.0963557958602905,15,,,,
4899,0.9290173053741455,15,,,,
4949,0.9457446932792664,15,,,,
4991,,15,1.157515287399292,0.6431000232696533,,
4991,,15,,,0.7156999707221985,0.6895783543586731
4999,0.7811130285263062,16,,,,
5049,1.1626535654067993,16,,,,
5099,0.9833937883377075,16,,,,
5149,1.0013272762298584,16,,,,
5199,1.1525187492370605,16,,,,
5249,1.254327416419983,16,,,,
5299,1.1305303573608398,16,,,,
5303,,16,1.1205663681030273,0.6680999994277954,,
5303,,16,,,0.753000020980835,0.6983674168586731
5349,1.1290329694747925,17,,,,
5399,0.9309536814689636,17,,,,
5449,0.9946249723434448,17,,,,
5499,1.0192524194717407,17,,,,
5549,0.9333376884460449,17,,,,
5599,0.9814754128456116,17,,,,
5615,,17,1.0848193168640137,0.6787999868392944,,
5615,,17,,,0.7666000127792358,0.6975160241127014
5649,0.9101803302764893,18,,,,
5699,1.0071266889572144,18,,,,
5749,0.9903103113174438,18,,,,
5799,1.0521944761276245,18,,,,
5849,1.0156604051589966,18,,,,
5899,0.9992180466651917,18,,,,
5927,,18,1.099190354347229,0.6704999804496765,,
5927,,18,,,0.7584999799728394,0.7034755349159241
5949,0.9739760756492615,19,,,,
5999,0.7825635671615601,19,,,,
