epoch,train_loss,step,val_acc,val_loss,test_acc,train_acc
0,1.9982322454452515,49,,,,
0,1.9729098081588745,99,,,,
0,1.8907667398452759,149,,,,
0,1.835608720779419,199,,,,
0,1.7903796434402466,249,,,,
0,1.9227266311645508,299,,,,
0,,311,0.37310001254081726,1.8744310140609741,,
0,,311,,,0.40849998593330383,0.3304787576198578
1,1.787825584411621,349,,,,
1,1.834778904914856,399,,,,
1,1.7100943326950073,449,,,,
1,1.654046893119812,499,,,,
1,1.6397299766540527,549,,,,
1,1.558765172958374,599,,,,
1,,623,0.48500001430511475,1.6626273393630981,,
1,,623,,,0.5396999716758728,0.46291565895080566
2,1.6786588430404663,649,,,,
2,1.6321898698806763,699,,,,
2,1.5123014450073242,749,,,,
2,1.516608476638794,799,,,,
2,1.5413098335266113,849,,,,
2,1.6297707557678223,899,,,,
2,,935,0.5078999996185303,1.6086554527282715,,
2,,935,,,0.5467000007629395,0.5387620329856873
3,1.5301156044006348,949,,,,
3,1.357162356376648,999,,,,
3,1.4398123025894165,1049,,,,
3,1.539600133895874,1099,,,,
3,1.488494873046875,1149,,,,
3,1.607081651687622,1199,,,,
3,,1247,0.5722000002861023,1.4744243621826172,,
3,,1247,,,0.6277999877929688,0.585036039352417
4,1.4818395376205444,1249,,,,
4,1.3341363668441772,1299,,,,
4,1.266690969467163,1349,,,,
4,1.4610321521759033,1399,,,,
4,1.2960199117660522,1449,,,,
4,1.3979414701461792,1499,,,,
4,1.427385687828064,1549,,,,
4,,1559,0.6312000155448914,1.3464527130126953,,
4,,1559,,,0.7200000286102295,0.6209685206413269
5,1.377320647239685,1599,,,,
5,1.3740369081497192,1649,,,,
5,1.2611809968948364,1699,,,,
5,1.2489985227584839,1749,,,,
5,1.311238408088684,1799,,,,
5,1.3414669036865234,1849,,,,
5,,1871,0.6502000093460083,1.2942922115325928,,
5,,1871,,,0.7364000082015991,0.6467347741127014
6,1.2867710590362549,1899,,,,
6,1.3016103506088257,1949,,,,
6,1.1139589548110962,1999,,,,
6,1.4078171253204346,2049,,,,
6,1.122177243232727,2099,,,,
6,1.187232494354248,2149,,,,
6,,2183,0.642799973487854,1.303694486618042,,
6,,2183,,,0.722100019454956,0.6701973080635071
7,1.099597454071045,2199,,,,
7,1.2258453369140625,2249,,,,
7,1.2075815200805664,2299,,,,
7,1.1869473457336426,2349,,,,
7,1.2001687288284302,2399,,,,
7,1.1974468231201172,2449,,,,
7,,2495,0.6553000211715698,1.2595531940460205,,
7,,2495,,,0.7440000176429749,0.6884765625
8,1.1123801469802856,2499,,,,
8,1.1480985879898071,2549,,,,
8,1.252814769744873,2599,,,,
8,1.2310795783996582,2649,,,,
8,1.17813241481781,2699,,,,
8,1.2637752294540405,2749,,,,
8,1.280806541442871,2799,,,,
8,,2807,0.6699000000953674,1.21172034740448,,
8,,2807,,,0.7524999976158142,0.6986178159713745
9,1.1164644956588745,2849,,,,
9,1.077027440071106,2899,,,,
9,1.196818232536316,2949,,,,
9,1.0858118534088135,2999,,,,
9,1.2179157733917236,3049,,,,
9,1.1947243213653564,3099,,,,
9,,3119,0.696399986743927,1.1587162017822266,,
9,,3119,,,0.7914999723434448,0.7066807150840759
10,1.2563731670379639,3149,,,,
10,1.2099241018295288,3199,,,,
10,1.231697678565979,3249,,,,
10,1.017596960067749,3299,,,,
10,1.066005825996399,3349,,,,
10,1.076189398765564,3399,,,,
10,,3431,0.6915000081062317,1.1552680730819702,,
10,,3431,,,0.7833999991416931,0.7153195142745972
