epoch,train_loss,step,val_acc,val_loss,test_acc
0,2.087867021560669,49,,,
0,2.182340621948242,99,,,
0,2.0883243083953857,149,,,
0,1.9302295446395874,199,,,
0,2.0613346099853516,249,,,
0,2.051340341567993,299,,,
0,,311,0.3569999933242798,1.993900179862976,
0,,311,,,0.39959999918937683
1,1.9208850860595703,349,,,
1,1.7902765274047852,399,,,
1,1.882456660270691,449,,,
1,1.742668628692627,499,,,
1,2.0025384426116943,549,,,
1,1.5852690935134888,599,,,
1,,623,0.3912999927997589,1.7706819772720337,
1,,623,,,0.4277999997138977
2,1.749234676361084,649,,,
2,1.6811518669128418,699,,,
2,1.9823567867279053,749,,,
2,1.3986026048660278,799,,,
2,1.237109899520874,849,,,
2,1.4947079420089722,899,,,
2,,935,0.4496000111103058,1.6187093257904053,
2,,935,,,0.48890000581741333
3,1.4424316883087158,949,,,
3,2.014213800430298,999,,,
3,1.7372727394104004,1049,,,
3,1.9169607162475586,1099,,,
3,1.234379529953003,1149,,,
3,1.690140962600708,1199,,,
3,,1247,0.4408000111579895,1.5810143947601318,
3,,1247,,,0.48399999737739563
4,1.6909945011138916,1249,,,
4,1.5787971019744873,1299,,,
4,1.3104667663574219,1349,,,
4,1.170738697052002,1399,,,
4,1.3455181121826172,1449,,,
4,1.5417370796203613,1499,,,
4,0.9079034328460693,1549,,,
4,,1559,0.49219998717308044,1.4688720703125,
4,,1559,,,0.546999990940094
5,1.029254674911499,1599,,,
5,1.1605541706085205,1649,,,
5,1.1688807010650635,1699,,,
5,1.6154612302780151,1749,,,
5,1.0063034296035767,1799,,,
5,1.1743576526641846,1849,,,
5,,1871,0.5203999876976013,1.404720425605774,
5,,1871,,,0.5845000147819519
6,1.4905208349227905,1899,,,
6,1.4667454957962036,1949,,,
6,1.4945423603057861,1999,,,
6,0.8464565873146057,2049,,,
6,1.3867464065551758,2099,,,
6,1.2125523090362549,2149,,,
6,,2183,0.527999997138977,1.4141016006469727,
6,,2183,,,0.5910999774932861
7,1.0373530387878418,2199,,,
7,1.552756667137146,2249,,,
7,1.5375583171844482,2299,,,
7,1.2113990783691406,2349,,,
7,1.333698034286499,2399,,,
7,1.0694069862365723,2449,,,
7,,2495,0.557699978351593,1.350258231163025,
7,,2495,,,0.6245999932289124
8,1.0635249614715576,2499,,,
8,1.2737888097763062,2549,,,
8,1.328805685043335,2599,,,
8,1.2017509937286377,2649,,,
8,0.8326124548912048,2699,,,
8,0.747573733329773,2749,,,
8,0.5152994394302368,2799,,,
8,,2807,0.5763000249862671,1.30172598361969,
8,,2807,,,0.6516000032424927
9,0.839667797088623,2849,,,
9,0.7742764949798584,2899,,,
9,1.303912878036499,2949,,,
9,0.3448218107223511,2999,,,
9,1.0310685634613037,3049,,,
9,1.3709818124771118,3099,,,
9,,3119,0.6104000210762024,1.2295794486999512,
9,,3119,,,0.6980000138282776
10,0.2863335609436035,3149,,,
10,0.7419089078903198,3199,,,
10,0.472064733505249,3249,,,
10,0.4552546739578247,3299,,,
10,1.021978497505188,3349,,,
10,0.8260287046432495,3399,,,
10,,3431,0.6079999804496765,1.2491264343261719,
10,,3431,,,0.6854000091552734
11,1.2734452486038208,3449,,,
11,0.2808704376220703,3499,,,
11,0.15616750717163086,3549,,,
11,1.3949674367904663,3599,,,
11,-0.5334650278091431,3649,,,
11,0.38200247287750244,3699,,,
11,,3743,0.590499997138977,1.3288021087646484,
11,,3743,,,0.6570000052452087
12,0.1786290407180786,3749,,,
12,0.1892259120941162,3799,,,
12,1.2449514865875244,3849,,,
12,0.8832601308822632,3899,,,
12,0.8957837820053101,3949,,,
12,0.3020397424697876,3999,,,
12,1.0102384090423584,4049,,,
12,,4055,0.6255999803543091,1.2339324951171875,
12,,4055,,,0.7102000117301941
13,1.1226158142089844,4099,,,
13,0.8128347396850586,4149,,,
13,1.2920219898223877,4199,,,
13,1.3131945133209229,4249,,,
13,0.4344898462295532,4299,,,
13,0.9544503688812256,4349,,,
13,,4367,0.6444000005722046,1.2099322080612183,
13,,4367,,,0.7282999753952026
14,-0.809194803237915,4399,,,
14,-0.7365680932998657,4449,,,
14,0.38143956661224365,4499,,,
14,-0.6004999876022339,4549,,,
14,-0.3046383857727051,4599,,,
14,-0.2915123701095581,4649,,,
14,,4679,0.6577000021934509,1.2142752408981323,
14,,4679,,,0.7402999997138977
15,-0.29068028926849365,4699,,,
15,1.2557108402252197,4749,,,
15,0.8540350198745728,4799,,,
15,0.5366842746734619,4849,,,
15,0.9677759408950806,4899,,,
15,1.0440938472747803,4949,,,
15,,4991,0.6539999842643738,1.197499394416809,
15,,4991,,,0.7422000169754028
16,-1.134257435798645,4999,,,
16,0.07320690155029297,5049,,,
16,1.2548779249191284,5099,,,
16,-0.6818206310272217,5149,,,
16,1.1624627113342285,5199,,,
16,0.806793212890625,5249,,,
16,0.3699687719345093,5299,,,
16,,5303,0.6646000146865845,1.1670643091201782,
16,,5303,,,0.7594000101089478
17,0.822941780090332,5349,,,
17,0.9125672578811646,5399,,,
17,1.019423007965088,5449,,,
17,-1.406348466873169,5499,,,
17,0.9639506340026855,5549,,,
17,0.1619645357131958,5599,,,
17,,5615,0.6560999751091003,1.216825008392334,
17,,5615,,,0.7483999729156494
18,0.24782299995422363,5649,,,
18,-0.7558270692825317,5699,,,
18,0.6989182233810425,5749,,,
18,-0.28927814960479736,5799,,,
18,-0.08930671215057373,5849,,,
18,0.7360095977783203,5899,,,
18,,5927,0.6546000242233276,1.217164397239685,
18,,5927,,,0.73580002784729
19,1.0027378797531128,5949,,,
19,0.3185703754425049,5999,,,
19,0.8427106142044067,6049,,,
19,0.5618507862091064,6099,,,
19,0.4451647996902466,6149,,,
