train_loss,step,epoch,val_acc,val_loss,train_acc,test_acc,mix_match_loss
2.2259292602539062,49,0,,,,,
2.1536457538604736,99,0,,,,,
2.0494120121002197,149,0,,,,,
1.8398833274841309,199,0,,,,,
2.047224998474121,249,0,,,,,
1.9279299974441528,299,0,,,,,
,311,0,0.3174000084400177,1.9452409744262695,,,
,311,0,,,0.2552834451198578,0.40209999680519104,
1.8773046731948853,349,1,,,,,
1.9303423166275024,399,1,,,,,
2.06897234916687,449,1,,,,,
1.8114416599273682,499,1,,,,,
1.7672972679138184,549,1,,,,,
1.8119133710861206,599,1,,,,,
,623,1,0.3677999973297119,1.7926138639450073,,,
,623,1,,,0.3462289571762085,0.47450000047683716,
1.6736937761306763,649,2,,,,,
1.8182203769683838,699,2,,,,,
1.8718461990356445,749,2,,,,,
2.021908760070801,799,2,,,,,
1.6489297151565552,849,2,,,,,
1.8797025680541992,899,2,,,,,
,935,2,0.3937000036239624,1.771835207939148,,,
,935,2,,,0.38441506028175354,0.5067999958992004,
1.728618860244751,949,3,,,,,
1.7632126808166504,999,3,,,,,
1.7795360088348389,1049,3,,,,,
1.9251348972320557,1099,3,,,,,
1.640578269958496,1149,3,,,,,
1.7215901613235474,1199,3,,,,,
,1247,3,0.4307999908924103,1.7107298374176025,,,
,1247,3,,,0.41694211959838867,0.5497999787330627,
1.4583837985992432,1249,4,,,,,
1.8783879280090332,1299,4,,,,,
1.692929983139038,1349,4,,,,,
1.6920037269592285,1399,4,,,,,
1.6925053596496582,1449,4,,,,,
1.5642027854919434,1499,4,,,,,
1.5800079107284546,1549,4,,,,,
,1559,4,0.4404999911785126,1.6974724531173706,,,
,1559,4,,,0.43667367100715637,0.5823000073432922,
1.5595362186431885,1599,5,,,,,
1.8586419820785522,1649,5,,,,,
1.7780420780181885,1699,5,,,,,
1.7620104551315308,1749,5,,,,,
1.6425930261611938,1799,5,,,,,
1.6502948999404907,1849,5,,,,,
,1871,5,0.4754999876022339,1.6021816730499268,,,
,1871,5,,,0.4618389308452606,0.63919997215271,
1.4354530572891235,1899,6,,,,,
1.6046830415725708,1949,6,,,,,
1.616585373878479,1999,6,,,,,
1.4761701822280884,2049,6,,,,,
1.4730232954025269,2099,6,,,,,
1.4936145544052124,2149,6,,,,,
,2183,6,0.48399999737739563,1.5856200456619263,,,
,2183,6,,,0.4798928201198578,0.6585999727249146,
