train_loss,step,epoch,val_acc,val_loss,train_acc,test_acc
2.2012624740600586,49,0,,,,
1.90580415725708,99,0,,,,
2.0599632263183594,149,0,,,,
1.9498580694198608,199,0,,,,
1.945654273033142,249,0,,,,
1.9938523769378662,299,0,,,,
,311,0,0.35569998621940613,1.840530276298523,,
,311,0,,,0.27263620495796204,0.439300000667572
1.7283761501312256,349,1,,,,
1.826589584350586,399,1,,,,
1.7614141702651978,449,1,,,,
1.909940242767334,499,1,,,,
1.9015791416168213,549,1,,,,
1.7695587873458862,599,1,,,,
,623,1,0.38760000467300415,1.7744510173797607,,
,623,1,,,0.35980066657066345,0.510200023651123
1.600968599319458,649,2,,,,
1.8818423748016357,699,2,,,,
1.6998233795166016,749,2,,,,
1.8112764358520508,799,2,,,,
1.509446144104004,849,2,,,,
1.5680961608886719,899,2,,,,
,935,2,0.41760000586509705,1.7213369607925415,,
,935,2,,,0.4040214419364929,0.5462999939918518
1.8021641969680786,949,3,,,,
1.5726370811462402,999,3,,,,
1.746575117111206,1049,3,,,,
1.6774158477783203,1099,3,,,,
1.6938564777374268,1149,3,,,,
1.7488797903060913,1199,3,,,,
,1247,3,0.4480000138282776,1.6711915731430054,,
,1247,3,,,0.43043869733810425,0.5953999757766724
1.7473307847976685,1249,4,,,,
1.566053867340088,1299,4,,,,
1.7042142152786255,1349,4,,,,
1.5582566261291504,1399,4,,,,
1.6754096746444702,1449,4,,,,
1.8304017782211304,1499,4,,,,
1.5094375610351562,1549,4,,,,
,1559,4,0.4507000148296356,1.6593284606933594,,
,1559,4,,,0.4566306173801422,0.6186000108718872
1.523210883140564,1599,5,,,,
1.6563700437545776,1649,5,,,,
1.6027791500091553,1699,5,,,,
1.7221649885177612,1749,5,,,,
1.6036732196807861,1799,5,,,,
1.5844067335128784,1849,5,,,,
,1871,5,0.4542999863624573,1.673506498336792,,
,1871,5,,,0.4763121008872986,0.6087999939918518
1.6509099006652832,1899,6,,,,
1.4777171611785889,1949,6,,,,
1.5403486490249634,1999,6,,,,
1.6181044578552246,2049,6,,,,
1.5015678405761719,2099,6,,,,
1.4619669914245605,2149,6,,,,
,2183,6,0.4959999918937683,1.5731843709945679,,
,2183,6,,,0.49203726649284363,0.6743999719619751
1.5476701259613037,2199,7,,,,
1.5186376571655273,2249,7,,,,
1.4430768489837646,2299,7,,,,
1.5533041954040527,2349,7,,,,
1.530282974243164,2399,7,,,,
1.69559907913208,2449,7,,,,
,2495,7,0.4372999966144562,1.827073574066162,,
,2495,7,,,0.5097405910491943,0.569599986076355
1.5656107664108276,2499,8,,,,
1.576880931854248,2549,8,,,,
1.5661375522613525,2599,8,,,,
1.6777293682098389,2649,8,,,,
1.4944554567337036,2699,8,,,,
1.4638879299163818,2749,8,,,,
1.4916272163391113,2799,8,,,,
,2807,8,0.5128999948501587,1.5344918966293335,,
,2807,8,,,0.5143229365348816,0.7175999879837036
1.4879724979400635,2849,9,,,,
1.568610668182373,2899,9,,,,
1.5062175989151,2949,9,,,,
1.6133784055709839,2999,9,,,,
1.5480542182922363,3049,9,,,,
1.3957427740097046,3099,9,,,,
,3119,9,0.5152999758720398,1.5271836519241333,,
,3119,9,,,0.525315523147583,0.7243000268936157
1.3892065286636353,3149,10,,,,
1.6496081352233887,3199,10,,,,
1.4444164037704468,3249,10,,,,
1.4189846515655518,3299,10,,,,
1.5886021852493286,3349,10,,,,
1.4851465225219727,3399,10,,,,
,3431,10,0.5157999992370605,1.549691081047058,,
,3431,10,,,0.5334785580635071,0.7060999870300293
1.4409178495407104,3449,11,,,,
1.37278151512146,3499,11,,,,
1.183050513267517,3549,11,,,,
1.0839004516601562,3599,11,,,,
1.0080235004425049,3649,11,,,,
1.2975422143936157,3699,11,,,,
,3743,11,0.5163000226020813,1.3212138414382935,,
,3743,11,,,0.5338541865348816,0.7139999866485596
