step,epoch,train_loss,val_acc,val_loss,test_acc
49,0,3.233377456665039,,,
99,0,3.0391769409179688,,,
149,0,3.033609628677368,,,
199,0,2.805004119873047,,,
249,0,2.9520134925842285,,,
299,0,2.838542938232422,,,
349,0,2.8495242595672607,,,
389,0,,0.3594000041484833,1.8386980295181274,
389,0,,,,0.4620000123977661
399,1,2.778088331222534,,,
449,1,2.7513599395751953,,,
499,1,2.889068365097046,,,
549,1,2.6755025386810303,,,
599,1,2.8075668811798096,,,
649,1,2.8354127407073975,,,
699,1,2.687167167663574,,,
749,1,2.5702672004699707,,,
779,1,,0.39969998598098755,1.7479116916656494,
779,1,,,,0.5214999914169312
799,2,2.534532070159912,,,
849,2,2.6897077560424805,,,
899,2,2.531668186187744,,,
949,2,2.6694326400756836,,,
999,2,2.5438759326934814,,,
1049,2,2.527066230773926,,,
1099,2,2.591256856918335,,,
1149,2,2.638784408569336,,,
1169,2,,0.45159998536109924,1.642461895942688,
1169,2,,,,0.6075999736785889
1199,3,2.641993522644043,,,
1249,3,2.5905492305755615,,,
1299,3,2.578568696975708,,,
1349,3,2.391028642654419,,,
1399,3,2.53317928314209,,,
1449,3,2.634840965270996,,,
1499,3,2.3704757690429688,,,
1549,3,2.619565725326538,,,
1559,3,,0.46389999985694885,1.6150466203689575,
1559,3,,,,0.617900013923645
1599,4,2.5019912719726562,,,
1649,4,2.29020357131958,,,
1699,4,2.4395132064819336,,,
1749,4,2.556131362915039,,,
1799,4,2.413297414779663,,,
1849,4,2.5474257469177246,,,
1899,4,2.438145875930786,,,
1949,4,2.6166648864746094,,,
1949,4,,0.4936999976634979,1.5738860368728638,
1949,4,,,,0.6901000142097473
1999,5,2.460892915725708,,,
2049,5,2.3179211616516113,,,
2099,5,2.5622172355651855,,,
2149,5,2.457364082336426,,,
2199,5,2.3288636207580566,,,
2249,5,2.088367223739624,,,
2299,5,2.2663679122924805,,,
2339,5,,0.5054000020027161,1.5421078205108643,
2339,5,,,,0.6970999836921692
2349,6,2.2620294094085693,,,
2399,6,2.271512269973755,,,
2449,6,2.360868215560913,,,
2499,6,2.1775379180908203,,,
2549,6,2.4478511810302734,,,
2599,6,2.2202975749969482,,,
2649,6,2.248990058898926,,,
2699,6,2.31465482711792,,,
2729,6,,0.5148000121116638,1.5225327014923096,
2729,6,,,,0.7123000025749207
2749,7,2.3755369186401367,,,
2799,7,2.392482280731201,,,
2849,7,2.353966474533081,,,
2899,7,2.1725687980651855,,,
2949,7,2.4118902683258057,,,
2999,7,2.3487548828125,,,
3049,7,2.344733953475952,,,
3099,7,2.2357046604156494,,,
3119,7,,0.5264999866485596,1.496294379234314,
3119,7,,,,0.7408000230789185
3149,8,2.3458971977233887,,,
3199,8,2.237832546234131,,,
3249,8,2.2624075412750244,,,
3299,8,2.192368507385254,,,
3349,8,2.342312812805176,,,
3399,8,2.0619184970855713,,,
3449,8,1.9693739414215088,,,
3499,8,1.9933421611785889,,,
3509,8,,0.5315999984741211,1.4868959188461304,
3509,8,,,,0.7434999942779541
3549,9,2.100663185119629,,,
3599,9,2.2222654819488525,,,
3649,9,2.1848480701446533,,,
3699,9,2.1405367851257324,,,
3749,9,2.241485595703125,,,
3799,9,2.2976181507110596,,,
3849,9,2.3280982971191406,,,
3899,9,2.0766260623931885,,,
3899,9,,0.5379999876022339,1.479972243309021,
3899,9,,,,0.7613000273704529
3949,10,2.546079635620117,,,
3999,10,2.641770601272583,,,
4049,10,2.475348472595215,,,
4099,10,2.286886692047119,,,
4149,10,2.294724464416504,,,
4199,10,2.419764757156372,,,
4211,10,,,,0.794700026512146
4249,11,2.2685928344726562,,,
4299,11,2.3958163261413574,,,
4349,11,2.2370080947875977,,,
4399,11,2.1837339401245117,,,
4449,11,2.355759620666504,,,
4499,11,2.145496129989624,,,
4523,11,,0.5430999994277954,1.5369346141815186,
4523,11,,,,0.7878999710083008
4549,12,2.408947229385376,,,
4599,12,2.0765464305877686,,,
4649,12,2.006700038909912,,,
4699,12,2.175102949142456,,,
4749,12,2.42282772064209,,,
4799,12,2.135767936706543,,,
4835,12,,0.5539000034332275,1.5718740224838257,
4835,12,,,,0.8046000003814697
4849,13,2.0564942359924316,,,
4899,13,2.024374485015869,,,
4949,13,2.358654022216797,,,
4999,13,2.3585329055786133,,,
5049,13,2.228971242904663,,,
5099,13,2.1891448497772217,,,
5147,13,,0.5536999702453613,1.6226341724395752,
5147,13,,,,0.8120999932289124
5149,14,2.1144120693206787,,,
5199,14,2.1537647247314453,,,
5249,14,2.292320489883423,,,
5299,14,2.2945711612701416,,,
5349,14,1.9887245893478394,,,
5399,14,2.345919609069824,,,
5449,14,2.3717668056488037,,,
5459,14,,0.5579000115394592,1.6502832174301147,
5459,14,,,,0.8134999871253967
5499,15,2.328575611114502,,,
5549,15,2.259051561355591,,,
5599,15,2.318783760070801,,,
5649,15,2.255969524383545,,,
5699,15,2.1711323261260986,,,
5749,15,1.7041358947753906,,,
5771,15,,0.5565999746322632,1.6795990467071533,
5771,15,,,,0.8136000037193298
5799,16,2.1351265907287598,,,
5849,16,2.2651326656341553,,,
5899,16,2.3574070930480957,,,
5949,16,2.312469244003296,,,
5999,16,2.256406307220459,,,
6049,16,2.1333975791931152,,,
6083,16,,0.5608000159263611,1.6614378690719604,
6083,16,,,,0.8277999758720398
6099,17,2.234978675842285,,,
6149,17,2.097648859024048,,,
6199,17,2.2436141967773438,,,
6249,17,2.160305976867676,,,
6299,17,2.1438980102539062,,,
6349,17,2.3269662857055664,,,
6395,17,,0.5584999918937683,1.7201775312423706,
6395,17,,,,0.8388000130653381
6399,18,2.2365658283233643,,,
6449,18,1.3749417066574097,,,
6499,18,2.1764378547668457,,,
6549,18,2.3194239139556885,,,
6599,18,2.264285087585449,,,
6649,18,2.330547332763672,,,
6699,18,2.119048833847046,,,
6707,18,,0.5616999864578247,1.7011467218399048,
6707,18,,,,0.8378999829292297
6749,19,1.6853138208389282,,,
6799,19,2.2795369625091553,,,
6849,19,2.369931697845459,,,
6899,19,2.001067638397217,,,
6949,19,1.9702279567718506,,,
6999,19,1.6183788776397705,,,
7019,19,,0.5705999732017517,1.6842882633209229,
7019,19,,,,0.8428999781608582
7049,20,2.246729850769043,,,
7099,20,2.2247042655944824,,,
7149,20,2.1947789192199707,,,
7199,20,2.334050416946411,,,
7249,20,1.970529556274414,,,
7299,20,2.0901224613189697,,,
7331,20,,0.5654000043869019,1.7420560121536255,
7331,20,,,,0.8431000113487244
7349,21,1.9520320892333984,,,
7399,21,2.3502888679504395,,,
7449,21,2.3204221725463867,,,
7499,21,2.3963990211486816,,,
7549,21,2.420485258102417,,,
7599,21,2.347984790802002,,,
7643,21,,0.5669999718666077,1.7720609903335571,
7643,21,,,,0.8489999771118164
7649,22,2.3657188415527344,,,
7699,22,2.034742593765259,,,
7749,22,2.3511404991149902,,,
7799,22,2.314587116241455,,,
7849,22,2.489396333694458,,,
7899,22,1.9652663469314575,,,
7949,22,2.0635368824005127,,,
7955,22,,0.5716999769210815,1.7607957124710083,
7955,22,,,,0.8564000129699707
7999,23,2.0756330490112305,,,
8049,23,2.384261131286621,,,
8099,23,1.9767670631408691,,,
8149,23,2.1468005180358887,,,
8199,23,2.4773898124694824,,,
8249,23,2.2177486419677734,,,
8267,23,,0.567799985408783,1.7832146883010864,
8267,23,,,,0.8528000116348267
8299,24,1.9658664464950562,,,
8349,24,2.171879291534424,,,
8399,24,2.3938636779785156,,,
8449,24,2.138148307800293,,,
8499,24,2.3764162063598633,,,
8549,24,2.4378464221954346,,,
8579,24,,0.5720999836921692,1.7668416500091553,
8579,24,,,,0.8597999811172485
8599,25,2.4312233924865723,,,
8649,25,2.291693687438965,,,
8699,25,1.925991177558899,,,
8749,25,2.267395496368408,,,
8799,25,1.8084807395935059,,,
8849,25,2.361819267272949,,,
8891,25,,0.5740000009536743,1.8248345851898193,
8891,25,,,,0.8661999702453613
8899,26,2.4340457916259766,,,
8949,26,2.063817024230957,,,
8999,26,2.3643712997436523,,,
9049,26,2.333872079849243,,,
9099,26,2.1277976036071777,,,
9149,26,2.0799102783203125,,,
9199,26,1.9764702320098877,,,
9203,26,,0.5745000243186951,1.7808761596679688,
9203,26,,,,0.871999979019165
9249,27,2.2588493824005127,,,
9299,27,2.333066463470459,,,
9349,27,2.2811481952667236,,,
9399,27,2.124317169189453,,,
9449,27,2.355299711227417,,,
9499,27,2.4163107872009277,,,
9515,27,,0.5746999979019165,1.7707445621490479,
9515,27,,,,0.866599977016449
9549,28,1.9976956844329834,,,
9599,28,1.991743803024292,,,
9649,28,2.01830792427063,,,
9699,28,2.2163541316986084,,,
9749,28,2.04101300239563,,,
9799,28,2.230107307434082,,,
9827,28,,0.5735999941825867,1.8441091775894165,
9827,28,,,,0.8676000237464905
9849,29,2.4574501514434814,,,
9899,29,2.3671436309814453,,,
9949,29,2.3847885131835938,,,
9999,29,1.8795088529586792,,,
10049,29,2.3255391120910645,,,
10099,29,2.0861430168151855,,,
10139,29,,0.5733000040054321,1.8104966878890991,
10139,29,,,,0.8623999953269958
10149,30,2.0783982276916504,,,
10199,30,2.215588331222534,,,
10249,30,2.0182437896728516,,,
10299,30,2.372629404067993,,,
10349,30,2.3652210235595703,,,
10399,30,2.1625936031341553,,,
10449,30,1.9345309734344482,,,
10451,30,,0.5777000188827515,1.775700569152832,
10451,30,,,,0.8733000159263611
10499,31,1.9048399925231934,,,
10549,31,2.166504144668579,,,
10599,31,2.1625545024871826,,,
10649,31,2.328678607940674,,,
10699,31,2.2730517387390137,,,
10749,31,2.3614025115966797,,,
10763,31,,0.5777999758720398,1.7556273937225342,
10763,31,,,,0.8790000081062317
10799,32,2.3636717796325684,,,
10849,32,1.9799563884735107,,,
10899,32,2.0334274768829346,,,
10949,32,2.324951410293579,,,
10999,32,2.4091427326202393,,,
11049,32,2.142883777618408,,,
11075,32,,0.5777999758720398,1.7966498136520386,
11075,32,,,,0.8808000087738037
11099,33,2.172631025314331,,,
11149,33,2.0302324295043945,,,
11199,33,2.213862419128418,,,
11249,33,2.3443665504455566,,,
11299,33,2.2905426025390625,,,
11349,33,1.9964494705200195,,,
11387,33,,0.5800999999046326,1.7387199401855469,
11387,33,,,,0.8816999793052673
11399,34,2.341810703277588,,,
11449,34,2.359179735183716,,,
11499,34,2.1963019371032715,,,
11549,34,2.2633559703826904,,,
11599,34,1.772363543510437,,,
11649,34,1.978121280670166,,,
11699,34,2.1746068000793457,,,
11699,34,,0.5778999924659729,1.81644606590271,
11699,34,,,,0.8743000030517578
11749,35,2.1007535457611084,,,
11799,35,2.0541179180145264,,,
11849,35,2.223998546600342,,,
11899,35,1.877950668334961,,,
11949,35,2.0499267578125,,,
11999,35,2.2711496353149414,,,
12011,35,,0.5805000066757202,1.7990310192108154,
12011,35,,,,0.8870000243186951
12049,36,2.294311761856079,,,
12099,36,2.279381275177002,,,
12149,36,2.271131992340088,,,
12199,36,2.3036978244781494,,,
12249,36,1.8359663486480713,,,
12299,36,2.2226881980895996,,,
12323,36,,0.5800999999046326,1.801029920578003,
12323,36,,,,0.8784000277519226
12349,37,2.2434253692626953,,,
12399,37,1.6497290134429932,,,
12449,37,1.8266313076019287,,,
12499,37,2.2243080139160156,,,
12549,37,2.2863950729370117,,,
12599,37,2.052232265472412,,,
12635,37,,0.5819000005722046,1.7834964990615845,
12635,37,,,,0.890999972820282
12649,38,2.2571425437927246,,,
12699,38,2.184082508087158,,,
12749,38,2.145007610321045,,,
12799,38,2.0293197631835938,,,
12849,38,2.0128095149993896,,,
12899,38,2.052257537841797,,,
12947,38,,0.5827999711036682,1.7609224319458008,
12947,38,,,,0.8877999782562256
12949,39,2.2530298233032227,,,
12999,39,2.183964729309082,,,
13049,39,1.6228649616241455,,,
13099,39,2.1007285118103027,,,
13149,39,2.2263150215148926,,,
13199,39,1.7823734283447266,,,
13249,39,2.1528115272521973,,,
13259,39,,0.5817999839782715,1.7943133115768433,
13259,39,,,,0.8851000070571899
13299,40,1.8509860038757324,,,
13349,40,1.9924609661102295,,,
13399,40,2.170490026473999,,,
13449,40,2.135678768157959,,,
13499,40,1.9930102825164795,,,
13549,40,2.1622729301452637,,,
13571,40,,0.5817999839782715,1.802201747894287,
13571,40,,,,0.8873999714851379
13599,41,2.008213520050049,,,
13649,41,2.179987668991089,,,
13699,41,2.315610408782959,,,
13749,41,1.9874117374420166,,,
13799,41,2.0707175731658936,,,
13849,41,2.2600624561309814,,,
13883,41,,0.5825999975204468,1.7780201435089111,
13883,41,,,,0.8876000046730042
13899,42,1.9536046981811523,,,
13949,42,2.072981357574463,,,
13999,42,2.2247977256774902,,,
14049,42,2.0370805263519287,,,
14099,42,1.3483028411865234,,,
14149,42,2.0963258743286133,,,
14195,42,,0.5823000073432922,1.7727843523025513,
14195,42,,,,0.8944000005722046
14199,43,2.29710054397583,,,
14249,43,1.8752728700637817,,,
14299,43,1.8650920391082764,,,
14349,43,2.0112390518188477,,,
14399,43,2.2457566261291504,,,
14449,43,2.193485975265503,,,
14499,43,1.850459098815918,,,
14507,43,,0.5857999920845032,1.797300934791565,
14507,43,,,,0.88919997215271
14549,44,2.1038718223571777,,,
14599,44,2.1897952556610107,,,
14649,44,1.9828790426254272,,,
14699,44,2.1885480880737305,,,
14749,44,2.035569906234741,,,
14799,44,1.8763552904129028,,,
14819,44,,0.5874000191688538,1.7571847438812256,
14819,44,,,,0.897599995136261
14849,45,2.2021734714508057,,,
14899,45,2.1320462226867676,,,
14949,45,1.925806999206543,,,
14999,45,2.1055901050567627,,,
15049,45,1.4938323497772217,,,
15099,45,1.9295122623443604,,,
15131,45,,0.5841000080108643,1.807034969329834,
15131,45,,,,0.8978000283241272
15149,46,1.5932685136795044,,,
15199,46,2.1834158897399902,,,
15249,46,1.6236621141433716,,,
15299,46,2.0265040397644043,,,
15349,46,1.877265453338623,,,
15399,46,2.144911766052246,,,
15443,46,,0.5859000086784363,1.77783203125,
15443,46,,,,0.8907999992370605
15449,47,1.9766647815704346,,,
15499,47,1.9181854724884033,,,
15549,47,1.9662752151489258,,,
15599,47,2.119088649749756,,,
15649,47,2.22122859954834,,,
15699,47,2.207622528076172,,,
15749,47,1.8181854486465454,,,
15755,47,,0.5835000276565552,1.7630666494369507,
15755,47,,,,0.8917999863624573
15799,48,2.0035252571105957,,,
15849,48,2.031248092651367,,,
15899,48,2.04532790184021,,,
15949,48,1.7991244792938232,,,
15999,48,2.0787289142608643,,,
16049,48,2.0327682495117188,,,
16067,48,,0.5839999914169312,1.7869765758514404,
16067,48,,,,0.894599974155426
16099,49,2.0253922939300537,,,
16149,49,2.1604623794555664,,,
16199,49,2.046621322631836,,,
16249,49,2.099818229675293,,,
16299,49,2.0468688011169434,,,
16349,49,1.8247952461242676,,,
16379,49,,0.5813999772071838,1.7800449132919312,
16379,49,,,,0.8950999975204468
16399,50,2.188183069229126,,,
16449,50,2.195955276489258,,,
16499,50,2.1848673820495605,,,
16549,50,2.0414955615997314,,,
16599,50,2.163367509841919,,,
16649,50,2.1398377418518066,,,
16691,50,,0.582099974155426,1.7707700729370117,
16691,50,,,,0.8920999765396118
16699,51,2.1137807369232178,,,
16749,51,2.095837116241455,,,
16799,51,1.9564096927642822,,,
16849,51,2.1104354858398438,,,
16899,51,2.2181382179260254,,,
16949,51,1.545851469039917,,,
16999,51,1.7161442041397095,,,
17003,51,,0.5856999754905701,1.7685742378234863,
17003,51,,,,0.8937000036239624
17049,52,2.120539426803589,,,
17099,52,2.0263876914978027,,,
17149,52,2.0310845375061035,,,
17199,52,1.6566722393035889,,,
17249,52,1.5660358667373657,,,
17299,52,1.8754699230194092,,,
17315,52,,0.5825999975204468,1.780704140663147,
17315,52,,,,0.8909000158309937
17349,53,2.06050968170166,,,
17399,53,1.9557325839996338,,,
17449,53,2.016488552093506,,,
17499,53,1.5504759550094604,,,
17549,53,1.8435492515563965,,,
17599,53,2.1108412742614746,,,
17627,53,,0.5878999829292297,1.7620642185211182,
17627,53,,,,0.8968999981880188
17649,54,1.3972474336624146,,,
17699,54,2.2848994731903076,,,
17749,54,1.795812726020813,,,
17799,54,1.87834894657135,,,
17849,54,2.0344696044921875,,,
17899,54,2.0240535736083984,,,
17939,54,,0.5835999846458435,1.787660002708435,
17939,54,,,,0.8912000060081482
17949,55,1.6833922863006592,,,
17999,55,1.9959301948547363,,,
18049,55,1.9176275730133057,,,
18099,55,2.0456647872924805,,,
18149,55,2.159477710723877,,,
18199,55,2.0951476097106934,,,
18249,55,2.0510711669921875,,,
18251,55,,0.5863999724388123,1.8097189664840698,
18251,55,,,,0.8999999761581421
18299,56,2.0945074558258057,,,
18349,56,2.153899669647217,,,
18399,56,1.6625428199768066,,,
18449,56,2.0442988872528076,,,
18499,56,2.082756519317627,,,
18549,56,2.05591082572937,,,
18563,56,,0.5824999809265137,1.7884109020233154,
18563,56,,,,0.8955000042915344
18599,57,1.6463611125946045,,,
18649,57,1.977178692817688,,,
18699,57,2.081655263900757,,,
18749,57,1.7421144247055054,,,
18799,57,1.5977774858474731,,,
18849,57,1.7752476930618286,,,
18875,57,,0.5838000178337097,1.8098584413528442,
18875,57,,,,0.8934000134468079
