epoch,train_loss,step,val_acc,val_loss,test_acc,train_acc
0,2.0950353145599365,49,,,,
0,2.024120330810547,99,,,,
0,2.0330920219421387,149,,,,
0,2.037597417831421,199,,,,
0,1.9453518390655518,249,,,,
0,2.0212624073028564,299,,,,
0,,311,0.334199994802475,1.9490158557891846,,
0,,311,,,0.4180999994277954,0.2741636633872986
1,2.002567768096924,349,,,,
1,1.942638874053955,399,,,,
1,1.8818272352218628,449,,,,
1,1.8648185729980469,499,,,,
1,1.970245599746704,549,,,,
1,1.810330867767334,599,,,,
1,,623,0.41110000014305115,1.7982802391052246,,
1,,623,,,0.5209000110626221,0.36127805709838867
2,2.003868818283081,649,,,,
2,1.825338363647461,699,,,,
2,1.843561053276062,749,,,,
2,1.8424913883209229,799,,,,
2,1.9887402057647705,849,,,,
2,1.8021563291549683,899,,,,
2,,935,0.4009000062942505,1.8276275396347046,,
2,,935,,,0.5004000067710876,0.39943909645080566
3,1.6982823610305786,949,,,,
3,1.7578212022781372,999,,,,
3,1.698770523071289,1049,,,,
3,1.8054925203323364,1099,,,,
3,1.840932846069336,1149,,,,
3,1.8491774797439575,1199,,,,
3,,1247,0.4302000105381012,1.7562203407287598,,
3,,1247,,,0.5690000057220459,0.43447014689445496
4,1.7053837776184082,1249,,,,
4,1.6733107566833496,1299,,,,
4,1.5956507921218872,1349,,,,
4,1.707730770111084,1399,,,,
4,1.6479896306991577,1449,,,,
4,1.800201416015625,1499,,,,
4,1.7564382553100586,1549,,,,
4,,1559,0.45969998836517334,1.7110246419906616,,
4,,1559,,,0.6172000169754028,0.45750701427459717
5,1.7327849864959717,1599,,,,
5,1.6183476448059082,1649,,,,
5,1.5824135541915894,1699,,,,
5,1.5299254655838013,1749,,,,
5,1.668180227279663,1799,,,,
5,1.8514996767044067,1849,,,,
5,,1871,0.4702000021934509,1.684490442276001,,
5,,1871,,,0.6175000071525574,0.4794921875
6,1.6282516717910767,1899,,,,
6,1.5647677183151245,1949,,,,
6,1.649079442024231,1999,,,,
6,1.7758973836898804,2049,,,,
6,1.470521330833435,2099,,,,
6,1.7054983377456665,2149,,,,
6,,2183,0.4878000020980835,1.6414225101470947,,
6,,2183,,,0.6740999817848206,0.4932391941547394
7,1.5299025774002075,2199,,,,
7,1.6043856143951416,2249,,,,
7,1.5582280158996582,2299,,,,
7,1.4990904331207275,2349,,,,
7,1.6304247379302979,2399,,,,
7,1.6890690326690674,2449,,,,
7,,2495,0.5011000037193298,1.6040263175964355,,
7,,2495,,,0.7064999938011169,0.5066606402397156
8,1.4991064071655273,2499,,,,
8,1.578608512878418,2549,,,,
8,1.5608934164047241,2599,,,,
8,1.6848986148834229,2649,,,,
8,1.6468650102615356,2699,,,,
8,1.6314959526062012,2749,,,,
8,1.6495193243026733,2799,,,,
8,,2807,0.492900013923645,1.621869683265686,,
8,,2807,,,0.6694999933242798,0.518479585647583
9,1.5983667373657227,2849,,,,
9,1.6350533962249756,2899,,,,
9,1.5617526769638062,2949,,,,
9,1.553635835647583,2999,,,,
9,1.479792594909668,3049,,,,
9,1.7026346921920776,3099,,,,
9,,3119,0.5260000228881836,1.5524311065673828,,
9,,3119,,,0.7348999977111816,0.5247145295143127
10,1.5675487518310547,3149,,,,
10,1.5637991428375244,3199,,,,
10,1.503358006477356,3249,,,,
10,1.3583582639694214,3299,,,,
10,1.439437747001648,3349,,,,
10,1.4228323698043823,3399,,,,
10,,3431,0.5152999758720398,1.5660918951034546,,
10,,3431,,,0.7354999780654907,0.5323768258094788
11,1.4769694805145264,3449,,,,
11,1.4241018295288086,3499,,,,
11,1.6865479946136475,3549,,,,
11,1.5255683660507202,3599,,,,
11,1.5164573192596436,3649,,,,
11,1.649462103843689,3699,,,,
11,,3743,0.5054000020027161,1.5790011882781982,,
11,,3743,,,0.7210999727249146,0.5427934527397156
