step,epoch,train_loss,val_acc,val_loss,test_acc,train_acc
49,0,4.192930698394775,,,,
99,0,3.7362868785858154,,,,
149,0,3.7621517181396484,,,,
199,0,3.563927173614502,,,,
249,0,3.214442253112793,,,,
299,0,3.1782164573669434,,,,
311,0,,0.33649998903274536,13.491969108581543,,
311,0,,,,0.3606606125831604,0.21955128014087677
349,1,3.333256721496582,,,,
399,1,3.1875617504119873,,,,
449,1,3.057478189468384,,,,
499,1,3.050619602203369,,,,
549,1,2.821316957473755,,,,
599,1,3.505410671234131,,,,
623,1,,0.24719999730587006,473.89599609375,,
623,1,,,,0.336530864238739,0.3333834111690521
649,2,3.1358041763305664,,,,
699,2,3.7448906898498535,,,,
749,2,3.5135598182678223,,,,
799,2,4.1280670166015625,,,,
849,2,3.751830577850342,,,,
899,2,3.417332172393799,,,,
935,2,,0.2433999925851822,3.2581703662872314,,
935,2,,,,0.2701740562915802,0.24949920177459717
949,3,3.92006254196167,,,,
999,3,3.409113883972168,,,,
1049,3,3.565732479095459,,,,
1099,3,3.5489423274993896,,,,
1149,3,3.291088104248047,,,,
1199,3,3.2482705116271973,,,,
1247,3,,0.28189998865127563,1.927793025970459,,
1247,3,,,,0.32337817549705505,0.25718650221824646
1249,4,3.249422073364258,,,,
1299,4,3.65151309967041,,,,
1349,4,3.3964197635650635,,,,
1399,4,3.0802268981933594,,,,
1449,4,3.168449878692627,,,,
1499,4,2.768352746963501,,,,
1549,4,3.2055001258850098,,,,
1559,4,,0.3986999988555908,1.6869068145751953,,
1559,4,,,,0.413469135761261,0.3396434187889099
1599,5,2.8066859245300293,,,,
1649,5,3.1958000659942627,,,,
1699,5,2.779738664627075,,,,
1749,5,2.6201729774475098,,,,
1799,5,2.7815663814544678,,,,
1849,5,2.906160831451416,,,,
1871,5,,0.39559999108314514,1.6738470792770386,,
1871,5,,,,0.4595530033111572,0.40061599016189575
1899,6,2.9899325370788574,,,,
1949,6,2.7360763549804688,,,,
1999,6,2.9122700691223145,,,,
2049,6,2.503756046295166,,,,
2099,6,2.4870693683624268,,,,
2149,6,2.8362865447998047,,,,
2183,6,,0.45899999141693115,1.5469787120819092,,
2183,6,,,,0.4808148741722107,0.44338440895080566
2199,7,2.4000840187072754,,,,
2249,7,2.687678813934326,,,,
2299,7,2.302826404571533,,,,
2349,7,2.2518677711486816,,,,
2399,7,2.730381965637207,,,,
2449,7,2.2414162158966064,,,,
2495,7,,0.5008999705314636,1.3838351964950562,,
2495,7,,,,0.5390625,0.4802183508872986
2499,8,2.496039390563965,,,,
2549,8,2.606928825378418,,,,
2599,8,2.2103514671325684,,,,
2649,8,2.1850690841674805,,,,
2699,8,2.2549335956573486,,,,
2749,8,2.395770788192749,,,,
2799,8,2.2749345302581787,,,,
2807,8,,0.4966999888420105,1.4486724138259888,,
2807,8,,,,0.569719135761261,0.5172776579856873
2849,9,2.010300874710083,,,,
2899,9,2.053006410598755,,,,
2949,9,2.1858091354370117,,,,
2999,9,1.9025938510894775,,,,
3049,9,1.8669015169143677,,,,
3099,9,2.07745099067688,,,,
3119,9,,0.5600000023841858,1.282030463218689,,
3119,9,,,,0.5901898741722107,0.5343299508094788
3149,10,2.440375328063965,,,,
3199,10,1.978659987449646,,,,
3249,10,2.0133824348449707,,,,
3299,10,1.9801427125930786,,,,
3349,10,2.017240047454834,,,,
3399,10,1.7632877826690674,,,,
3431,10,,0.567799985408783,1.3004913330078125,,
3431,10,,,,0.605320394039154,0.5584936141967773
3449,11,1.8573064804077148,,,,
3499,11,1.9672619104385376,,,,
3549,11,2.0282979011535645,,,,
3599,11,1.6848485469818115,,,,
3649,11,1.761528730392456,,,,
3699,11,1.589949369430542,,,,
3743,11,,0.6150000095367432,1.1718534231185913,,
3743,11,,,,0.6410205960273743,0.5767477750778198
3749,12,1.5434234142303467,,,,
3799,12,1.5556449890136719,,,,
3849,12,1.7422747611999512,,,,
3899,12,1.6651124954223633,,,,
3949,12,1.840978980064392,,,,
3999,12,1.8860914707183838,,,,
4049,12,1.5692009925842285,,,,
4055,12,,0.5709999799728394,1.3134043216705322,,
4055,12,,,,0.6488330960273743,0.5922225713729858
4099,13,1.4390628337860107,,,,
4149,13,1.692088007926941,,,,
4199,13,1.5873522758483887,,,,
4249,13,1.7838466167449951,,,,
4299,13,1.7051209211349487,,,,
4349,13,1.4900000095367432,,,,
4367,13,,0.6305000185966492,1.1523284912109375,,
4367,13,,,,0.651602029800415,0.6077975034713745
4399,14,1.4675555229187012,,,,
4449,14,1.6578197479248047,,,,
4499,14,1.5114697217941284,,,,
4549,14,1.7278075218200684,,,,
4599,14,1.2733999490737915,,,,
4649,14,1.7476933002471924,,,,
4679,14,,0.6039000153541565,1.2805389165878296,,
4679,14,,,,0.6595134735107422,0.615234375
4699,15,1.7232521772384644,,,,
4749,15,1.2911242246627808,,,,
4799,15,1.6061533689498901,,,,
4849,15,1.4980483055114746,,,,
4899,15,1.4383466243743896,,,,
4949,15,1.4912629127502441,,,,
4991,15,,0.640999972820282,1.175337553024292,,
4991,15,,,,0.6732594966888428,0.6233473420143127
4999,16,1.257090449333191,,,,
5049,16,1.1269423961639404,,,,
5099,16,1.3780999183654785,,,,
5149,16,1.5367119312286377,,,,
5199,16,1.3597979545593262,,,,
5249,16,1.4382569789886475,,,,
5299,16,1.2470083236694336,,,,
5303,16,,0.6011000275611877,1.3409422636032104,,
5303,16,,,,0.6643591523170471,0.6252003312110901
5349,17,1.3559417724609375,,,,
5399,17,1.362757682800293,,,,
5449,17,1.4984350204467773,,,,
5499,17,1.6523985862731934,,,,
5549,17,1.4745913743972778,,,,
5599,17,1.5060346126556396,,,,
5615,17,,0.6389999985694885,1.2040982246398926,,
5615,17,,,,0.6617879867553711,0.6343899965286255
5649,18,1.306309461593628,,,,
5699,18,1.0866994857788086,,,,
5749,18,1.4927358627319336,,,,
5799,18,1.082519292831421,,,,
5849,18,1.3798284530639648,,,,
5899,18,1.6990476846694946,,,,
5927,18,,0.6136999726295471,1.2989670038223267,,
5927,18,,,,0.6823576092720032,0.6393730044364929
5949,19,1.2649943828582764,,,,
5999,19,1.3137644529342651,,,,
6049,19,0.9903957843780518,,,,
6099,19,1.2408123016357422,,,,
6149,19,1.3495068550109863,,,,
6199,19,1.1237186193466187,,,,
6239,19,,0.6431000232696533,1.2657376527786255,,
6239,19,,,,0.6788963675498962,0.6435046195983887
6249,20,1.0977904796600342,,,,
6299,20,0.9184871912002563,,,,
6349,20,1.2318605184555054,,,,
6399,20,1.0006085634231567,,,,
6449,20,1.3334548473358154,,,,
6499,20,1.1580111980438232,,,,
6549,20,1.0827425718307495,,,,
6551,20,,0.6287000179290771,1.3529099225997925,,
6551,20,,,,0.6850277185440063,0.6451071500778198
6599,21,1.0858914852142334,,,,
6649,21,1.2235242128372192,,,,
6699,21,1.2396924495697021,,,,
