epoch,train_loss,step,val_loss,val_acc,test_acc,train_acc
0,2.3886067867279053,49,,,,
0,3.1894431114196777,99,,,,
0,2.4977664947509766,149,,,,
0,2.215186834335327,199,,,,
0,2.1483795642852783,249,,,,
0,2.1965343952178955,299,,,,
0,,312,2.0427262783050537,0.24009999632835388,,
0,,312,,,0.23842959105968475,0.15315000712871552
1,1.993674397468567,349,,,,
1,1.8614177703857422,399,,,,
1,1.8732075691223145,449,,,,
1,1.9139230251312256,499,,,,
1,1.8089370727539062,549,,,,
1,1.759352207183838,599,,,,
1,,625,1.8370542526245117,0.31150001287460327,,
1,,625,,,0.326246052980423,0.2619999945163727
2,1.9268535375595093,649,,,,
2,1.7677565813064575,699,,,,
2,1.8095500469207764,749,,,,
2,1.7205947637557983,799,,,,
2,1.5837041139602661,849,,,,
2,1.5581111907958984,899,,,,
2,,938,1.8149287700653076,0.33730000257492065,,
2,,938,,,0.3730221390724182,0.3423500061035156
3,1.57606840133667,949,,,,
3,1.6491155624389648,999,,,,
3,1.5009315013885498,1049,,,,
3,1.5971907377243042,1099,,,,
3,1.5267846584320068,1149,,,,
3,1.5540257692337036,1199,,,,
3,1.5774590969085693,1249,,,,
3,,1251,1.5237277746200562,0.44449999928474426,,
3,,1251,,,0.44966375827789307,0.39047500491142273
4,1.456278920173645,1299,,,,
4,1.665665626525879,1349,,,,
4,1.5840611457824707,1399,,,,
4,1.5684746503829956,1449,,,,
4,1.5547022819519043,1499,,,,
4,1.7084587812423706,1549,,,,
4,,1564,1.4894917011260986,0.4530999958515167,,
4,,1564,,,0.4645965099334717,0.43674999475479126
5,1.426870346069336,1599,,,,
5,1.3842967748641968,1649,,,,
5,1.4041495323181152,1699,,,,
5,1.430202603340149,1749,,,,
5,1.4821982383728027,1799,,,,
5,1.4794219732284546,1849,,,,
5,,1877,2.5930957794189453,0.3662000000476837,,
5,,1877,,,0.5068235993385315,0.48225000500679016
6,1.4174543619155884,1899,,,,
6,1.3329774141311646,1949,,,,
6,1.3255972862243652,1999,,,,
6,1.1407126188278198,2049,,,,
6,1.2413183450698853,2099,,,,
6,1.4740939140319824,2149,,,,
6,,2190,1.213348388671875,0.5619000196456909,,
6,,2190,,,0.5561708807945251,0.5235000252723694
7,1.1168016195297241,2199,,,,
7,1.3762376308441162,2249,,,,
7,1.3866322040557861,2299,,,,
7,1.2167158126831055,2349,,,,
7,1.2436223030090332,2399,,,,
7,1.1173584461212158,2449,,,,
7,1.1031895875930786,2499,,,,
7,,2503,1.2126171588897705,0.5870000123977661,,
7,,2503,,,0.5867286324501038,0.5633749961853027
8,1.069868564605713,2549,,,,
8,1.1855125427246094,2599,,,,
8,0.8972676992416382,2649,,,,
8,0.9774591326713562,2699,,,,
8,1.0890772342681885,2749,,,,
8,1.009656548500061,2799,,,,
8,,2816,1.1689153909683228,0.5796999931335449,,
8,,2816,,,0.6269778609275818,0.5867499709129333
9,1.0595002174377441,2849,,,,
9,1.1154625415802002,2899,,,,
9,0.9810543656349182,2949,,,,
9,0.9717375040054321,2999,,,,
9,1.1301063299179077,3049,,,,
9,1.1940029859542847,3099,,,,
9,,3129,1.1213141679763794,0.597000002861023,,
9,,3129,,,0.6205498576164246,0.6081249713897705
10,0.8532577753067017,3149,,,,
10,1.1190489530563354,3199,,,,
10,1.0327681303024292,3249,,,,
10,1.031186819076538,3299,,,,
10,1.0837650299072266,3349,,,,
10,1.160517930984497,3399,,,,
10,,3442,1.0608826875686646,0.6261000037193298,,
10,,3442,,,0.6447784900665283,0.6261249780654907
11,1.1818774938583374,3449,,,,
11,1.1803985834121704,3499,,,,
11,1.0289219617843628,3549,,,,
11,1.0101951360702515,3599,,,,
11,1.1238605976104736,3649,,,,
11,0.8764161467552185,3699,,,,
11,0.9329198002815247,3749,,,,
11,,3755,0.9916393756866455,0.6669999957084656,,
11,,3755,,,0.6633702516555786,0.6431000232696533
12,0.8554078936576843,3799,,,,
12,0.8308435082435608,3849,,,,
12,0.9300729632377625,3899,,,,
12,0.9208792448043823,3949,,,,
12,1.0305163860321045,3999,,,,
12,1.0908410549163818,4049,,,,
12,,4068,1.0899779796600342,0.6226999759674072,,
12,,4068,,,0.6510087251663208,0.6559000015258789
13,0.9358842968940735,4099,,,,
13,0.9940886497497559,4149,,,,
13,0.7789198160171509,4199,,,,
13,0.9345336556434631,4249,,,,
13,0.8345357179641724,4299,,,,
13,0.790611743927002,4349,,,,
13,,4381,1.0578794479370117,0.6425999999046326,,
13,,4381,,,0.6645569801330566,0.6631749868392944
14,0.8162705898284912,4399,,,,
14,0.9563965797424316,4449,,,,
14,0.6904533505439758,4499,,,,
14,0.9036562442779541,4549,,,,
14,0.8947169780731201,4599,,,,
14,0.702130138874054,4649,,,,
14,,4694,0.9973247051239014,0.6523000001907349,,
14,,4694,,,0.6844343543052673,0.6765999794006348
15,0.9901953339576721,4699,,,,
15,0.629402220249176,4749,,,,
15,0.7096678018569946,4799,,,,
15,0.902010440826416,4849,,,,
15,0.8793232440948486,4899,,,,
15,0.9050832986831665,4949,,,,
15,0.694121241569519,4999,,,,
15,,5007,0.9067352414131165,0.6873999834060669,,
15,,5007,,,0.6961036324501038,0.6850000023841858
16,0.6817532777786255,5049,,,,
16,0.8170655369758606,5099,,,,
16,0.8618028163909912,5149,,,,
16,0.7771092057228088,5199,,,,
16,0.8149658441543579,5249,,,,
16,0.8977473974227905,5299,,,,
16,,5320,0.9463607668876648,0.6740999817848206,,
16,,5320,,,0.6923457384109497,0.699774980545044
17,1.108842372894287,5349,,,,
17,0.6939152479171753,5399,,,,
17,0.6669107675552368,5449,,,,
17,0.7947458624839783,5499,,,,
17,0.8041622638702393,5549,,,,
17,0.9519231915473938,5599,,,,
17,,5633,0.8390485644340515,0.7110999822616577,,
17,,5633,,,0.7050039768218994,0.7011749744415283
18,0.7595164775848389,5649,,,,
18,0.8648514151573181,5699,,,,
18,0.6707134246826172,5749,,,,
18,0.6759783625602722,5799,,,,
18,0.6593618988990784,5849,,,,
18,0.7799012064933777,5899,,,,
18,,5946,0.7913194894790649,0.7293000221252441,,
18,,5946,,,0.7144976258277893,0.7114999890327454
19,0.7978330850601196,5949,,,,
19,0.7899607419967651,5999,,,,
19,0.7494878172874451,6049,,,,
19,0.6792613863945007,6099,,,,
19,0.7735615968704224,6149,,,,
19,0.7102592587471008,6199,,,,
19,0.665220320224762,6249,,,,
19,,6259,0.8917493224143982,0.6922000050544739,,
19,,6259,,,0.7311115264892578,0.7086499929428101
20,0.6153229475021362,6299,,,,
20,0.8175144791603088,6349,,,,
20,0.6338064074516296,6399,,,,
20,0.6660984754562378,6449,,,,
20,0.9044737219810486,6499,,,,
20,0.6356650590896606,6549,,,,
20,,6572,0.8857186436653137,0.7102000117301941,,
20,,6572,,,0.7257713675498962,0.7182750105857849
21,0.6816082000732422,6599,,,,
21,0.7719715237617493,6649,,,,
21,0.6240792274475098,6699,,,,
21,0.7786584496498108,6749,,,,
21,0.6883407235145569,6799,,,,
21,0.6134482622146606,6849,,,,
