step,epoch,train_loss,val_acc,test_acc,train_acc
49,0,nan,,,
99,0,nan,,,
149,0,nan,,,
199,0,nan,,,
249,0,nan,,,
299,0,nan,,,
312,0,,0.10140000283718109,,
312,0,,,0.1002769023180008,0.10419999808073044
349,1,nan,,,
399,1,nan,,,
449,1,nan,,,
499,1,nan,,,
549,1,nan,,,
599,1,nan,,,
625,1,,0.10140000283718109,,
625,1,,,0.1002769023180008,0.09965000301599503
649,2,nan,,,
699,2,nan,,,
749,2,nan,,,
799,2,nan,,,
849,2,nan,,,
899,2,nan,,,
938,2,,0.10140000283718109,,
938,2,,,0.1002769023180008,0.09965000301599503
949,3,nan,,,
999,3,nan,,,
1049,3,nan,,,
1099,3,nan,,,
1149,3,nan,,,
1199,3,nan,,,
1249,3,nan,,,
1251,3,,0.10140000283718109,,
1251,3,,,0.1002769023180008,0.09965000301599503
1299,4,nan,,,
1349,4,nan,,,
1399,4,nan,,,
1449,4,nan,,,
1499,4,nan,,,
1549,4,nan,,,
1564,4,,0.10140000283718109,,
1564,4,,,0.1002769023180008,0.09965000301599503
1599,5,nan,,,
1649,5,nan,,,
1699,5,nan,,,
1749,5,nan,,,
1799,5,nan,,,
1849,5,nan,,,
1877,5,,0.10140000283718109,,
1877,5,,,0.1002769023180008,0.09965000301599503
1899,6,nan,,,
1949,6,nan,,,
1999,6,nan,,,
2049,6,nan,,,
2099,6,nan,,,
2149,6,nan,,,
2190,6,,0.10140000283718109,,
2190,6,,,0.1002769023180008,0.09965000301599503
2199,7,nan,,,
2249,7,nan,,,
2299,7,nan,,,
2349,7,nan,,,
2399,7,nan,,,
2449,7,nan,,,
2499,7,nan,,,
2503,7,,0.10140000283718109,,
2503,7,,,0.1002769023180008,0.09965000301599503
2549,8,nan,,,
2599,8,nan,,,
2649,8,nan,,,
2699,8,nan,,,
2749,8,nan,,,
2799,8,nan,,,
2816,8,,0.10140000283718109,,
2816,8,,,0.1002769023180008,0.09965000301599503
2849,9,nan,,,
2899,9,nan,,,
2949,9,nan,,,
2999,9,nan,,,
3049,9,nan,,,
3099,9,nan,,,
3129,9,,0.10140000283718109,,
3129,9,,,0.1002769023180008,0.09965000301599503
3149,10,nan,,,
3199,10,nan,,,
3249,10,nan,,,
3299,10,nan,,,
3349,10,nan,,,
3399,10,nan,,,
3442,10,,0.10140000283718109,,
3442,10,,,0.1002769023180008,0.09965000301599503
3449,11,nan,,,
3499,11,nan,,,
3549,11,nan,,,
3599,11,nan,,,
3649,11,nan,,,
3699,11,nan,,,
3749,11,nan,,,
3755,11,,0.10140000283718109,,
3755,11,,,0.1002769023180008,0.09965000301599503
3799,12,nan,,,
3849,12,nan,,,
3899,12,nan,,,
3949,12,nan,,,
3999,12,nan,,,
4049,12,nan,,,
4068,12,,0.10140000283718109,,
4068,12,,,0.1002769023180008,0.09965000301599503
4099,13,nan,,,
4149,13,nan,,,
4199,13,nan,,,
4249,13,nan,,,
4299,13,nan,,,
4349,13,nan,,,
4381,13,,0.10140000283718109,,
4381,13,,,0.1002769023180008,0.09965000301599503
4399,14,nan,,,
4449,14,nan,,,
4499,14,nan,,,
4549,14,nan,,,
4599,14,nan,,,
4649,14,nan,,,
4694,14,,0.10140000283718109,,
4694,14,,,0.1002769023180008,0.09965000301599503
4699,15,nan,,,
4749,15,nan,,,
4799,15,nan,,,
4849,15,nan,,,
4899,15,nan,,,
4949,15,nan,,,
4999,15,nan,,,
