step,epoch,train_loss,val_loss,val_acc,train_acc,test_acc
49,0,2.6418569087982178,,,,
99,0,2.7911455631256104,,,,
149,0,2.575150966644287,,,,
199,0,2.249523639678955,,,,
249,0,2.090864419937134,,,,
299,0,2.077258825302124,,,,
312,0,,2.124405860900879,0.19370000064373016,,
312,0,,,,0.15594999492168427,0.18987341225147247
349,1,2.0272364616394043,,,,
399,1,1.950649619102478,,,,
449,1,1.9498354196548462,,,,
499,1,1.90884530544281,,,,
549,1,1.9217332601547241,,,,
599,1,1.7978079319000244,,,,
625,1,,1.8699198961257935,0.2937999963760376,,
625,1,,,,0.23970000445842743,0.3050830662250519
649,2,1.9238896369934082,,,,
699,2,1.7422616481781006,,,,
749,2,1.9164503812789917,,,,
799,2,1.7754706144332886,,,,
849,2,1.7505457401275635,,,,
899,2,1.8077232837677002,,,,
938,2,,1.7045785188674927,0.3637999892234802,,
938,2,,,,0.3241499960422516,0.3792523741722107
949,3,1.5652912855148315,,,,
999,3,1.7164008617401123,,,,
1049,3,1.5537973642349243,,,,
1099,3,1.6139379739761353,,,,
1149,3,1.4403061866760254,,,,
1199,3,1.51552152633667,,,,
1249,3,1.614084005355835,,,,
1251,3,,1.4827451705932617,0.4413999915122986,,
1251,3,,,,0.39272499084472656,0.4416534900665283
1299,4,1.6166237592697144,,,,
1349,4,1.4309552907943726,,,,
1399,4,1.3749747276306152,,,,
1449,4,1.5395219326019287,,,,
1499,4,1.5580346584320068,,,,
1549,4,1.3723857402801514,,,,
1564,4,,1.4831851720809937,0.46650001406669617,,
1564,4,,,,0.4468249976634979,0.4748813211917877
1599,5,1.549335241317749,,,,
1649,5,1.4428575038909912,,,,
1699,5,1.2914848327636719,,,,
1749,5,1.2722758054733276,,,,
1799,5,1.2835129499435425,,,,
1849,5,1.3287519216537476,,,,
1877,5,,1.2317661046981812,0.5694000124931335,,
1877,5,,,,0.5080000162124634,0.5640822649002075
1899,6,1.207719087600708,,,,
1949,6,1.3353389501571655,,,,
1999,6,1.2975430488586426,,,,
2049,6,1.1802501678466797,,,,
2099,6,1.324719786643982,,,,
2149,6,1.2898186445236206,,,,
2190,6,,1.1213034391403198,0.5985000133514404,,
2190,6,,,,0.5547999739646912,0.5870253443717957
2199,7,1.2398242950439453,,,,
2249,7,1.0722447633743286,,,,
2299,7,1.1265665292739868,,,,
2349,7,0.9712718725204468,,,,
2399,7,1.203093409538269,,,,
2449,7,1.2226057052612305,,,,
2499,7,1.1699166297912598,,,,
2503,7,,1.1035687923431396,0.6039000153541565,,
2503,7,,,,0.5884000062942505,0.6184731125831604
2549,8,0.9790126085281372,,,,
2599,8,0.8154416680335999,,,,
2649,8,1.0153610706329346,,,,
2699,8,1.2633018493652344,,,,
2749,8,1.1151869297027588,,,,
2799,8,1.1710381507873535,,,,
2816,8,,1.112130880355835,0.6108999848365784,,
2816,8,,,,0.614425003528595,0.6340981125831604
2849,9,1.0565637350082397,,,,
2899,9,1.0301586389541626,,,,
2949,9,1.0832606554031372,,,,
2999,9,1.0627031326293945,,,,
3049,9,1.1000574827194214,,,,
3099,9,0.9422468543052673,,,,
3129,9,,1.0718538761138916,0.6226000189781189,,
3129,9,,,,0.6370499730110168,0.6547666192054749
3149,10,1.0251632928848267,,,,
3199,10,0.8549876809120178,,,,
3249,10,1.0527280569076538,,,,
3299,10,1.1964246034622192,,,,
3349,10,0.8935360908508301,,,,
3399,10,0.8294454216957092,,,,
3442,10,,0.981444239616394,0.6571999788284302,,
3442,10,,,,0.6591500043869019,0.6713805198669434
3449,11,0.8246191143989563,,,,
3499,11,0.9723101854324341,,,,
3549,11,0.9389898180961609,,,,
3599,11,0.93706214427948,,,,
3649,11,0.9388616681098938,,,,
3699,11,0.9879100918769836,,,,
3749,11,1.0474580526351929,,,,
3755,11,,1.1085675954818726,0.6204000115394592,,
3755,11,,,,0.6732249855995178,0.6684137582778931
3799,12,1.0965052843093872,,,,
3849,12,0.8574044108390808,,,,
3899,12,0.9097498059272766,,,,
3949,12,0.8489157557487488,,,,
3999,12,0.8751165866851807,,,,
4049,12,0.8456025719642639,,,,
4068,12,,0.9749664068222046,0.6657999753952026,,
4068,12,,,,0.6815000176429749,0.6867088675498962
4099,13,0.9250064492225647,,,,
4149,13,1.0335044860839844,,,,
4199,13,0.9173516035079956,,,,
4249,13,0.9824172854423523,,,,
4299,13,0.9766369462013245,,,,
4349,13,0.9971933960914612,,,,
4381,13,,0.9647558331489563,0.6694999933242798,,
4381,13,,,,0.6937249898910522,0.6919501423835754
4399,14,0.808687686920166,,,,
4449,14,0.9681910276412964,,,,
4499,14,0.7500630617141724,,,,
4549,14,1.0659379959106445,,,,
4599,14,0.8302468657493591,,,,
4649,14,0.9901419878005981,,,,
4694,14,,0.9516308307647705,0.6769999861717224,,
4694,14,,,,0.7000250220298767,0.6934335231781006
4699,15,0.757902204990387,,,,
4749,15,0.8550524115562439,,,,
4799,15,1.0253856182098389,,,,
4849,15,0.8811349868774414,,,,
4899,15,0.9914868474006653,,,,
4949,15,0.941430926322937,,,,
4999,15,1.0313420295715332,,,,
5007,15,,0.9182122349739075,0.6865000128746033,,
5007,15,,,,0.7064250111579895,0.701344907283783
5049,16,0.7938218712806702,,,,
5099,16,0.7419835925102234,,,,
5149,16,0.822472095489502,,,,
5199,16,0.8543712496757507,,,,
5249,16,0.6352875232696533,,,,
5299,16,0.9758368134498596,,,,
5320,16,,0.9339181780815125,0.692300021648407,,
