epoch,train_loss,step,val_acc,val_loss,train_acc,test_acc
0,1.76649808883667,49,,,,
0,1.4746427536010742,99,,,,
0,1.5060603618621826,149,,,,
0,1.3085289001464844,199,,,,
0,1.2361469268798828,249,,,,
0,1.2332350015640259,299,,,,
0,,311,0.44780001044273376,1.6227338314056396,,
0,,311,,,0.3651091754436493,0.4578999876976013
1,0.7151753902435303,349,,,,
1,0.6669256687164307,399,,,,
1,0.6149165630340576,449,,,,
1,0.6281278133392334,499,,,,
1,0.42505109310150146,549,,,,
1,0.793620765209198,599,,,,
1,,623,0.6000999808311462,1.2151933908462524,,
1,,623,,,0.5281450152397156,0.6165000200271606
2,0.026927947998046875,649,,,,
2,-0.041054606437683105,699,,,,
2,-0.043143391609191895,749,,,,
2,-0.5019761323928833,799,,,,
2,-0.13778090476989746,849,,,,
2,-0.015425324440002441,899,,,,
2,,935,0.6414999961853027,1.2164411544799805,,
2,,935,,,0.6281550526618958,0.6700999736785889
3,-0.5002902746200562,949,,,,
3,-0.9022507071495056,999,,,,
3,-1.0370920896530151,1049,,,,
3,-1.1689246892929077,1099,,,,
3,-0.8402817249298096,1149,,,,
3,-0.8480420112609863,1199,,,,
3,,1247,0.699999988079071,1.0126631259918213,,
3,,1247,,,0.6860977411270142,0.7437999844551086
4,-1.4329679012298584,1249,,,,
4,-1.27485990524292,1299,,,,
4,-1.7915687561035156,1349,,,,
4,-1.8632984161376953,1399,,,,
4,-1.2309331893920898,1449,,,,
4,-1.5057717561721802,1499,,,,
4,-1.3605058193206787,1549,,,,
4,,1559,0.6970999836921692,1.1071401834487915,,
4,,1559,,,0.7186247706413269,0.7376999855041504
5,-1.6730763912200928,1599,,,,
5,-2.0536131858825684,1649,,,,
5,-1.956678032875061,1699,,,,
5,-2.541031837463379,1749,,,,
5,-2.2429261207580566,1799,,,,
5,-2.1585168838500977,1849,,,,
5,,1871,0.7476000189781189,0.9514136910438538,,
5,,1871,,,0.7501752972602844,0.7973999977111816
6,-3.452023983001709,1899,,,,
6,-3.011516809463501,1949,,,,
6,-2.99371600151062,1999,,,,
6,-3.3233513832092285,2049,,,,
6,-2.7831006050109863,2099,,,,
6,-3.3893215656280518,2149,,,,
6,,2183,0.7688999772071838,0.9667525291442871,,
6,,2183,,,0.7741636633872986,0.8065999746322632
7,-3.8933706283569336,2199,,,,
7,-3.7698798179626465,2249,,,,
7,-4.032408714294434,2299,,,,
7,-4.177680015563965,2349,,,,
7,-3.8333592414855957,2399,,,,
7,-3.528170585632324,2449,,,,
7,,2495,0.7786999940872192,0.9805758595466614,,
7,,2495,,,0.7924679517745972,0.8203999996185303
8,-4.512150764465332,2499,,,,
8,-4.839170455932617,2549,,,,
8,-4.709109783172607,2599,,,,
8,-4.313827991485596,2649,,,,
8,-4.785493850708008,2699,,,,
8,-4.542690277099609,2749,,,,
8,-4.699385643005371,2799,,,,
8,,2807,0.7918000221252441,0.9371474385261536,,
8,,2807,,,0.8093199133872986,0.8424999713897705
9,-5.383485317230225,2849,,,,
9,-5.30086088180542,2899,,,,
9,-5.566051959991455,2949,,,,
9,-4.976444244384766,2999,,,,
9,-5.435391426086426,3049,,,,
9,-5.256236553192139,3099,,,,
9,,3119,0.8065999746322632,0.9278995990753174,,
