train_loss,step,epoch,val_acc,val_loss,train_acc,test_acc
1.7813199758529663,49,0,,,,
1.5325019359588623,99,0,,,,
1.7737934589385986,149,0,,,,
1.584185242652893,199,0,,,,
1.5376231670379639,249,0,,,,
1.4132155179977417,299,0,,,,
,311,0,0.47040000557899475,1.5012798309326172,,
,311,0,,,0.3761768937110901,0.486299991607666
1.379568338394165,349,1,,,,
1.315812110900879,399,1,,,,
1.3459991216659546,449,1,,,,
1.321744441986084,499,1,,,,
1.1404609680175781,549,1,,,,
1.1775450706481934,599,1,,,,
,623,1,0.5995000004768372,1.173431158065796,,
,623,1,,,0.5432692170143127,0.6190999746322632
0.9856507182121277,649,2,,,,
1.3172924518585205,699,2,,,,
1.0863133668899536,749,2,,,,
1.1732871532440186,799,2,,,,
0.9684261679649353,849,2,,,,
0.9902865290641785,899,2,,,,
,935,2,0.6644999980926514,1.011507272720337,,
,935,2,,,0.6421023607254028,0.6988999843597412
1.0672796964645386,949,3,,,,
1.0299865007400513,999,3,,,,
1.0747443437576294,1049,3,,,,
0.8225158452987671,1099,3,,,,
0.9576084613800049,1149,3,,,,
0.7855921387672424,1199,3,,,,
,1247,3,0.6291000247001648,1.2060191631317139,,
,1247,3,,,0.6940605044364929,0.6593000292778015
0.7967257499694824,1249,4,,,,
0.6971786022186279,1299,4,,,,
0.7799707651138306,1349,4,,,,
0.9676039814949036,1399,4,,,,
0.8679768443107605,1449,4,,,,
0.9550859332084656,1499,4,,,,
0.667950451374054,1549,4,,,,
,1559,4,0.722599983215332,0.8793299794197083,,
,1559,4,,,0.7306941151618958,0.7595000267028809
0.646164059638977,1599,5,,,,
0.8694628477096558,1649,5,,,,
0.5329676270484924,1699,5,,,,
0.6900111436843872,1749,5,,,,
0.7716275453567505,1799,5,,,,
0.8925597667694092,1849,5,,,,
,1871,5,0.7445999979972839,0.8327803611755371,,
,1871,5,,,0.7518278956413269,0.7781000137329102
0.7895454168319702,1899,6,,,,
0.7825623154640198,1949,6,,,,
0.6406165957450867,1999,6,,,,
0.6547231674194336,2049,6,,,,
0.7506591081619263,2099,6,,,,
0.7005385160446167,2149,6,,,,
,2183,6,0.7522000074386597,0.8134244680404663,,
,2183,6,,,0.7719351053237915,0.7833999991416931
0.5449668169021606,2199,7,,,,
0.5896588563919067,2249,7,,,,
0.794258713722229,2299,7,,,,
0.739640474319458,2349,7,,,,
0.6353840827941895,2399,7,,,,
0.7302926778793335,2449,7,,,,
,2495,7,0.7540000081062317,0.8125119209289551,,
,2495,7,,,0.7829527258872986,0.7828999757766724
0.5801557302474976,2499,8,,,,
0.6417064070701599,2549,8,,,,
0.7395908832550049,2599,8,,,,
0.9143315553665161,2649,8,,,,
0.6468183994293213,2699,8,,,,
0.6381688714027405,2749,8,,,,
