epoch,step,test_acc,train_acc,train_loss
0,49,,,4.5907816886901855
0,99,,,4.412686347961426
0,149,,,4.123841285705566
0,199,,,4.0343708992004395
0,249,,,4.09790563583374
0,299,,,3.840074300765991
0,349,,,3.794097900390625
0,389,0.1168999969959259,0.06402243673801422,
1,399,,,3.802886962890625
1,449,,,3.4743428230285645
1,499,,,3.6597795486450195
1,549,,,3.3918545246124268
1,599,,,3.5521304607391357
1,649,,,3.685056209564209
1,699,,,3.385416269302368
1,749,,,3.517522096633911
1,779,0.1914999932050705,0.13477563858032227,
2,799,,,3.2482759952545166
2,849,,,3.4047279357910156
2,899,,,3.4777750968933105
2,949,,,2.9855518341064453
2,999,,,3.236189603805542
2,1049,,,3.052269458770752
2,1099,,,3.1761293411254883
2,1149,,,3.191574811935425
2,1169,0.25049999356269836,0.20522835850715637,
3,1199,,,2.788921356201172
3,1249,,,2.9260289669036865
3,1299,,,3.1125431060791016
3,1349,,,2.674180269241333
3,1399,,,2.9361255168914795
3,1449,,,2.708240509033203
3,1499,,,3.017133951187134
3,1549,,,2.729557752609253
3,1559,0.2721000015735626,0.2670072019100189,
4,1599,,,2.6365175247192383
4,1649,,,2.7781763076782227
4,1699,,,2.67834734916687
4,1749,,,2.4139981269836426
4,1799,,,2.426745653152466
4,1849,,,2.5626208782196045
4,1899,,,2.4596424102783203
4,1949,,,2.340277910232544
4,1949,0.33180001378059387,0.3345753252506256,
5,1999,,,2.1444153785705566
5,2049,,,2.284898519515991
5,2099,,,2.2961716651916504
5,2149,,,2.342432975769043
5,2199,,,2.4155733585357666
5,2249,,,2.1497206687927246
5,2299,,,2.068835496902466
5,2339,0.3578000068664551,0.39791667461395264,
6,2349,,,1.9779877662658691
6,2399,,,1.923335313796997
6,2449,,,2.15016508102417
6,2499,,,2.378019094467163
6,2549,,,1.875901222229004
6,2599,,,2.050217628479004
6,2649,,,1.9907288551330566
6,2699,,,1.7587676048278809
6,2729,0.41929998993873596,0.45440706610679626,
7,2749,,,1.806087851524353
7,2799,,,1.9638136625289917
7,2849,,,1.4753813743591309
7,2899,,,1.9222848415374756
7,2949,,,2.0012776851654053
7,2999,,,2.13220477104187
7,3049,,,1.725048303604126
7,3099,,,1.8370763063430786
7,3119,0.487199991941452,0.4951923191547394,
8,3149,,,1.6228671073913574
8,3199,,,1.730191707611084
8,3249,,,1.6668554544448853
8,3299,,,1.837915062904358
8,3349,,,1.9529633522033691
8,3399,,,1.5168734788894653
8,3449,,,1.8480818271636963
8,3499,,,1.724439024925232
8,3509,0.47530001401901245,0.5223156809806824,
9,3549,,,1.3806264400482178
9,3599,,,1.4812331199645996
9,3649,,,1.691935420036316
9,3699,,,1.5728869438171387
9,3749,,,1.8475255966186523
9,3799,,,1.338441252708435
9,3849,,,1.6763064861297607
9,3899,,,1.472251296043396
9,3899,0.4821999967098236,0.5479567050933838,
10,3949,,,1.4699840545654297
10,3999,,,1.5831388235092163
10,4049,,,1.690453290939331
10,4099,,,1.3175231218338013
10,4149,,,1.6269899606704712
10,4199,,,1.6441477537155151
10,4249,,,1.5287965536117554
10,4289,0.5090000033378601,0.5646634697914124,
11,4299,,,1.7069683074951172
11,4349,,,1.4099198579788208
11,4399,,,1.6325410604476929
11,4449,,,1.655451774597168
11,4499,,,1.4456473588943481
11,4549,,,1.4251028299331665
11,4599,,,1.1919472217559814
11,4649,,,1.4702045917510986
11,4679,0.5073000192642212,0.5810897350311279,
12,4699,,,1.3603992462158203
12,4749,,,1.3189384937286377
12,4799,,,1.6379984617233276
12,4849,,,1.3492727279663086
12,4899,,,1.4861773252487183
12,4949,,,1.3290660381317139
12,4999,,,1.2100971937179565
12,5049,,,1.566037893295288
12,5069,0.5117999911308289,0.5897836685180664,
13,5099,,,1.295812964439392
13,5149,,,1.3319835662841797
13,5199,,,1.5142548084259033
13,5249,,,1.444901466369629
13,5299,,,1.4862699508666992
13,5349,,,1.3976844549179077
13,5399,,,1.589619517326355
13,5449,,,1.3258521556854248
13,5459,0.5457000136375427,0.6019831895828247,
14,5499,,,1.301975965499878
14,5549,,,1.3223795890808105
14,5599,,,1.4096715450286865
14,5649,,,1.1514132022857666
14,5699,,,1.3618009090423584
14,5749,,,1.6043963432312012
14,5799,,,1.5941866636276245
14,5849,,,1.2782176733016968
14,5849,0.5311999917030334,0.6163862347602844,
15,5899,,,1.2711714506149292
15,5949,,,1.240196704864502
15,5999,,,1.375412106513977
15,6049,,,1.3634835481643677
15,6099,,,1.4550869464874268
15,6149,,,1.2859684228897095
15,6199,,,1.4127461910247803
15,6239,0.5479999780654907,0.6196714639663696,
16,6249,,,1.3256938457489014
16,6299,,,1.3488160371780396
16,6349,,,1.3128526210784912
16,6399,,,1.1478136777877808
16,6449,,,1.45901358127594
16,6499,,,1.263520359992981
16,6549,,,1.242038369178772
16,6599,,,1.1894696950912476
16,6629,0.48500001430511475,0.6333733797073364,
17,6649,,,0.9830776453018188
17,6699,,,1.3433220386505127
17,6749,,,1.2496877908706665
17,6799,,,1.265093445777893
17,6849,,,1.5666403770446777
17,6899,,,1.2943954467773438
17,6949,,,1.13941490650177
17,6999,,,1.3580946922302246
17,7019,0.5382999777793884,0.6353365182876587,
18,7049,,,1.1714212894439697
18,7099,,,1.1277351379394531
18,7149,,,1.3120372295379639
18,7199,,,1.3780474662780762
18,7249,,,1.1121752262115479
18,7299,,,1.3479533195495605
18,7349,,,1.2027876377105713
18,7399,,,1.2079232931137085
18,7409,0.5328999757766724,0.6429687738418579,
19,7449,,,1.328162670135498
19,7499,,,1.1217732429504395
19,7549,,,1.1206096410751343
19,7599,,,1.1754717826843262
19,7649,,,1.249037265777588
19,7699,,,1.3375000953674316
19,7749,,,1.2089970111846924
19,7799,,,1.3453459739685059
19,7799,0.557200014591217,0.6455729007720947,
20,7849,,,1.1759705543518066
20,7899,,,1.1438629627227783
20,7949,,,1.2056834697723389
20,7999,,,1.5600310564041138
20,8049,,,1.080913782119751
20,8099,,,1.401422381401062
20,8149,,,1.2376052141189575
20,8189,0.5716999769210815,0.6531650424003601,
21,8199,,,1.0901508331298828
21,8249,,,0.8382915258407593
21,8299,,,1.087334156036377
21,8349,,,1.31815505027771
21,8399,,,1.2458125352859497
21,8449,,,1.1019514799118042
21,8499,,,1.3000246286392212
21,8549,,,1.2596148252487183
21,8579,0.5591999888420105,0.6567107439041138,
22,8599,,,1.069717288017273
22,8649,,,1.0316189527511597
22,8699,,,1.1159172058105469
22,8749,,,1.063115119934082
22,8799,,,1.1844074726104736
22,8849,,,1.2407149076461792
22,8899,,,1.2712639570236206
22,8949,,,0.942844808101654
22,8969,0.5383999943733215,0.6608573794364929,
23,8999,,,1.0413378477096558
23,9049,,,0.9444140791893005
23,9099,,,1.2187144756317139
23,9149,,,1.2799139022827148
23,9199,,,1.0736159086227417
23,9249,,,1.0643315315246582
23,9299,,,1.6350901126861572
23,9349,,,1.4046469926834106
23,9359,0.557200014591217,0.6644831895828247,
24,9399,,,1.1722843647003174
24,9449,,,1.1346282958984375
24,9499,,,0.9405775666236877
24,9549,,,0.9753578901290894
24,9599,,,1.292435646057129
24,9649,,,1.2062832117080688
24,9699,,,1.2009462118148804
24,9749,,,1.3968420028686523
24,9749,0.5396999716758728,0.6672876477241516,
25,9799,,,1.0351027250289917
25,9849,,,1.2763439416885376
25,9899,,,1.0134488344192505
25,9949,,,1.2525266408920288
25,9999,,,1.1414748430252075
25,10049,,,1.1886013746261597
25,10099,,,1.1266262531280518
25,10139,0.5598000288009644,0.6689503192901611,
26,10149,,,1.0402395725250244
26,10199,,,1.084908366203308
26,10249,,,1.0279725790023804
26,10299,,,1.075070858001709
26,10349,,,1.0973742008209229
26,10399,,,1.202989935874939
26,10449,,,1.193560242652893
26,10499,,,1.2370754480361938
26,10529,0.5748999714851379,0.6717548370361328,
27,10549,,,1.134486198425293
27,10599,,,0.9434981346130371
27,10649,,,1.0474941730499268
27,10699,,,0.8711659908294678
27,10749,,,0.9720253944396973
27,10799,,,0.9998565912246704
27,10849,,,0.9454768300056458
27,10899,,,1.2185877561569214
27,10919,0.5778999924659729,0.6743589639663696,
28,10949,,,0.9171693921089172
28,10999,,,1.0344188213348389
28,11049,,,1.0890685319900513
28,11099,,,0.9354824423789978
28,11149,,,1.2003884315490723
28,11199,,,0.9770450592041016
28,11249,,,1.1242800951004028
28,11299,,,1.2486224174499512
28,11309,0.5684000253677368,0.6782251596450806,
29,11349,,,1.009686827659607
29,11399,,,1.1370353698730469
29,11449,,,1.058009386062622
29,11499,,,1.1266071796417236
29,11549,,,1.0900636911392212
29,11599,,,1.1243548393249512
29,11649,,,1.1992855072021484
29,11699,,,1.0513609647750854
29,11699,0.5738000273704529,0.6799278855323792,
30,11749,,,0.9305722713470459
30,11799,,,1.0709550380706787
30,11849,,,0.9990271329879761
30,11899,,,1.3016914129257202
30,11949,,,1.1001189947128296
30,11999,,,0.7801929712295532
30,12049,,,1.1172224283218384
30,12089,0.5727999806404114,0.6801882982254028,
31,12099,,,0.9346060752868652
31,12149,,,1.2332189083099365
31,12199,,,0.9596124291419983
31,12249,,,1.2106562852859497
31,12299,,,1.3123221397399902
31,12349,,,0.9970461130142212
31,12399,,,1.048516035079956
31,12449,,,1.1296964883804321
31,12479,0.5493999719619751,0.6861377954483032,
32,12499,,,0.9550170302391052
32,12549,,,1.0782746076583862
32,12599,,,1.0500338077545166
32,12649,,,1.0419410467147827
32,12699,,,1.3059958219528198
32,12749,,,1.0068951845169067
32,12799,,,0.9988731145858765
32,12849,,,1.0465168952941895
32,12869,0.586899995803833,0.6824318766593933,
33,12899,,,0.9758308529853821
33,12949,,,1.2262060642242432
33,12999,,,1.054249882698059
33,13049,,,0.8147279024124146
33,13099,,,1.257397174835205
33,13149,,,1.1828993558883667
33,13199,,,1.1792917251586914
33,13249,,,1.1550213098526
33,13259,0.5874999761581421,0.6859575510025024,
34,13299,,,0.9336683750152588
34,13349,,,0.8923398852348328
34,13399,,,0.846519410610199
34,13449,,,1.1656509637832642
34,13499,,,1.0954993963241577
34,13549,,,0.9743397831916809
34,13599,,,1.3069881200790405
34,13649,,,1.2617664337158203
34,13649,0.5637000203132629,0.688281238079071,
35,13699,,,1.131560206413269
35,13749,,,1.2203147411346436
35,13799,,,1.0725606679916382
35,13849,,,1.2525408267974854
35,13899,,,1.1705189943313599
35,13949,,,0.945493757724762
35,13999,,,1.0365841388702393
35,14039,0.5673999786376953,0.6902644038200378,
36,14049,,,1.1383968591690063
36,14099,,,1.1378600597381592
36,14149,,,0.9096288681030273
36,14199,,,1.0832747220993042
36,14249,,,1.1095150709152222
36,14299,,,1.1293785572052002
36,14349,,,0.9914581179618835
36,14399,,,1.1938492059707642
36,14429,0.5715000033378601,0.6932492256164551,
37,14449,,,1.0452818870544434
37,14499,,,1.116149663925171
37,14549,,,1.0260047912597656
37,14599,,,0.9591763019561768
37,14649,,,0.919121503829956
37,14699,,,1.0183573961257935
37,14749,,,1.0515804290771484
37,14799,,,0.8716182708740234
37,14819,0.5494999885559082,0.6967748403549194,
38,14849,,,0.982418417930603
38,14899,,,1.0679142475128174
38,14949,,,1.2440710067749023
38,14999,,,0.9931254982948303
38,15049,,,0.9593591094017029
38,15099,,,1.3375935554504395
38,15149,,,1.0870649814605713
38,15199,,,1.1298763751983643
38,15209,0.592199981212616,0.6931490302085876,
39,15249,,,1.098673939704895
39,15299,,,1.1495963335037231
39,15349,,,1.013968825340271
39,15399,,,0.9486792683601379
39,15449,,,1.0955448150634766
39,15499,,,0.8078805804252625
39,15549,,,1.2191845178604126
39,15599,,,1.1259714365005493
39,15599,0.5612000226974487,0.6962940692901611,
40,15649,,,0.9199939370155334
40,15699,,,1.0470097064971924
40,15749,,,1.047572374343872
40,15799,,,1.232150912284851
40,15849,,,0.8492954969406128
40,15899,,,1.3006839752197266
40,15949,,,1.0484256744384766
40,15989,0.5943999886512756,0.6991386413574219,
41,15999,,,0.9333229064941406
41,16049,,,0.8809919953346252
41,16099,,,0.9573506116867065
41,16149,,,1.2186670303344727
41,16199,,,0.8592179417610168
41,16249,,,0.8936101794242859
41,16299,,,1.051972508430481
41,16349,,,1.1161894798278809
41,16379,0.5921000242233276,0.695893406867981,
42,16399,,,0.9075883030891418
42,16449,,,0.9982905387878418
42,16499,,,0.8242194056510925
42,16549,,,0.9054439067840576
42,16599,,,1.110005497932434
42,16649,,,1.1225794553756714
42,16699,,,1.0270750522613525
42,16749,,,0.8817838430404663
42,16769,0.5906000137329102,0.6977564096450806,
43,16799,,,0.8167623281478882
43,16849,,,0.817953884601593
