epoch,mix_match_loss_epoch,mix_match_loss_step,step,test_acc,train_acc,train_loss
0,,,49,,,4.310111045837402
0,,,99,,,4.259791374206543
0,,,149,,,4.211371898651123
0,,,199,,,3.9399681091308594
0,,,249,,,4.034225940704346
0,,,299,,,3.919018030166626
0,,,349,,,3.7761759757995605
0,,,389,0.12250000238418579,0.07365785539150238,
1,,,399,,,3.8371450901031494
1,,,449,,,3.6674067974090576
1,,,499,,,3.658552408218384
1,,,549,,,3.633089065551758
1,,,599,,,3.633866786956787
1,,,649,,,3.768782615661621
1,,,699,,,3.318551778793335
1,,,749,,,3.8548736572265625
1,,,779,0.18569999933242798,0.13671875,
2,,,799,,,3.5587427616119385
2,,,849,,,3.2323741912841797
2,,,899,,,3.4919912815093994
2,,,949,,,3.4746806621551514
2,,,999,,,3.377169132232666
2,,,1049,,,3.481334924697876
2,,,1099,,,3.2970144748687744
2,,,1149,,,3.4712283611297607
2,,,1169,0.24400000274181366,0.1930488795042038,
3,,,1199,,,3.351752996444702
3,,,1249,,,3.0555920600891113
3,,,1299,,,3.117042064666748
3,,,1349,,,2.9928295612335205
3,,,1399,,,3.1083567142486572
3,,,1449,,,3.056190013885498
3,,,1499,,,3.184615135192871
3,,,1549,,,2.754133939743042
3,,,1559,0.289900004863739,0.24477162957191467,
4,,,1599,,,3.022704601287842
4,,,1649,,,2.847491502761841
4,,,1699,,,2.9863810539245605
4,,,1749,,,2.9379215240478516
4,,,1799,,,2.827397108078003
4,,,1849,,,3.0341758728027344
4,,,1899,,,2.9013195037841797
4,,,1949,,,2.8741917610168457
4,,,1949,0.35010001063346863,0.2905048131942749,
5,,,1999,,,2.452554225921631
5,,,2049,,,2.8646538257598877
5,,,2099,,,2.5606648921966553
5,,,2149,,,2.660001039505005
5,,,2199,,,2.7069480419158936
5,,,2249,,,2.5816681385040283
5,,,2299,,,2.964823007583618
5,,,2339,0.3675000071525574,0.32221555709838867,
6,,,2349,,,2.6047396659851074
6,,,2399,,,2.5951764583587646
6,,,2449,,,2.9506773948669434
6,,,2499,,,2.4871904850006104
6,,,2549,,,2.548619270324707
6,,,2599,,,2.8105549812316895
6,,,2649,,,2.3629019260406494
6,,,2699,,,2.6616766452789307
6,,,2729,0.41620001196861267,0.35058093070983887,
7,,,2749,,,2.452216625213623
7,,,2799,,,2.1353659629821777
7,,,2849,,,2.321665048599243
7,,,2899,,,2.7512574195861816
7,,,2949,,,2.537747621536255
7,,,2999,,,2.2886407375335693
7,,,3049,,,2.3682749271392822
7,,,3099,,,2.4194495677948
7,,,3119,0.40959998965263367,0.3762219548225403,
8,,,3149,,,2.534867763519287
8,,,3199,,,1.9445658922195435
8,,,3249,,,2.2290658950805664
8,,,3299,,,2.618077278137207
8,,,3349,,,2.608964443206787
8,,,3399,,,2.7255702018737793
8,,,3449,,,2.519355058670044
8,,,3499,,,2.367706298828125
8,,,3509,0.4341999888420105,0.39485177397727966,
9,,,3549,,,2.3440680503845215
9,,,3599,,,2.519705057144165
9,,,3649,,,2.262894630432129
9,,,3699,,,2.177783250808716
9,,,3749,,,2.2633121013641357
9,,,3799,,,2.71911358833313
9,,,3849,,,2.5578534603118896
9,,,3899,,,2.331721305847168
9,,,3899,0.4399000108242035,0.4122796356678009,
10,,,3949,,,2.029093027114868
10,,,3999,,,2.069355010986328
10,,,4049,,,2.2927842140197754
10,,,4099,,,2.384251117706299
10,,,4149,,,2.315958261489868
10,,,4199,,,2.4677305221557617
10,,,4249,,,2.2212417125701904
10,,,4289,0.4778999984264374,0.4253004789352417,
11,,,4299,,,2.2889811992645264
11,,,4349,,,2.287738561630249
11,,,4399,,,2.1291322708129883
11,,,4449,,,2.4925827980041504
11,,,4499,,,2.157074213027954
11,,,4549,,,2.143373966217041
11,,,4599,,,2.34519100189209
11,,,4649,,,2.2145583629608154
11,,,4679,0.48350000381469727,0.43972355127334595,
12,,,4699,,,2.283458948135376
12,,,4749,,,2.3431646823883057
12,,,4799,,,2.0928921699523926
12,,,4849,,,2.346764326095581
12,,,4899,,,2.4176838397979736
12,,,4949,,,2.0241336822509766
12,,,4999,,,2.4301064014434814
12,,,5049,,,2.179997682571411
12,,,5069,0.4803999960422516,0.453125,
13,,,5099,,,1.9344923496246338
13,,,5149,,,1.9491405487060547
13,,,5199,,,2.4552664756774902
13,,,5249,,,2.273501396179199
13,,,5299,,,2.232530355453491
13,,,5349,,,2.024054527282715
13,,,5399,,,2.0125818252563477
13,,,5449,,,2.1277523040771484
13,,,5459,0.47769999504089355,0.46344152092933655,
14,,,5499,,,1.7386951446533203
14,,,5549,,,1.8380210399627686
14,,,5599,,,1.8774001598358154
14,,,5649,,,2.197012186050415
14,,,5699,,,1.9715425968170166
14,,,5749,,,1.918060302734375
14,,,5799,,,1.9991905689239502
14,,,5849,,,2.2007884979248047
14,,,5849,0.5029000043869019,0.4732171595096588,
15,,,5899,,,1.7999978065490723
15,,,5949,,,2.2873167991638184
15,,,5999,,,2.193378448486328
15,,,6049,,,2.1749367713928223
15,,,6099,,,1.7275644540786743
15,,,6149,,,2.420264482498169
15,,,6199,,,1.780469536781311
15,,,6239,0.5088000297546387,0.4819711446762085,
16,,,6249,,,2.229191541671753
16,,,6299,,,1.7558884620666504
16,,,6349,,,2.0358951091766357
16,,,6399,,,2.1312341690063477
16,,,6449,,,1.9289332628250122
16,,,6499,,,1.911050796508789
16,,,6549,,,2.1178195476531982
16,,,6599,,,1.9877978563308716
16,,,6629,0.5248000025749207,0.49268829822540283,
17,,,6649,,,1.7561019659042358
17,,,6699,,,1.8679194450378418
17,,,6749,,,2.108581066131592
17,,,6799,,,1.8542869091033936
17,,,6849,,,1.786728024482727
17,,,6899,,,1.9606273174285889
17,,,6949,,,1.7457095384597778
17,,,6999,,,2.03894305229187
17,,,7019,0.5156999826431274,0.49871793389320374,
18,,,7049,,,1.843092441558838
18,,,7099,,,2.1217029094696045
18,,,7149,,,1.8565196990966797
18,,,7199,,,2.0869638919830322
18,,,7249,,,2.044947862625122
18,,,7299,,,1.7473467588424683
