epoch,mix_match_loss,step,test_acc,train_acc,train_loss
0,,49,,,4.1692376136779785
0,,99,,,4.104060649871826
0,,149,,,3.9555585384368896
0,,199,,,3.707322120666504
0,,249,,,3.6575958728790283
0,,299,,,3.634361743927002
0,,349,,,3.530898332595825
0,,389,0.16949999332427979,0.10526842623949051,
1,,399,,,3.4695422649383545
1,,449,,,3.418356418609619
1,,499,,,3.3972928524017334
1,,549,,,3.5893449783325195
1,,599,,,3.256258010864258
1,,649,,,3.27534556388855
1,,699,,,3.4671623706817627
1,,749,,,3.3181159496307373
1,,779,0.26190000772476196,0.19657452404499054,
2,,799,,,3.2754015922546387
2,,849,,,2.9683125019073486
2,,899,,,3.053217887878418
2,,949,,,3.0210630893707275
2,,999,,,3.1796889305114746
2,,1049,,,2.9410789012908936
2,,1099,,,3.164336919784546
2,,1149,,,3.0864360332489014
2,,1169,0.3075000047683716,0.26600560545921326,
3,,1199,,,2.6604766845703125
3,,1249,,,2.8005001544952393
3,,1299,,,2.935757875442505
3,,1349,,,2.9174838066101074
3,,1399,,,2.703550338745117
3,,1449,,,2.994537830352783
3,,1499,,,2.6999850273132324
3,,1549,,,2.8197154998779297
3,,1559,0.384799987077713,0.31288060545921326,
4,,1599,,,2.75219988822937
4,,1649,,,2.679694175720215
4,,1699,,,2.9427685737609863
4,,1749,,,2.7442917823791504
4,,1799,,,2.719874620437622
4,,1849,,,2.772670030593872
4,,1899,,,2.450866937637329
4,,1949,,,2.7322628498077393
4,,1949,0.3874000012874603,0.3490184247493744,
5,,1999,,,2.292030096054077
5,,2049,,,2.411742687225342
5,,2099,,,2.5268075466156006
5,,2149,,,2.702965497970581
5,,2199,,,2.685311794281006
5,,2249,,,2.7772693634033203
5,,2299,,,2.5824828147888184
5,,2339,0.40720000863075256,0.3743188977241516,
6,,2349,,,2.4867568016052246
6,,2399,,,2.402120590209961
6,,2449,,,2.5786705017089844
6,,2499,,,2.469529867172241
6,,2549,,,2.3573148250579834
6,,2599,,,2.4000513553619385
6,,2649,,,2.398444414138794
6,,2699,,,2.445953130722046
6,,2729,0.436599999666214,0.39463141560554504,
7,,2749,,,2.335296869277954
7,,2799,,,2.1931393146514893
7,,2849,,,1.949870228767395
7,,2899,,,2.1438660621643066
7,,2949,,,2.2991390228271484
7,,2999,,,2.298989772796631
7,,3049,,,2.488326072692871
7,,3099,,,2.165295362472534
7,,3119,0.45260000228881836,0.4150240421295166,
8,,3149,,,2.106712818145752
8,,3199,,,2.2770817279815674
8,,3249,,,2.2523961067199707
8,,3299,,,2.2862935066223145
8,,3349,,,2.1764345169067383
8,,3399,,,2.3329238891601562
8,,3449,,,1.9988152980804443
8,,3499,,,2.2562952041625977
8,,3509,0.44830000400543213,0.42672276496887207,
9,,3549,,,2.105976104736328
9,,3599,,,2.098294496536255
9,,3649,,,2.0564017295837402
9,,3699,,,2.092085361480713
9,,3749,,,2.0179638862609863
9,,3799,,,2.3955368995666504
9,,3849,,,2.1520378589630127
9,,3899,,,2.170938730239868
9,,3899,0.4648999869823456,0.44138622283935547,
10,,3949,,,2.047856092453003
10,,3999,,,2.1513452529907227
10,,4049,,,2.1548571586608887
10,,4099,,,2.4896774291992188
10,,4149,,,2.351412534713745
10,,4199,,,2.0544073581695557
10,,4249,,,2.0566351413726807
10,,4289,0.47519999742507935,0.45322516560554504,
11,,4299,,,1.8292489051818848
11,,4349,,,1.9179760217666626
11,,4399,,,1.9355612993240356
11,,4449,,,2.0375757217407227
11,,4499,,,2.213393449783325
11,,4549,,,2.0857021808624268
11,,4599,,,2.0695393085479736
11,,4649,,,2.169623851776123
11,,4679,0.49799999594688416,0.4649639427661896,
12,,4699,,,1.776498794555664
12,,4749,,,1.7531570196151733
12,,4799,,,2.2699413299560547
12,,4849,,,1.8537683486938477
12,,4899,,,2.1257057189941406
12,,4949,,,2.3639023303985596
12,,4999,,,1.9669554233551025
12,,5049,,,2.4219858646392822
12,,5069,0.4869000017642975,0.4736778736114502,
13,,5099,,,1.9857157468795776
13,,5149,,,1.9156556129455566
13,,5199,,,1.9469752311706543
13,,5249,,,1.981648564338684
13,,5299,,,2.0352373123168945
13,,5349,,,2.046191930770874
13,,5399,,,1.8110181093215942
13,,5449,,,2.1831278800964355
13,,5459,0.4830999970436096,0.4823918342590332,
14,,5499,,,1.8987315893173218
14,,5549,,,2.0689046382904053
14,,5599,,,2.033996105194092
14,,5649,,,2.288205862045288
14,,5699,,,2.1905007362365723
14,,5749,,,2.00345778465271
14,,5799,,,1.8593541383743286
14,,5849,,,2.164344549179077
14,,5849,0.49939998984336853,0.49324920773506165,
15,,5899,,,1.9615347385406494
15,,5949,,,1.8644639253616333
15,,5999,,,2.1274659633636475
15,,6049,,,1.9440383911132812
15,,6099,,,1.9875766038894653
15,,6149,,,1.8192317485809326
15,,6199,,,1.8426992893218994
15,,6239,0.49729999899864197,0.5006610751152039,
16,,6249,,,1.9862959384918213
16,,6299,,,1.8841294050216675
16,,6349,,,1.929146647453308
16,,6399,,,2.1508359909057617
16,,6449,,,2.2237143516540527
16,,6499,,,2.017214059829712
16,,6549,,,2.061161994934082
16,,6599,,,1.8076729774475098
16,,6629,0.512499988079071,0.5073517560958862,
17,,6649,,,2.2461583614349365
17,,6699,,,1.464011549949646
17,,6749,,,1.9548568725585938
17,,6799,,,1.7508769035339355
17,,6849,,,1.9645799398422241
17,,6899,,,1.7427940368652344
17,,6949,,,2.117232084274292
17,,6999,,,1.9707540273666382
17,,7019,0.5192000269889832,0.5151242017745972,
18,,7049,,,1.802393913269043
18,,7099,,,1.6728310585021973
18,,7149,,,1.8994245529174805
18,,7199,,,1.9597420692443848
18,,7249,,,2.1244418621063232
18,,7299,,,1.833371639251709
18,,7349,,,1.9670315980911255
18,,7399,,,1.8554507493972778
18,,7409,0.4918000102043152,0.5258413553237915,
19,,7449,,,1.871406078338623
19,,7499,,,1.7128868103027344
19,,7549,,,2.070223569869995
19,,7599,,,1.9395551681518555
19,,7649,,,1.6539944410324097
19,,7699,,,1.9091898202896118
19,,7749,,,2.2193925380706787
19,,7799,,,1.8905082941055298
19,,7799,0.5182999968528748,0.5306089520454407,
20,,7849,,,1.9525657892227173
20,,7899,,,1.6550201177597046
20,,7949,,,1.7350455522537231
20,,7999,,,1.8097342252731323
20,,8049,,,1.9263876676559448
20,,8099,,,1.7787857055664062
20,,8149,,,1.8693933486938477
20,,8189,0.5037000179290771,0.5379607081413269,
21,,8199,,,1.4129739999771118
21,,8249,,,1.9040945768356323
21,,8299,,,1.597204327583313
21,,8349,,,1.8978255987167358
21,,8399,,,1.460192084312439
21,,8449,,,1.6916754245758057
21,,8499,,,1.8380264043807983
21,,8549,,,1.9553788900375366
