epoch,step,test_acc,train_acc,train_loss
0,49,,,6.3605804443359375
0,99,,,6.247217178344727
0,149,,,6.1117424964904785
0,199,,,5.969084739685059
0,249,,,6.127416610717773
0,299,,,5.808380603790283
0,349,,,6.0527753829956055
0,389,0.08529999852180481,0.05578926205635071,
1,399,,,5.862205505371094
1,449,,,5.7713470458984375
1,499,,,5.887782096862793
1,549,,,5.616412162780762
1,599,,,5.829922676086426
1,649,,,5.558691501617432
1,699,,,5.482460975646973
1,749,,,5.9187421798706055
1,779,0.13349999487400055,0.09865785390138626,
2,799,,,5.280294418334961
2,849,,,5.597987174987793
2,899,,,5.569430351257324
2,949,,,5.468522071838379
2,999,,,5.392461776733398
2,1049,,,5.511911392211914
2,1099,,,5.518845558166504
2,1149,,,5.368200302124023
2,1169,0.16779999434947968,0.1311698704957962,
3,1199,,,5.532679557800293
3,1249,,,5.697039604187012
3,1299,,,5.488669395446777
3,1349,,,5.645168304443359
3,1399,,,5.291040897369385
3,1449,,,5.212296962738037
3,1499,,,4.890096664428711
3,1549,,,5.361457824707031
3,1559,0.2037999927997589,0.15294471383094788,
4,1599,,,5.293534755706787
4,1649,,,5.494882583618164
4,1699,,,5.332022666931152
4,1749,,,5.250037670135498
4,1799,,,5.506955146789551
4,1849,,,5.1718854904174805
4,1899,,,4.941556930541992
4,1949,,,5.113664627075195
4,1949,0.21799999475479126,0.16438300907611847,
5,1999,,,4.884731769561768
5,2049,,,4.711315155029297
5,2099,,,4.6814093589782715
5,2149,,,4.768816947937012
5,2199,,,4.9063191413879395
5,2249,,,4.583892822265625
5,2299,,,4.78712272644043
5,2339,0.2630999982357025,0.20755209028720856,
6,2349,,,4.705906867980957
6,2399,,,4.791518688201904
6,2449,,,4.692036151885986
6,2499,,,4.856467247009277
6,2549,,,5.065243244171143
6,2599,,,5.011957168579102
6,2649,,,4.88173246383667
6,2699,,,4.9848527908325195
6,2729,0.2563000023365021,0.2077924609184265,
7,2749,,,4.812368392944336
7,2799,,,4.834247589111328
7,2849,,,4.605048656463623
7,2899,,,4.630061149597168
7,2949,,,4.2884602546691895
7,2999,,,4.805069923400879
7,3049,,,4.211925983428955
7,3099,,,4.566067695617676
7,3119,0.2955000102519989,0.2462940663099289,
8,3149,,,4.7199907302856445
8,3199,,,4.312666893005371
8,3249,,,4.650752544403076
8,3299,,,4.183602809906006
8,3349,,,4.446300029754639
8,3399,,,4.288224697113037
8,3449,,,4.448991298675537
8,3499,,,4.605334281921387
8,3509,0.32679998874664307,0.27876603603363037,
9,3549,,,4.049224853515625
9,3599,,,4.1604180335998535
9,3649,,,4.35740852355957
9,3699,,,4.294952392578125
9,3749,,,3.9045612812042236
9,3799,,,3.67905592918396
9,3849,,,4.2379961013793945
9,3899,,,3.9832592010498047
9,3899,0.33889999985694885,0.30150240659713745,
10,3949,,,3.8761558532714844
10,3999,,,3.786818504333496
10,4049,,,4.079293251037598
10,4099,,,3.79931378364563
10,4149,,,3.7666611671447754
10,4199,,,3.7265467643737793
10,4249,,,3.8475663661956787
10,4289,0.37560001015663147,0.32295674085617065,
11,4299,,,3.864832639694214
11,4349,,,3.741084098815918
11,4399,,,3.5935821533203125
11,4449,,,3.602917432785034
11,4499,,,3.845327615737915
11,4549,,,3.823967218399048
11,4599,,,3.7062549591064453
11,4649,,,3.292433500289917
11,4679,0.3862000107765198,0.33705928921699524,
12,4699,,,3.6587400436401367
12,4749,,,3.450465679168701
