epoch,step,test_acc,train_loss
0,49,,-0.24949193000793457
0,99,,-0.46951794624328613
0,149,,-0.5774796009063721
0,199,,-0.5741555690765381
0,249,,-0.6547636985778809
0,299,,-0.6116429567337036
0,349,,-0.6886235475540161
0,389,0.1981000006198883,
1,399,,-0.9422194957733154
1,449,,-0.9094514846801758
1,499,,-0.8021430969238281
1,549,,-0.7764685153961182
1,599,,-1.044175386428833
1,649,,-1.0298643112182617
1,699,,-0.9619477987289429
1,749,,-0.9956564903259277
1,779,0.3174000084400177,
2,799,,-1.2130999565124512
2,849,,-1.1139219999313354
2,899,,-1.115964412689209
2,949,,-1.1019929647445679
2,999,,-1.2567249536514282
2,1049,,-1.2224602699279785
2,1099,,-1.216713786125183
2,1149,,-1.1062021255493164
2,1169,0.3693999946117401,
3,1199,,-1.4204342365264893
3,1249,,-1.2440543174743652
3,1299,,-1.4240752458572388
3,1349,,-1.420189619064331
3,1399,,-1.4810714721679688
3,1449,,-1.3467276096343994
3,1499,,-1.455970287322998
3,1549,,-1.4511101245880127
3,1559,0.4020000100135803,
4,1599,,-1.5971369743347168
4,1649,,-1.4702394008636475
4,1699,,-1.3936654329299927
4,1749,,-1.619554042816162
4,1799,,-1.6043150424957275
4,1849,,-1.6235809326171875
4,1899,,-1.568063497543335
4,1949,,-1.3934221267700195
4,1949,0.42820000648498535,
5,1999,,-1.7824684381484985
5,2049,,-1.5827393531799316
5,2099,,-1.6326580047607422
5,2149,,-1.5401272773742676
5,2199,,-1.7113316059112549
5,2249,,-1.6184351444244385
5,2299,,-1.6331902742385864
5,2339,0.4674000144004822,
6,2349,,-1.670648217201233
6,2399,,-1.735314965248108
6,2449,,-1.6039429903030396
6,2499,,-1.7523601055145264
6,2549,,-1.7952927350997925
6,2599,,-1.6650441884994507
6,2649,,-1.653626561164856
6,2699,,-1.7523480653762817
6,2729,0.5023999810218811,
7,2749,,-1.7819244861602783
7,2799,,-1.7475545406341553
7,2849,,-1.782914161682129
7,2899,,-1.7694423198699951
7,2949,,-1.5537090301513672
7,2999,,-1.706658124923706
7,3049,,-1.6773812770843506
7,3099,,-1.717927098274231
7,3119,0.5026999711990356,
8,3149,,-1.7627826929092407
8,3199,,-1.7824275493621826
8,3249,,-1.8771394491195679
8,3299,,-1.966017484664917
8,3349,,-1.823845386505127
8,3399,,-2.031710624694824
8,3449,,-1.8478227853775024
8,3499,,-1.8308566808700562
8,3509,0.5241000056266785,
9,3549,,-1.9517937898635864
9,3599,,-1.9211843013763428
9,3649,,-1.8220007419586182
9,3699,,-1.920172095298767
9,3749,,-1.7515391111373901
9,3799,,-1.9109246730804443
9,3849,,-1.9242078065872192
9,3899,,-1.6212440729141235
9,3899,0.527400016784668,
10,3949,,-1.975707769393921
10,3999,,-2.0511648654937744
10,4049,,-1.9272791147232056
10,4099,,-1.8621666431427002
10,4149,,-1.9184969663619995
10,4199,,-1.94194757938385
10,4249,,-1.9769915342330933
10,4289,0.5443999767303467,
11,4299,,-2.1056432723999023
11,4349,,-1.919249176979065
11,4399,,-1.9152212142944336
11,4449,,-1.7890913486480713
11,4499,,-2.033548355102539
11,4549,,-1.8827145099639893
11,4599,,-1.9641016721725464
11,4649,,-2.021148204803467
11,4679,0.5540000200271606,
12,4699,,-2.153874397277832
12,4749,,-2.0127100944519043
12,4799,,-1.8649706840515137
12,4849,,-2.154984474182129
12,4899,,-1.979843020439148
12,4949,,-2.123276948928833
12,4999,,-1.9401997327804565
12,5049,,-1.9743015766143799
12,5069,0.5450999736785889,
13,5099,,-2.1047348976135254
13,5149,,-2.1276965141296387
13,5199,,-2.0073134899139404
13,5249,,-2.2187047004699707
13,5299,,-2.0346455574035645
13,5349,,-2.1944923400878906
13,5399,,-1.925492525100708
13,5449,,-2.0661420822143555
13,5459,0.5634999871253967,
14,5499,,-2.036990165710449
14,5549,,-2.008798599243164
14,5599,,-2.148855686187744
14,5649,,-2.1958627700805664
14,5699,,-2.238091468811035
14,5749,,-2.1363630294799805
14,5799,,-1.8721699714660645
14,5849,,-2.248783588409424
14,5849,0.5658000111579895,
15,5899,,-2.0580413341522217
15,5949,,-1.9700878858566284
15,5999,,-2.31453013420105
15,6049,,-2.1198782920837402
15,6099,,-2.06093168258667
15,6149,,-2.0656862258911133
15,6199,,-2.088867425918579
15,6239,0.574400007724762,
16,6249,,-2.188805103302002
16,6299,,-2.1525330543518066
16,6349,,-2.3910911083221436
16,6399,,-2.330368995666504
16,6449,,-2.071566581726074
16,6499,,-2.2131385803222656
16,6549,,-2.0053107738494873
16,6599,,-2.304821014404297
16,6629,0.5795000195503235,
17,6649,,-2.3262829780578613
17,6699,,-2.179476737976074
17,6749,,-2.061635971069336
17,6799,,-2.2753472328186035
17,6849,,-2.2034664154052734
17,6899,,-2.1706461906433105
17,6949,,-2.2696518898010254
17,6999,,-1.9642689228057861
17,7019,0.5737000107765198,
18,7049,,-2.4227592945098877
18,7099,,-2.3625564575195312
18,7149,,-2.339186191558838
18,7199,,-2.003574848175049
18,7249,,-2.222383975982666
18,7299,,-2.3270621299743652
18,7349,,-2.2094266414642334
18,7399,,-2.279433250427246
18,7409,0.5841000080108643,
19,7449,,-2.26292085647583
19,7499,,-2.2201879024505615
19,7549,,-2.1700830459594727
19,7599,,-2.1784119606018066
19,7649,,-2.305635929107666
19,7699,,-2.1221694946289062
19,7749,,-2.3087539672851562
19,7799,,-2.2220897674560547
19,7799,0.5756999850273132,
20,7849,,-2.496954917907715
20,7899,,-2.4995615482330322
20,7949,,-2.3544721603393555
20,7999,,-2.35902738571167
20,8049,,-2.3537869453430176
20,8099,,-2.2399659156799316
20,8149,,-2.4304111003875732
20,8189,0.5813000202178955,
21,8199,,-2.6150660514831543
21,8249,,-2.4202537536621094
21,8299,,-2.4679527282714844
21,8349,,-2.431954860687256
21,8399,,-2.43068265914917
21,8449,,-2.2973947525024414
21,8499,,-2.3350510597229004
21,8549,,-2.392857074737549
21,8579,0.5777999758720398,
22,8599,,-2.4345555305480957
22,8649,,-2.339183807373047
22,8699,,-2.2657928466796875
22,8749,,-2.2357468605041504
22,8799,,-2.2910232543945312
22,8849,,-2.4125609397888184
22,8899,,-2.3388538360595703
22,8949,,-2.389688491821289
22,8969,0.5874000191688538,
23,8999,,-2.5007691383361816
23,9049,,-2.442427635192871
23,9099,,-2.3161725997924805
23,9149,,-2.335310935974121
23,9199,,-2.4404215812683105
23,9249,,-2.2879953384399414
23,9299,,-2.3717517852783203
23,9349,,-2.323873519897461
23,9359,0.5809000134468079,
24,9399,,-2.471212863922119
24,9449,,-2.509702682495117
24,9499,,-2.356534481048584
24,9549,,-2.293708324432373
24,9599,,-2.4683785438537598
24,9649,,-2.3687071800231934
24,9699,,-2.361022710800171
24,9749,,-2.3209173679351807
24,9749,0.5755000114440918,
25,9799,,-2.570930004119873
25,9849,,-2.271090507507324
25,9899,,-2.494080066680908
25,9949,,-2.324620008468628
25,9999,,-2.3864731788635254
25,10049,,-2.5118980407714844
25,10099,,-2.650080919265747
25,10139,0.5935999751091003,
26,10149,,-2.5683493614196777
26,10199,,-2.4176230430603027
26,10249,,-2.335271120071411
26,10299,,-2.5334129333496094
26,10349,,-2.4110445976257324
26,10399,,-2.4390950202941895
26,10449,,-2.5808067321777344
26,10499,,-2.51507568359375
26,10529,0.586899995803833,
27,10549,,-2.603273868560791
27,10599,,-2.5581347942352295
27,10649,,-2.5421769618988037
27,10699,,-2.5579802989959717
27,10749,,-2.5712337493896484
