train_loss,step,epoch,train_acc,test_acc
1.6828025579452515,49,0,,
1.45635986328125,99,0,,
1.3880847692489624,149,0,,
1.2162563800811768,199,0,,
1.280360221862793,249,0,,
1.12831449508667,299,0,,
1.1831932067871094,349,0,,
,389,0,0.38395431637763977,0.4602999985218048
0.7916983962059021,399,1,,
0.677251935005188,449,1,,
0.43219971656799316,499,1,,
0.6663956642150879,549,1,,
0.6831540465354919,599,1,,
0.47895532846450806,649,1,,
0.5868685245513916,699,1,,
0.4597330093383789,749,1,,
,779,1,0.5511819124221802,0.6044999957084656
0.02331221103668213,799,2,,
0.09198486804962158,849,2,,
0.16472840309143066,899,2,,
-0.23091304302215576,949,2,,
-0.42032134532928467,999,2,,
-0.4825406074523926,1049,2,,
-0.5548528432846069,1099,2,,
0.04224288463592529,1149,2,,
,1169,2,0.6490585207939148,0.7021999955177307
-1.0534552335739136,1199,3,,
-0.986684262752533,1249,3,,
-1.0498653650283813,1299,3,,
-0.8315553665161133,1349,3,,
-1.0581295490264893,1399,3,,
-0.766051173210144,1449,3,,
-1.0502474308013916,1499,3,,
-0.8038835525512695,1549,3,,
,1559,3,0.7073116898536682,0.7598000168800354
-1.432288408279419,1599,4,,
-1.8233578205108643,1649,4,,
-1.499399185180664,1699,4,,
-1.7102382183074951,1749,4,,
-1.8531644344329834,1799,4,,
-2.122546672821045,1849,4,,
-1.6871869564056396,1899,4,,
-1.9405936002731323,1949,4,,
,1949,4,0.7430689334869385,0.7768999934196472
-2.5432682037353516,1999,5,,
-2.8734183311462402,2049,5,,
-2.573474884033203,2099,5,,
-2.6547908782958984,2149,5,,
-1.7462544441223145,2199,5,,
-2.1550397872924805,2249,5,,
-2.577399253845215,2299,5,,
,2339,5,0.7680889368057251,0.8026999831199646
-2.9207112789154053,2349,6,,
-3.0916457176208496,2399,6,,
-3.473855972290039,2449,6,,
-3.4152965545654297,2499,6,,
-3.1828722953796387,2549,6,,
-3.488434314727783,2599,6,,
-2.9574079513549805,2649,6,,
-2.9665989875793457,2699,6,,
,2729,6,0.7899038195610046,0.8312000036239624
-4.457157611846924,2749,7,,
-3.8097805976867676,2799,7,,
-4.146060943603516,2849,7,,
-4.197608470916748,2899,7,,
-4.348496913909912,2949,7,,
-3.880690574645996,2999,7,,
-4.080961227416992,3049,7,,
-4.111710548400879,3099,7,,
,3119,7,0.809374988079071,0.8429999947547913
-4.735783576965332,3149,8,,
-4.791810035705566,3199,8,,
-5.345386981964111,3249,8,,
-4.979874134063721,3299,8,,
-5.104470252990723,3349,8,,
-4.545141220092773,3399,8,,
-4.778085231781006,3449,8,,
-4.939788818359375,3499,8,,
,3509,8,0.825120210647583,0.8585000038146973
-6.212740421295166,3549,9,,
-5.550466537475586,3599,9,,
-5.703232765197754,3649,9,,
-5.402451515197754,3699,9,,
-5.378074645996094,3749,9,,
-5.696983337402344,3799,9,,
-6.152071475982666,3849,9,,
-5.806023597717285,3899,9,,
,3899,9,0.8384615182876587,0.8662999868392944
-4.473204612731934,3949,10,,
-4.556504726409912,3999,10,,
-5.444512367248535,4049,10,,
-4.676621913909912,4099,10,,
-4.890932559967041,4149,10,,
-5.6364970207214355,4199,10,,
-5.377119541168213,4249,10,,
,4289,10,0.7166065573692322,0.7674999833106995
-5.993797302246094,4299,11,,
-6.164148330688477,4349,11,,
-6.23045015335083,4399,11,,
-6.361223220825195,4449,11,,
-6.057845115661621,4499,11,,
