epoch,train_loss,step,train_acc,test_acc
0,1.800254464149475,49,,
0,1.4815479516983032,99,,
0,1.3145194053649902,149,,
0,1.369842529296875,199,,
0,1.242258906364441,249,,
0,1.2159717082977295,299,,
0,1.0010762214660645,349,,
0,,389,0.39134615659713745,0.5309000015258789
1,0.6734193563461304,399,,
1,0.4219329357147217,449,,
1,0.4704848527908325,499,,
1,0.4717010259628296,549,,
1,0.34719717502593994,599,,
1,0.18279898166656494,649,,
1,0.372503399848938,699,,
1,0.17839646339416504,749,,
1,,779,0.573437511920929,0.6596999764442444
2,0.05420064926147461,799,,
2,-0.15163707733154297,849,,
2,-0.402951717376709,899,,
2,-0.3307380676269531,949,,
2,-0.2934722900390625,999,,
2,-0.3092622756958008,1049,,
2,-0.4880317449569702,1099,,
2,-0.37733399868011475,1149,,
2,,1169,0.668749988079071,0.7078999876976013
3,-0.8818048238754272,1199,,
3,-1.250807523727417,1249,,
3,-1.120499610900879,1299,,
3,-0.9782562255859375,1349,,
3,-1.3230183124542236,1399,,
3,-1.1268320083618164,1449,,
3,-1.0306317806243896,1499,,
3,-1.2720967531204224,1549,,
3,,1559,0.7174479365348816,0.741100013256073
4,-1.897758960723877,1599,,
4,-1.8780949115753174,1649,,
4,-1.8722059726715088,1699,,
4,-1.8309941291809082,1749,,
4,-1.761881709098816,1799,,
4,-2.0436999797821045,1849,,
4,-1.4882489442825317,1899,,
4,-1.764427900314331,1949,,
4,,1949,0.7495592832565308,0.7734000086784363
5,-2.7057669162750244,1999,,
5,-2.3252062797546387,2049,,
5,-2.7531652450561523,2099,,
5,-2.7826952934265137,2149,,
5,-2.660036563873291,2199,,
5,-2.722674608230591,2249,,
5,-2.6450915336608887,2299,,
5,,2339,0.7741586565971375,0.8163999915122986
6,-3.1566896438598633,2349,,
6,-3.3984856605529785,2399,,
6,-3.4090709686279297,2449,,
6,-2.7871551513671875,2499,,
6,-3.8572967052459717,2549,,
6,-3.579920768737793,2599,,
6,-3.4974985122680664,2649,,
6,-3.357844829559326,2699,,
6,,2729,0.7937900424003601,0.8379999995231628
7,-4.726363182067871,2749,,
7,-4.173973083496094,2799,,
7,-4.078636169433594,2849,,
7,-4.368820667266846,2899,,
7,-3.8048295974731445,2949,,
7,-4.199800491333008,2999,,
7,-4.288632392883301,3049,,
7,-4.114425182342529,3099,,
7,,3119,0.8112580180168152,0.8414000272750854
8,-5.079199314117432,3149,,
8,-5.01444673538208,3199,,
8,-4.4894232749938965,3249,,
8,-5.0165839195251465,3299,,
8,-5.506138801574707,3349,,
8,-4.8091206550598145,3399,,
8,-4.898253440856934,3449,,
8,-4.940995693206787,3499,,
8,,3509,0.8264623284339905,0.8639000058174133
9,-6.264350414276123,3549,,
9,-6.6639604568481445,3599,,
9,-6.322848320007324,3649,,
9,-5.405277252197266,3699,,
9,-5.910443305969238,3749,,
9,-6.482454776763916,3799,,
9,-6.2104878425598145,3849,,
9,-5.994174480438232,3899,,
9,,3899,0.8388822078704834,0.8644000291824341
10,-4.191900730133057,3949,,
10,-4.988963603973389,3999,,
10,-5.551619052886963,4049,,
10,-5.382643699645996,4099,,
10,-5.721243381500244,4149,,
10,-6.1853556632995605,4199,,
10,-5.468174457550049,4249,,
10,,4289,0.7220553159713745,0.7858999967575073
11,-5.8485283851623535,4299,,
11,-5.5793375968933105,4349,,
11,-6.449012279510498,4399,,
11,-6.745792388916016,4449,,
11,-6.6144700050354,4499,,
11,-6.6861891746521,4549,,
11,-5.944271087646484,4599,,
11,-6.500141143798828,4649,,
11,,4679,0.7712740302085876,0.7972999811172485
12,-6.4908223152160645,4699,,
12,-6.701267242431641,4749,,
12,-7.529675006866455,4799,,
12,-7.227571487426758,4849,,
12,-7.202399253845215,4899,,
12,-6.351032257080078,4949,,
12,-6.886014938354492,4999,,
12,-7.255805492401123,5049,,
12,,5069,0.7911458611488342,0.7973999977111816
13,-7.444019317626953,5099,,
13,-7.263912200927734,5149,,
13,-7.508309841156006,5199,,
13,-8.203803062438965,5249,,
13,-7.025269508361816,5299,,
13,-8.740017890930176,5349,,
13,-6.76547384262085,5399,,
13,-7.901750564575195,5449,,
13,,5459,0.7997796535491943,0.8427000045776367
14,-8.248380661010742,5499,,
14,-7.962430953979492,5549,,
14,-9.151597023010254,5599,,
14,-7.485320091247559,5649,,
14,-8.535367965698242,5699,,
14,-8.775928497314453,5749,,
14,-8.318634986877441,5799,,
14,-9.220649719238281,5849,,
14,,5849,0.8157451748847961,0.8361999988555908
15,-8.519012451171875,5899,,
15,-9.291749954223633,5949,,
15,-9.153460502624512,5999,,
15,-9.380899429321289,6049,,
15,-8.80167293548584,6099,,
15,-8.875845909118652,6149,,
15,-8.518842697143555,6199,,
15,,6239,0.8237780332565308,0.8597999811172485
16,-10.655440330505371,6249,,
16,-8.646114349365234,6299,,
16,-10.81195068359375,6349,,
16,-9.834182739257812,6399,,
16,-9.400226593017578,6449,,
16,-9.499387741088867,6499,,
16,-10.309855461120605,6549,,
16,-9.56707763671875,6599,,
16,,6629,0.838361382484436,0.8733999729156494
17,-10.73092269897461,6649,,
17,-10.684059143066406,6699,,
17,-11.742964744567871,6749,,
17,-11.261261940002441,6799,,
17,-10.193815231323242,6849,,
17,-10.758151054382324,6899,,
17,-9.973381042480469,6949,,
17,-11.386956214904785,6999,,
17,,7019,0.8492387533187866,0.8870000243186951
18,-11.524072647094727,7049,,
18,-12.241316795349121,7099,,
18,-11.921798706054688,7149,,
18,-11.132844924926758,7199,,
18,-11.482575416564941,7249,,
18,-11.87468147277832,7299,,
18,-11.276358604431152,7349,,
18,-11.575372695922852,7399,,
18,,7409,0.8574719429016113,0.8919000029563904
19,-11.978181838989258,7449,,
19,-11.381543159484863,7499,,
19,-12.428563117980957,7549,,
19,-11.806058883666992,7599,,
19,-12.912338256835938,7649,,
19,-13.352485656738281,7699,,
19,-12.082289695739746,7749,,
19,-10.406839370727539,7799,,
19,,7799,0.8627403974533081,0.8952999711036682
20,-8.695358276367188,7849,,
20,-10.481730461120605,7899,,
20,-9.107401847839355,7949,,
20,-11.660600662231445,7999,,
20,-10.127628326416016,8049,,
20,-10.677264213562012,8099,,
20,-10.170546531677246,8149,,
20,,8189,0.7606169581413269,0.784600019454956
21,-10.545507431030273,8199,,
21,-10.134979248046875,8249,,
21,-11.942829132080078,8299,,
21,-11.020322799682617,8349,,
21,-12.226449012756348,8399,,
21,-11.627228736877441,8449,,
21,-11.832655906677246,8499,,
21,-10.223189353942871,8549,,
21,,8579,0.7884414792060852,0.8359000086784363
22,-11.289459228515625,8599,,
22,-11.74223518371582,8649,,
22,-11.147682189941406,8699,,
22,-10.418340682983398,8749,,
22,-10.118821144104004,8799,,
22,-11.020496368408203,8849,,
22,-11.20125675201416,8899,,
22,-11.779237747192383,8949,,
22,,8969,0.8047676086425781,0.8277000188827515
23,-11.985732078552246,8999,,
23,-11.779155731201172,9049,,
23,-12.412740707397461,9099,,
23,-11.081269264221191,9149,,
23,-11.374736785888672,9199,,
23,-12.00414752960205,9249,,
23,-11.438278198242188,9299,,
23,-11.344228744506836,9349,,
23,,9359,0.8189904093742371,0.8562999963760376
24,-12.598651885986328,9399,,
24,-11.609040260314941,9449,,
24,-11.377828598022461,9499,,
24,-12.740949630737305,9549,,
24,-12.434398651123047,9599,,
24,-13.442152976989746,9649,,
24,-12.20888900756836,9699,,
24,-12.644415855407715,9749,,
