train_loss,epoch,step,train_acc,test_acc
3.9370062351226807,0,49,,
3.4127206802368164,0,99,,
3.319905996322632,0,149,,
2.9211437702178955,0,199,,
3.2112109661102295,0,249,,
2.836193561553955,0,299,,
2.3923394680023193,0,349,,
,0,389,0.399649441242218,0.5598000288009644
2.3378400802612305,1,399,,
2.5764966011047363,1,449,,
2.457284688949585,1,499,,
2.0882163047790527,1,549,,
2.438014507293701,1,599,,
2.1271934509277344,1,649,,
2.6930346488952637,1,699,,
2.4674885272979736,1,749,,
,1,779,0.5769831538200378,0.6818000078201294
2.203531265258789,2,799,,
1.8685920238494873,2,849,,
2.12334942817688,2,899,,
2.07694411277771,2,949,,
2.0797505378723145,2,999,,
1.8432682752609253,2,1049,,
2.0132381916046143,2,1099,,
2.055536985397339,2,1149,,
,2,1169,0.6507311463356018,0.7311999797821045
1.9304176568984985,3,1199,,
1.7854173183441162,3,1249,,
1.7721076011657715,3,1299,,
1.7957512140274048,3,1349,,
2.244331121444702,3,1399,,
1.6913734674453735,3,1449,,
1.764819622039795,3,1499,,
1.8980375528335571,3,1549,,
,3,1559,0.6926982998847961,0.7709000110626221
1.9525043964385986,4,1599,,
1.8573615550994873,4,1649,,
1.6312445402145386,4,1699,,
1.4804556369781494,4,1749,,
1.573227047920227,4,1799,,
1.631369948387146,4,1849,,
2.044532299041748,4,1899,,
1.4688425064086914,4,1949,,
,4,1949,0.7163561582565308,0.8077999949455261
1.8490930795669556,5,1999,,
1.4271018505096436,5,2049,,
1.8212530612945557,5,2099,,
1.3013501167297363,5,2149,,
1.5345230102539062,5,2199,,
1.4978013038635254,5,2249,,
1.5300484895706177,5,2299,,
,5,2339,0.7341646552085876,0.8260999917984009
1.4514764547348022,6,2349,,
1.3915109634399414,6,2399,,
1.4397556781768799,6,2449,,
1.3608527183532715,6,2499,,
1.498591423034668,6,2549,,
1.5233995914459229,6,2599,,
1.3003807067871094,6,2649,,
1.457145094871521,6,2699,,
,6,2729,0.7482672333717346,0.8095999956130981
1.3755898475646973,7,2749,,
1.4045462608337402,7,2799,,
1.321211814880371,7,2849,,
1.669045329093933,7,2899,,
1.3619211912155151,7,2949,,
1.3829187154769897,7,2999,,
1.474845051765442,7,3049,,
1.5459567308425903,7,3099,,
,7,3119,0.760857343673706,0.8392999768257141
1.4950623512268066,8,3149,,
1.4017601013183594,8,3199,,
1.3791868686676025,8,3249,,
1.173482894897461,8,3299,,
1.3033519983291626,8,3349,,
1.3244644403457642,8,3399,,
1.137877106666565,8,3449,,
1.3120414018630981,8,3499,,
,8,3509,0.7677584290504456,0.8370000123977661
1.3426226377487183,9,3549,,
1.5199222564697266,9,3599,,
1.08512544631958,9,3649,,
1.16022527217865,9,3699,,
1.3197767734527588,9,3749,,
1.142457365989685,9,3799,,
1.409013271331787,9,3849,,
1.0230600833892822,9,3899,,
,9,3899,0.7749999761581421,0.8628000020980835
1.384831428527832,10,3949,,
1.3595608472824097,10,3999,,
1.194449543952942,10,4049,,
1.3229693174362183,10,4099,,
1.379347801208496,10,4149,,
1.4811115264892578,10,4199,,
1.2046703100204468,10,4249,,
,10,4289,0.7839543223381042,0.8482999801635742
1.0799546241760254,11,4299,,
1.3826526403427124,11,4349,,
0.9132218360900879,11,4399,,
1.3170374631881714,11,4449,,
1.1833122968673706,11,4499,,
1.2396197319030762,11,4549,,
1.4740058183670044,11,4599,,
1.1978914737701416,11,4649,,
,11,4679,0.7892528176307678,0.866100013256073
1.0773900747299194,12,4699,,
1.0870380401611328,12,4749,,
1.040402889251709,12,4799,,
1.1075483560562134,12,4849,,
0.974981963634491,12,4899,,
1.2713003158569336,12,4949,,
0.9446530342102051,12,4999,,
1.0604162216186523,12,5049,,
,12,5069,0.7945212125778198,0.8698999881744385
1.0102213621139526,13,5099,,
1.1666250228881836,13,5149,,
1.1152076721191406,13,5199,,
1.0483853816986084,13,5249,,
1.499967336654663,13,5299,,
1.5541503429412842,13,5349,,
1.2663366794586182,13,5399,,
1.3020920753479004,13,5449,,
,13,5459,0.799609363079071,0.8851000070571899
1.0604525804519653,14,5499,,
0.7668102383613586,14,5549,,
0.9797108173370361,14,5599,,
0.9528300762176514,14,5649,,
1.1996586322784424,14,5699,,
1.0245962142944336,14,5749,,
1.2037460803985596,14,5799,,
0.9348862171173096,14,5849,,
,14,5849,0.8052383661270142,0.876800000667572
0.9693064093589783,15,5899,,
1.14005708694458,15,5949,,
1.111885905265808,15,5999,,
0.8742572069168091,15,6049,,
0.907339870929718,15,6099,,
1.2048944234848022,15,6149,,
1.104333758354187,15,6199,,
,15,6239,0.8084735870361328,0.8629999756813049
1.096620798110962,16,6249,,
0.9128485918045044,16,6299,,
1.1430625915527344,16,6349,,
1.214820384979248,16,6399,,
1.0199000835418701,16,6449,,
1.0688055753707886,16,6499,,
1.089272379875183,16,6549,,
0.9385716915130615,16,6599,,
,16,6629,0.8115084171295166,0.8889999985694885
1.0821963548660278,17,6649,,
1.2622750997543335,17,6699,,
1.0373382568359375,17,6749,,
0.8691357374191284,17,6799,,
1.0817146301269531,17,6849,,
0.8968404531478882,17,6899,,
1.025149941444397,17,6949,,
0.917565107345581,17,6999,,
