epoch,step,test_acc,train_loss
0,49,,-0.3474622964859009
0,99,,-0.5907471179962158
0,149,,-0.6151279211044312
0,199,,-0.6984433531761169
0,249,,-0.6981719136238098
0,299,,-0.8892310857772827
0,349,,-0.8251467347145081
0,389,0.650600016117096,
1,399,,-0.8383927941322327
1,449,,-0.8950375914573669
1,499,,-0.9437245726585388
1,549,,-0.942243754863739
1,599,,-0.9996818900108337
1,649,,-0.9717186689376831
1,699,,-0.9639467597007751
1,749,,-1.0163590908050537
1,779,0.7416999936103821,
2,799,,-1.0998153686523438
2,849,,-1.0878546237945557
2,899,,-1.157841682434082
2,949,,-1.1422417163848877
2,999,,-1.097142219543457
2,1049,,-1.190016746520996
2,1099,,-1.2026903629302979
2,1149,,-1.1658456325531006
2,1169,0.7865999937057495,
3,1199,,-1.1777323484420776
3,1249,,-1.2517080307006836
3,1299,,-1.2337839603424072
3,1349,,-1.237640380859375
3,1399,,-1.148594856262207
3,1449,,-1.2577457427978516
3,1499,,-1.2200206518173218
3,1549,,-1.2082748413085938
3,1559,0.801800012588501,
4,1599,,-1.2111284732818604
4,1649,,-1.2566840648651123
4,1699,,-1.2257877588272095
4,1749,,-1.2060117721557617
4,1799,,-1.251143455505371
4,1849,,-1.3104791641235352
4,1899,,-1.321621060371399
4,1949,,-1.279567003250122
4,1949,0.8467000126838684,
5,1999,,-1.2325680255889893
5,2049,,-1.2623521089553833
5,2099,,-1.2678176164627075
5,2149,,-1.3018121719360352
5,2199,,-1.3580669164657593
5,2249,,-1.351295828819275
5,2299,,-1.2810298204421997
5,2339,0.8443999886512756,
6,2349,,-1.274855613708496
6,2399,,-1.3414130210876465
6,2449,,-1.3689537048339844
6,2499,,-1.3478230237960815
6,2549,,-1.349707841873169
6,2599,,-1.3333179950714111
6,2649,,-1.2553846836090088
6,2699,,-1.4038209915161133
6,2729,0.8701000213623047,
7,2749,,-1.3898524045944214
7,2799,,-1.35295832157135
7,2849,,-1.3763478994369507
7,2899,,-1.3571819067001343
7,2949,,-1.4101886749267578
7,2999,,-1.3692054748535156
7,3049,,-1.3694593906402588
7,3099,,-1.3710260391235352
7,3119,0.8808000087738037,
8,3149,,-1.3878083229064941
8,3199,,-1.3781031370162964
8,3249,,-1.3570109605789185
8,3299,,-1.4027937650680542
8,3349,,-1.399177074432373
8,3399,,-1.3861924409866333
8,3449,,-1.4029173851013184
8,3499,,-1.3551582098007202
8,3509,0.8841000199317932,
9,3549,,-1.4005720615386963
9,3599,,-1.3920531272888184
9,3649,,-1.4055819511413574
9,3699,,-1.3713220357894897
9,3749,,-1.409258484840393
9,3799,,-1.4165936708450317
9,3849,,-1.3915585279464722
9,3899,,-1.4211567640304565
9,3899,0.8902000188827515,
10,3949,,1.9724161624908447
10,3999,,2.4089677333831787
10,4049,,2.0710339546203613
10,4099,,2.0416922569274902
10,4149,,2.1223864555358887
10,4199,,1.8717249631881714
10,4249,,2.2028753757476807
10,4289,0.8687000274658203,
11,4299,,2.000586748123169
11,4349,,2.1207001209259033
11,4399,,2.0003278255462646
11,4449,,1.8056589365005493
11,4499,,2.1701526641845703
