step,epoch,train_loss1,train_loss2,train_acc2,test_acc,train_acc1
49,0,0.01573248952627182,0.01627425104379654,,,
99,0,0.014861945062875748,0.015768980607390404,,,
149,0,0.014020907692611217,0.014602616429328918,,,
199,0,0.01408805325627327,0.014626775868237019,,,
249,0,0.013908151537179947,0.013527452945709229,,,
299,0,0.013947118073701859,0.013414997607469559,,,
349,0,0.014265889301896095,0.014298995025455952,,,
389,0,,,0.3304687440395355,0.4722999930381775,0.3402043282985687
399,1,0.01288949977606535,0.012815477326512337,,,
449,1,0.012483651749789715,0.012940511107444763,,,
499,1,0.01119611319154501,0.011133345775306225,,,
549,1,0.011711795814335346,0.011170824989676476,,,
599,1,0.010805478319525719,0.011239063926041126,,,
649,1,0.010925345122814178,0.011052770540118217,,,
699,1,0.009814332239329815,0.010578158311545849,,,
749,1,0.010136911645531654,0.010146882385015488,,,
779,1,,,0.4791065752506256,0.5070000290870667,0.4814302921295166
799,2,0.009410485625267029,0.009663338772952557,,,
849,2,0.00887757632881403,0.009229421615600586,,,
899,2,0.008878613822162151,0.009141016751527786,,,
949,2,0.01012349408119917,0.009868665598332882,,,
999,2,0.009322241879999638,0.008996011689305305,,,
1049,2,0.011869876645505428,0.011182920075953007,,,
1099,2,0.011561130173504353,0.011577783152461052,,,
1149,2,0.00944007933139801,0.008568424731492996,,,
1169,2,,,0.5533654093742371,0.6327999830245972,0.547616183757782
1199,3,0.009236046113073826,0.009158497676253319,,,
1249,3,0.009403236210346222,0.009455570951104164,,,
1299,3,0.00895158015191555,0.008504190482199192,,,
1349,3,0.008997508324682713,0.008725493215024471,,,
1399,3,0.008694242686033249,0.008298139087855816,,,
1449,3,0.009435312822461128,0.009594723582267761,,,
1499,3,0.008218581788241863,0.008955763652920723,,,
1549,3,0.006950464099645615,0.006673126947134733,,,
1559,3,,,0.5975961685180664,0.6822999715805054,0.5909254550933838
1599,4,0.007510094437748194,0.006733269430696964,,,
1649,4,0.007188697811216116,0.007689131423830986,,,
1699,4,0.006695933640003204,0.006813566666096449,,,
1749,4,0.00877589825540781,0.008518099784851074,,,
1799,4,0.009063237346708775,0.00923442468047142,,,
1849,4,0.0067823175340890884,0.006437039002776146,,,
1899,4,0.007382465526461601,0.007339653093367815,,,
1949,4,0.006514524109661579,0.005800475832074881,,,
1949,4,,,0.6278245449066162,0.6740000247955322,0.6217347979545593
1999,5,0.004873469937592745,0.0047342823818326,,,
2049,5,0.00795560609549284,0.007078731432557106,,,
2099,5,0.0061079589650034904,0.0064236135222017765,,,
2149,5,0.006530890706926584,0.006429860834032297,,,
2199,5,0.006833262275904417,0.007218968588858843,,,
2249,5,0.007515242323279381,0.007347369100898504,,,
2299,5,0.007554126903414726,0.007361168973147869,,,
2339,5,,,0.6561097502708435,0.6952999830245972,0.6523637771606445
2349,6,0.006092666182667017,0.005238318350166082,,,
2399,6,0.006724281702190638,0.006995073985308409,,,
2449,6,0.006210699211806059,0.005859323777258396,,,
2499,6,0.0053569660522043705,0.0060685258358716965,,,
2549,6,0.005432437174022198,0.004939346108585596,,,
2599,6,0.00516081927344203,0.004862353205680847,,,
2649,6,0.006017367355525494,0.0067255874164402485,,,
2699,6,0.005962103605270386,0.005595773924142122,,,
2729,6,,,0.672035276889801,0.7336999773979187,0.6728365421295166
2749,7,0.005190327763557434,0.004809002857655287,,,
2799,7,0.00577978789806366,0.004944628570228815,,,
2849,7,0.004750475287437439,0.004881866741925478,,,
2899,7,0.006389173679053783,0.006104820407927036,,,
2949,7,0.005003836005926132,0.0056349788792431355,,,
2999,7,0.006857592146843672,0.006944271270185709,,,
3049,7,0.005538686644285917,0.005168591625988483,,,
3099,7,0.006860118824988604,0.007613456342369318,,,
3119,7,,,0.6888622045516968,0.7660999894142151,0.6863982081413269
3149,8,0.0027682774234563112,0.0025629373267292976,,,
3199,8,0.0036217807792127132,0.003584188874810934,,,
3249,8,0.0034729952458292246,0.00322868674993515,,,
3299,8,0.004912481177598238,0.005382753908634186,,,
3349,8,0.0031416898127645254,0.0028265181463211775,,,
3399,8,0.003971271216869354,0.0038230062928050756,,,
3449,8,0.002650119597092271,0.002020431449636817,,,
3499,8,0.004036870319396257,0.004496710374951363,,,
3509,8,,,0.7039262652397156,0.7854999899864197,0.7009214758872986
3549,9,0.0036161046009510756,0.00345611828379333,,,
3599,9,0.0036858797539025545,0.0037409362848848104,,,
3649,9,0.0027356124483048916,0.0028254848439246416,,,
3699,9,0.0037113274447619915,0.0031496169976890087,,,
3749,9,0.0036515051033347845,0.003103208728134632,,,
3799,9,0.004394836723804474,0.004176866728812456,,,
3849,9,0.0028217490762472153,0.0024862198624759912,,,
3899,9,0.0031553420703858137,0.0029446673579514027,,,
3899,9,,,0.7104166746139526,0.7871999740600586,0.7111378312110901
3949,10,0.003110530786216259,0.002733562607318163,,,
3999,10,0.0033559883013367653,0.0035726369824260473,,,
4049,10,0.0031662050168961287,0.003937337081879377,,,
4099,10,0.0026622184086591005,0.0024451301433146,,,
4149,10,0.0032332108821719885,0.0023659453727304935,,,
4199,10,0.0023956219665706158,0.0018551076063886285,,,
4249,10,0.001979660941287875,0.0017924639396369457,,,
4289,10,,,0.7212139368057251,0.8029000163078308,0.7191105484962463
4299,11,0.0014493685448542237,0.0011203085305169225,,,
4349,11,0.0015358715318143368,0.0017718120943754911,,,
4399,11,0.003082200651988387,0.0028085082303732634,,,
4449,11,0.004159329459071159,0.003951736260205507,,,
4499,11,0.003204172942787409,0.0033332642633467913,,,
4549,11,0.0027548540383577347,0.0027624547947198153,,,
4599,11,0.0030933094676584005,0.0027441135607659817,,,
4649,11,0.0032229486387223005,0.0033785717096179724,,,
4679,11,,,0.7299078702926636,0.8087000250816345,0.7266225814819336
4699,12,0.0023432597517967224,0.0025451441761106253,,,
4749,12,0.0008950309711508453,0.0007333871908485889,,,
4799,12,0.003082192037254572,0.0026344084180891514,,,
4849,12,0.0016809958033263683,0.002536406274884939,,,
4899,12,0.0034176597837358713,0.0031128362752497196,,,
4949,12,0.002825547242537141,0.0030856369994580746,,,
4999,12,0.004043192137032747,0.0034204008989036083,,,
5049,12,0.003176797181367874,0.0024211087729781866,,,
5069,12,,,0.7333934307098389,0.8260999917984009,0.7354567050933838
5099,13,0.003141246736049652,0.003521083388477564,,,
5149,13,0.0013405914651229978,0.0020368285477161407,,,
5199,13,0.002861453453078866,0.003114697989076376,,,
5249,13,0.0030514560639858246,0.004033651202917099,,,
5299,13,0.0016254738438874483,0.0014692280674353242,,,
5349,13,0.0033869619946926832,0.003448543371632695,,,
5399,13,0.005199918057769537,0.004308826290071011,,,
5449,13,0.002142268465831876,0.0020007742568850517,,,
5459,13,,,0.7400841116905212,0.8258000016212463,0.7380809187889099
5499,14,0.0021720854565501213,0.0020623840391635895,,,
5549,14,0.0024882943835109472,0.0017429104773327708,,,
5599,14,0.0024398895911872387,0.0021800415124744177,,,
5649,14,0.0022743630688637495,0.0016414583660662174,,,
5699,14,0.0026059765368700027,0.0022000728640705347,,,
5749,14,0.0030459449626505375,0.003193303244188428,,,
5799,14,0.0013160472735762596,0.0016170977614820004,,,
5849,14,0.0024993228726089,0.0024073850363492966,,,
5849,14,,,0.7463141083717346,0.840499997138977,0.743088960647583
5899,15,0.0019174987683072686,0.0015495726838707924,,,
5949,15,0.0030186837539076805,0.002172931330278516,,,
5999,15,0.0023900617379695177,0.0020145904272794724,,,
6049,15,0.002247062511742115,0.002127991523593664,,,
6099,15,0.0009915682021528482,0.0007760360604152083,,,
6149,15,0.0021741248201578856,0.0016209997702389956,,,
6199,15,0.0009274421026930213,0.0010015546577051282,,,
6239,15,,,0.7526842951774597,0.8474000096321106,0.7484174966812134
6249,16,0.0013152926694601774,0.0010464322986081243,,,
6299,16,0.0017853162717074156,0.0015339109813794494,,,
6349,16,0.001516524120233953,0.0008114423253573477,,,
6399,16,0.0017719239694997668,0.0017468221485614777,,,
6449,16,0.0010878375032916665,0.0015790651086717844,,,
6499,16,0.001627051387913525,0.002115083858370781,,,
6549,16,0.002235247055068612,0.0022280756384134293,,,
6599,16,0.000485067575937137,0.0006090099341236055,,,
6629,16,,,0.7570112347602844,0.8417999744415283,0.7538862228393555
6649,17,0.0007443642825819552,0.0005949557526037097,,,
6699,17,0.0017822188092395663,0.0015600583283230662,,,
6749,17,0.001528867636807263,0.0014367678668349981,,,
6799,17,0.0012189490953460336,0.0010454856092110276,,,
6849,17,0.002268074778839946,0.00196439609862864,,,
6899,17,0.0019860793836414814,0.0016904688673093915,,,
6949,17,0.004524629563093185,0.004839531611651182,,,
6999,17,0.003181618871167302,0.0031030061654746532,,,
7019,17,,,0.7608373165130615,0.8463000059127808,0.7581129670143127
7049,18,0.002651794347912073,0.0018010188359767199,,,
7099,18,0.0015960970195010304,0.0014376029139384627,,,
7149,18,0.0017015238991007209,0.0018387417076155543,,,
7199,18,0.001610963954590261,0.0015791027108207345,,,
7249,18,0.0034025574568659067,0.003431251272559166,,,
7299,18,0.0025105075910687447,0.0019070726120844483,,,
7349,18,0.0013860147446393967,0.00195997953414917,,,
7399,18,0.0012973652919754386,0.0012763282284140587,,,
7409,18,,,0.7643029093742371,0.8460000157356262,0.7609174847602844
7449,19,0.0018297358183190227,0.001997667830437422,,,
7499,19,0.0006903607281856239,0.0009089551749639213,,,
7549,19,0.0011291021946817636,0.0008658614242449403,,,
7599,19,0.0011476698564365506,0.0013300614664331079,,,
7649,19,0.003001522272825241,0.0019337886478751898,,,
7699,19,0.0019452751148492098,0.0018896819092333317,,,
7749,19,0.003187633818015456,0.0025289892219007015,,,
7799,19,0.0015453157247975469,0.0018413100624457002,,,
7799,19,,,0.7668469548225403,0.8396000266075134,0.7654847502708435
7849,20,0.004888152237981558,0.005911869462579489,,,
7899,20,0.0020610305946320295,0.0019856891594827175,,,
7949,20,0.0012884574243798852,0.0016791940433904529,,,
7999,20,0.006096981931477785,0.006551336497068405,,,
8049,20,0.0015922836028039455,0.0016581073869019747,,,
8099,20,0.0007612267509102821,0.0013702255673706532,,,
8149,20,0.0022880034521222115,0.0022678037639707327,,,
8189,20,,,0.7694911956787109,0.8495000004768372,0.7672476172447205
8199,21,0.0010560209630057216,0.000575329817365855,,,
8249,21,0.0006588457617908716,0.000846917973831296,,,
8299,21,0.0020522375125437975,0.0023677514400333166,,,
8349,21,0.000675075629260391,0.0006871036603115499,,,
8399,21,0.0013738175621256232,0.0006621491629630327,,,
8449,21,0.001283468445762992,0.002390515524893999,,,
8499,21,0.0008348609553650022,0.0009266664856113493,,,
8549,21,0.0007015423616394401,0.0013387672370299697,,,
8579,21,,,0.7748597860336304,0.8496999740600586,0.7726762890815735
8599,22,0.0009996633743867278,0.001518817967735231,,,
8649,22,0.0007600086973980069,0.0005844921106472611,,,
8699,22,0.0018259554635733366,0.0013858145102858543,,,
8749,22,0.0021282515954226255,0.0018215419258922338,,,
8799,22,0.0013198490487411618,0.0010048937983810902,,,
8849,22,0.0012883603340014815,0.0013614987256005406,,,
8899,22,0.0008187094354070723,0.0005914565990678966,,,
8949,22,0.0018375345971435308,0.0013660283293575048,,,
8969,22,,,0.7752003073692322,0.859499990940094,0.7744791507720947
8999,23,0.0026779966428875923,0.002082841470837593,,,
9049,23,0.004016947001218796,0.0020352050196379423,,,
9099,23,0.0031173466704785824,0.0029995767399668694,,,
9149,23,0.0015742855612188578,0.0008231637766584754,,,
9199,23,0.0011051737237721682,0.0009603300713934004,,,
9249,23,0.0008620914304628968,0.0018617466557770967,,,
9299,23,0.0019533848389983177,0.0015836817910894752,,,
9349,23,0.002166861668229103,0.002575869672000408,,,
9359,23,,,0.7700120210647583,0.8561000227928162,0.7739583253860474
9399,24,0.000984898884780705,0.0007530574803240597,,,
9449,24,0.00142565811984241,0.0015700303483754396,,,
9499,24,0.0025347303599119186,0.002530004596337676,,,
9549,24,0.0010522984666749835,0.0011197086423635483,,,
9599,24,0.001572606386616826,0.0012959892628714442,,,
9649,24,0.0003845688479486853,0.00046771817142143846,,,
9699,24,0.0003753002965822816,0.0006416005780920386,,,
9749,24,0.0009379156399518251,0.0012258245842531323,,,
9749,24,,,0.7782852649688721,0.8467000126838684,0.7795873284339905
9799,25,0.0010711034992709756,0.001365342759527266,,,
9849,25,0.0010756616247817874,0.0007272023358382285,,,
9899,25,0.0017734747380018234,0.0014163263840600848,,,
9949,25,0.0011076061055064201,0.0005066596786491573,,,
9999,25,0.0005599248688668013,0.00042333221063017845,,,
10049,25,0.0016666693845763803,0.0016060892958194017,,,
10099,25,0.0009846797911450267,0.0007981922826729715,,,
10139,25,,,0.7843149304389954,0.8673999905586243,0.7828325033187866
10149,26,0.0013911373680457473,0.0007418127497658134,,,
10199,26,0.0015373765490949154,0.0017636861884966493,,,
10249,26,0.0009405861492268741,0.0008511449559591711,,,
10299,26,0.00048349201097153127,0.00029518059454858303,,,
10349,26,0.0009323400445282459,0.0007895370945334435,,,
10399,26,0.0013747266493737698,0.0014389808056876063,,,
10449,26,0.0010297930566594005,0.0002973544760607183,,,
10499,26,0.0011328381951898336,0.0005797211779281497,,,
10529,26,,,0.7872996926307678,0.871399998664856,0.7822716236114502
10549,27,0.0014336021849885583,0.0005172365345060825,,,
10599,27,0.0021204582881182432,0.0015984978526830673,,,
10649,27,0.0017170857172459364,0.0011935156071558595,,,
10699,27,0.0019356689881533384,0.002106688916683197,,,
10749,27,0.0024277567863464355,0.003019168507307768,,,
10799,27,0.0003429372445680201,0.00022816506680101156,,,
10849,27,0.0013316626427695155,0.0020707384683191776,,,
10899,27,0.0017243805341422558,0.0013238692190498114,,,
10919,27,,,0.7869992256164551,0.8734999895095825,0.7859174609184265
10949,28,0.000922138977330178,0.00042522308649495244,,,
10999,28,0.0022185584530234337,0.0016203612321987748,,,
11049,28,0.0012242443626746535,0.0005465467693284154,,,
11099,28,0.0015411265194416046,0.0016574965557083488,,,
11149,28,0.0006298425141721964,0.0005236941506154835,,,
11199,28,0.0015722211683169007,0.0006781220436096191,,,
11249,28,0.0006195060559548438,0.0005577155970968306,,,
11299,28,0.0015903124585747719,0.0018886389443650842,,,
11309,28,,,0.7892828583717346,0.8763999938964844,0.7881009578704834
11349,29,0.000663274375256151,0.0004963823012076318,,,
11399,29,0.0014223350444808602,0.001004102174192667,,,
11449,29,0.001322007505223155,0.0008002570830285549,,,
11499,29,0.0009779550600796938,0.0003319511597510427,,,
11549,29,0.002444502664729953,0.0025308046024292707,,,
11599,29,0.0011062470730394125,0.0006974737043492496,,,
11649,29,0.0010330324294045568,0.0011079487157985568,,,
11699,29,0.0008187046623788774,0.0007561142556369305,,,
11699,29,,,0.7896233797073364,0.8650000095367432,0.7912459969520569
11749,30,0.0005176112754270434,0.000579102779738605,,,
11799,30,0.0019299037521705031,0.003579835407435894,,,
11849,30,0.0003470592782832682,0.0005424332339316607,,,
11899,30,0.000653287919703871,0.0010864142095670104,,,
11949,30,0.0007726280018687248,0.0014718056190758944,,,
11999,30,0.0006004672613926232,0.0004985424457117915,,,
12049,30,0.002781044226139784,0.002395132789388299,,,
12089,30,,,0.7878405451774597,0.8682000041007996,0.7919671535491943
12099,31,0.0007648277096450329,0.0024579225573688745,,,
12149,31,0.0016031471313908696,0.0018329201266169548,,,
12199,31,0.0006831488572061062,0.0004308460920583457,,,
12249,31,0.0004967095446772873,0.0012971245450899005,,,
12299,31,0.0003592632419895381,0.0003896638809237629,,,
12349,31,0.001405841438099742,0.0020715799182653427,,,
12399,31,0.0010753929382190108,0.0005939739057794213,,,
12449,31,0.0026559815742075443,0.002377641387283802,,,
12479,31,,,0.791286051273346,0.8712999820709229,0.7941907048225403
12499,32,0.0023780351039022207,0.0014741556951776147,,,
12549,32,0.00014788872795179486,0.00014124922745395452,,,
12599,32,0.0007224463624879718,0.0008327235700562596,,,
12649,32,0.0021637792233377695,0.001965906238183379,,,
12699,32,0.0005920054391026497,0.0004269389610271901,,,
12749,32,0.0005775776226073503,0.000703890691511333,,,
12799,32,0.0007076731999404728,0.0005200086743570864,,,
12849,32,0.0011359928175807,0.002291897078976035,,,
12869,32,,,0.7964943647384644,0.866599977016449,0.7965545058250427
12899,33,0.000525684270542115,0.0006575689767487347,,,
12949,33,0.0010262452997267246,0.0009585250518284738,,,
12999,33,0.0002004720299737528,0.000430556945502758,,,
13049,33,0.0007626158185303211,0.0013932407600805163,,,
13099,33,0.0010079649509862065,0.0015085170743986964,,,
13149,33,0.0005045520374551415,0.0011739861220121384,,,
13199,33,0.0014120767591521144,0.00168695452157408,,,
13249,33,0.000742556934710592,0.0012368052266538143,,,
13259,33,,,0.8017628192901611,0.8766999840736389,0.8014022707939148
13299,34,0.0011220729211345315,0.0018486256012693048,,,
13349,34,0.002020281506702304,0.0013665214646607637,,,
13399,34,0.0011964438017457724,0.000968089560046792,,,
13449,34,0.0008965827291831374,0.00028923971694894135,,,
13499,34,0.0005713221034966409,0.0008404585532844067,,,
13549,34,0.0007277852273546159,0.0010878758039325476,,,
13599,34,0.002349752699956298,0.0011286059161648154,,,
13649,34,0.0003735627979040146,0.0005718948668800294,,,
13649,34,,,0.8011417984962463,0.8763999938964844,0.7995392680168152
13699,35,0.0008295280276797712,0.00023075740318745375,,,
13749,35,0.0020348108373582363,0.0026800758205354214,,,
13799,35,0.0017961228732019663,0.0013998124049976468,,,
13849,35,0.0011066976003348827,0.0011816805927082896,,,
13899,35,0.0003690995217766613,0.0006774897337891161,,,
13949,35,0.001801609294489026,0.0012455936521291733,,,
13999,35,0.0006584394723176956,0.00018687623378355056,,,
14039,35,,,0.8022435903549194,0.8815000057220459,0.8008213043212891
14049,36,0.000617708545178175,0.0006330611067824066,,,
14099,36,0.00040127034299075603,0.0005476559163071215,,,
14149,36,0.0007382947369478643,0.00036869593895971775,,,
14199,36,0.0022434592247009277,0.0013637777883559465,,,
14249,36,0.0004959013313055038,0.00047294568503275514,,,
14299,36,0.00031220962409861386,0.00014916702639311552,,,
14349,36,0.0009849269408732653,0.0013212957419455051,,,
14399,36,0.0003603849618230015,0.0003418598498683423,,,
14429,36,,,0.8037059307098389,0.879800021648407,0.8035456538200378
14449,37,0.000779132591560483,0.0007083201198838651,,,
14499,37,0.00046958710299804807,0.000771493767388165,,,
14549,37,0.001473349635489285,0.0008269352838397026,,,
14599,37,0.0006471625529229641,0.00019042249186895788,,,
14649,37,0.0008500583353452384,0.00047193787759169936,,,
14699,37,0.0005643382901325822,0.0007572092581540346,,,
14749,37,0.0008053809870034456,0.000985679216682911,,,
14799,37,0.0010213084751740098,0.0009115368011407554,,,
14819,37,,,0.8039262890815735,0.8823999762535095,0.802263617515564
14849,38,0.0007496755570173264,0.0004785146738868207,,,
14899,38,0.001181526924483478,0.0011225922498852015,,,
14949,38,0.0013075186870992184,0.0004970191512256861,,,
14999,38,0.0010792950633913279,0.0007585624698549509,,,
15049,38,0.0011233491823077202,0.0006012085941620171,,,
15099,38,0.0014488515444099903,0.0006322229164652526,,,
15149,38,0.0007140236557461321,0.0006060338346287608,,,
15199,38,0.000986961298622191,0.0014243593905121088,,,
15209,38,,,0.8059695363044739,0.8787999749183655,0.8050079941749573
15249,39,0.0004751897940877825,0.0008086466696113348,,,
15299,39,0.0007582050166092813,0.0007512373267672956,,,
15349,39,0.00033390786848030984,0.00024830299662426114,,,
15399,39,0.00037047901423648,0.0008996000979095697,,,
15449,39,0.00016478517500218004,0.0006923894979991019,,,
15499,39,0.0017324594082310796,0.0017125948797911406,,,
15549,39,0.0003939128655474633,0.00033947874908335507,,,
15599,39,0.000768310681451112,0.00047652615467086434,,,
15599,39,,,0.8064503073692322,0.8726999759674072,0.8064102530479431
15649,40,0.0014262289041653275,0.0011752573773264885,,,
15699,40,0.0006050723604857922,0.0014888979494571686,,,
15749,40,0.0002684095816221088,0.000405419705202803,,,
15799,40,0.0006206868565641344,0.0007094251923263073,,,
