epoch,step,train_loss,train_acc,test_acc
0,49,2.0759119987487793,,
0,99,1.701490879058838,,
0,149,1.638729453086853,,
0,199,1.4864318370819092,,
0,249,1.4078314304351807,,
0,299,1.31268310546875,,
0,349,1.4427392482757568,,
0,389,,0.3541466295719147,0.5022000074386597
1,399,0.7474393248558044,,
1,449,0.9796884059906006,,
1,499,0.9228680729866028,,
1,549,0.8591046333312988,,
1,599,0.8421436548233032,,
1,649,0.8039970993995667,,
1,699,0.9109967947006226,,
1,749,0.5279157757759094,,
1,779,,0.5110176205635071,0.5960999727249146
2,799,0.014423370361328125,,
2,849,0.39630043506622314,,
2,899,0.6571807861328125,,
2,949,0.20952773094177246,,
2,999,-0.06627655029296875,,
2,1049,0.07392263412475586,,
2,1099,0.03919517993927002,,
2,1149,0.18827712535858154,,
2,1169,,0.5902644395828247,0.6690000295639038
3,1199,-0.7599366903305054,,
3,1249,-0.46900880336761475,,
3,1299,-0.30767130851745605,,
3,1349,-0.5127021074295044,,
3,1399,-0.40770673751831055,,
3,1449,-0.3382664918899536,,
3,1499,-0.5723977088928223,,
3,1549,-0.09787178039550781,,
3,1559,,0.6353766322135925,0.7371000051498413
4,1599,-0.8232873678207397,,
4,1649,-1.3366961479187012,,
4,1699,-1.115861415863037,,
4,1749,-1.145983338356018,,
4,1799,-1.190329670906067,,
4,1849,-1.1670876741409302,,
4,1899,-1.0077511072158813,,
4,1949,-1.442690134048462,,
4,1949,,0.6687700152397156,0.7735000252723694
5,1999,-1.867697834968567,,
5,2049,-2.1554737091064453,,
5,2099,-2.0273725986480713,,
5,2149,-1.7456525564193726,,
5,2199,-1.034994125366211,,
5,2249,-1.7402105331420898,,
5,2299,-1.7803916931152344,,
5,2339,,0.6898036599159241,0.7943000197410583
6,2349,-2.4084012508392334,,
6,2399,-2.3604910373687744,,
6,2449,-2.5751960277557373,,
6,2499,-2.8127806186676025,,
6,2549,-2.0846059322357178,,
6,2599,-2.7494258880615234,,
6,2649,-1.9353440999984741,,
6,2699,-2.163867712020874,,
6,2729,,0.7064903974533081,0.803600013256073
7,2749,-3.88820743560791,,
7,2799,-3.0202713012695312,,
7,2849,-3.0057005882263184,,
7,2899,-3.417144298553467,,
7,2949,-3.3121161460876465,,
7,2999,-3.040724992752075,,
7,3049,-3.4337844848632812,,
7,3099,-3.5220069885253906,,
7,3119,,0.7257412075996399,0.8176000118255615
8,3149,-3.9474737644195557,,
8,3199,-3.799539089202881,,
8,3249,-4.299507141113281,,
8,3299,-4.382721424102783,,
8,3349,-4.059083938598633,,
8,3399,-3.5917201042175293,,
8,3449,-3.769595146179199,,
8,3499,-4.1035919189453125,,
8,3509,,0.7398236989974976,0.8429999947547913
9,3549,-5.0315423011779785,,
9,3599,-5.21611213684082,,
