step,train_loss,epoch,val_acc,test_acc,train_acc
49,0.4249913692474365,0,,,
99,0.36993923783302307,0,,,
149,0.3684505224227905,0,,,
199,0.2704100012779236,0,,,
249,0.31254249811172485,0,,,
299,0.3394426703453064,0,,,
311,,0,0.366100013256073,,
311,,0,,0.40149998664855957,0.32146432995796204
349,0.2915523648262024,1,,,
399,0.3172352910041809,1,,,
449,0.17605248093605042,1,,,
499,0.1632523089647293,1,,,
549,0.1867370307445526,1,,,
599,0.1400252729654312,1,,,
623,,1,0.453000009059906,,
623,,1,,0.5041000247001648,0.43199118971824646
649,0.2437134087085724,2,,,
699,0.19954948127269745,2,,,
749,0.1048591136932373,2,,,
799,0.14432673156261444,2,,,
849,0.11590715497732162,2,,,
899,0.1523415744304657,2,,,
935,,2,0.4952000081539154,,
935,,2,,0.546999990940094,0.49937400221824646
949,0.07278510183095932,3,,,
999,0.07361426949501038,3,,,
1049,0.020082920789718628,3,,,
1099,0.11617416143417358,3,,,
1149,0.1842140108346939,3,,,
1199,0.12529511749744415,3,,,
1247,,3,0.5478000044822693,,
1247,,3,,0.6211000084877014,0.5375851392745972
1249,0.049167484045028687,4,,,
1299,-0.037195850163698196,4,,,
1349,-0.02135995402932167,4,,,
1399,-0.008038114756345749,4,,,
1449,0.026936858892440796,4,,,
1499,0.12646399438381195,4,,,
1549,0.10437081754207611,4,,,
1559,,4,0.5795999765396118,,
1559,,4,,0.6492000222206116,0.5739933848381042
1599,0.06063667684793472,5,,,
1649,-0.040883347392082214,5,,,
1699,-0.004512126557528973,5,,,
1749,-0.03902699798345566,5,,,
1799,-0.00874229148030281,5,,,
1849,0.07519693672657013,5,,,
1871,,5,0.567799985408783,,
1871,,5,,0.6402999758720398,0.6009364724159241
1899,-0.08668607473373413,6,,,
1949,0.08037640899419785,6,,,
1999,-0.025197625160217285,6,,,
2049,0.04324765503406525,6,,,
2099,-0.08503405004739761,6,,,
2149,-0.08745695650577545,6,,,
2183,,6,0.625,,
2183,,6,,0.7003999948501587,0.6226712465286255
2199,-0.0860544890165329,7,,,
2249,-0.02445678412914276,7,,,
2299,-0.08550529181957245,7,,,
2349,-0.14492475986480713,7,,,
2399,-0.012259125709533691,7,,,
2449,-0.04789581149816513,7,,,
2495,,7,0.6381999850273132,,
2495,,7,,0.7246000170707703,0.6431039571762085
2499,-0.12259232997894287,8,,,
2549,-0.06722471117973328,8,,,
2599,-0.12196831405162811,8,,,
2649,0.07302301377058029,8,,,
2699,-0.07112845033407211,8,,,
2749,-0.02028326503932476,8,,,
2799,-0.04718095064163208,8,,,
2807,,8,0.6301000118255615,,
2807,,8,,0.720300018787384,0.6576772928237915
2849,-0.16712085902690887,9,,,
2899,-0.12177406996488571,9,,,
2949,-0.11297503113746643,9,,,
2999,-0.08283017575740814,9,,,
3049,-0.05476866662502289,9,,,
3099,-0.045209117233753204,9,,,
