step,epoch,train_loss,train_acc,test_acc
49,0,2.293429374694824,,
99,0,2.2114098072052,,
149,0,2.124882936477661,,
199,0,2.1206367015838623,,
249,0,2.0660524368286133,,
299,0,2.019108772277832,,
349,0,2.0232179164886475,,
389,0,,0.19995993375778198,0.3003999888896942
399,1,2.0841896533966064,,
449,1,1.803105354309082,,
499,1,1.9374806880950928,,
549,1,1.8479866981506348,,
599,1,1.8913509845733643,,
649,1,1.8974237442016602,,
699,1,1.851240634918213,,
749,1,1.8377305269241333,,
779,1,,0.30705127120018005,0.39329999685287476
799,2,1.8021401166915894,,
849,2,1.7954870462417603,,
899,2,1.6563520431518555,,
949,2,1.7090990543365479,,
999,2,1.689130187034607,,
1049,2,1.7440088987350464,,
1099,2,1.5723357200622559,,
1149,2,1.6329410076141357,,
1169,2,,0.384395033121109,0.4408000111579895
1199,3,1.617061972618103,,
1249,3,1.5382189750671387,,
1299,3,1.5765259265899658,,
1349,3,1.639711856842041,,
1399,3,1.5242506265640259,,
1449,3,1.6561590433120728,,
1499,3,1.2616225481033325,,
1549,3,1.511159062385559,,
1559,3,,0.45246395468711853,0.4797999858856201
1599,4,1.472382664680481,,
1649,4,1.3286105394363403,,
1699,4,1.3411248922348022,,
1749,4,1.575660228729248,,
1799,4,1.5104784965515137,,
1849,4,1.311271071434021,,
1899,4,1.4052023887634277,,
1949,4,1.5007140636444092,,
1949,4,,0.4997996687889099,0.5414000153541565
1999,5,1.4560155868530273,,
2049,5,1.3120994567871094,,
2099,5,1.2426856756210327,,
2149,5,1.4810515642166138,,
2199,5,1.2949095964431763,,
2249,5,1.3838497400283813,,
2299,5,1.353736400604248,,
2339,5,,0.5370392799377441,0.590399980545044
2349,6,1.2063462734222412,,
2399,6,1.2528080940246582,,
2449,6,1.3647652864456177,,
2499,6,1.4243568181991577,,
2549,6,1.4924410581588745,,
2599,6,1.3124943971633911,,
2649,6,1.2980331182479858,,
2699,6,1.296726107597351,,
2729,6,,0.5676081776618958,0.6376000046730042
2749,7,1.239525556564331,,
2799,7,1.382242202758789,,
2849,7,1.3700411319732666,,
2899,7,1.2277687788009644,,
2949,7,1.3833414316177368,,
2999,7,1.2430846691131592,,
3049,7,1.1372379064559937,,
3099,7,1.1482605934143066,,
3119,7,,0.6042467951774597,0.6380000114440918
3149,8,1.3609918355941772,,
3199,8,1.0735633373260498,,
3249,8,1.1152832508087158,,
3299,8,1.2497531175613403,,
3349,8,1.0400980710983276,,
3399,8,1.270337462425232,,
3449,8,1.2651019096374512,,
3499,8,1.1673153638839722,,
3509,8,,0.6352764368057251,0.7063999772071838
3549,9,1.2270047664642334,,
3599,9,0.9708720445632935,,
3649,9,0.9655040502548218,,
3699,9,1.222420573234558,,
3749,9,1.153267741203308,,
3799,9,1.1600338220596313,,
3849,9,1.1435720920562744,,
3899,9,1.180939793586731,,
3899,9,,0.6517828702926636,0.7342000007629395
3949,10,1.1467543840408325,,
3999,10,1.2563393115997314,,
4049,10,1.2002675533294678,,
4099,10,1.1012911796569824,,
4149,10,0.8787109851837158,,
4199,10,0.9843137860298157,,
4249,10,1.1921888589859009,,
4289,10,,0.665705144405365,0.7002000212669373
4299,11,1.3237683773040771,,
4349,11,1.021422266960144,,
4399,11,1.002657175064087,,
4449,11,0.9094089269638062,,
4499,11,1.172714352607727,,
4549,11,0.8753257989883423,,
4599,11,1.0465270280838013,,
4649,11,1.0216164588928223,,
4679,11,,0.6752804517745972,0.7088000178337097
4699,12,1.0067193508148193,,
4749,12,1.1151050329208374,,
4799,12,0.97101229429245,,
4849,12,1.0629550218582153,,
4899,12,0.9766260981559753,,
4949,12,1.1183679103851318,,
4999,12,0.9528533220291138,,
5049,12,0.9552513360977173,,
5069,12,,0.6831129789352417,0.7573999762535095
5099,13,1.1315231323242188,,
5149,13,1.023383378982544,,
5199,13,0.8588051795959473,,
5249,13,0.9447372555732727,,
5299,13,1.0972074270248413,,
5349,13,0.8265393972396851,,
5399,13,1.1243643760681152,,
5449,13,0.8947674632072449,,
5459,13,,0.685236394405365,0.7383000254631042
5499,14,0.9076796770095825,,
5549,14,1.0698200464248657,,
5599,14,1.0699056386947632,,
5649,14,0.9208641052246094,,
5699,14,0.9221269488334656,,
5749,14,0.9291238784790039,,
5799,14,0.9956445693969727,,
5849,14,0.9072956442832947,,
5849,14,,0.6945512890815735,0.7483000159263611
5899,15,1.0384025573730469,,
5949,15,1.088726282119751,,
5999,15,1.0369163751602173,,
6049,15,1.0512689352035522,,
6099,15,0.9819424748420715,,
6149,15,1.0223972797393799,,
6199,15,1.2121739387512207,,
6239,15,,0.6973958611488342,0.8008000254631042
6249,16,0.9859901070594788,,
6299,16,1.1425652503967285,,
6349,16,0.9360055923461914,,
6399,16,1.118216633796692,,
6449,16,0.9347485899925232,,
6499,16,0.8928927183151245,,
6549,16,0.8705155253410339,,
6599,16,1.1138479709625244,,
6629,16,,0.7016626596450806,0.7710999846458435
6649,17,0.9604448080062866,,
6699,17,0.9961239695549011,,
6749,17,0.9375576376914978,,
6799,17,1.0000029802322388,,
6849,17,1.149329662322998,,
6899,17,1.050510048866272,,
6949,17,1.0254813432693481,,
6999,17,0.9047009348869324,,
7019,17,,0.706129789352417,0.6888999938964844
7049,18,0.9994668364524841,,
7099,18,0.8609697818756104,,
7149,18,0.8176240921020508,,
7199,18,1.2219946384429932,,
7249,18,1.1704256534576416,,
7299,18,0.8633955717086792,,
7349,18,0.9852854609489441,,
7399,18,1.0078191757202148,,
7409,18,,0.7077924609184265,0.7317000031471252
7449,19,0.9585313200950623,,
7499,19,1.1478383541107178,,
7549,19,0.8213932514190674,,
7599,19,1.0139105319976807,,
7649,19,0.9600467681884766,,
