epoch,train_loss,step,val_acc,val_loss,train_acc,test_acc
0,3.078936815261841,49,,,,
0,2.3178722858428955,99,,,,
0,2.262661933898926,149,,,,
0,2.0245513916015625,199,,,,
0,1.9689768552780151,249,,,,
0,1.930248737335205,299,,,,
0,,311,0.25459998846054077,2.0072503089904785,,
0,,311,,,0.17690804600715637,0.2770000100135803
1,1.9544895887374878,349,,,,
1,1.9512228965759277,399,,,,
1,1.9838051795959473,449,,,,
1,1.9192721843719482,499,,,,
1,1.7813342809677124,549,,,,
1,1.8460566997528076,599,,,,
1,,623,0.34459999203681946,1.7766773700714111,,
1,,623,,,0.3031099736690521,0.388700008392334
2,1.745633602142334,649,,,,
2,1.7877906560897827,699,,,,
2,1.858293056488037,749,,,,
2,1.7251622676849365,799,,,,
2,1.7198325395584106,849,,,,
2,1.9319485425949097,899,,,,
2,,935,0.3878999948501587,1.6908164024353027,,
2,,935,,,0.36175379157066345,0.42980000376701355
3,1.7217744588851929,949,,,,
3,1.489195704460144,999,,,,
3,1.6481215953826904,1049,,,,
3,1.821071743965149,1099,,,,
3,1.5769007205963135,1149,,,,
3,1.8402918577194214,1199,,,,
3,,1247,0.41929998993873596,1.6448769569396973,,
3,,1247,,,0.40016525983810425,0.4681999981403351
4,1.4444295167922974,1249,,,,
4,1.662718653678894,1299,,,,
4,1.68149995803833,1349,,,,
4,1.6364734172821045,1399,,,,
4,1.6188186407089233,1449,,,,
4,1.5337520837783813,1499,,,,
4,1.5278266668319702,1549,,,,
4,,1559,0.44429999589920044,1.626867651939392,,
4,,1559,,,0.4341696798801422,0.48579999804496765
5,1.4952483177185059,1599,,,,
5,1.6273610591888428,1649,,,,
5,1.3783296346664429,1699,,,,
5,1.5679484605789185,1749,,,,
5,1.3839571475982666,1799,,,,
5,1.5381718873977661,1849,,,,
5,,1871,0.5012000203132629,1.4732272624969482,,
5,,1871,,,0.4723808169364929,0.5552999973297119
6,1.4059178829193115,1899,,,,
6,1.4091366529464722,1949,,,,
6,1.5289851427078247,1999,,,,
6,1.2882084846496582,2049,,,,
6,1.3622586727142334,2099,,,,
6,1.2497880458831787,2149,,,,
6,,2183,0.5378999710083008,1.382169485092163,,
6,,2183,,,0.5055839419364929,0.6019999980926514
7,1.4152805805206299,2199,,,,
7,1.5404038429260254,2249,,,,
7,1.4072937965393066,2299,,,,
7,1.2249549627304077,2349,,,,
7,1.3828245401382446,2399,,,,
7,1.2669060230255127,2449,,,,
7,,2495,0.5383999943733215,1.4063689708709717,,
7,,2495,,,0.5504056215286255,0.6152999997138977
8,1.415184736251831,2499,,,,
8,1.057033658027649,2549,,,,
8,1.33550226688385,2599,,,,
8,1.520134449005127,2649,,,,
8,1.1430459022521973,2699,,,,
8,1.2296282052993774,2749,,,,
8,1.309090495109558,2799,,,,
8,,2807,0.574400007724762,1.3167020082473755,,
8,,2807,,,0.5720152258872986,0.6340000033378601
9,1.3015375137329102,2849,,,,
9,1.4089112281799316,2899,,,,
9,1.4001154899597168,2949,,,,
9,1.318974494934082,2999,,,,
9,1.186858057975769,3049,,,,
9,1.2409465312957764,3099,,,,
9,,3119,0.5983999967575073,1.268108606338501,,
9,,3119,,,0.595778226852417,0.6759999990463257
10,1.2645595073699951,3149,,,,
10,1.073972463607788,3199,,,,
10,1.256568431854248,3249,,,,
10,1.2989354133605957,3299,,,,
10,1.1971487998962402,3349,,,,
10,1.3785316944122314,3399,,,,
10,,3431,0.6208999752998352,1.192884087562561,,
10,,3431,,,0.6139323115348816,0.6966999769210815
11,0.9000550508499146,3449,,,,
11,0.8794229030609131,3499,,,,
11,0.9239752292633057,3549,,,,
11,1.1290006637573242,3599,,,,
11,1.162725806236267,3649,,,,
11,1.1920106410980225,3699,,,,
11,,3743,0.6323999762535095,1.1703904867172241,,
11,,3743,,,0.6301081776618958,0.711899995803833
12,1.1510906219482422,3749,,,,
12,1.16226065158844,3799,,,,
12,1.0590256452560425,3849,,,,
12,1.0196027755737305,3899,,,,
12,1.1694098711013794,3949,,,,
12,1.1061158180236816,3999,,,,
12,1.1658564805984497,4049,,,,
12,,4055,0.6241000294685364,1.1938287019729614,,
12,,4055,,,0.6480118036270142,0.7081000208854675
13,0.8704183101654053,4099,,,,
13,0.9256136417388916,4149,,,,
13,1.0530798435211182,4199,,,,
13,1.0361477136611938,4249,,,,
13,0.8301622271537781,4299,,,,
13,1.0905743837356567,4349,,,,
13,,4367,0.6517000198364258,1.1493037939071655,,
13,,4367,,,0.6660406589508057,0.7357000112533569
14,1.2063101530075073,4399,,,,
14,1.2587696313858032,4449,,,,
14,0.9375510811805725,4499,,,,
14,0.9990686178207397,4549,,,,
14,0.9957781434059143,4599,,,,
14,1.1826895475387573,4649,,,,
14,,4679,0.6640999913215637,1.1075443029403687,,
14,,4679,,,0.6744791865348816,0.7491000294685364
