epoch,step,train_loss2,train_loss1,train_acc1,test_acc,train_acc2
0,49,0.015509024262428284,0.015385754406452179,,,
0,99,0.014409022405743599,0.014943079091608524,,,
0,149,0.01506183110177517,0.014309405349195004,,,
0,199,0.01377158798277378,0.013829733245074749,,,
0,249,0.01298059243708849,0.012221266515552998,,,
0,299,0.014175540767610073,0.013010737486183643,,,
0,349,0.014660223387181759,0.014508563093841076,,,
0,389,,,0.34645432233810425,0.4668000042438507,0.32700321078300476
1,399,0.012378732673823833,0.011946698650717735,,,
1,449,0.011722046881914139,0.011618231423199177,,,
1,499,0.012195693328976631,0.012118538841605186,,,
1,549,0.011750636622309685,0.011460664682090282,,,
1,599,0.012669284828007221,0.012765772640705109,,,
1,649,0.0105628352612257,0.01000018697232008,,,
1,699,0.011354275979101658,0.011620879173278809,,,
1,749,0.011363434605300426,0.011512476950883865,,,
1,779,,,0.47988781332969666,0.5654000043869019,0.46816906332969666
2,799,0.01015772670507431,0.010469173081219196,,,
2,849,0.00938060786575079,0.00917238462716341,,,
2,899,0.010256913490593433,0.009921925142407417,,,
2,949,0.009719759225845337,0.009831801056861877,,,
2,999,0.0095649603754282,0.009335389360785484,,,
2,1049,0.009926426224410534,0.009581244550645351,,,
2,1099,0.010442870669066906,0.010403894819319248,,,
2,1149,0.00914229080080986,0.00896401610225439,,,
2,1169,,,0.5505809187889099,0.6352999806404114,0.5460537075996399
3,1199,0.009180556051433086,0.010008675046265125,,,
3,1249,0.008519388735294342,0.008934580720961094,,,
3,1299,0.007910721935331821,0.007599446456879377,,,
3,1349,0.007730228826403618,0.007416775915771723,,,
3,1399,0.008169892244040966,0.007916760630905628,,,
3,1449,0.010713459923863411,0.010544349439442158,,,
3,1499,0.007992224767804146,0.0077088396064937115,,,
3,1549,0.007211766671389341,0.0072254217229783535,,,
3,1559,,,0.5921674966812134,0.6941999793052673,0.5859975814819336
4,1599,0.006574992556124926,0.006276136729866266,,,
4,1649,0.007152600213885307,0.006624267902225256,,,
4,1699,0.007143062073737383,0.007664091885089874,,,
4,1749,0.009909968823194504,0.009367751888930798,,,
4,1799,0.0071930126287043095,0.0067220041528344154,,,
4,1849,0.007380688097327948,0.006848996039479971,,,
4,1899,0.008567266166210175,0.00843073334544897,,,
4,1949,0.005831629503518343,0.006438772194087505,,,
4,1949,,,0.6215945482254028,0.6682000160217285,0.6207131147384644
5,1999,0.006416904274374247,0.005793646443635225,,,
5,2049,0.008047245442867279,0.008729914203286171,,,
5,2099,0.0070660714991390705,0.0071889557875692844,,,
5,2149,0.007829663343727589,0.007589478045701981,,,
5,2199,0.00807328149676323,0.007350257132202387,,,
5,2249,0.006011773832142353,0.006382274907082319,,,
