epoch,train_loss,step,val_acc,val_loss,train_acc,test_acc
0,2.003453493118286,49,,,,
0,1.8546881675720215,99,,,,
0,1.8806465864181519,149,,,,
0,1.8124771118164062,199,,,,
0,1.6725127696990967,249,,,,
0,1.626484751701355,299,,,,
0,,311,0.31049999594688416,1.9642775058746338,,
0,,311,,,0.2586638629436493,0.37790000438690186
1,1.6518239974975586,349,,,,
1,1.3360226154327393,399,,,,
1,1.5013492107391357,449,,,,
1,1.5686891078948975,499,,,,
1,1.3481630086898804,549,,,,
1,1.4312689304351807,599,,,,
1,,623,0.38749998807907104,1.8408995866775513,,
1,,623,,,0.3519631326198578,0.510699987411499
2,1.1176841259002686,649,,,,
2,1.1783194541931152,699,,,,
2,1.2039673328399658,749,,,,
2,1.117737889289856,799,,,,
2,1.429024577140808,849,,,,
2,1.003414511680603,899,,,,
2,,935,0.39640000462532043,1.8380404710769653,,
2,,935,,,0.38914763927459717,0.510200023651123
3,0.995540976524353,949,,,,
3,0.9336105585098267,999,,,,
3,0.731113851070404,1049,,,,
3,0.49516093730926514,1099,,,,
3,0.9013326168060303,1149,,,,
3,0.6449049711227417,1199,,,,
3,,1247,0.4309000074863434,1.8251210451126099,,
3,,1247,,,0.4318910241127014,0.5867000222206116
4,0.6358059644699097,1249,,,,
4,-0.05549216270446777,1299,,,,
4,0.41581594944000244,1349,,,,
4,0.34308016300201416,1399,,,,
4,0.3099604845046997,1449,,,,
4,0.5415253639221191,1499,,,,
4,0.4824106693267822,1549,,,,
4,,1559,0.447299987077713,1.8590470552444458,,
4,,1559,,,0.4574819803237915,0.6039000153541565
5,-0.026665568351745605,1599,,,,
5,-0.1909710168838501,1649,,,,
5,-0.3581082820892334,1699,,,,
5,0.043976426124572754,1749,,,,
5,-0.019098639488220215,1799,,,,
5,0.08594882488250732,1849,,,,
5,,1871,0.48330000042915344,1.8720678091049194,,
5,,1871,,,0.47931692004203796,0.6514000296592712
6,-0.7650381326675415,1899,,,,
6,-0.5831384658813477,1949,,,,
6,-0.2619822025299072,1999,,,,
6,-0.10355985164642334,2049,,,,
6,-0.9178811311721802,2099,,,,
6,-0.2871363162994385,2149,,,,
6,,2183,0.49889999628067017,1.981319546699524,,
6,,2183,,,0.4983724057674408,0.6995999813079834
7,-1.170045256614685,2199,,,,
7,-1.3006030321121216,2249,,,,
7,-0.9685776233673096,2299,,,,
7,-0.8935221433639526,2349,,,,
7,-0.8530174493789673,2399,,,,
7,-1.1463505029678345,2449,,,,
7,,2495,0.5235999822616577,1.9564398527145386,,
7,,2495,,,0.5145483016967773,0.7335000038146973
8,-1.373544692993164,2499,,,,
8,-1.6496270895004272,2549,,,,
8,-1.7815290689468384,2599,,,,
8,-1.4976489543914795,2649,,,,
8,-1.424308180809021,2699,,,,
8,-1.5059165954589844,2749,,,,
8,-1.13271164894104,2799,,,,
8,,2807,0.527999997138977,1.9869393110275269,,
8,,2807,,,0.5316506624221802,0.7366999983787537
9,-1.9829976558685303,2849,,,,
9,-1.8667724132537842,2899,,,,
9,-2.183183193206787,2949,,,,
9,-1.977428674697876,2999,,,,
9,-2.2084856033325195,3049,,,,
9,-2.188267707824707,3099,,,,
9,,3119,0.5354999899864197,2.137880325317383,,
9,,3119,,,0.5421174168586731,0.7501999735832214
10,-1.5374703407287598,3149,,,,
10,-1.5100617408752441,3199,,,,
10,-1.638213872909546,3249,,,,
10,-1.151399850845337,3299,,,,
10,-1.6141655445098877,3349,,,,
10,-1.3331685066223145,3399,,,,
10,,3431,0.45910000801086426,2.5867979526519775,,
10,,3431,,,0.46807390451431274,0.6245999932289124
11,-2.5417184829711914,3449,,,,
11,-2.9873263835906982,3499,,,,
11,-3.0513386726379395,3549,,,,
11,-2.752869129180908,3599,,,,
11,-2.776956081390381,3649,,,,
11,-2.686378240585327,3699,,,,
11,,3743,0.49889999628067017,2.4527361392974854,,
11,,3743,,,0.5047826766967773,0.6937000155448914
12,-2.845493793487549,3749,,,,
12,-2.6524198055267334,3799,,,,
12,-3.093921422958374,3849,,,,
12,-3.045123338699341,3899,,,,
12,-2.5707459449768066,3949,,,,
12,-2.676429271697998,3999,,,,
12,-1.5760369300842285,4049,,,,
12,,4055,0.5167999863624573,2.358025074005127,,
12,,4055,,,0.5178285241127014,0.7246000170707703
13,-3.4599876403808594,4099,,,,
13,-3.5838277339935303,4149,,,,
13,-2.9906911849975586,4199,,,,
13,-3.3073954582214355,4249,,,,
13,-3.580538272857666,4299,,,,
13,-3.05552077293396,4349,,,,
13,,4367,0.5194000005722046,2.514324426651001,,
13,,4367,,,0.5299479365348816,0.7358999848365784
14,-4.030960559844971,4399,,,,
14,-3.6230859756469727,4449,,,,
14,-3.0909628868103027,4499,,,,
14,-3.8619730472564697,4549,,,,
14,-4.283061981201172,4599,,,,
14,-3.864316940307617,4649,,,,
14,,4679,0.5253999829292297,2.5658838748931885,,
14,,4679,,,0.5351312160491943,0.7366999983787537
15,-4.135135173797607,4699,,,,
15,-4.14723014831543,4749,,,,
15,-4.3486328125,4799,,,,
15,-4.733118057250977,4849,,,,
15,-4.507011890411377,4899,,,,
15,-4.139078140258789,4949,,,,
15,,4991,0.535099983215332,2.5067636966705322,,
15,,4991,,,0.5467247366905212,0.7490000128746033
16,-5.117348670959473,4999,,,,
16,-5.298686504364014,5049,,,,
16,-4.899537086486816,5099,,,,
16,-5.268258571624756,5149,,,,
16,-4.864091873168945,5199,,,,
16,-5.258339881896973,5249,,,,
16,-5.314122676849365,5299,,,,
16,,5303,0.5457000136375427,2.606222152709961,,
16,,5303,,,0.5549879670143127,0.7764999866485596
17,-5.694458961486816,5349,,,,
17,-6.557989120483398,5399,,,,
17,-5.1543145179748535,5449,,,,
17,-5.36588191986084,5499,,,,
17,-5.893980026245117,5549,,,,
17,-4.957461357116699,5599,,,,
17,,5615,0.550599992275238,2.67257022857666,,
17,,5615,,,0.5627003312110901,0.782800018787384
18,-6.087421894073486,5649,,,,
18,-6.481622219085693,5699,,,,
18,-5.474709510803223,5749,,,,
18,-6.0142011642456055,5799,,,,
18,-6.491133689880371,5849,,,,
18,-4.927587032318115,5899,,,,
18,,5927,0.5562000274658203,2.759554862976074,,
18,,5927,,,0.5702123641967773,0.7903000116348267
19,-6.90620231628418,5949,,,,
19,-7.555544853210449,5999,,,,
19,-7.744137287139893,6049,,,,
19,-6.988935470581055,6099,,,,
19,-6.806369781494141,6149,,,,
19,-6.872905254364014,6199,,,,
19,,6239,0.5580000281333923,2.7250216007232666,,
19,,6239,,,0.5752954483032227,0.7990000247955322
20,-6.723424911499023,6249,,,,
20,-5.935063362121582,6299,,,,
20,-5.692197799682617,6349,,,,
20,-5.800872802734375,6399,,,,
20,-6.489938735961914,6449,,,,
20,-5.819503307342529,6499,,,,
20,-7.666647911071777,6549,,,,
20,,6551,0.5069000124931335,3.4102821350097656,,
20,,6551,,,0.5114683508872986,0.6931999921798706
21,-7.076450347900391,6599,,,,
21,-7.617668151855469,6649,,,,
21,-5.769449234008789,6699,,,,
21,-7.20127010345459,6749,,,,
21,-7.618253707885742,6799,,,,
21,-5.730987071990967,6849,,,,
21,,6863,0.5232999920845032,3.0615234375,,
21,,6863,,,0.5320512652397156,0.7440999746322632
22,-6.689547061920166,6899,,,,
22,-6.386721611022949,6949,,,,
22,-7.311112403869629,6999,,,,
22,-7.634372711181641,7049,,,,
22,-6.259522438049316,7099,,,,
22,-6.750008583068848,7149,,,,
22,,7175,0.5227000117301941,3.210819721221924,,
22,,7175,,,0.5443960428237915,0.7286999821662903
23,-6.243311882019043,7199,,,,
23,-7.5770649909973145,7249,,,,
23,-7.542072296142578,7299,,,,
23,-7.925601482391357,7349,,,,
23,-6.900101661682129,7399,,,,
23,-7.891538619995117,7449,,,,
23,,7487,0.51910001039505,3.319559097290039,,
23,,7487,,,0.5497546195983887,0.7200000286102295
24,-8.025834083557129,7499,,,,
