step,train_loss,epoch,test_acc,train_acc
49,1.9726674556732178,0,,
99,1.76021409034729,0,,
149,1.778883457183838,0,,
199,1.9514567852020264,0,,
249,1.699277400970459,0,,
299,1.7243852615356445,0,,
349,1.5704081058502197,0,,
389,,0,0.38499999046325684,0.27608174085617065
399,1.4857256412506104,1,,
449,1.5788249969482422,1,,
499,1.4184128046035767,1,,
549,1.3497411012649536,1,,
599,1.5618523359298706,1,,
649,1.3291549682617188,1,,
699,1.456803798675537,1,,
749,1.3206984996795654,1,,
779,,1,0.4717999994754791,0.3709535300731659
799,0.9528841376304626,2,,
849,1.0714302062988281,2,,
899,1.5431221723556519,2,,
949,0.9112323522567749,2,,
999,0.9264963865280151,2,,
1049,1.0817430019378662,2,,
1099,0.8542389869689941,2,,
1149,0.98930823802948,2,,
1169,,2,0.4546000063419342,0.4243389368057251
1199,0.5828588008880615,3,,
1249,0.594868540763855,3,,
1299,0.7377092838287354,3,,
1349,0.5712411403656006,3,,
1399,0.6994602680206299,3,,
1449,0.5812995433807373,3,,
1499,0.6023372411727905,3,,
1549,0.6631914377212524,3,,
1559,,3,0.6287999749183655,0.4621194005012512
1599,0.18293488025665283,4,,
1649,-0.0011641979217529297,4,,
1699,0.12063825130462646,4,,
1749,0.0786670446395874,4,,
1799,0.24687647819519043,4,,
1849,-0.012847185134887695,4,,
1899,0.17099785804748535,4,,
1949,-0.11536109447479248,4,,
1949,,4,0.7081000208854675,0.49036458134651184
1999,-0.40142154693603516,5,,
2049,-0.3279820680618286,5,,
2099,-0.4608675241470337,5,,
2149,-0.3668029308319092,5,,
2199,0.028792977333068848,5,,
2249,-0.16528546810150146,5,,
2299,-0.03273463249206543,5,,
2339,,5,0.6747999787330627,0.5130208134651184
2349,-0.45895886421203613,6,,
2399,-0.13889503479003906,6,,
2449,-0.7321157455444336,6,,
2499,-0.9878414869308472,6,,
2549,-0.817366361618042,6,,
2599,-1.0839228630065918,6,,
2649,-0.7817404270172119,6,,
2699,-0.5601469278335571,6,,
2729,,6,0.7376000285148621,0.5261217951774597
2749,-1.5714571475982666,7,,
2799,-1.2899727821350098,7,,
2849,-1.2343835830688477,7,,
2899,-1.5263410806655884,7,,
2949,-1.713350534439087,7,,
2999,-1.4939494132995605,7,,
3049,-1.7443296909332275,7,,
3099,-1.5788480043411255,7,,
3119,,7,0.7304999828338623,0.5422475934028625
3149,-2.0842084884643555,8,,
3199,-1.7366013526916504,8,,
3249,-2.258063316345215,8,,
3299,-1.8020315170288086,8,,
3349,-2.272414207458496,8,,
3399,-2.239649772644043,8,,
3449,-1.855162501335144,8,,
3499,-2.1411867141723633,8,,
3509,,8,0.7774999737739563,0.5534455180168152
3549,-2.569239616394043,9,,
3599,-2.6563966274261475,9,,
3649,-2.195648193359375,9,,
3699,-2.3445887565612793,9,,
3749,-2.1884536743164062,9,,
3799,-2.4571375846862793,9,,
3849,-2.864438056945801,9,,
3899,-2.9854984283447266,9,,
3899,,9,0.7785999774932861,0.5629407167434692
3949,-1.2962367534637451,10,,
3999,-2.212644100189209,10,,
4049,-2.409865617752075,10,,
4099,-2.014406681060791,10,,
4149,-2.000438690185547,10,,
4199,-2.293445587158203,10,,
4249,-2.6184113025665283,10,,
4289,,10,0.7232999801635742,0.4956129789352417
4299,-2.6432418823242188,11,,
4349,-2.2103867530822754,11,,
4399,-2.692258834838867,11,,
4449,-2.761077642440796,11,,
4499,-2.361513376235962,11,,
4549,-3.2649166584014893,11,,
4599,-3.5163187980651855,11,,
4649,-2.5956168174743652,11,,
4679,,11,0.7425000071525574,0.5246995091438293
4699,-3.483919382095337,12,,
4749,-3.203986167907715,12,,
4799,-3.2278404235839844,12,,
4849,-3.3503670692443848,12,,
4899,-2.781263589859009,12,,
4949,-3.104412078857422,12,,
4999,-3.659921884536743,12,,
5049,-3.166754961013794,12,,
5069,,12,0.7369999885559082,0.5358173251152039
5099,-4.411657333374023,13,,
5149,-4.697155952453613,13,,
5199,-3.7471368312835693,13,,
5249,-5.337499618530273,13,,
5299,-4.190926551818848,13,,
5349,-3.6830711364746094,13,,
5399,-4.402870178222656,13,,
5449,-3.896401882171631,13,,
5459,,13,0.7639999985694885,0.543549656867981
5499,-4.904111862182617,14,,
5549,-4.2943115234375,14,,
5599,-4.275318145751953,14,,
5649,-4.89243745803833,14,,
5699,-5.110415458679199,14,,
5749,-4.1087870597839355,14,,
5799,-4.478200912475586,14,,
5849,-4.626944541931152,14,,
5849,,14,0.7735000252723694,0.5518028736114502
5899,-5.212870121002197,15,,
5949,-4.738987922668457,15,,
5999,-4.689689636230469,15,,
6049,-5.056077003479004,15,,
6099,-5.320242404937744,15,,
6149,-5.455404281616211,15,,
6199,-5.841639518737793,15,,
6239,,15,0.7714999914169312,0.5620392560958862
6249,-5.139215469360352,16,,
6299,-6.4930853843688965,16,,
6349,-5.521770000457764,16,,
6399,-5.829277992248535,16,,
6449,-5.911629676818848,16,,
6499,-6.108846187591553,16,,
6549,-5.844897747039795,16,,
6599,-6.270524024963379,16,,
6629,,16,0.8090999722480774,0.5670673251152039
6649,-5.8328399658203125,17,,
6699,-5.171344757080078,17,,
6749,-5.994213581085205,17,,
6799,-5.411015510559082,17,,
6849,-6.773425579071045,17,,
6899,-5.518737316131592,17,,
6949,-5.826100826263428,17,,
6999,-6.5302252769470215,17,,
7019,,17,0.8059999942779541,0.5753004550933838
7049,-7.702520370483398,18,,
7099,-5.997418403625488,18,,
7149,-6.07075834274292,18,,
7199,-7.598515510559082,18,,
7249,-7.043049335479736,18,,
7299,-6.281604290008545,18,,
7349,-6.367535591125488,18,,
7399,-7.743414878845215,18,,
7409,,18,0.8202999830245972,0.5818509459495544
7449,-7.533006191253662,19,,
7499,-7.394243240356445,19,,
7549,-6.830179214477539,19,,
7599,-6.336429595947266,19,,
7649,-7.804998874664307,19,,
7699,-6.301448345184326,19,,
7749,-7.411308288574219,19,,
7799,-7.910003662109375,19,,
7799,,19,0.8233000040054321,0.5856770873069763
7849,-7.083509922027588,20,,
7899,-5.366843223571777,20,,
7949,-6.594353199005127,20,,
7999,-5.874746322631836,20,,
8049,-6.668828010559082,20,,
8099,-7.375923156738281,20,,
8149,-7.614132404327393,20,,
8189,,20,0.7067000269889832,0.5280448794364929
8199,-6.1474690437316895,21,,
8249,-7.4676923751831055,21,,
8299,-7.571422100067139,21,,
8349,-5.980386257171631,21,,
8399,-6.977487564086914,21,,
8449,-6.248659610748291,21,,
8499,-7.330487251281738,21,,
8549,-7.244357109069824,21,,
8579,,21,0.7116000056266785,0.5448718070983887
8599,-6.247164726257324,22,,
8649,-6.504026412963867,22,,
8699,-7.6001691818237305,22,,
8749,-7.155833721160889,22,,
8799,-6.947710037231445,22,,
8849,-7.335017204284668,22,,
8899,-7.89561653137207,22,,
8949,-6.9994893074035645,22,,
8969,,22,0.7958999872207642,0.5564102530479431
8999,-7.077236175537109,23,,
9049,-7.982458114624023,23,,
9099,-9.215938568115234,23,,
9149,-8.097649574279785,23,,
9199,-7.2779645919799805,23,,
9249,-8.099283218383789,23,,
9299,-7.247959136962891,23,,
9349,-7.747837066650391,23,,
9359,,23,0.7961000204086304,0.5613781809806824
9399,-7.860809326171875,24,,
9449,-9.24431324005127,24,,
9499,-7.824333667755127,24,,
9549,-8.744758605957031,24,,
9599,-9.894619941711426,24,,
9649,-9.122326850891113,24,,
9699,-6.458495140075684,24,,
9749,-9.556300163269043,24,,
9749,,24,0.8065000176429749,0.5682692527770996
9799,-9.739208221435547,25,,
9849,-9.047757148742676,25,,
9899,-9.981977462768555,25,,
9949,-8.357221603393555,25,,
9999,-9.447433471679688,25,,
10049,-8.08154582977295,25,,
10099,-9.531181335449219,25,,
10139,,25,0.817300021648407,0.5769631266593933
10149,-9.043920516967773,26,,
10199,-8.399757385253906,26,,
10249,-9.02224349975586,26,,
10299,-10.10161018371582,26,,
10349,-8.954697608947754,26,,
10399,-8.371515274047852,26,,
10449,-8.661890029907227,26,,
10499,-8.954100608825684,26,,
10529,,26,0.8251000046730042,0.5807492136955261
10549,-8.326608657836914,27,,
10599,-9.199239730834961,27,,
10649,-10.617671966552734,27,,
10699,-10.847274780273438,27,,
10749,-10.392158508300781,27,,
10799,-9.980727195739746,27,,
10849,-9.653101921081543,27,,
10899,-9.083789825439453,27,,
10919,,27,0.8270999789237976,0.5860176086425781
10949,-10.334165573120117,28,,
10999,-10.190302848815918,28,,
11049,-10.12718391418457,28,,
11099,-9.739694595336914,28,,
11149,-9.732749938964844,28,,
11199,-9.481210708618164,28,,
11249,-9.606738090515137,28,,
11299,-10.665541648864746,28,,
