step,epoch,train_loss,val_loss,val_acc,train_acc,test_acc
49,0,2.360182285308838,,,,
99,0,2.1457107067108154,,,,
149,0,2.149092197418213,,,,
199,0,2.0109996795654297,,,,
249,0,2.034464120864868,,,,
299,0,1.943466305732727,,,,
311,0,,1.9795870780944824,0.2741999924182892,,
311,0,,,,0.20602965354919434,0.30329999327659607
349,1,2.035064697265625,,,,
399,1,1.7799742221832275,,,,
449,1,1.87432861328125,,,,
499,1,1.818321943283081,,,,
549,1,1.8920773267745972,,,,
599,1,1.9141268730163574,,,,
623,1,,1.780442237854004,0.3441999852657318,,
623,1,,,,0.3092948794364929,0.3774000108242035
649,2,1.6911351680755615,,,,
699,2,1.769244909286499,,,,
749,2,1.8123478889465332,,,,
799,2,1.753145694732666,,,,
849,2,1.8315753936767578,,,,
899,2,1.604780673980713,,,,
935,2,,1.6924036741256714,0.4018999934196472,,
935,2,,,,0.37217047810554504,0.44519999623298645
949,3,1.726123571395874,,,,
999,3,1.6765198707580566,,,,
1049,3,1.685802698135376,,,,
1099,3,1.723244547843933,,,,
1149,3,1.6386843919754028,,,,
1199,3,1.63748300075531,,,,
1247,3,,1.562564492225647,0.44999998807907104,,
1247,3,,,,0.4161408245563507,0.4961000084877014
1249,4,1.5206191539764404,,,,
1299,4,1.526437759399414,,,,
1349,4,1.5226942300796509,,,,
1399,4,1.4640198945999146,,,,
1449,4,1.5610965490341187,,,,
1499,4,1.5636777877807617,,,,
1549,4,1.3740997314453125,,,,
1559,4,,1.5924561023712158,0.45329999923706055,,
1559,4,,,,0.46469351649284363,0.49729999899864197
1599,5,1.4031480550765991,,,,
1649,5,1.399873971939087,,,,
1699,5,1.5479412078857422,,,,
1749,5,1.4354043006896973,,,,
1799,5,1.4735350608825684,,,,
1849,5,1.5207107067108154,,,,
1871,5,,1.4540497064590454,0.5073000192642212,,
1871,5,,,,0.49997496604919434,0.5595999956130981
1899,6,1.358116865158081,,,,
1949,6,1.522242784500122,,,,
1999,6,1.5114763975143433,,,,
2049,6,1.3191152811050415,,,,
2099,6,1.5594937801361084,,,,
2149,6,1.332568645477295,,,,
2183,6,,1.3405225276947021,0.5594000220298767,,
2183,6,,,,0.5358073115348816,0.6233999729156494
2199,7,1.3816226720809937,,,,
2249,7,1.4292399883270264,,,,
2299,7,1.1772559881210327,,,,
2349,7,1.371750831604004,,,,
2399,7,1.4752148389816284,,,,
2449,7,1.2444168329238892,,,,
2495,7,,1.2845711708068848,0.5878000259399414,,
2495,7,,,,0.5695863366127014,0.6504999995231628
2499,8,1.3265128135681152,,,,
2549,8,1.268815517425537,,,,
2599,8,1.1493000984191895,,,,
2649,8,1.3099660873413086,,,,
2699,8,1.4228336811065674,,,,
2749,8,1.276411533355713,,,,
2799,8,1.1976499557495117,,,,
2807,8,,1.240830421447754,0.603600025177002,,
2807,8,,,,0.5924980044364929,0.6754000186920166
2849,9,1.2306766510009766,,,,
2899,9,1.3121328353881836,,,,
2949,9,1.2517116069793701,,,,
2999,9,1.1323318481445312,,,,
3049,9,1.0317881107330322,,,,
3099,9,1.1683952808380127,,,,
3119,9,,1.3016724586486816,0.5715000033378601,,
3119,9,,,,0.6114282608032227,0.6365000009536743
3149,10,1.1549146175384521,,,,
3199,10,1.0791693925857544,,,,
3249,10,1.1154428720474243,,,,
3299,10,1.2465945482254028,,,,
3349,10,1.075055718421936,,,,
3399,10,0.915622353553772,,,,
3431,10,,1.161130428314209,0.6371999979019165,,
3431,10,,,,0.6303585767745972,0.72079998254776
3449,11,1.1008353233337402,,,,
3499,11,1.2244092226028442,,,,
