epoch,train_loss,step,val_acc,val_loss,train_acc,test_acc
0,2.3584489822387695,49,,,,
0,2.3345789909362793,99,,,,
0,2.3148090839385986,149,,,,
0,2.133577823638916,199,,,,
0,2.0542447566986084,249,,,,
0,2.086771011352539,299,,,,
0,,311,0.21480000019073486,2.066828727722168,,
0,,311,,,0.1515675038099289,0.23010000586509705
1,2.0925650596618652,349,,,,
1,2.0416789054870605,399,,,,
1,1.9656026363372803,449,,,,
1,1.9351295232772827,499,,,,
1,1.9756245613098145,549,,,,
1,1.8398953676223755,599,,,,
1,,623,0.29600000381469727,1.9207295179367065,,
1,,623,,,0.2572365701198578,0.3257000148296356
2,1.8733452558517456,649,,,,
2,1.8130320310592651,699,,,,
2,1.8790076971054077,749,,,,
2,1.7093472480773926,799,,,,
2,1.8842484951019287,849,,,,
2,1.784969687461853,899,,,,
2,,935,0.35440000891685486,1.8039661645889282,,
2,,935,,,0.31547975540161133,0.38839998841285706
3,1.8425495624542236,949,,,,
3,1.6046011447906494,999,,,,
3,1.773091435432434,1049,,,,
3,1.5349606275558472,1099,,,,
3,1.801466941833496,1149,,,,
3,1.72677743434906,1199,,,,
3,,1247,0.4072999954223633,1.6553394794464111,,
3,,1247,,,0.3637319803237915,0.446399986743927
4,1.649512529373169,1249,,,,
4,1.706892967224121,1299,,,,
4,1.7221524715423584,1349,,,,
4,1.5129636526107788,1399,,,,
4,1.607270359992981,1449,,,,
4,1.7392606735229492,1499,,,,
4,1.6480817794799805,1549,,,,
4,,1559,0.44110000133514404,1.6060737371444702,,
4,,1559,,,0.4090544879436493,0.4862000048160553
5,1.580438494682312,1599,,,,
5,1.5079352855682373,1649,,,,
5,1.4847872257232666,1699,,,,
5,1.4416285753250122,1749,,,,
5,1.5879018306732178,1799,,,,
5,1.5733222961425781,1849,,,,
5,,1871,0.44600000977516174,1.5645488500595093,,
5,,1871,,,0.4414813816547394,0.4927999973297119
6,1.4139906167984009,1899,,,,
6,1.5154458284378052,1949,,,,
6,1.5019617080688477,1999,,,,
6,1.5003126859664917,2049,,,,
6,1.3910166025161743,2099,,,,
6,1.4222712516784668,2149,,,,
6,,2183,0.49549999833106995,1.4670584201812744,,
6,,2183,,,0.47360777854919434,0.5521000027656555
7,1.5109970569610596,2199,,,,
7,1.4569605588912964,2249,,,,
7,1.4351223707199097,2299,,,,
7,1.3933278322219849,2349,,,,
7,1.390051007270813,2399,,,,
7,1.845456600189209,2449,,,,
7,,2495,0.5101000070571899,1.4269623756408691,,
7,,2495,,,0.49609375,0.5777000188827515
8,1.560285210609436,2499,,,,
8,1.3893128633499146,2549,,,,
8,1.2456095218658447,2599,,,,
8,1.5016010999679565,2649,,,,
8,1.5065521001815796,2699,,,,
8,1.3492929935455322,2749,,,,
8,1.317140817642212,2799,,,,
8,,2807,0.5142999887466431,1.4154751300811768,,
8,,2807,,,0.5206330418586731,0.5781000256538391
9,1.4464200735092163,2849,,,,
9,1.3281046152114868,2899,,,,
9,1.2882992029190063,2949,,,,
9,1.42862868309021,2999,,,,
9,1.4208319187164307,3049,,,,
9,1.3476756811141968,3099,,,,
9,,3119,0.489300012588501,1.5060185194015503,,
9,,3119,,,0.5356320142745972,0.5530999898910522
10,1.2750930786132812,3149,,,,
10,1.2562118768692017,3199,,,,
10,1.211600422859192,3249,,,,
10,1.4552443027496338,3299,,,,
10,1.4402072429656982,3349,,,,
10,1.2504924535751343,3399,,,,
10,,3431,0.5709999799728394,1.306044101715088,,
10,,3431,,,0.5592698454856873,0.6452999711036682
11,1.1533344984054565,3449,,,,
11,1.469040870666504,3499,,,,
11,1.32170569896698,3549,,,,
11,1.2024002075195312,3599,,,,
11,1.266404390335083,3649,,,,
11,1.5216835737228394,3699,,,,
11,,3743,0.5673999786376953,1.351298451423645,,
11,,3743,,,0.5730168223381042,0.6292999982833862
12,1.200945496559143,3749,,,,
12,1.3247700929641724,3799,,,,
12,1.0920145511627197,3849,,,,
12,1.0313761234283447,3899,,,,
12,1.3587915897369385,3949,,,,
12,1.1237207651138306,3999,,,,
12,1.1150517463684082,4049,,,,
12,,4055,0.6060000061988831,1.2368745803833008,,
12,,4055,,,0.5901942849159241,0.6690999865531921
13,1.377807855606079,4099,,,,
13,1.246337652206421,4149,,,,
13,1.3829162120819092,4199,,,,
13,1.0211409330368042,4249,,,,
13,1.1393754482269287,4299,,,,
13,1.2064952850341797,4349,,,,
13,,4367,0.599399983882904,1.2542728185653687,,
13,,4367,,,0.6079226732254028,0.6762999892234802
14,1.00801682472229,4399,,,,
14,1.1614378690719604,4449,,,,
14,1.1925249099731445,4499,,,,
14,1.3597869873046875,4549,,,,
14,1.3830571174621582,4599,,,,
14,1.093949556350708,4649,,,,
14,,4679,0.614799976348877,1.1986767053604126,,
14,,4679,,,0.6186648607254028,0.6938999891281128
15,1.1476695537567139,4699,,,,
15,1.098227620124817,4749,,,,
15,1.2929328680038452,4799,,,,
15,1.212310552597046,4849,,,,
15,1.1077988147735596,4899,,,,
15,1.1008987426757812,4949,,,,
15,,4991,0.6274999976158142,1.1802555322647095,,
15,,4991,,,0.6334885954856873,0.7009999752044678
16,1.050468921661377,4999,,,,
16,1.3555259704589844,5049,,,,
16,1.2345695495605469,5099,,,,
16,1.0533547401428223,5149,,,,
