train_loss,epoch,step,val_acc,val_loss,test_acc,train_acc
2.5286519527435303,0,49,,,,
2.656277656555176,0,99,,,,
2.4212417602539062,0,149,,,,
2.679896831512451,0,199,,,,
2.39737868309021,0,249,,,,
2.427708625793457,0,299,,,,
,0,311,0.14910000562667847,2.7741761207580566,,
,0,311,,,0.16169999539852142,0.12535056471824646
2.148122787475586,1,349,,,,
2.5647084712982178,1,399,,,,
2.2742416858673096,1,449,,,,
2.4521327018737793,1,499,,,,
2.376776933670044,1,549,,,,
2.4229846000671387,1,599,,,,
,1,623,0.20069999992847443,13.938011169433594,,
,1,623,,,0.24199999868869781,0.1720001995563507
2.26570463180542,2,649,,,,
2.1890883445739746,2,699,,,,
1.988222599029541,2,749,,,,
2.0040199756622314,2,799,,,,
2.0486040115356445,2,849,,,,
2.1318531036376953,2,899,,,,
,2,935,0.2551000118255615,2.026038408279419,,
,2,935,,,0.3010999858379364,0.2248096913099289
1.986352801322937,3,949,,,,
2.1863081455230713,3,999,,,,
1.9193542003631592,3,1049,,,,
1.9230198860168457,3,1099,,,,
2.0046515464782715,3,1149,,,,
2.030241012573242,3,1199,,,,
,3,1247,0.2928999960422516,1.9409198760986328,,
,3,1247,,,0.35929998755455017,0.2696063816547394
1.998101830482483,4,1249,,,,
1.9290797710418701,4,1299,,,,
2.053539752960205,4,1349,,,,
1.8758654594421387,4,1399,,,,
1.860738754272461,4,1449,,,,
1.9098666906356812,4,1499,,,,
1.895423412322998,4,1549,,,,
,4,1559,0.32359999418258667,1.8937597274780273,,
,4,1559,,,0.40720000863075256,0.3093199133872986
1.8592548370361328,5,1599,,,,
1.875732660293579,5,1649,,,,
1.9104876518249512,5,1699,,,,
1.7332854270935059,5,1749,,,,
1.8663749694824219,5,1799,,,,
1.8501031398773193,5,1849,,,,
,5,1871,0.33799999952316284,1.8890976905822754,,
,5,1871,,,0.42989999055862427,0.33994391560554504
1.8360964059829712,6,1899,,,,
1.8625277280807495,6,1949,,,,
1.9492844343185425,6,1999,,,,
1.7950350046157837,6,2049,,,,
1.8258262872695923,6,2099,,,,
1.9594714641571045,6,2149,,,,
,6,2183,0.37299999594688416,1.8183083534240723,,
,6,2183,,,0.4871000051498413,0.36586037278175354
1.7730329036712646,7,2199,,,,
1.8983782529830933,7,2249,,,,
1.7479138374328613,7,2299,,,,
1.7217488288879395,7,2349,,,,
1.7476288080215454,7,2399,,,,
1.7149560451507568,7,2449,,,,
,7,2495,0.39149999618530273,1.761399269104004,,
,7,2495,,,0.5047000050544739,0.3882712423801422
1.802262544631958,8,2499,,,,
1.594986915588379,8,2549,,,,
1.5632866621017456,8,2599,,,,
1.8566842079162598,8,2649,,,,
1.8211339712142944,8,2699,,,,
1.5969983339309692,8,2749,,,,
1.7044814825057983,8,2799,,,,
,8,2807,0.4242999851703644,1.6999599933624268,,
,8,2807,,,0.557699978351593,0.4061748683452606
1.5379832983016968,9,2849,,,,
1.578012466430664,9,2899,,,,
1.7982686758041382,9,2949,,,,
1.7130675315856934,9,2999,,,,
1.5158357620239258,9,3049,,,,
1.5706920623779297,9,3099,,,,
,9,3119,0.429500013589859,1.6963456869125366,,
,9,3119,,,0.5746999979019165,0.42412859201431274
