epoch,step,train_loss,val_loss,val_acc,train_acc,test_acc
0,49,2.3908894062042236,,,,
0,99,2.1384809017181396,,,,
0,149,2.220716714859009,,,,
0,199,2.042184829711914,,,,
0,249,2.1049766540527344,,,,
0,299,2.0461699962615967,,,,
0,311,,2.0299153327941895,0.24040000140666962,,
0,311,,,,0.1949869841337204,0.24490000307559967
1,349,1.9148675203323364,,,,
1,399,1.9931268692016602,,,,
1,449,1.8629770278930664,,,,
1,499,1.9704418182373047,,,,
1,549,1.8733875751495361,,,,
1,599,2.0648276805877686,,,,
1,623,,1.7837492227554321,0.35010001063346863,,
1,623,,,,0.2817758321762085,0.3668000102043152
2,649,1.878126621246338,,,,
2,699,1.8309780359268188,,,,
2,749,1.749804973602295,,,,
2,799,1.6724411249160767,,,,
2,849,1.7414010763168335,,,,
2,899,1.7026203870773315,,,,
2,935,,1.6976085901260376,0.3935999870300293,,
2,935,,,,0.35206329822540283,0.4138999879360199
3,949,1.8416342735290527,,,,
3,999,1.689343810081482,,,,
3,1049,1.5261964797973633,,,,
3,1099,1.5429551601409912,,,,
3,1149,1.5715495347976685,,,,
3,1199,1.620676875114441,,,,
3,1247,,1.6108633279800415,0.41200000047683716,,
3,1247,,,,0.40953025221824646,0.43720000982284546
4,1249,1.518506646156311,,,,
4,1299,1.7424436807632446,,,,
4,1349,1.4550702571868896,,,,
4,1399,1.3775070905685425,,,,
4,1449,1.527970314025879,,,,
4,1499,1.576886534690857,,,,
4,1549,1.558821678161621,,,,
4,1559,,1.529143214225769,0.45910000801086426,,
4,1559,,,,0.46173879504203796,0.4693000018596649
5,1599,1.6027830839157104,,,,
5,1649,1.4412907361984253,,,,
5,1699,1.6111663579940796,,,,
5,1749,1.2333016395568848,,,,
5,1799,1.350960612297058,,,,
5,1849,1.3318184614181519,,,,
5,1871,,1.2748432159423828,0.551800012588501,,
5,1871,,,,0.5036558508872986,0.5680999755859375
6,1899,1.1266032457351685,,,,
6,1949,1.297218680381775,,,,
6,1999,1.1941249370574951,,,,
6,2049,1.0961257219314575,,,,
6,2099,1.4601186513900757,,,,
6,2149,1.2121460437774658,,,,
6,2183,,1.3802284002304077,0.520799994468689,,
6,2183,,,,0.5613481402397156,0.545799970626831
7,2199,1.1377856731414795,,,,
7,2249,1.2703479528427124,,,,
7,2299,1.1037144660949707,,,,
7,2349,1.0183959007263184,,,,
7,2399,1.0408098697662354,,,,
7,2449,1.081193447113037,,,,
7,2495,,1.1495682001113892,0.6132000088691711,,
7,2495,,,,0.6039162874221802,0.6381000280380249
8,2499,1.149402379989624,,,,
8,2549,1.1834440231323242,,,,
8,2599,1.0982575416564941,,,,
8,2649,1.1649236679077148,,,,
8,2699,0.9962226152420044,,,,
8,2749,1.1349860429763794,,,,
8,2799,1.004547357559204,,,,
8,2807,,1.1570534706115723,0.6197999715805054,,
8,2807,,,,0.6381210088729858,0.6370000243186951
9,2849,0.9913080930709839,,,,
9,2899,1.057569146156311,,,,
9,2949,0.9406725764274597,,,,
9,2999,1.0437824726104736,,,,
9,3049,0.9964743256568909,,,,
9,3099,1.024741768836975,,,,
9,3119,,1.0210113525390625,0.6676999926567078,,
9,3119,,,,0.6708984375,0.6934999823570251
10,3149,0.9194629788398743,,,,
10,3199,0.837168276309967,,,,
10,3249,0.8579741716384888,,,,
10,3299,1.0309526920318604,,,,
10,3349,0.7830472588539124,,,,
10,3399,0.9483475089073181,,,,
10,3431,,0.9700031280517578,0.6880999803543091,,
10,3431,,,,0.698167085647583,0.7121000289916992
11,3449,0.8669865131378174,,,,
11,3499,1.0264972448349,,,,
11,3549,0.8324445486068726,,,,
11,3599,0.9100304245948792,,,,
11,3649,0.7789471745491028,,,,
11,3699,0.7017843127250671,,,,
11,3743,,0.9209175705909729,0.7074000239372253,,
11,3743,,,,0.7194511294364929,0.7394999861717224
12,3749,0.9576680064201355,,,,
12,3799,0.7460659146308899,,,,
12,3849,0.6985734701156616,,,,
12,3899,0.7963670492172241,,,,
12,3949,0.96803218126297,,,,
12,3999,0.7385382652282715,,,,
12,4049,0.9554789066314697,,,,
12,4055,,0.9260122179985046,0.7114999890327454,,
12,4055,,,,0.7312700152397156,0.7329000234603882
13,4099,0.9752615690231323,,,,
13,4149,0.703295886516571,,,,
13,4199,0.8410341143608093,,,,
13,4249,0.7527279257774353,,,,
13,4299,0.7525092363357544,,,,
13,4349,0.9417135715484619,,,,
13,4367,,1.1124393939971924,0.6470000147819519,,
13,4367,,,,0.7437649965286255,0.6625999808311462
14,4399,0.8122905492782593,,,,
14,4449,0.9999523162841797,,,,
