epoch,step,train_loss1,train_loss2,val_acc1,val_acc2,train_acc2,train_acc1,test_acc
0,49,0.017053328454494476,0.01757468655705452,,,,,
0,99,0.01585356891155243,0.01608992926776409,,,,,
0,149,0.015931563451886177,0.01605452410876751,,,,,
0,199,0.015477633103728294,0.015998950228095055,,,,,
0,249,0.015329932793974876,0.015442303381860256,,,,,
0,299,0.013574974611401558,0.013630482368171215,,,,,
0,311,,,0.33730000257492065,0.35089999437332153,,,
0,311,,,,,0.25250402092933655,0.25490784645080566,0.3576938211917877
1,349,0.0141941262409091,0.0144334202632308,,,,,
1,399,0.012263573706150055,0.012250402010977268,,,,,
1,449,0.013335270807147026,0.013808418065309525,,,,,
1,499,0.012247567996382713,0.012424943037331104,,,,,
1,549,0.013333359733223915,0.01284349150955677,,,,,
1,599,0.01321776770055294,0.013921935111284256,,,,,
1,623,,,0.41029998660087585,0.39719998836517334,,,
1,623,,,,,0.3675881326198578,0.3685646951198578,0.4281052350997925
2,649,0.013257772661745548,0.013701709918677807,,,,,
2,699,0.01287308894097805,0.012943270616233349,,,,,
2,749,0.011969262734055519,0.011463223956525326,,,,,
2,799,0.012700602412223816,0.01244830060750246,,,,,
2,849,0.011205224320292473,0.011355769820511341,,,,,
2,899,0.011873383074998856,0.012132042087614536,,,,,
2,935,,,0.4603999853134155,0.45010000467300415,,,
2,935,,,,,0.41709235310554504,0.41989684104919434,0.47834256291389465
3,949,0.010716275312006474,0.010285775177180767,,,,,
3,999,0.011744161136448383,0.01180278230458498,,,,,
3,1049,0.011507389135658741,0.011619742959737778,,,,,
3,1099,0.009550873190164566,0.009936649352312088,,,,,
3,1149,0.009258526377379894,0.009503486566245556,,,,,
3,1199,0.01103538740426302,0.009843043982982635,,,,,
3,1247,,,0.48559999465942383,0.4909000098705292,,,
3,1247,,,,,0.45941004157066345,0.46096253395080566,0.5140427350997925
4,1249,0.009768519550561905,0.009816315025091171,,,,,
4,1299,0.009491754695773125,0.00989909190684557,,,,,
