step,epoch,train_loss,val_acc2,val_acc1,test_acc,train_acc1,train_acc2
49,0,3.733576774597168,,,,,
99,0,1.0113459825515747,,,,,
149,0,0.6439929604530334,,,,,
199,0,0.5974017381668091,,,,,
249,0,0.5724940896034241,,,,,
299,0,0.52370285987854,,,,,
311,0,,0.10239999741315842,0.1023000031709671,,,
311,0,,,,0.09948576241731644,0.09880809485912323,0.09805689007043839
349,1,0.4502968192100525,,,,,
399,1,0.4654620885848999,,,,,
449,1,0.4587697982788086,,,,,
499,1,0.46052074432373047,,,,,
549,1,0.46575096249580383,,,,,
599,1,0.4618981182575226,,,,,
623,1,,0.1128000020980835,0.1111999973654747,,,
623,1,,,,0.0995846539735794,0.10729667544364929,0.11057692021131516
649,2,0.4639021158218384,,,,,
699,2,0.45958688855171204,,,,,
749,2,0.4559071362018585,,,,,
799,2,0.4566166400909424,,,,,
849,2,0.45479482412338257,,,,,
899,2,0.4600895047187805,,,,,
935,2,,0.11249999701976776,0.1111999973654747,,,
935,2,,,,0.09968354552984238,0.10802283883094788,0.11117788404226303
949,3,0.4512113034725189,,,,,
999,3,0.45009735226631165,,,,,
1049,3,0.4548146426677704,,,,,
1099,3,0.4464433491230011,,,,,
1149,3,0.45013827085494995,,,,,
1199,3,0.44919300079345703,,,,,
1247,3,,0.11420000344514847,0.11140000075101852,,,
1247,3,,,,0.09988132864236832,0.10812299698591232,0.11205428838729858
1249,4,0.45187026262283325,,,,,
1299,4,0.454883873462677,,,,,
1349,4,0.4436019957065582,,,,,
1399,4,0.44328808784484863,,,,,
1449,4,0.44785237312316895,,,,,
1499,4,0.45245879888534546,,,,,
1549,4,0.4480597972869873,,,,,
1559,4,,0.12690000236034393,0.11180000007152557,,,
1559,4,,,,0.09998022019863129,0.10759715735912323,0.11571013927459717
1599,5,0.44443678855895996,,,,,
1649,5,0.4422074854373932,,,,,
1699,5,0.43840688467025757,,,,,
1749,5,0.4430980980396271,,,,,
1799,5,0.4393292963504791,,,,,
