epoch,train_loss,step,val_acc,val_loss,train_acc,test_acc
0,2.3953821659088135,49,,,,
0,2.8134231567382812,99,,,,
0,2.5523879528045654,149,,,,
0,2.2915329933166504,199,,,,
0,2.2210240364074707,249,,,,
0,2.1565017700195312,299,,,,
0,,312,0.2362000048160553,2.0666282176971436,,
0,,312,,,0.1586499959230423,0.23130933940410614
1,1.974234700202942,349,,,,
1,1.923235297203064,399,,,,
1,1.8758609294891357,449,,,,
1,1.9271812438964844,499,,,,
1,1.759522557258606,549,,,,
1,1.8913991451263428,599,,,,
1,,625,0.30079999566078186,1.8406418561935425,,
1,,625,,,0.2710750102996826,0.3277294337749481
2,1.8501415252685547,649,,,,
2,1.8372124433517456,699,,,,
2,1.7516815662384033,749,,,,
2,1.7453221082687378,799,,,,
2,1.6718907356262207,849,,,,
2,1.6301300525665283,899,,,,
2,,938,0.3833000063896179,1.6250241994857788,,
2,,938,,,0.3419249951839447,0.4089201092720032
3,1.6370158195495605,949,,,,
3,1.6702429056167603,999,,,,
3,1.6400902271270752,1049,,,,
3,1.7433037757873535,1099,,,,
3,1.5367437601089478,1149,,,,
3,1.7439875602722168,1199,,,,
3,1.526032567024231,1249,,,,
3,,1251,0.4345000088214874,1.5027015209197998,,
3,,1251,,,0.40152499079704285,0.427808552980423
4,1.5358680486679077,1299,,,,
4,1.466144323348999,1349,,,,
4,1.40827214717865,1399,,,,
4,1.2717385292053223,1449,,,,
4,1.3869571685791016,1499,,,,
4,1.5829322338104248,1549,,,,
4,,1564,0.47350001335144043,1.4050079584121704,,
4,,1564,,,0.44407498836517334,0.4997033178806305
5,1.47548246383667,1599,,,,
5,1.378037452697754,1649,,,,
5,1.548810601234436,1699,,,,
5,1.4093139171600342,1749,,,,
5,1.3351868391036987,1799,,,,
5,1.373117446899414,1849,,,,
5,,1877,0.5163999795913696,1.3460197448730469,,
5,,1877,,,0.48364999890327454,0.529469907283783
6,1.2422021627426147,1899,,,,
6,1.3017377853393555,1949,,,,
6,1.3703564405441284,1999,,,,
6,1.3018157482147217,2049,,,,
6,1.3598897457122803,2099,,,,
6,1.2587807178497314,2149,,,,
6,,2190,0.5593000054359436,1.2400110960006714,,
6,,2190,,,0.5208500027656555,0.5739715099334717
7,1.202831506729126,2199,,,,
7,1.2097580432891846,2249,,,,
7,1.1068722009658813,2299,,,,
7,1.1515733003616333,2349,,,,
7,1.1173629760742188,2399,,,,
7,1.3960226774215698,2449,,,,
7,1.2034448385238647,2499,,,,
7,,2503,0.4749999940395355,1.477936029434204,,
7,,2503,,,0.5561500191688538,0.5950356125831604
8,1.0708893537521362,2549,,,,
8,1.0883355140686035,2599,,,,
8,1.399040699005127,2649,,,,
8,1.130791425704956,2699,,,,
8,1.0163912773132324,2749,,,,
8,1.1515365839004517,2799,,,,
8,,2816,0.6035000085830688,1.1216458082199097,,
8,,2816,,,0.5819500088691711,0.637460470199585
9,1.1972126960754395,2849,,,,
9,1.0556305646896362,2899,,,,
9,1.0352201461791992,2949,,,,
9,1.057618260383606,2999,,,,
9,1.1982804536819458,3049,,,,
9,1.1241499185562134,3099,,,,
9,,3129,0.626800000667572,1.0610299110412598,,
9,,3129,,,0.6121500134468079,0.6390427350997925
10,1.112561583518982,3149,,,,
10,0.8642027974128723,3199,,,,
10,1.1398946046829224,3249,,,,
10,1.0575096607208252,3299,,,,
10,1.0232290029525757,3349,,,,
10,1.156091570854187,3399,,,,
10,,3442,0.6144000291824341,1.1145401000976562,,
10,,3442,,,0.6345499753952026,0.6358781456947327
11,0.9563645720481873,3449,,,,
11,1.0241416692733765,3499,,,,
11,1.161916732788086,3549,,,,
11,0.8489094376564026,3599,,,,
11,0.9876064658164978,3649,,,,
11,1.0642739534378052,3699,,,,
11,0.9668421745300293,3749,,,,
11,,3755,0.6743000149726868,0.9415491223335266,,
11,,3755,,,0.6463500261306763,0.6746439933776855
12,1.0531147718429565,3799,,,,
12,1.0199323892593384,3849,,,,
12,0.9711964130401611,3899,,,,
12,1.1737090349197388,3949,,,,
12,0.8819840550422668,3999,,,,
12,0.8747594952583313,4049,,,,
12,,4068,0.6621999740600586,1.0043741464614868,,
12,,4068,,,0.6612750291824341,0.6793908476829529
13,0.9209440350532532,4099,,,,
13,0.8296186923980713,4149,,,,
13,0.89202880859375,4199,,,,
13,0.9383934140205383,4249,,,,
13,0.9422026872634888,4299,,,,
13,0.900094211101532,4349,,,,
