step,train_loss,epoch,val_acc,val_loss,train_acc,test_acc
49,2.614528179168701,0,,,,
99,2.205965757369995,0,,,,
149,2.169914722442627,0,,,,
199,2.0231435298919678,0,,,,
249,2.081808567047119,0,,,,
299,2.060436964035034,0,,,,
312,,0,0.21780000627040863,2.058957576751709,,
312,,0,,,0.16500000655651093,0.23200158774852753
349,2.0626120567321777,1,,,,
399,1.9135884046554565,1,,,,
449,1.8097341060638428,1,,,,
499,1.8792797327041626,1,,,,
549,1.807497501373291,1,,,,
599,1.8119384050369263,1,,,,
625,,1,0.34450000524520874,1.7762224674224854,,
625,,1,,,0.2683750092983246,0.3358386158943176
649,1.6637709140777588,2,,,,
699,1.7286509275436401,2,,,,
749,1.5806509256362915,2,,,,
799,1.6646454334259033,2,,,,
849,1.5735509395599365,2,,,,
899,1.7442837953567505,2,,,,
938,,2,0.41769999265670776,1.5535166263580322,,
938,,2,,,0.3638249933719635,0.43047863245010376
949,1.4943593740463257,3,,,,
999,1.5258262157440186,3,,,,
1049,1.6799372434616089,3,,,,
1099,1.4626473188400269,3,,,,
1149,1.4585843086242676,3,,,,
1199,1.4948484897613525,3,,,,
1249,1.4211373329162598,3,,,,
1251,,3,0.46970000863075256,1.4558119773864746,,
1251,,3,,,0.43277499079704285,0.47537580132484436
1299,1.306772232055664,4,,,,
1349,1.3746134042739868,4,,,,
1399,1.4454052448272705,4,,,,
1449,1.2676090002059937,4,,,,
1499,1.5651929378509521,4,,,,
1549,1.2316044569015503,4,,,,
1564,,4,0.43160000443458557,1.608452320098877,,
1564,,4,,,0.48537498712539673,0.5053402185440063
1599,1.219104528427124,5,,,,
1649,1.2845289707183838,5,,,,
1699,1.2860400676727295,5,,,,
1749,1.3566069602966309,5,,,,
1799,1.3711903095245361,5,,,,
1849,1.124820590019226,5,,,,
1877,,5,0.5672000050544739,1.265024185180664,,
1877,,5,,,0.5292249917984009,0.5733781456947327
1899,1.0988272428512573,6,,,,
1949,1.2464194297790527,6,,,,
1999,1.0866094827651978,6,,,,
2049,1.0333549976348877,6,,,,
2099,1.1407560110092163,6,,,,
2149,1.182327151298523,6,,,,
2190,,6,0.5889999866485596,1.183964490890503,,
2190,,6,,,0.5824000239372253,0.578718364238739
2199,1.101188063621521,7,,,,
2249,1.126306176185608,7,,,,
2299,1.0350806713104248,7,,,,
2349,1.0760234594345093,7,,,,
2399,1.0036125183105469,7,,,,
2449,0.9772385358810425,7,,,,
2499,0.9979750514030457,7,,,,
2503,,7,0.6430000066757202,1.0200703144073486,,
2503,,7,,,0.6014249920845032,0.6350870132446289
2549,1.160192847251892,8,,,,
2599,0.8757575750350952,8,,,,
2649,0.9929664731025696,8,,,,
2699,1.024493932723999,8,,,,
2749,0.9499804377555847,8,,,,
2799,1.0793054103851318,8,,,,
2816,,8,0.6273999810218811,1.0717817544937134,,
2816,,8,,,0.6252250075340271,0.6325158476829529
2849,0.903123140335083,9,,,,
2899,0.9872708916664124,9,,,,
2949,1.0450013875961304,9,,,,
2999,0.8937848210334778,9,,,,
3049,0.9857066869735718,9,,,,
3099,1.0890192985534668,9,,,,
3129,,9,0.6559000015258789,0.9814818501472473,,
3129,,9,,,0.6505749821662903,0.6754351258277893
3149,0.9507845044136047,10,,,,
3199,0.8287201523780823,10,,,,
3249,0.9195582270622253,10,,,,
3299,1.1427594423294067,10,,,,
3349,1.0796763896942139,10,,,,
3399,0.9480834603309631,10,,,,
3442,,10,0.6556000113487244,1.0006508827209473,,
3442,,10,,,0.6657000184059143,0.6841376423835754
3449,0.7506687641143799,11,,,,
3499,0.9681336879730225,11,,,,
3549,0.9726645946502686,11,,,,
3599,0.98427814245224,11,,,,
3649,0.8248814940452576,11,,,,
3699,0.9226861596107483,11,,,,
3749,0.9320029020309448,11,,,,
3755,,11,0.6960999965667725,0.8802852630615234,,
3755,,11,,,0.6799250245094299,0.6840387582778931
3799,0.9201845526695251,12,,,,
3849,0.9545023441314697,12,,,,
3899,0.7368785738945007,12,,,,
3949,0.7684416174888611,12,,,,
3999,0.6902918815612793,12,,,,
4049,0.8634185194969177,12,,,,
4068,,12,0.6583999991416931,1.0355056524276733,,
4068,,12,,,0.68892502784729,0.6883900165557861
4099,0.9112715721130371,13,,,,
4149,0.9180862903594971,13,,,,
4199,0.6984158158302307,13,,,,
4249,0.7380138635635376,13,,,,
4299,0.8592379689216614,13,,,,
4349,0.8075996041297913,13,,,,
4381,,13,0.7095000147819519,0.8773167729377747,,
4381,,13,,,0.6991000175476074,0.7163766026496887
4399,0.6825599074363708,14,,,,
4449,0.7695017457008362,14,,,,
4499,0.7604897618293762,14,,,,
4549,0.9446913003921509,14,,,,
4599,0.8915300369262695,14,,,,
4649,0.7967215776443481,14,,,,
4694,,14,0.7192999720573425,0.8210567235946655,,
4694,,14,,,0.7036499977111816,0.7046083807945251
4699,0.6317993402481079,15,,,,
4749,0.8425068855285645,15,,,,
4799,0.8007727861404419,15,,,,
4849,0.6960885524749756,15,,,,
4899,0.7706868648529053,15,,,,
4949,0.8774446845054626,15,,,,
4999,0.8036550283432007,15,,,,
5007,,15,0.6873999834060669,0.9177784323692322,,
5007,,15,,,0.7136250138282776,0.7160798907279968
5049,0.5978842377662659,16,,,,
5099,0.8557341694831848,16,,,,
5149,0.713356614112854,16,,,,
5199,0.870715320110321,16,,,,
5249,0.6780237555503845,16,,,,
5299,0.6137353777885437,16,,,,
5320,,16,0.7149999737739563,0.8543996810913086,,
5320,,16,,,0.7174999713897705,0.706882894039154
5349,0.5423105359077454,17,,,,
5399,0.6856816411018372,17,,,,
5449,0.8033636212348938,17,,,,
5499,0.7413649559020996,17,,,,
5549,0.835432231426239,17,,,,
5599,0.7602555751800537,17,,,,
5633,,17,0.729200005531311,0.8096855878829956,,
5633,,17,,,0.7249249815940857,0.7266613841056824
5649,0.7445223331451416,18,,,,
5699,0.6910635232925415,18,,,,
5749,0.5504483580589294,18,,,,
5799,0.8787366151809692,18,,,,
5849,0.7852917909622192,18,,,,
5899,0.6432185769081116,18,,,,
5946,,18,0.7148000001907349,0.8627979755401611,,
5946,,18,,,0.7276250123977661,0.715585470199585
5949,0.6300128698348999,19,,,,
5999,0.78720623254776,19,,,,
6049,0.5947997570037842,19,,,,
6099,0.7935218214988708,19,,,,
6149,0.6188480854034424,19,,,,
6199,0.8096109628677368,19,,,,
6249,0.5866422057151794,19,,,,
6259,,19,0.7268999814987183,0.7906491756439209,,
6259,,19,,,0.7325000166893005,0.7340783476829529
6299,0.7032574415206909,20,,,,
6349,0.8012773394584656,20,,,,
6399,0.6284558773040771,20,,,,
6449,0.5329389572143555,20,,,,
6499,0.5368053913116455,20,,,,
6549,0.6566299200057983,20,,,,
6572,,20,0.7448999881744385,0.7642491459846497,,
6572,,20,,,0.7367249727249146,0.7269580960273743
6599,0.6298507452011108,21,,,,
6649,0.6998406052589417,21,,,,
6699,0.7524018883705139,21,,,,
6749,0.5959659218788147,21,,,,
6799,0.9506824016571045,21,,,,
6849,0.6938135027885437,21,,,,
6885,,21,0.7179999947547913,0.8490855693817139,,
6885,,21,,,0.7440750002861023,0.7362539768218994
6899,0.598590612411499,22,,,,
6949,0.6109814643859863,22,,,,
6999,0.8870558142662048,22,,,,
7049,0.609520673751831,22,,,,
7099,0.673609733581543,22,,,,
7149,0.6438780426979065,22,,,,
7198,,22,0.7236999869346619,0.8106498718261719,,
7198,,22,,,0.7402750253677368,0.7310126423835754
7199,0.7083714008331299,23,,,,
7249,0.5725131630897522,23,,,,
7299,0.6918770670890808,23,,,,
7349,0.45372140407562256,23,,,,
7399,0.5270012617111206,23,,,,
7449,0.6354716420173645,23,,,,
7499,0.7396190166473389,23,,,,
7511,,23,0.7045999765396118,0.9126513600349426,,
7511,,23,,,0.7456250190734863,0.7189477682113647
7549,0.6290994882583618,24,,,,
7599,0.6210417747497559,24,,,,
7649,0.6170883178710938,24,,,,
7699,0.6223844885826111,24,,,,
7749,0.6346853375434875,24,,,,
7799,0.6655638217926025,24,,,,
7824,,24,0.7139000296592712,0.8444458246231079,,
7824,,24,,,0.7472500205039978,0.7295292615890503
7849,0.5849509239196777,25,,,,
7899,0.5203787088394165,25,,,,
7949,0.7152611017227173,25,,,,
7999,0.651656985282898,25,,,,
8049,0.5575773119926453,25,,,,
8099,0.5821184515953064,25,,,,
8137,,25,0.7476000189781189,0.75267094373703,,
8137,,25,,,0.7476000189781189,0.7424841523170471
8149,0.5678720474243164,26,,,,
8199,0.5879753232002258,26,,,,
8249,0.6308586597442627,26,,,,
8299,0.49758124351501465,26,,,,
8349,0.5420501232147217,26,,,,
8399,0.6011404395103455,26,,,,
8449,0.5839700102806091,26,,,,
8450,,26,0.7366999983787537,0.7844391465187073,,
8450,,26,,,0.7559999823570251,0.7423852682113647
8499,0.6295956373214722,27,,,,
8549,0.6429718136787415,27,,,,
8599,0.43505844473838806,27,,,,
8649,0.6351495981216431,27,,,,
8699,0.4252649247646332,27,,,,
8749,0.6364885568618774,27,,,,
8763,,27,0.7275999784469604,0.8129280805587769,,
8763,,27,,,0.7526749968528748,0.7397152185440063
8799,0.6267960071563721,28,,,,
8849,0.6682288646697998,28,,,,
8899,0.44764310121536255,28,,,,
8949,0.7419416904449463,28,,,,
8999,0.6257220506668091,28,,,,
9049,0.5179309844970703,28,,,,
9076,,28,0.7160999774932861,0.8440827131271362,,
9076,,28,,,0.7548249959945679,0.7395173907279968
9099,0.6763923764228821,29,,,,
9149,0.5235462188720703,29,,,,
9199,0.5477849245071411,29,,,,
9249,0.5269111394882202,29,,,,
9299,0.6841598749160767,29,,,,
9349,0.6688271760940552,29,,,,
9389,,29,0.7348999977111816,0.7884511947631836,,
9389,,29,,,0.7588499784469604,0.7473298907279968
9399,0.49675655364990234,30,,,,
9449,0.5873178839683533,30,,,,
9499,0.5447866320610046,30,,,,
9549,0.4375082850456238,30,,,,
9599,0.5978589057922363,30,,,,
9649,0.7063993215560913,30,,,,
9699,0.43396100401878357,30,,,,
9702,,30,0.7416999936103821,0.7674715518951416,,
9702,,30,,,0.7585499882698059,0.7356606125831604
9749,0.5972529649734497,31,,,,
9799,0.6850279569625854,31,,,,
9849,0.8215686082839966,31,,,,
9899,0.6193755269050598,31,,,,
9949,0.49986472725868225,31,,,,
9999,0.48287612199783325,31,,,,
10015,,31,0.7297000288963318,0.8047251105308533,,
10015,,31,,,0.7607250213623047,0.7344738841056824
10049,0.5667695999145508,32,,,,
10099,0.5231434106826782,32,,,,
10149,0.6976026296615601,32,,,,
10199,0.6019542217254639,32,,,,
10249,0.43347370624542236,32,,,,
10299,0.4657400846481323,32,,,,
10328,,32,0.7490000128746033,0.7290805578231812,,
10328,,32,,,0.7635250091552734,0.7412974834442139
10349,0.412866473197937,33,,,,
10399,0.4125164747238159,33,,,,
10449,0.6207786202430725,33,,,,
10499,0.4741552174091339,33,,,,
10549,0.3126377463340759,33,,,,
10599,0.4944281280040741,33,,,,
10641,,33,0.7470999956130981,0.7571698427200317,,
10641,,33,,,0.7618250250816345,0.7539557218551636
10649,0.3809337019920349,34,,,,
10699,0.3918215334415436,34,,,,
10749,0.7255487442016602,34,,,,
10799,0.7165132761001587,34,,,,
10849,0.43909183144569397,34,,,,
10899,0.5713268518447876,34,,,,
10949,0.46063071489334106,34,,,,
10954,,34,0.7490000128746033,0.7354802489280701,,
10954,,34,,,0.7665249705314636,0.7509889006614685
10999,0.44781923294067383,35,,,,
11049,0.4081839323043823,35,,,,
11099,0.6147096753120422,35,,,,
11149,0.4323190748691559,35,,,,
11199,0.492421418428421,35,,,,
11249,0.5279567837715149,35,,,,
11267,,35,0.7443000078201294,0.7784233689308167,,
11267,,35,,,0.7662500143051147,0.7485166192054749
11299,0.38896313309669495,36,,,,
11349,0.435971736907959,36,,,,
11399,0.39950060844421387,36,,,,
11449,0.5669159889221191,36,,,,
11499,0.3439655303955078,36,,,,
11549,0.5009669065475464,36,,,,
11580,,36,0.7473000288009644,0.7428012490272522,,
11580,,36,,,0.7690749764442444,0.753757894039154
11599,0.5386961698532104,37,,,,
11649,0.4902929663658142,37,,,,
11699,0.46713787317276,37,,,,
11749,0.2821732759475708,37,,,,
11799,0.48653724789619446,37,,,,
11849,0.4297664761543274,37,,,,
11893,,37,0.7391999959945679,0.75740647315979,,
11893,,37,,,0.7705000042915344,0.7473298907279968
11899,0.4072381258010864,38,,,,
11949,0.3220214247703552,38,,,,
11999,0.5264537334442139,38,,,,
12049,0.6370449066162109,38,,,,
12099,0.5452508926391602,38,,,,
12149,0.3784763216972351,38,,,,
12199,0.4506128132343292,38,,,,
12206,,38,0.7386999726295471,0.7745303511619568,,
12206,,38,,,0.7680249810218811,0.7344738841056824
12249,0.3149012327194214,39,,,,
12299,0.5940539836883545,39,,,,
12349,0.4681943655014038,39,,,,
12399,0.3826312720775604,39,,,,
12449,0.5067018270492554,39,,,,
12499,0.5112155675888062,39,,,,
12519,,39,0.7443000078201294,0.7820761203765869,,
12519,,39,,,0.7701500058174133,0.741000771522522
12549,0.3340875506401062,40,,,,
12599,0.5781509876251221,40,,,,
12649,0.484626442193985,40,,,,
12699,0.4056824743747711,40,,,,
12749,0.6404890418052673,40,,,,
12799,0.41176605224609375,40,,,,
12832,,40,0.7530999779701233,0.7420912384986877,,
12832,,40,,,0.7716500163078308,0.7400118708610535
12849,0.5017460584640503,41,,,,
12899,0.44107916951179504,41,,,,
12949,0.4594721794128418,41,,,,
12999,0.3811115324497223,41,,,,
13049,0.5958908200263977,41,,,,
13099,0.3609030842781067,41,,,,
13145,,41,0.7203999757766724,0.8374843597412109,,
13145,,41,,,0.7732250094413757,0.7401107549667358
13149,0.47925513982772827,42,,,,
13199,0.5150701999664307,42,,,,
13249,0.6123182773590088,42,,,,
13299,0.48060280084609985,42,,,,
13349,0.3374800682067871,42,,,,
13399,0.4239920377731323,42,,,,
13449,0.4819379448890686,42,,,,
13458,,42,0.7688999772071838,0.7069804668426514,,
13458,,42,,,0.7731750011444092,0.7734375
13499,0.5549020767211914,43,,,,
13549,0.38409721851348877,43,,,,
13599,0.47721055150032043,43,,,,
13649,0.5510674118995667,43,,,,
13699,0.38578829169273376,43,,,,
13749,0.5029433965682983,43,,,,
13771,,43,0.7506999969482422,0.7637798190116882,,
13771,,43,,,0.7708749771118164,0.763844907283783
13799,0.5468060970306396,44,,,,
13849,0.4704311490058899,44,,,,
13899,0.6336441040039062,44,,,,
13949,0.3606852889060974,44,,,,
13999,0.31884968280792236,44,,,,
14049,0.487452894449234,44,,,,
14084,,44,0.7494999766349792,0.7690849900245667,,
14084,,44,,,0.7761750221252441,0.7497033476829529
14099,0.4623046815395355,45,,,,
14149,0.44801944494247437,45,,,,
14199,0.39425089955329895,45,,,,
14249,0.5423721075057983,45,,,,
14299,0.6687836647033691,45,,,,
14349,0.4453836679458618,45,,,,
