epoch,step,train_loss,val_acc,val_loss,test_acc,train_acc
0,49,4.300999641418457,,,,
0,99,4.3645734786987305,,,,
0,149,4.138298988342285,,,,
0,199,3.8694663047790527,,,,
0,249,4.065105438232422,,,,
0,299,3.7148313522338867,,,,
0,312,,0.2092999964952469,5.6966729164123535,,
0,312,,,,0.21598100662231445,0.15277500450611115
1,349,3.6446309089660645,,,,
1,399,3.6460461616516113,,,,
1,449,3.4601597785949707,,,,
1,499,3.3136162757873535,,,,
1,549,3.5706119537353516,,,,
1,599,3.9527645111083984,,,,
1,625,,0.2011999934911728,2.4709270000457764,,
1,625,,,,0.24535205960273743,0.22927500307559967
2,649,3.500460624694824,,,,
2,699,3.7353572845458984,,,,
2,749,3.288609266281128,,,,
2,799,3.136626720428467,,,,
2,849,2.9330387115478516,,,,
2,899,2.787928581237793,,,,
2,938,,0.37290000915527344,2.2735652923583984,,
2,938,,,,0.38172468543052673,0.3113499879837036
3,949,3.2248423099517822,,,,
3,999,3.220928192138672,,,,
3,1049,3.436021089553833,,,,
3,1099,3.1856396198272705,,,,
3,1149,3.266761064529419,,,,
3,1199,3.19392728805542,,,,
3,1249,3.3853132724761963,,,,
3,1251,,0.38530001044273376,1.7788397073745728,,
3,1251,,,,0.3792523741722107,0.3383750021457672
4,1299,3.4852805137634277,,,,
4,1349,3.401672124862671,,,,
4,1399,3.030211925506592,,,,
4,1449,3.4649903774261475,,,,
4,1499,2.9015493392944336,,,,
4,1549,3.19423770904541,,,,
4,1564,,0.39169999957084656,4.985462188720703,,
4,1564,,,,0.41257911920547485,0.3502500057220459
5,1599,2.716576099395752,,,,
5,1649,2.7945098876953125,,,,
5,1699,2.974386215209961,,,,
5,1749,3.3913888931274414,,,,
5,1799,3.2789807319641113,,,,
5,1849,3.3390331268310547,,,,
5,1877,,0.3693999946117401,3.294593334197998,,
5,1877,,,,0.39438292384147644,0.3384000062942505
6,1899,2.964460849761963,,,,
6,1949,2.8580875396728516,,,,
6,1999,2.857311248779297,,,,
6,2049,3.081427574157715,,,,
6,2099,2.767482042312622,,,,
6,2149,2.8501570224761963,,,,
6,2190,,0.3955000042915344,1.7725341320037842,,
6,2190,,,,0.4198971390724182,0.3873000144958496
7,2199,2.842820167541504,,,,
7,2249,2.706753730773926,,,,
7,2299,2.8466954231262207,,,,
7,2349,2.7585434913635254,,,,
7,2399,2.7868502140045166,,,,
7,2449,2.4502973556518555,,,,
7,2499,2.541682243347168,,,,
7,2503,,0.4544999897480011,1.473791241645813,,
7,2503,,,,0.4544106125831604,0.4239250123500824
8,2549,2.4114582538604736,,,,
8,2599,2.532440423965454,,,,
8,2649,2.1067440509796143,,,,
8,2699,2.4334373474121094,,,,
8,2749,2.4250025749206543,,,,
8,2799,2.3660764694213867,,,,
