epoch,step,test_acc,train_acc,train_loss
0,49,,,4.216545581817627
0,99,,,3.977898120880127
0,149,,,3.7638986110687256
0,199,,,3.8350870609283447
0,249,,,3.7487335205078125
0,299,,,3.4666428565979004
0,349,,,3.1569743156433105
0,389,0.16689999401569366,0.1046474352478981,
1,399,,,3.3400824069976807
1,449,,,3.381730318069458
1,499,,,3.2076869010925293
1,549,,,2.8736307621002197
1,599,,,3.2274951934814453
1,649,,,3.0442047119140625
1,699,,,3.114417791366577
1,749,,,2.744429349899292
1,779,0.26249998807907104,0.20276442170143127,
2,799,,,2.5850908756256104
2,849,,,2.6113152503967285
2,899,,,2.867786407470703
2,949,,,2.5963661670684814
2,999,,,2.3902339935302734
2,1049,,,2.4711403846740723
2,1099,,,2.6678249835968018
2,1149,,,2.4265198707580566
2,1169,0.3384000062942505,0.29395031929016113,
3,1199,,,1.8470981121063232
3,1249,,,2.2729005813598633
3,1299,,,1.9781759977340698
3,1349,,,2.1489737033843994
3,1399,,,1.8725237846374512
3,1449,,,1.5876127481460571
3,1499,,,1.9068424701690674
3,1549,,,1.6665860414505005
3,1559,0.41119998693466187,0.37934696674346924,
4,1599,,,1.563515543937683
4,1649,,,1.2558568716049194
4,1699,,,1.206103801727295
4,1749,,,1.4907578229904175
4,1799,,,1.1859843730926514
4,1849,,,1.588561773300171
4,1899,,,1.5415539741516113
4,1949,,,1.101466178894043
4,1949,0.42149999737739563,0.44076523184776306,
5,1999,,,1.1232075691223145
5,2049,,,1.1210265159606934
5,2099,,,1.1561568975448608
5,2149,,,0.9210742115974426
5,2199,,,0.8148224949836731
5,2249,,,1.1779903173446655
5,2299,,,0.796413242816925
5,2339,0.4805000126361847,0.4903245270252228,
6,2349,,,0.3148535490036011
6,2399,,,0.6196997165679932
6,2449,,,0.3891962766647339
6,2499,,,0.7699434757232666
6,2549,,,0.25214946269989014
6,2599,,,0.2951960563659668
6,2649,,,0.45641326904296875
6,2699,,,0.39178669452667236
6,2729,0.5016000270843506,0.5305889248847961,
7,2749,,,0.25986695289611816
7,2799,,,0.13322949409484863
7,2849,,,0.1817415952682495
7,2899,,,-0.07638275623321533
7,2949,,,0.380856990814209
7,2999,,,-0.033023834228515625
7,3049,,,0.2183837890625
7,3099,,,0.378914475440979
7,3119,0.5458999872207642,0.5592948794364929,
8,3149,,,-0.18250906467437744
8,3199,,,-0.5607544183731079
8,3249,,,-0.343835711479187
8,3299,,,-0.01574528217315674
8,3349,,,-0.7613980770111084
8,3399,,,-0.5115729570388794
8,3449,,,-0.19543874263763428
8,3499,,,-0.33736538887023926
8,3509,0.546500027179718,0.5859575271606445,
9,3549,,,-0.9897552728652954
9,3599,,,-0.5450026988983154
9,3649,,,-0.5889663696289062
9,3699,,,-1.040963053703308
9,3749,,,-0.5593384504318237
9,3799,,,-0.5683540105819702
9,3849,,,-0.684285044670105
9,3899,,,-0.35771989822387695
9,3899,0.5712000131607056,0.6061899065971375,
10,3949,,,-1.2891526222229004
10,3999,,,-1.4207055568695068
10,4049,,,-1.4859657287597656
10,4099,,,-1.0582612752914429
10,4149,,,-1.2407212257385254
10,4199,,,-1.0986870527267456
10,4249,,,-0.6581712961196899
10,4289,0.5740000009536743,0.6252203583717346,
11,4299,,,-1.6229978799819946
11,4349,,,-1.3920073509216309
11,4399,,,-1.9572149515151978
11,4449,,,-1.0869078636169434
11,4499,,,-1.4518823623657227
11,4549,,,-1.6260207891464233
11,4599,,,-0.9906669855117798
11,4649,,,-1.789398193359375
11,4679,0.589900016784668,0.6395232081413269,
12,4699,,,-2.0230088233947754
12,4749,,,-2.323317050933838
12,4799,,,-2.2168760299682617
12,4849,,,-1.9446457624435425
12,4899,,,-2.143968105316162
12,4949,,,-2.0260229110717773
12,4999,,,-1.2621521949768066
12,5049,,,-1.056703805923462
12,5069,0.5921000242233276,0.6524238586425781,
13,5099,,,-2.5226049423217773
13,5149,,,-2.080569267272949
13,5199,,,-2.5602493286132812
13,5249,,,-3.0297584533691406
13,5299,,,-3.030047655105591
13,5349,,,-1.7256916761398315
13,5399,,,-2.1372063159942627
13,5449,,,-2.2610349655151367
13,5459,0.5821999907493591,0.6648237109184265,
14,5499,,,-3.0700488090515137
14,5549,,,-2.9374594688415527
14,5599,,,-3.169464588165283
14,5649,,,-3.2552270889282227
14,5699,,,-2.504142999649048
14,5749,,,-3.296011447906494
14,5799,,,-2.5278615951538086
14,5849,,,-2.839533805847168
14,5849,0.5953999757766724,0.6714342832565308,
15,5899,,,-3.992340087890625
