epoch,step,test_acc,train_acc1,train_acc2,train_loss1,train_loss2
0,49,,,,0.03243056684732437,0.03232879936695099
0,99,,,,0.03305424377322197,0.03279699757695198
0,149,,,,0.030661366879940033,0.030051885172724724
0,199,,,,0.031999651342630386,0.031200358644127846
0,249,,,,0.029785068705677986,0.030816111713647842
0,299,,,,0.028047500178217888,0.02859022654592991
0,349,,,,0.027274785563349724,0.027462132275104523
0,389,0.1453000009059906,0.08800080418586731,0.08505608886480331,,
1,399,,,,0.02756313793361187,0.0277751162648201
1,449,,,,0.027724916115403175,0.027452731505036354
1,499,,,,0.02705884911119938,0.02697228454053402
1,549,,,,0.025035960599780083,0.025212619453668594
1,599,,,,0.02605808712542057,0.025787515565752983
1,649,,,,0.024727800861001015,0.02432021126151085
1,699,,,,0.02642817236483097,0.026309048756957054
1,749,,,,0.021414384245872498,0.02186708338558674
1,779,0.22619999945163727,0.18862178921699524,0.18910256028175354,,
2,799,,,,0.0225727129727602,0.022416844964027405
2,849,,,,0.022322269156575203,0.0221429243683815
2,899,,,,0.02405417151749134,0.02379203401505947
2,949,,,,0.022159531712532043,0.022225122898817062
2,999,,,,0.02273685298860073,0.023054808378219604
2,1049,,,,0.019907884299755096,0.019965004175901413
2,1099,,,,0.022248966619372368,0.021717045456171036
2,1149,,,,0.020665433257818222,0.020345168188214302
2,1169,0.31850001215934753,0.2816105782985687,0.28373396396636963,,
3,1199,,,,0.0175363440066576,0.017536897212266922
3,1249,,,,0.019049640744924545,0.019520236179232597
3,1299,,,,0.020107869058847427,0.019815856590867043
3,1349,,,,0.0198308527469635,0.019929762929677963
3,1399,,,,0.017381077632308006,0.017746323719620705
3,1449,,,,0.015989404171705246,0.015998950228095055
3,1499,,,,0.01723720133304596,0.017370587214827538
3,1549,,,,0.015910092741250992,0.01587243191897869
3,1559,0.365200012922287,0.3584134578704834,0.36502403020858765,,
4,1599,,,,0.01582791656255722,0.015184163115918636
4,1649,,,,0.013662461191415787,0.013342222198843956
4,1699,,,,0.014196294359862804,0.014373945072293282
4,1749,,,,0.016482796519994736,0.016480552032589912
4,1799,,,,0.014407076872885227,0.013885830529034138
4,1849,,,,0.018147967755794525,0.015978019684553146
4,1899,,,,0.014566879719495773,0.013807134702801704
4,1949,,,,0.012882912531495094,0.012071298435330391
4,1949,0.43630000948905945,0.4191506505012512,0.4253004789352417,,
5,1999,,,,0.015554533340036869,0.015474376268684864
5,2049,,,,0.015216668136417866,0.013967433013021946
5,2099,,,,0.015024813823401928,0.014294227585196495
5,2149,,,,0.012205837294459343,0.012069006450474262
5,2199,,,,0.013577279634773731,0.014354540966451168
5,2249,,,,0.01401924155652523,0.013925322331488132
5,2299,,,,0.011864107102155685,0.011922256089746952
5,2339,0.4645000100135803,0.4660256505012512,0.47193509340286255,,
6,2349,,,,0.010472973808646202,0.009834298864006996
6,2399,,,,0.010267568752169609,0.010404170490801334
6,2449,,,,0.009966726414859295,0.010248523205518723
6,2499,,,,0.012737635523080826,0.01337791234254837
6,2549,,,,0.008411797694861889,0.00868114735931158
6,2599,,,,0.009863810613751411,0.010560695081949234
6,2649,,,,0.01081956084817648,0.010046226903796196
6,2699,,,,0.010585206560790539,0.01110194530338049
6,2729,0.48829999566078186,0.5064703822135925,0.5144430994987488,,
7,2749,,,,0.009434784762561321,0.010050106793642044
7,2799,,,,0.009396796114742756,0.009292756207287312
7,2849,,,,0.012480227276682854,0.012016498483717442
7,2899,,,,0.007234418764710426,0.007950898259878159
7,2949,,,,0.011093061417341232,0.011447376571595669
7,2999,,,,0.009207336232066154,0.008971807546913624
7,3049,,,,0.009954748675227165,0.009061682038009167
7,3099,,,,0.011192780919373035,0.012014711275696754
7,3119,0.5181000232696533,0.5400440692901611,0.5483773946762085,,
8,3149,,,,0.010177893564105034,0.010851826518774033
8,3199,,,,0.008601459674537182,0.008509671315550804
8,3249,,,,0.007909255102276802,0.007778065744787455
8,3299,,,,0.010271498933434486,0.010063298977911472
8,3349,,,,0.00772271491587162,0.005877860821783543
8,3399,,,,0.007372206076979637,0.006486355792731047
8,3449,,,,0.009549018926918507,0.008443736471235752
8,3499,,,,0.00716220960021019,0.0054442682303488255
8,3509,0.546500027179718,0.5709335207939148,0.5775240659713745,,
9,3549,,,,0.007016201503574848,0.006789131090044975
9,3599,,,,0.006239037960767746,0.006681433878839016
9,3649,,,,0.006650594528764486,0.00601970823481679
9,3699,,,,0.007146620657294989,0.007236851844936609
9,3749,,,,0.006426288280636072,0.006901235785335302
9,3799,,,,0.00804927945137024,0.008008481934666634
9,3849,,,,0.007704060524702072,0.008445443585515022
9,3899,,,,0.006748728919774294,0.008177150972187519
9,3899,0.5406000018119812,0.5944311022758484,0.5991986989974976,,
10,3949,,,,0.007656499743461609,0.007375901099294424
10,3999,,,,0.006633411627262831,0.006100814789533615
10,4049,,,,0.005647119600325823,0.005203471053391695
10,4099,,,,0.006631146185100079,0.006448602303862572
10,4149,,,,0.0070923394523561,0.008273614570498466
10,4199,,,,0.0062027983367443085,0.0065094041638076305
10,4249,,,,0.008786529302597046,0.009112738072872162
10,4289,0.5655999779701233,0.6188501715660095,0.6235376596450806,,
11,4299,,,,0.0067663900554180145,0.007593371439725161
11,4349,,,,0.007416980806738138,0.007474818732589483
11,4399,,,,0.005348227918148041,0.0050394912250339985
11,4449,,,,0.007405275013297796,0.008861007168889046
11,4499,,,,0.008886254392564297,0.0076558212749660015
11,4549,,,,0.0057989805936813354,0.005645695608109236
11,4599,,,,0.007128143683075905,0.007862036116421223
11,4649,,,,0.005297068972140551,0.006126927211880684
11,4679,0.5787000060081482,0.6407251358032227,0.6457732319831848,,
12,4699,,,,0.005446279421448708,0.006165740080177784
12,4749,,,,0.004742319695651531,0.005049963016062975
12,4799,,,,0.005769168026745319,0.004644456319510937
12,4849,,,,0.004556788597255945,0.004455352667719126
12,4899,,,,0.004610506352037191,0.004978871438652277
12,4949,,,,0.006896797101944685,0.006106086075305939
12,4999,,,,0.007469186093658209,0.007590075954794884
12,5049,,,,0.006944407243281603,0.006726343650370836
12,5069,0.5838000178337097,0.6595152020454407,0.6635416746139526,,
13,5099,,,,0.004701266065239906,0.006267360877245665
13,5149,,,,0.005772741045802832,0.004578672349452972
13,5199,,,,0.0063898684456944466,0.006426979321986437
13,5249,,,,0.003987129312008619,0.00409986637532711
13,5299,,,,0.004012861289083958,0.003585095051676035
13,5349,,,,0.007591437082737684,0.0074528600089251995
13,5399,,,,0.005557804834097624,0.005158202722668648
13,5449,,,,0.005430199671536684,0.005668369587510824
13,5459,0.5892999768257141,0.674298882484436,0.6801081895828247,,
14,5499,,,,0.003940356429666281,0.004721981007605791
14,5549,,,,0.005622914060950279,0.004315877333283424
14,5599,,,,0.0029468024149537086,0.003168466966599226
14,5649,,,,0.0031234354246407747,0.0033299026545137167
14,5699,,,,0.00459021981805563,0.004036096390336752
14,5749,,,,0.0036338416393846273,0.00303386221639812
14,5799,,,,0.0045489114709198475,0.004323374480009079
14,5849,,,,0.004493474494665861,0.003896191483363509
14,5849,0.6061000227928162,0.6888421177864075,0.6951121687889099,,
15,5899,,,,0.0027294151950627565,0.002426408464089036
15,5949,,,,0.004686988424509764,0.005575953517109156
15,5999,,,,0.003877592273056507,0.004274735692888498
15,6049,,,,0.003076165448874235,0.003209534101188183
15,6099,,,,0.0043214717879891396,0.004654082003980875
15,6149,,,,0.005641532130539417,0.005092853680253029
15,6199,,,,0.004250554833561182,0.004695065785199404
15,6239,0.6097000241279602,0.7040665149688721,0.7049078345298767,,
16,6249,,,,0.002085865708068013,0.002519496250897646
16,6299,,,,0.005164314992725849,0.005130324978381395
16,6349,,,,0.0048464033752679825,0.00491917971521616
16,6399,,,,0.0031084376387298107,0.0028913363348692656
16,6449,,,,0.004812886938452721,0.00453701987862587
16,6499,,,,0.00456599984318018,0.004639746155589819
16,6549,,,,0.004424888174980879,0.003208245849236846
16,6599,,,,0.005463915877044201,0.00445970892906189
16,6629,0.6086999773979187,0.717227578163147,0.7201522588729858,,
17,6649,,,,0.0037095460575073957,0.003986960276961327
17,6699,,,,0.00376336881890893,0.004454007837921381
17,6749,,,,0.0038029439747333527,0.0032980393152683973
17,6799,,,,0.003218527417629957,0.0028376998379826546
17,6849,,,,0.005703521426767111,0.005059241782873869
17,6899,,,,0.0034768488258123398,0.0036672356072813272
17,6949,,,,0.0066265203058719635,0.005614953115582466
17,6999,,,,0.003025151789188385,0.003792953211814165
17,7019,0.618399977684021,0.7275040149688721,0.7305288314819336,,
18,7049,,,,0.003739885985851288,0.0033173866104334593
18,7099,,,,0.003911136649549007,0.004496774636209011
18,7149,,,,0.0027023309376090765,0.0024050043430179358
18,7199,,,,0.0020731501281261444,0.003791681258007884
18,7249,,,,0.004499063361436129,0.005557464901357889
18,7299,,,,0.0031940925400704145,0.0031673195771872997
18,7349,,,,0.005253050476312637,0.0054688602685928345
18,7399,,,,0.005133284255862236,0.0061002266593277454
18,7409,0.6240000128746033,0.7379807829856873,0.7442307472229004,,
19,7449,,,,0.0038923374377191067,0.003919688519090414
19,7499,,,,0.00397847592830658,0.0036080062855035067
19,7549,,,,0.003316866233944893,0.0023900612723082304
19,7599,,,,0.003186415648087859,0.0033610593527555466
19,7649,,,,0.0034307106398046017,0.003700414439663291
19,7699,,,,0.0035828957334160805,0.004039579536765814
19,7749,,,,0.004211045801639557,0.0029379557818174362
19,7799,,,,0.002910289214923978,0.002750742482021451
19,7799,0.6384000182151794,0.7486979365348816,0.7511418461799622,,
20,7849,,,,0.004483297932893038,0.0033318926580250263
20,7899,,,,0.002374927280470729,0.00375911733135581
20,7949,,,,0.0042430623434484005,0.00490771047770977
20,7999,,,,0.0024565800558775663,0.0028494084253907204
20,8049,,,,0.004250726196914911,0.0035606638994067907
20,8099,,,,0.002949461340904236,0.003233675379306078
20,8149,,,,0.0024980134330689907,0.0034981034696102142
20,8189,0.6394000053405762,0.7544671297073364,0.7574719786643982,,
21,8199,,,,0.0026006181724369526,0.0022825924679636955
21,8249,,,,0.0022439793683588505,0.0025819994043558836
21,8299,,,,0.0020875874906778336,0.0018555531278252602
21,8349,,,,0.0036761388182640076,0.002820792142301798
21,8399,,,,0.0033187801018357277,0.003472324227914214
21,8449,,,,0.002878510858863592,0.0025345166213810444
21,8499,,,,0.0025583836250007153,0.0031574417371302843
21,8549,,,,0.004771233070641756,0.003518048208206892
21,8579,0.6428999900817871,0.7634415030479431,0.768669843673706,,
22,8599,,,,0.0027774807531386614,0.002495280932635069
22,8649,,,,0.0029044058173894882,0.0034450700040906668
22,8699,,,,0.0019479546463117003,0.002756607485935092
22,8749,,,,0.0019960596691817045,0.0030565131455659866
22,8799,,,,0.0029657487757503986,0.002401534467935562
22,8849,,,,0.002271766774356365,0.002916715806350112
22,8899,,,,0.0020574606023728848,0.002791021717712283
22,8949,,,,0.004669767804443836,0.004398016724735498
22,8969,0.6434999704360962,0.7708733677864075,0.7729367017745972,,
23,8999,,,,0.002639492740854621,0.0023307737428694963
23,9049,,,,0.002174378139898181,0.0015775278443470597
23,9099,,,,0.0025224098935723305,0.0017991672502830625
23,9149,,,,0.0028509388212114573,0.0009911154629662633
23,9199,,,,0.003912708256393671,0.00288311205804348
23,9249,,,,0.0020621882285922766,0.0016878297319635749
23,9299,,,,0.0024382497649639845,0.0014308873796835542
23,9349,,,,0.004525212571024895,0.002828319324180484
23,9359,0.6485999822616577,0.7795272469520569,0.7829727530479431,,
24,9399,,,,0.004047874361276627,0.0031808388885110617
24,9449,,,,0.0007880082703195512,0.001599292503669858
24,9499,,,,0.0022141693625599146,0.002169506624341011
24,9549,,,,0.002849770011380315,0.002164568053558469
24,9599,,,,0.003304553683847189,0.0022761442232877016
24,9649,,,,0.0029513216577470303,0.0029699027072638273
24,9699,,,,0.0007131863385438919,0.0011047280859202147
24,9749,,,,0.0019981241784989834,0.0016018766909837723
24,9749,0.6459000110626221,0.7872796654701233,0.7864983677864075,,
25,9799,,,,0.0015333052724599838,0.0016349706565961242
25,9849,,,,0.0029817274771630764,0.0024511113297194242
25,9899,,,,0.0025490063708275557,0.0018584312638267875
25,9949,,,,0.0009450667421333492,0.0019840693566948175
25,9999,,,,0.0020064294803887606,0.0019762746524065733
25,10049,,,,0.0024950068909674883,0.002228981116786599
25,10099,,,,0.0020822773221880198,0.00201968802139163
25,10139,0.6471999883651733,0.7903445363044739,0.7947515845298767,,
26,10149,,,,0.0011313755530864,0.0008033292251639068
26,10199,,,,0.002035692101344466,0.0017457596259191632
26,10249,,,,0.002613637363538146,0.002556005958467722
26,10299,,,,0.0020868524443358183,0.002672807080671191
26,10349,,,,0.0011466670548543334,0.0013407221995294094
26,10399,,,,0.002544947899878025,0.0027526647318154573
26,10449,,,,0.0015519633889198303,0.0030511426739394665
26,10499,,,,0.0008417057688347995,0.0018745060078799725
26,10529,0.6554999947547913,0.7961938977241516,0.7956930994987488,,
27,10549,,,,0.0030107309576123953,0.0016387050272896886
27,10599,,,,0.001597840222530067,0.0014093532226979733
27,10649,,,,0.0023119491524994373,0.0032728477381169796
27,10699,,,,0.0009585603256709874,0.0010076187318190932
27,10749,,,,0.002001593355089426,0.0022474112920463085
27,10799,,,,0.0013361156452447176,0.0016360513400286436
27,10849,,,,0.0016889941180124879,0.0026265757624059916
27,10899,,,,0.0023492516484111547,0.0012014673557132483
27,10919,0.6549999713897705,0.8024439215660095,0.8035656809806824,,
28,10949,,,,0.0020343849901109934,0.002389228204265237
28,10999,,,,0.001567691913805902,0.002033056691288948
28,11049,,,,0.0014325149822980165,0.0008929580799303949
28,11099,,,,0.0010142878163605928,0.0008248812519013882
28,11149,,,,0.002214200096204877,0.0017665672348812222
28,11199,,,,0.0022423090413212776,0.003204837441444397
28,11249,,,,0.0031678457744419575,0.002792163286358118
28,11299,,,,0.0026855531614273787,0.002776272362098098
28,11309,0.6481999754905701,0.8049078583717346,0.8082131147384644,,
29,11349,,,,0.0015078838914632797,0.0014469170710071921
29,11399,,,,0.0014380264328792691,0.0016321984585374594
29,11449,,,,0.0008953900542110205,0.0011539326515048742
29,11499,,,,0.0035609451588243246,0.0017601738218218088
29,11549,,,,0.0010526140686124563,0.00095741031691432
29,11599,,,,0.0025836466811597347,0.0018373265629634261
29,11649,,,,0.0006493002292700112,0.0011355254100635648
29,11699,,,,0.0022351788356900215,0.0026886595878750086
29,11699,0.6557999849319458,0.810276448726654,0.8152043223381042,,
30,11749,,,,0.002064598724246025,0.0015216299798339605
30,11799,,,,0.0007518776110373437,0.0011258202139288187
30,11849,,,,0.0021832184866070747,0.0025852785911411047
30,11899,,,,0.0019691947381943464,0.001955663785338402
30,11949,,,,0.0026340836193412542,0.00184919242747128
