epoch,step,test_acc,train_loss
0,49,,-0.4114973545074463
0,99,,-0.503695011138916
0,149,,-0.6842406988143921
0,199,,-0.8931176662445068
0,249,,-0.9353964328765869
0,299,,-1.1060948371887207
0,349,,-0.9317072629928589
0,389,0.2581999897956848,
1,399,,-1.2708418369293213
1,449,,-1.2936458587646484
1,499,,-1.3310396671295166
1,549,,-1.31836998462677
1,599,,-1.4535927772521973
1,649,,-1.4747251272201538
1,699,,-1.4703572988510132
1,749,,-1.511304497718811
1,779,0.3926999866962433,
2,799,,-1.616959571838379
2,849,,-1.669519066810608
2,899,,-1.832840085029602
2,949,,-1.739687442779541
2,999,,-1.709368348121643
2,1049,,-1.7851508855819702
2,1099,,-1.8853514194488525
2,1149,,-1.8209741115570068
2,1169,0.4666000008583069,
3,1199,,-2.0928139686584473
3,1249,,-1.861515760421753
3,1299,,-1.9750570058822632
3,1349,,-1.986574649810791
3,1399,,-1.9502227306365967
3,1449,,-1.990001916885376
3,1499,,-2.077707290649414
3,1549,,-2.0486786365509033
3,1559,0.5034000277519226,
4,1599,,-2.161924362182617
4,1649,,-2.0947155952453613
4,1699,,-2.2104198932647705
4,1749,,-2.1342742443084717
4,1799,,-2.2228431701660156
4,1849,,-2.278136730194092
4,1899,,-2.3268299102783203
4,1949,,-2.2091095447540283
4,1949,0.5616999864578247,
5,1999,,-2.4510974884033203
5,2049,,-2.204374313354492
5,2099,,-2.1797966957092285
5,2149,,-2.151211738586426
5,2199,,-2.364879846572876
5,2249,,-2.500936985015869
5,2299,,-2.315187692642212
5,2339,0.5982000231742859,
6,2349,,-2.4893784523010254
6,2399,,-2.506343364715576
6,2449,,-2.430333137512207
6,2499,,-2.3826746940612793
6,2549,,-2.2926316261291504
6,2599,,-2.263331890106201
6,2649,,-2.417599678039551
6,2699,,-2.4620401859283447
6,2729,0.6067000031471252,
7,2749,,-2.62646746635437
7,2799,,-2.33021879196167
7,2849,,-2.5475356578826904
7,2899,,-2.5491113662719727
7,2949,,-2.6333727836608887
7,2999,,-2.4921364784240723
7,3049,,-2.617877721786499
7,3099,,-2.5872159004211426
7,3119,0.6201000213623047,
8,3149,,-2.5839245319366455
8,3199,,-2.617685317993164
8,3249,,-2.588778495788574
8,3299,,-2.769033908843994
8,3349,,-2.580087184906006
8,3399,,-2.6750130653381348
8,3449,,-2.6986026763916016
8,3499,,-2.6024017333984375
8,3509,0.6344000101089478,
9,3549,,-2.682326316833496
9,3599,,-2.755929470062256
9,3649,,-2.6970887184143066
9,3699,,-2.738028049468994
9,3749,,-2.750183582305908
9,3799,,-2.726317882537842
9,3849,,-2.6968746185302734
9,3899,,-2.6655893325805664
9,3899,0.6449000239372253,
10,3949,,-2.7633399963378906
10,3999,,-2.839712619781494
10,4049,,-2.658764362335205
10,4099,,-2.841315269470215
10,4149,,-2.5826189517974854
10,4199,,-2.636159658432007
10,4249,,-2.8251543045043945
10,4289,0.6618000268936157,
11,4299,,-2.83048415184021
11,4349,,-2.7559776306152344
11,4399,,-2.8075437545776367
11,4449,,-2.8014345169067383
11,4499,,-2.816664218902588
11,4549,,-2.791020393371582
11,4599,,-2.6423399448394775
11,4649,,-2.68361234664917
11,4679,0.6639000177383423,
12,4699,,-2.797809600830078
12,4749,,-2.933055877685547
12,4799,,-2.882995843887329
12,4849,,-2.8093066215515137
12,4899,,-2.9129772186279297
12,4949,,-2.8878462314605713
12,4999,,-2.758329391479492
12,5049,,-2.7351369857788086
12,5069,0.6807000041007996,
13,5099,,-2.869757652282715
13,5149,,-3.007730722427368
13,5199,,-2.829619884490967
13,5249,,-2.9425337314605713
