epoch,step,test_acc,train_acc,train_loss
0,49,,,6.76060152053833
0,99,,,6.597393035888672
0,149,,,6.485619068145752
0,199,,,6.407024383544922
0,249,,,6.382450580596924
0,299,,,6.419413089752197
0,349,,,6.442212104797363
0,389,0.17919999361038208,0.0750100165605545,
1,399,,,6.303302764892578
1,449,,,6.122997760772705
1,499,,,6.196131229400635
1,549,,,6.206970691680908
1,599,,,5.80855131149292
1,649,,,6.150911331176758
1,699,,,5.837988376617432
1,749,,,5.962157726287842
1,779,0.22300000488758087,0.13860176503658295,
2,799,,,5.669581413269043
2,849,,,5.48713493347168
2,899,,,5.900259017944336
2,949,,,5.726718425750732
2,999,,,5.876057147979736
2,1049,,,5.848168849945068
2,1099,,,5.542022228240967
2,1149,,,5.723448753356934
2,1169,0.3070000112056732,0.18545673787593842,
3,1199,,,5.45537805557251
3,1249,,,5.609901428222656
3,1299,,,5.5099897384643555
3,1349,,,5.7239298820495605
3,1399,,,5.798702239990234
3,1449,,,5.1632399559021
3,1499,,,5.445343494415283
3,1549,,,4.979780197143555
3,1559,0.3366999924182892,0.22244592010974884,
4,1599,,,5.160848617553711
4,1649,,,5.222043514251709
4,1699,,,4.953096866607666
4,1749,,,5.275222301483154
4,1799,,,5.323327541351318
4,1849,,,5.091195106506348
4,1899,,,5.5557451248168945
4,1949,,,5.306255340576172
4,1949,0.3978999853134155,0.25208333134651184,
5,1999,,,5.240821361541748
5,2049,,,5.141802787780762
5,2099,,,5.008083820343018
5,2149,,,4.888129711151123
5,2199,,,5.187758445739746
5,2249,,,5.533198833465576
5,2299,,,5.256986141204834
5,2339,0.41620001196861267,0.27410855889320374,
6,2349,,,4.734652042388916
6,2399,,,5.378922939300537
6,2449,,,5.122673511505127
6,2499,,,4.9199652671813965
6,2549,,,4.512396335601807
6,2599,,,4.571080207824707
6,2649,,,4.604238033294678
6,2699,,,5.0780930519104
6,2729,0.4399999976158142,0.2946113646030426,
7,2749,,,4.599110126495361
7,2799,,,4.403324127197266
7,2849,,,4.845884323120117
7,2899,,,4.583738327026367
7,2949,,,4.815954208374023
7,2999,,,4.849700450897217
7,3049,,,4.854310989379883
7,3099,,,4.808559894561768
7,3119,0.4553999900817871,0.3127904534339905,
8,3149,,,5.132221221923828
8,3199,,,4.681225299835205
8,3249,,,4.438287734985352
8,3299,,,4.935553073883057
8,3349,,,4.275455474853516
8,3399,,,5.277265548706055
8,3449,,,4.712433815002441
8,3499,,,4.778558731079102
8,3509,0.4648999869823456,0.3223858177661896,
9,3549,,,4.343026161193848
9,3599,,,4.516855716705322
9,3649,,,4.257443904876709
9,3699,,,4.278484344482422
9,3749,,,4.857652187347412
9,3799,,,4.498649597167969
9,3849,,,4.483987808227539
9,3899,,,4.562220573425293
9,3899,0.45879998803138733,0.33676883578300476,
10,3949,,,4.093236923217773
10,3999,,,4.493890762329102
10,4049,,,4.111813068389893
10,4099,,,4.565709114074707
10,4149,,,4.508293151855469
10,4199,,,4.461909770965576
10,4249,,,4.497268199920654
10,4289,0.482699990272522,0.34713542461395264,
11,4299,,,4.207250595092773
11,4349,,,4.031138896942139
11,4399,,,4.134641170501709
11,4449,,,4.478142738342285
11,4499,,,4.33863639831543
11,4549,,,4.091952323913574
11,4599,,,4.42561149597168
11,4649,,,4.178274631500244
11,4679,0.5103999972343445,0.3563201129436493,
12,4699,,,3.9690656661987305
12,4749,,,3.919638156890869
12,4799,,,4.149307727813721
12,4849,,,3.957946538925171
12,4899,,,4.2366943359375
12,4949,,,3.9720590114593506
12,4999,,,4.43791389465332
12,5049,,,4.163027763366699
12,5069,0.5218999981880188,0.36516425013542175,
13,5099,,,3.909797191619873
13,5149,,,4.006606578826904
13,5199,,,3.8816933631896973
13,5249,,,3.9472415447235107
13,5299,,,3.726802349090576
13,5349,,,4.108754634857178
13,5399,,,4.195898532867432
13,5449,,,3.683548927307129
13,5459,0.5482000112533569,0.3739182651042938,
14,5499,,,3.191868305206299
14,5549,,,3.9825150966644287
