epoch,step,test_acc,train_loss
0,49,,-0.125746488571167
0,99,,-0.383500337600708
0,149,,-0.4035184383392334
0,199,,-0.40888166427612305
0,249,,-0.50490403175354
0,299,,-0.5982286930084229
0,349,,-0.6195154190063477
0,389,0.19460000097751617,
1,399,,-0.5443539619445801
1,449,,-0.7110034227371216
1,499,,-0.6847728490829468
1,549,,-0.8259153366088867
1,599,,-0.8227280378341675
1,649,,-0.7475110292434692
1,699,,-0.7686104774475098
1,749,,-0.8622233867645264
1,779,0.2833000123500824,
2,799,,-0.981867790222168
2,849,,-0.889734148979187
2,899,,-1.1065062284469604
2,949,,-0.8928560018539429
2,999,,-0.8789383172988892
2,1049,,-1.0700345039367676
2,1099,,-1.0835793018341064
2,1149,,-0.927759051322937
2,1169,0.3416999876499176,
3,1199,,-1.124529242515564
3,1249,,-1.2592673301696777
3,1299,,-1.2008006572723389
3,1349,,-1.0396744012832642
3,1399,,-1.0625876188278198
3,1449,,-1.2548508644104004
3,1499,,-1.308610200881958
3,1549,,-1.1324083805084229
3,1559,0.3846000134944916,
4,1599,,-1.1418501138687134
4,1649,,-1.107242226600647
4,1699,,-1.2758398056030273
4,1749,,-1.1451730728149414
4,1799,,-1.1595232486724854
4,1849,,-1.1176701784133911
4,1899,,-1.285592794418335
4,1949,,-1.330303430557251
4,1949,0.4185999929904938,
5,1999,,-1.3235070705413818
5,2049,,-1.2828445434570312
5,2099,,-1.227874994277954
5,2149,,-1.431086778640747
5,2199,,-1.336015224456787
5,2249,,-1.3092906475067139
5,2299,,-1.3034248352050781
5,2339,0.44699999690055847,
6,2349,,-1.2210092544555664
6,2399,,-1.4208663702011108
6,2449,,-1.493091344833374
6,2499,,-1.3172231912612915
6,2549,,-1.3458186388015747
6,2599,,-1.3221575021743774
6,2649,,-1.366772174835205
6,2699,,-1.3920117616653442
6,2729,0.4799000024795532,
7,2749,,-1.3909873962402344
7,2799,,-1.2621750831604004
7,2849,,-1.4368661642074585
7,2899,,-1.4408565759658813
7,2949,,-1.3422783613204956
7,2999,,-1.4717159271240234
7,3049,,-1.6885462999343872
7,3099,,-1.3601280450820923
7,3119,0.4821999967098236,
8,3149,,-1.5944252014160156
8,3199,,-1.2964597940444946
8,3249,,-1.446062684059143
8,3299,,-1.5888248682022095
8,3349,,-1.3008252382278442
8,3399,,-1.5008528232574463
8,3449,,-1.696857213973999
8,3499,,-1.4854778051376343
8,3509,0.5094000101089478,
9,3549,,-1.4479553699493408
9,3599,,-1.4418729543685913
9,3649,,-1.5173254013061523
9,3699,,-1.5096043348312378
9,3749,,-1.6356823444366455
9,3799,,-1.6187766790390015
9,3849,,-1.55990731716156
9,3899,,-1.5839729309082031
9,3899,0.5099999904632568,
10,3949,,-1.495310664176941
10,3999,,-1.4401297569274902
10,4049,,-1.5434359312057495
10,4099,,-1.6442409753799438
10,4149,,-1.5825713872909546
10,4199,,-1.5466597080230713
10,4249,,-1.7082655429840088
10,4289,0.5227000117301941,
11,4299,,-1.694334864616394
11,4349,,-1.7103506326675415
11,4399,,-1.694148302078247
11,4449,,-1.788443684577942
11,4499,,-1.7098956108093262
11,4549,,-1.6944729089736938
11,4599,,-1.7783576250076294
11,4649,,-1.767223834991455
11,4679,0.5289999842643738,
12,4699,,-1.658777117729187
12,4749,,-1.5318397283554077
12,4799,,-1.9242305755615234
12,4849,,-1.651317834854126
12,4899,,-1.8725132942199707
12,4949,,-1.701980471611023
12,4999,,-1.516048789024353
12,5049,,-1.6232837438583374
12,5069,0.5418000221252441,
13,5099,,-1.6708062887191772
13,5149,,-1.8517582416534424
13,5199,,-1.7059837579727173
13,5249,,-1.7841755151748657
13,5299,,-1.6639846563339233
13,5349,,-1.7006895542144775
13,5399,,-1.7716608047485352
13,5449,,-1.8285491466522217
