epoch,step,test_acc,train_acc,train_loss
0,49,,,2.4322452545166016
0,99,,,2.4598922729492188
0,149,,,2.003822088241577
0,199,,,2.0457139015197754
0,249,,,1.9526095390319824
0,299,,,2.1517014503479004
0,349,,,2.1465630531311035
0,389,0.2759999930858612,0.21883012354373932,
1,399,,,2.1722230911254883
1,449,,,2.047880172729492
1,499,,,2.133031129837036
1,549,,,2.0995893478393555
1,599,,,2.1815266609191895
1,649,,,1.934733271598816
1,699,,,2.0566673278808594
1,749,,,2.090892791748047
1,779,0.2745000123977661,0.26872995495796204,
2,799,,,2.1946187019348145
2,849,,,1.9899475574493408
2,899,,,2.085704803466797
2,949,,,1.9306293725967407
2,999,,,1.8402284383773804
2,1049,,,1.8506431579589844
2,1099,,,1.7691516876220703
2,1149,,,1.8503367900848389
2,1169,0.37950000166893005,0.31500402092933655,
3,1199,,,1.6459702253341675
3,1249,,,1.766054630279541
3,1299,,,1.8425698280334473
3,1349,,,1.6071841716766357
3,1399,,,1.7036323547363281
3,1449,,,1.5761977434158325
3,1499,,,1.7218748331069946
3,1549,,,1.6089116334915161
3,1559,0.42010000348091125,0.3939903974533081,
4,1599,,,1.582805871963501
4,1649,,,1.5838463306427002
4,1699,,,1.5996294021606445
4,1749,,,1.5131584405899048
4,1799,,,1.5868182182312012
4,1849,,,1.5154087543487549
4,1899,,,1.6242053508758545
4,1949,,,1.5048309564590454
4,1949,0.49160000681877136,0.4472956657409668,
5,1999,,,1.450128197669983
5,2049,,,1.3743877410888672
5,2099,,,1.5555860996246338
5,2149,,,1.3882009983062744
5,2199,,,1.417395830154419
5,2249,,,1.2899141311645508
5,2299,,,1.6042267084121704
5,2339,0.534500002861023,0.4958733916282654,
6,2349,,,1.4016084671020508
6,2399,,,1.418749451637268
6,2449,,,1.4073007106781006
6,2499,,,1.369657278060913
6,2549,,,1.2365121841430664
6,2599,,,1.2915221452713013
6,2649,,,1.2377614974975586
6,2699,,,1.0826222896575928
6,2729,0.5871999859809875,0.5521434545516968,
7,2749,,,1.200147032737732
7,2799,,,1.2003427743911743
7,2849,,,1.0204360485076904
7,2899,,,1.1655032634735107
7,2949,,,1.276389479637146
7,2999,,,1.1798542737960815
7,3049,,,1.127549648284912
7,3099,,,1.0872178077697754
7,3119,0.6341999769210815,0.5951322317123413,
8,3149,,,1.1603038311004639
8,3199,,,1.1234244108200073
8,3249,,,1.0934048891067505
8,3299,,,1.1196644306182861
8,3349,,,1.3061535358428955
8,3399,,,1.094288945198059
8,3449,,,1.100891351699829
8,3499,,,1.0718249082565308
8,3509,0.6790000200271606,0.6266226172447205,
9,3549,,,1.2904963493347168
9,3599,,,1.0158019065856934
9,3649,,,1.025496482849121
9,3699,,,1.0729275941848755
9,3749,,,1.0174049139022827
9,3799,,,1.0456082820892334
9,3849,,,1.157312273979187
9,3899,,,1.0101571083068848
9,3899,0.670799970626831,0.6501402258872986,
10,3949,,,0.9094340801239014
10,3999,,,0.9106972217559814
10,4049,,,0.9139040112495422
10,4099,,,1.274886965751648
10,4149,,,1.0536751747131348
10,4199,,,1.123090147972107
10,4249,,,0.8445705771446228
10,4289,0.7150999903678894,0.6631209850311279,
11,4299,,,0.6207243204116821
11,4349,,,0.8017423152923584
11,4399,,,0.6724669933319092
11,4449,,,0.8166736364364624
11,4499,,,0.8280757665634155
11,4549,,,0.6264210939407349
11,4599,,,0.8967189788818359
11,4649,,,0.7705035209655762
11,4679,0.6808000206947327,0.6694310903549194,
12,4699,,,0.25835710763931274
12,4749,,,0.5490936636924744
12,4799,,,0.2377883791923523
12,4849,,,0.3096599578857422
12,4899,,,0.1168627142906189
12,4949,,,0.07979476451873779
12,4999,,,0.22027230262756348
12,5049,,,-0.09898298978805542
