epoch,mix_match_loss_epoch,mix_match_loss_step,step,test_acc,train_acc,train_loss
0,,,49,,,2.23721981048584
0,,,99,,,1.8807352781295776
0,,,149,,,1.8731645345687866
0,,,199,,,2.0387279987335205
0,,,249,,,1.7312352657318115
0,,,299,,,1.7536306381225586
0,,,349,,,1.7990535497665405
0,,,389,0.45509999990463257,0.3246995210647583,
1,,,399,,,1.687225103378296
1,,,449,,,1.5456801652908325
1,,,499,,,1.7450348138809204
1,,,549,,,1.6344417333602905
1,,,599,,,1.5468153953552246
1,,,649,,,1.5970021486282349
1,,,699,,,1.5501527786254883
1,,,749,,,1.5920580625534058
1,,,779,0.5616999864578247,0.4588741958141327,
2,,,799,,,1.4342401027679443
2,,,849,,,1.410404920578003
2,,,899,,,1.3957101106643677
2,,,949,,,1.466298222541809
2,,,999,,,1.3769742250442505
2,,,1049,,,1.4731734991073608
2,,,1099,,,1.4601010084152222
2,,,1149,,,1.5783658027648926
2,,,1169,0.6082000136375427,0.5327924489974976,
3,,,1199,,,1.2369292974472046
3,,,1249,,,1.3245327472686768
3,,,1299,,,1.41831636428833
3,,,1349,,,1.3530579805374146
3,,,1399,,,1.2671808004379272
3,,,1449,,,1.3828775882720947
3,,,1499,,,1.1954388618469238
3,,,1549,,,1.2270199060440063
3,,,1559,0.6672000288963318,0.5822115540504456,
4,,,1599,,,1.1758596897125244
4,,,1649,,,1.3937348127365112
4,,,1699,,,1.3348956108093262
4,,,1749,,,1.3730292320251465
4,,,1799,,,1.282721996307373
4,,,1849,,,1.0230275392532349
4,,,1899,,,1.2288719415664673
4,,,1949,,,1.1966900825500488
4,,,1949,0.741100013256073,0.6132411956787109,
5,,,1999,,,1.4290752410888672
5,,,2049,,,1.149951696395874
5,,,2099,,,1.3769733905792236
5,,,2149,,,1.137157917022705
5,,,2199,,,1.223207950592041
5,,,2249,,,1.2364453077316284
5,,,2299,,,1.3249419927597046
5,,,2339,0.7506999969482422,0.6351562738418579,
6,,,2349,,,1.1989049911499023
6,,,2399,,,0.9986194968223572
6,,,2449,,,1.2100549936294556
6,,,2499,,,1.3206992149353027
6,,,2549,,,1.3280010223388672
6,,,2599,,,1.1829326152801514
6,,,2649,,,1.2389729022979736
6,,,2699,,,1.272349238395691
6,,,2729,0.7620000243186951,0.6526442170143127,
7,,,2749,,,1.4643248319625854
7,,,2799,,,1.352040410041809
7,,,2849,,,0.9701406955718994
7,,,2899,,,0.9811965227127075
7,,,2949,,,0.9572231769561768
7,,,2999,,,1.233900785446167
7,,,3049,,,1.1663239002227783
7,,,3099,,,1.0606416463851929
7,,,3119,0.7867000102996826,0.6695512533187866,
8,,,3149,,,1.1723661422729492
8,,,3199,,,1.1450179815292358
8,,,3249,,,1.0362297296524048
8,,,3299,,,1.1053588390350342
8,,,3349,,,1.0811532735824585
8,,,3399,,,1.1026729345321655
8,,,3449,,,1.1852619647979736
8,,,3499,,,0.8972524404525757
8,,,3509,0.7663000226020813,0.6768830418586731,
9,,,3549,,,1.1196677684783936
9,,,3599,,,1.2507617473602295
9,,,3649,,,0.9537505507469177
9,,,3699,,,1.1212897300720215
9,,,3749,,,1.179234266281128
9,,,3799,,,0.9686199426651001
9,,,3849,,,1.009085774421692
9,,,3899,,,1.0339720249176025
9,,,3899,0.7982000112533569,0.6865785121917725,
10,,,3949,,,1.163187026977539
10,,,3999,,,1.0878597497940063
10,,,4049,,,0.9900946021080017
10,,,4099,,,0.8649745583534241
10,,,4149,,,1.0938297510147095
10,,,4199,,,1.0800315141677856
10,,,4249,,,1.1203724145889282
10,,,4289,0.7944999933242798,0.695152223110199,
11,,,4299,,,1.0382511615753174
11,,,4349,,,0.9482311010360718
11,,,4399,,,0.945414125919342
11,,,4449,,,0.9549591541290283
11,,,4499,,,0.9844862222671509
11,,,4549,,,1.1259738206863403
11,,,4599,,,1.0959899425506592
11,,,4649,,,0.9874616861343384
11,,,4679,0.822700023651123,0.699799656867981,
12,,,4699,,,0.9918907880783081
12,,,4749,,,1.0125761032104492
12,,,4799,,,0.9553291201591492
12,,,4849,,,1.1188440322875977
12,,,4899,,,1.063248634338379
12,,,4949,,,0.9686883687973022
12,,,4999,,,0.9343629479408264
12,,,5049,,,1.129643440246582
12,,,5069,0.8163999915122986,0.7077924609184265,
13,,,5099,,,1.1402952671051025
13,,,5149,,,0.9770898818969727
13,,,5199,,,0.8913217186927795
13,,,5249,,,0.7512363195419312
13,,,5299,,,1.0058379173278809
13,,,5349,,,1.1107274293899536
13,,,5399,,,0.9311358332633972
13,,,5449,,,0.8694674968719482
13,,,5459,0.8371999859809875,0.7128605842590332,
14,,,5499,,,1.1234357357025146
14,,,5549,,,1.0390753746032715
14,,,5599,,,1.037676453590393
14,,,5649,,,0.9282102584838867
14,,,5699,,,1.0928475856781006
14,,,5749,,,1.0297925472259521
14,,,5799,,,0.7333211302757263
14,,,5849,,,1.1249200105667114
14,,,5849,0.8288999795913696,0.7185496687889099,
15,,,5899,,,1.0081605911254883
15,,,5949,,,0.9422346353530884
15,,,5999,,,0.9666541814804077
15,,,6049,,,0.944931149482727
15,,,6099,,,0.8353700041770935
15,,,6149,,,1.0340155363082886
15,,,6199,,,1.1792789697647095
15,,,6239,0.82669997215271,0.7208333611488342,
16,,,6249,,,0.7195407748222351
16,,,6299,,,1.1412187814712524
16,,,6349,,,0.9212712049484253
16,,,6399,,,0.9772714972496033
16,,,6449,,,1.1574478149414062
16,,,6499,,,0.8894175291061401
16,,,6549,,,0.9721620082855225
16,,,6599,,,1.0964272022247314
16,,,6629,0.8313000202178955,0.7271233797073364,
17,,,6649,,,1.0179553031921387
17,,,6699,,,0.896223247051239
17,,,6749,,,0.9741634726524353
17,,,6799,,,0.8274533748626709
17,,,6849,,,0.864021897315979
17,,,6899,,,1.1251977682113647
17,,,6949,,,1.0585530996322632
17,,,6999,,,1.0231233835220337
17,,,7019,0.8176000118255615,0.7297876477241516,
18,,,7049,,,1.0492628812789917
18,,,7099,,,0.8272683024406433
18,,,7149,,,0.8801679015159607
18,,,7199,,,0.843100368976593
18,,,7249,,,0.9380128979682922
18,,,7299,,,0.8225228786468506
18,,,7349,,,0.9418736696243286
18,,,7399,,,1.0050979852676392
18,,,7409,0.8382999897003174,0.7340144515037537,
19,,,7449,,,0.991310715675354
19,,,7499,,,1.0671086311340332
19,,,7549,,,1.0812214612960815
