epoch,step,test_acc,train_acc1,train_acc2,train_loss1,train_loss2
0,49,,,,0.01569601520895958,0.01628124713897705
0,99,,,,0.014634227380156517,0.014418493956327438
0,149,,,,0.013220135122537613,0.013612975366413593
0,199,,,,0.013608220033347607,0.013622849248349667
0,249,,,,0.014355763792991638,0.014566090889275074
0,299,,,,0.012649464420974255,0.013067234307527542
0,349,,,,0.013378683477640152,0.013338862918317318
0,389,0.4404999911785126,0.3401041626930237,0.32796475291252136,,
1,399,,,,0.013092328794300556,0.012717236764729023
1,449,,,,0.011417430825531483,0.011802352964878082
1,499,,,,0.011105277575552464,0.010798508301377296
1,549,,,,0.01214282400906086,0.012459362857043743
1,599,,,,0.011545750312507153,0.011450684629380703
1,649,,,,0.011194677092134953,0.011159191839396954
1,699,,,,0.01094295084476471,0.010935754515230656
1,749,,,,0.012256248854100704,0.012194124050438404
1,779,0.5813999772071838,0.46484375,0.46776843070983887,,
2,799,,,,0.010372363030910492,0.010183557868003845
2,849,,,,0.011249354109168053,0.011866896413266659
2,899,,,,0.0095124002546072,0.009826714172959328
2,949,,,,0.009343174286186695,0.00899155531078577
2,999,,,,0.009278453886508942,0.009033518843352795
2,1049,,,,0.010507961735129356,0.009790136478841305
2,1099,,,,0.010024973191320896,0.010138430632650852
2,1149,,,,0.009215942583978176,0.008948085829615593
2,1169,0.6092000007629395,0.5284655690193176,0.5315905213356018,,
3,1199,,,,0.010603104718029499,0.010376939550042152
3,1249,,,,0.007482834160327911,0.007816174067556858
3,1299,,,,0.00878112018108368,0.008979575708508492
3,1349,,,,0.010337592102587223,0.009810070507228374
3,1399,,,,0.008376846089959145,0.008216114714741707
3,1449,,,,0.0075261397287249565,0.007776414044201374
3,1499,,,,0.008415269665420055,0.008038601838052273
3,1549,,,,0.00798025168478489,0.008148175664246082
3,1559,0.6690000295639038,0.5699318647384644,0.5678285360336304,,
4,1599,,,,0.010071158409118652,0.011225438676774502
4,1649,,,,0.008437681943178177,0.008658943697810173
4,1699,,,,0.007745840586721897,0.00771752605214715
4,1749,,,,0.009211552329361439,0.00904762465506792
4,1799,,,,0.008106318302452564,0.008041748777031898
4,1849,,,,0.008861665613949299,0.008875486440956593
4,1899,,,,0.00820037629455328,0.0077135334722697735
4,1949,,,,0.007457150146365166,0.007198090199381113
4,1949,0.670799970626831,0.5977563858032227,0.596915066242218,,
5,1999,,,,0.007919657975435257,0.00790484994649887
5,2049,,,,0.00625276193022728,0.006111401133239269
5,2099,,,,0.0063741374760866165,0.006405958440154791
5,2149,,,,0.007455186452716589,0.006809094455093145
5,2199,,,,0.006716805510222912,0.0075096203945577145
5,2249,,,,0.006563997827470303,0.006602724082767963
5,2299,,,,0.006883951369673014,0.007008083164691925
5,2339,0.7177000045776367,0.6217347979545593,0.6249599456787109,,
6,2349,,,,0.006523432210087776,0.005929101258516312
6,2399,,,,0.0060288249514997005,0.0054998574778437614
6,2449,,,,0.007262674160301685,0.006570120807737112
6,2499,,,,0.005182427354156971,0.005328604020178318
6,2549,,,,0.005828469060361385,0.0051088170148432255
6,2599,,,,0.0063039944507181644,0.006601553410291672
6,2649,,,,0.006082032807171345,0.006414529401808977
6,2699,,,,0.008099653758108616,0.00796138122677803
6,2729,0.7505000233650208,0.6440705060958862,0.6470352411270142,,
7,2749,,,,0.005399879068136215,0.004968731664121151
7,2799,,,,0.00872733537107706,0.008607937023043633
7,2849,,,,0.00799216516315937,0.008776496164500713
7,2899,,,,0.006730249617248774,0.00676683196797967
7,2949,,,,0.0038888731505721807,0.0037999898195266724
7,2999,,,,0.005368923768401146,0.0065618520602583885
7,3049,,,,0.006995614618062973,0.0064851995557546616
7,3099,,,,0.005658307578414679,0.0057043698616325855
7,3119,0.7394000291824341,0.6622796654701233,0.664643406867981,,
8,3149,,,,0.004430590663105249,0.0037684603594243526
8,3199,,,,0.0034829596988856792,0.002821065252646804
8,3249,,,,0.005419088527560234,0.005154178477823734
8,3299,,,,0.005268681328743696,0.005960642360150814
8,3349,,,,0.0034806071780622005,0.0036340877413749695
8,3399,,,,0.006769496947526932,0.0072036972269415855
8,3449,,,,0.004071346949785948,0.004189121536910534
8,3499,,,,0.0037354829255491495,0.003872158471494913
8,3509,0.7702000141143799,0.67578125,0.6778445243835449,,
9,3549,,,,0.0041945939883589745,0.003719341941177845
9,3599,,,,0.004629837814718485,0.004490491468459368
9,3649,,,,0.005439551081508398,0.004934150259941816
9,3699,,,,0.0019274605438113213,0.0017097616801038384
9,3749,,,,0.0035080870147794485,0.00371936010196805
9,3799,,,,0.0049429163336753845,0.004927593283355236
9,3849,,,,0.005628375802189112,0.005175979807972908
9,3899,,,,0.0016927069518715143,0.0023215070832520723
