epoch,step,test_acc,train_loss
0,49,,2.1205456256866455
0,99,,2.0363361835479736
0,149,,1.9831914901733398
0,199,,2.154927968978882
0,249,,1.9319953918457031
0,299,,2.0965404510498047
0,349,,2.098069190979004
0,389,0.44369998574256897,
1,399,,2.211613178253174
1,449,,1.965259075164795
1,499,,2.159513473510742
1,549,,2.0288987159729004
1,599,,2.0008411407470703
1,649,,1.935293197631836
1,699,,2.089249610900879
1,749,,1.9809446334838867
1,779,0.4593999981880188,
2,799,,1.7192745208740234
2,849,,1.860948920249939
2,899,,1.8827869892120361
2,949,,1.938305377960205
2,999,,1.9372612237930298
2,1049,,1.921144962310791
2,1099,,1.7359237670898438
2,1149,,1.8727582693099976
2,1169,0.47290000319480896,
3,1199,,1.958391547203064
3,1249,,1.8981112241744995
3,1299,,1.9455065727233887
3,1349,,1.8883721828460693
3,1399,,1.758914828300476
3,1449,,1.90040123462677
3,1499,,1.9719845056533813
3,1549,,1.7069969177246094
3,1559,0.5144000053405762,
4,1599,,1.7278348207473755
4,1649,,1.9729008674621582
4,1699,,1.6110365390777588
4,1749,,1.8531278371810913
4,1799,,1.6791056394577026
4,1849,,1.5148532390594482
4,1899,,1.8895817995071411
4,1949,,1.8416743278503418
4,1949,0.5533999800682068,
5,1999,,1.4445042610168457
5,2049,,1.684407114982605
5,2099,,1.8088314533233643
5,2149,,1.4413318634033203
5,2199,,1.8807488679885864
5,2249,,1.5655633211135864
5,2299,,1.8413810729980469
5,2339,0.5800999999046326,
6,2349,,1.2755606174468994
6,2399,,1.5188100337982178
6,2449,,1.6712737083435059
6,2499,,1.661954641342163
6,2549,,1.512815237045288
6,2599,,1.6145386695861816
6,2649,,1.6607240438461304
6,2699,,1.812923789024353
6,2729,0.590499997138977,
7,2749,,1.4537086486816406
7,2799,,1.1634418964385986
7,2849,,1.394059658050537
7,2899,,1.1895030736923218
7,2949,,1.8790435791015625
7,2999,,1.5806230306625366
7,3049,,1.6092777252197266
7,3099,,1.761440396308899
7,3119,0.6033999919891357,
8,3149,,1.5527327060699463
8,3199,,1.1870414018630981
8,3249,,1.6912274360656738
8,3299,,1.4993489980697632
8,3349,,1.6998956203460693
8,3399,,1.617556095123291
8,3449,,1.655726432800293
8,3499,,1.3263602256774902
8,3509,0.6434000134468079,
9,3549,,1.599915623664856
9,3599,,0.8372541069984436
9,3649,,1.5515305995941162
9,3699,,1.6311841011047363
9,3749,,1.5721354484558105
9,3799,,1.5428131818771362
9,3849,,1.7571675777435303
9,3899,,0.811064600944519
9,3899,0.6284999847412109,
10,3949,,1.4115337133407593
10,3999,,1.16181218624115
10,4049,,1.6483347415924072
10,4099,,1.4087506532669067
10,4149,,1.4722976684570312
10,4199,,1.5762090682983398
10,4249,,1.4132208824157715
10,4289,0.6301000118255615,
11,4299,,1.5677070617675781
11,4349,,1.0034449100494385
11,4399,,1.3103535175323486
11,4449,,1.7810304164886475
11,4499,,1.5343338251113892
11,4549,,0.8590502738952637
11,4599,,1.118391513824463
11,4649,,1.4483067989349365
11,4679,0.6582000255584717,
12,4699,,1.6141204833984375
12,4749,,0.9265263080596924
12,4799,,1.4430030584335327
12,4849,,1.5913063287734985
12,4899,,1.2099010944366455
12,4949,,0.8520218133926392
12,4999,,1.2031892538070679
12,5049,,1.1140512228012085
12,5069,0.6735000014305115,
13,5099,,0.9912745952606201
13,5149,,1.1377049684524536
13,5199,,0.6071547269821167
13,5249,,1.2112634181976318
13,5299,,0.648113489151001
13,5349,,0.7516993284225464
13,5399,,0.8927507400512695
13,5449,,0.41563332080841064
13,5459,0.6837000250816345,
14,5499,,0.9038300514221191
14,5549,,1.2341971397399902
14,5599,,1.7161433696746826
14,5649,,0.5783323049545288
14,5699,,0.31270265579223633
14,5749,,1.4472012519836426
14,5799,,1.0708634853363037
14,5849,,1.501363754272461
14,5849,0.704800009727478,
15,5899,,1.0799055099487305
15,5949,,1.2289204597473145
15,5999,,1.4330954551696777
15,6049,,0.8192963600158691
15,6099,,0.6162314414978027
15,6149,,1.420748233795166
15,6199,,1.347208023071289
15,6239,0.6937000155448914,
16,6249,,1.032222867012024
16,6299,,1.0745599269866943
16,6349,,1.341162919998169
16,6399,,0.3858780860900879
16,6449,,1.5099977254867554
16,6499,,1.0821542739868164
16,6549,,1.5429253578186035
16,6599,,1.52837073802948
16,6629,0.6929000020027161,
17,6649,,-0.059417009353637695
17,6699,,-0.24162054061889648
17,6749,,0.9629665613174438
17,6799,,1.2054755687713623
17,6849,,0.8678216934204102
17,6899,,1.3819987773895264
17,6949,,0.4326028823852539
17,6999,,0.9938005208969116
17,7019,0.7229999899864197,
18,7049,,0.9902899265289307
18,7099,,1.219395637512207
18,7149,,1.3362598419189453
18,7199,,0.5935802459716797
18,7249,,1.4733740091323853
18,7299,,1.262441873550415
18,7349,,0.844057559967041
18,7399,,0.11091530323028564
18,7409,0.7178999781608582,
19,7449,,1.1363036632537842
19,7499,,0.14023900032043457
19,7549,,0.6688964366912842
19,7599,,0.8782186508178711
19,7649,,1.3343300819396973
19,7699,,1.0800843238830566
19,7749,,1.1915173530578613
19,7799,,0.47161126136779785
19,7799,0.7095999717712402,
20,7849,,0.9767053127288818
20,7899,,1.109505295753479
20,7949,,0.7361449003219604
20,7999,,0.2873668670654297
20,8049,,0.12214183807373047
20,8099,,0.6862411499023438
20,8149,,0.6554818153381348
20,8189,0.7231000065803528,
21,8199,,0.9613211154937744
21,8249,,-0.8057401180267334
21,8299,,1.057340145111084
21,8349,,0.6285921335220337
21,8399,,1.3568334579467773
21,8449,,1.0305448770523071
21,8499,,0.018239736557006836
21,8549,,0.6324219703674316
21,8579,0.7229999899864197,
22,8599,,1.4948240518569946
22,8649,,0.779647707939148
22,8699,,-0.3191947937011719
22,8749,,1.1897063255310059
22,8799,,0.6982054710388184
22,8849,,1.0920515060424805
22,8899,,0.8955657482147217
22,8949,,0.16156935691833496
22,8969,0.7350000143051147,
23,8999,,0.3326747417449951
23,9049,,0.40326404571533203
23,9099,,0.18610787391662598
23,9149,,0.3133443593978882
23,9199,,1.180255651473999
23,9249,,-0.18397927284240723
23,9299,,0.7952344417572021
23,9349,,-0.6442828178405762
23,9359,0.7565000057220459,
24,9399,,0.09039306640625
24,9449,,1.0122554302215576
24,9499,,0.8910969495773315
24,9549,,-0.6154308319091797
24,9599,,0.3595850467681885
24,9649,,0.9933714866638184
24,9699,,1.000413417816162
24,9749,,1.033583164215088
24,9749,0.7491999864578247,
25,9799,,0.7713240385055542
25,9849,,-1.0703537464141846
25,9899,,0.9404988288879395
25,9949,,0.3259587287902832
25,9999,,1.1335549354553223
25,10049,,0.5389726161956787
25,10099,,1.2198457717895508
25,10139,0.7511000037193298,
26,10149,,-1.5098841190338135
26,10199,,-1.0389504432678223
26,10249,,-0.2066192626953125
26,10299,,-0.2835848331451416
26,10349,,-0.43407130241394043
26,10399,,0.671105146408081
26,10449,,0.29888081550598145
26,10499,,0.5982294082641602
26,10529,0.7506999969482422,
27,10549,,0.9520238637924194
27,10599,,0.6995247602462769
27,10649,,0.7187470197677612
27,10699,,-1.5543076992034912
27,10749,,0.4701097011566162
27,10799,,-0.15642976760864258
27,10849,,0.4395453929901123
27,10899,,-0.3716096878051758
27,10919,0.7552000284194946,
28,10949,,0.9439470767974854
28,10999,,-0.20593595504760742
28,11049,,-0.5872137546539307
28,11099,,-1.1251802444458008
28,11149,,0.8609920740127563
28,11199,,-0.5359077453613281
28,11249,,-1.2795982360839844
28,11299,,0.9519938230514526
28,11309,0.7594000101089478,
29,11349,,-1.4711530208587646
29,11399,,0.26868700981140137
29,11449,,-1.0506834983825684
29,11499,,0.7178428173065186
29,11549,,0.033593177795410156
29,11599,,0.7643076181411743
29,11649,,-0.7202112674713135
29,11699,,0.02639913558959961
29,11699,0.7473000288009644,
30,11749,,-1.7829341888427734
30,11799,,-0.1657247543334961
30,11849,,0.6891605854034424
30,11899,,0.657630443572998
30,11949,,1.3486955165863037
30,11999,,1.0219683647155762
30,12049,,-0.7064816951751709
30,12089,0.7402999997138977,
31,12099,,1.0387170314788818
31,12149,,-0.25451087951660156
31,12199,,0.5970765352249146
31,12249,,1.0707778930664062
31,12299,,1.0697710514068604
31,12349,,1.1258325576782227
31,12399,,-0.49733638763427734
31,12449,,-1.2734923362731934
31,12479,0.7670999765396118,
32,12499,,0.15760064125061035
32,12549,,-0.8471016883850098
32,12599,,-1.179744005203247
32,12649,,-1.721569538116455
32,12699,,-2.8663597106933594
32,12749,,0.7140833139419556
32,12799,,-1.3702666759490967
32,12849,,-1.4184753894805908
32,12869,0.781000018119812,
33,12899,,-1.5996651649475098
33,12949,,-0.351912260055542
33,12999,,-2.1794967651367188
33,13049,,-1.8590972423553467
33,13099,,0.7771345376968384
33,13149,,-2.925542116165161
33,13199,,-1.8548145294189453
33,13249,,-0.8258166313171387
33,13259,0.7748000025749207,
34,13299,,0.7880260944366455
34,13349,,-1.1141960620880127
34,13399,,-2.4112257957458496
34,13449,,0.9547173976898193
34,13499,,0.33577775955200195
34,13549,,0.9212415218353271
34,13599,,0.2101294994354248
34,13649,,-0.4314002990722656
34,13649,0.7781000137329102,
35,13699,,-0.048113346099853516
35,13749,,-1.8657429218292236
35,13799,,0.8392373323440552
35,13849,,0.666776180267334
35,13899,,0.9899420738220215
35,13949,,0.42845869064331055
35,13999,,0.9198694229125977
35,14039,0.7712000012397766,
36,14049,,-0.20932865142822266
36,14099,,0.9971075057983398
36,14149,,-1.2380242347717285
36,14199,,-1.222855567932129
36,14249,,-0.7147696018218994
36,14299,,-0.7121553421020508
36,14349,,-0.1500248908996582
36,14399,,0.7735518217086792
36,14429,0.782800018787384,
37,14449,,-2.1677961349487305
37,14499,,-2.5133793354034424
37,14549,,0.16466188430786133
37,14599,,0.757860541343689
37,14649,,0.44227707386016846
37,14699,,0.7158240079879761
37,14749,,-1.814955234527588
37,14799,,-3.274473190307617
37,14819,0.8032000064849854,
38,14849,,1.0094573497772217
38,14899,,-1.188439130783081
38,14949,,-1.4034175872802734
38,14999,,0.15368223190307617
38,15049,,0.6553176641464233
38,15099,,0.5439704656600952
38,15149,,-0.2875652313232422
38,15199,,0.6240981817245483
38,15209,0.8138999938964844,
39,15249,,0.49492430686950684
39,15299,,-0.6181893348693848
39,15349,,0.6418633460998535
39,15399,,1.04710054397583
39,15449,,0.8221398591995239
39,15499,,-2.684976577758789
39,15549,,-1.4518375396728516
39,15599,,-0.05406785011291504
39,15599,0.8076000213623047,
40,15649,,-0.44414258003234863
40,15699,,0.5770137310028076
40,15749,,-0.04705047607421875
40,15799,,-2.7105164527893066
40,15849,,0.5582883358001709
40,15899,,0.5338358879089355
40,15949,,-1.9258971214294434
40,15989,0.798799991607666,
41,15999,,-2.307124137878418
41,16049,,0.654848575592041
41,16099,,0.42508459091186523
41,16149,,-2.318965435028076
41,16199,,-0.8043057918548584
41,16249,,-2.740022659301758
41,16299,,-3.2013132572174072
41,16349,,0.45583033561706543
41,16379,0.774399995803833,
42,16399,,-1.1043496131896973
42,16449,,0.638035774230957
42,16499,,0.004838705062866211
42,16549,,-0.8658735752105713
42,16599,,1.1670972108840942
42,16649,,-1.6797528266906738
42,16699,,-1.8128416538238525
42,16749,,-0.997636079788208
42,16769,0.7847999930381775,
43,16799,,-0.3813598155975342
43,16849,,0.9533783197402954
43,16899,,0.30333471298217773
43,16949,,-0.09380435943603516
43,16999,,-1.0166711807250977
43,17049,,-4.842108249664307
43,17099,,0.6510405540466309
43,17149,,0.420560359954834
43,17159,0.817799985408783,
44,17199,,-0.2071847915649414
44,17249,,0.7043566703796387
44,17299,,0.895105242729187
44,17349,,-0.3742349147796631
44,17399,,1.2481815814971924
44,17449,,-1.0090198516845703
44,17499,,-1.420029640197754
44,17549,,-4.248856544494629
44,17549,0.8112000226974487,
45,17599,,-1.920698642730713
45,17649,,1.0017938613891602
45,17699,,0.22396564483642578
45,17749,,-4.125944137573242
45,17799,,-3.3827123641967773
45,17849,,-1.3921730518341064
45,17899,,-3.326542854309082
45,17939,0.8162000179290771,
46,17949,,-1.772268533706665
46,17999,,-3.81585431098938
46,18049,,-2.208332061767578
46,18099,,-2.88545560836792
46,18149,,-0.1404094696044922
46,18199,,0.0735616683959961
46,18249,,0.12206006050109863
46,18299,,-5.442742347717285
46,18329,0.819100022315979,
47,18349,,0.49917006492614746
47,18399,,0.4887430667877197
47,18449,,-0.23420929908752441
47,18499,,-1.8446099758148193
47,18549,,0.7161264419555664
47,18599,,-1.9830083847045898
47,18649,,0.7339458465576172
47,18699,,-5.072817802429199
47,18719,0.819100022315979,
48,18749,,-0.9327852725982666
48,18799,,0.6309448480606079
48,18849,,0.09683728218078613
48,18899,,-0.33458805084228516
48,18949,,-0.7663402557373047
48,18999,,-1.034407615661621
48,19049,,0.8362293243408203
48,19099,,-0.8918981552124023
48,19109,0.8183000087738037,
49,19149,,-0.16010379791259766
49,19199,,-0.8996586799621582
49,19249,,-2.8307321071624756
49,19299,,0.4792299270629883
49,19349,,1.0118670463562012
49,19399,,0.8170343637466431
49,19449,,-1.9106855392456055
49,19499,,-2.304471492767334
49,19499,0.8256999850273132,
50,19549,,-0.5452117919921875
50,19599,,0.3698403835296631
50,19649,,-2.126957893371582
50,19699,,-1.258540153503418
50,19749,,-0.764559268951416
50,19799,,0.9574506282806396
50,19849,,-0.2380993366241455
50,19889,0.8295000195503235,
51,19899,,-0.6467561721801758
51,19949,,-0.27707767486572266
51,19999,,-0.7612805366516113
51,20049,,-3.763423442840576
51,20099,,0.5337773561477661
51,20149,,0.9892845153808594
51,20199,,-1.099466323852539
51,20249,,-0.5796780586242676
51,20279,0.8241000175476074,
52,20299,,0.46417343616485596
52,20349,,0.15394067764282227
52,20399,,-0.4072265625
52,20449,,-4.6434645652771
52,20499,,-2.787541627883911
52,20549,,-0.29470157623291016
52,20599,,-3.9755325317382812
52,20649,,-2.9007861614227295
52,20669,0.8223000168800354,
53,20699,,-4.475058555603027
53,20749,,0.669235110282898
53,20799,,0.8664690256118774
53,20849,,-2.476518154144287
53,20899,,0.6336748600006104
53,20949,,-3.7066006660461426
53,20999,,0.6205000877380371
53,21049,,-0.7014493942260742
53,21059,0.8295000195503235,
54,21099,,-4.638874053955078
54,21149,,-0.09722423553466797
54,21199,,-0.8200607299804688
54,21249,,0.6674020290374756
54,21299,,-0.12989354133605957
54,21349,,-1.054166555404663
54,21399,,0.28229641914367676
54,21449,,-3.179007053375244
54,21449,0.8324000239372253,
55,21499,,-0.6274166107177734
55,21549,,-0.5824277400970459
55,21599,,-2.629228353500366
55,21649,,0.429394006729126
55,21699,,-5.378218173980713
